,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,126896000,137261000,120421000,6475000,-5930000,-12497000,None,None,-15619000,None,15984000,None,-10365000,None,5104000,-3122000,None,-5104000,None,None,None,-3122000,-150000,None,-12497000,-12497000,None,USD,400988000,23362000,None,13684000,313127000,87861000,None,None,309000,-97398000,18265000,0,26788000,63390000,117419000,None,17444000,-51402000,98974000,250556000,None,64499000,None,102771000,151729000,70711000,54561000,None,None,None,None,None,None,None,2646000,None,150432000,33450000,None,8817000,195708000,None,None,None,None,None,None,None,None,USD,-935000,-19404000,-935000,None,-1094000,-3850000,-2756000,1719000,-12497000,5335000,10163000,None,4585000,None,None,14459000,22646000,-1809000,1018000,None,None,None,2.89,
1,2020-03-31,USD,187105000,46826000,166802000,20303000,-26523000,-24594000,None,None,-31888000,None,17099000,None,-26523000,860000,5365000,-7294000,-5365000,-5365000,None,28867000,None,-7294000,-28867000,None,-24594000,-24594000,None,USD,431188000,24160000,None,14043000,334262000,96926000,None,7730000,323000,-84901000,16422000,0,23544000,58055000,138904000,18268000,18268000,-53980000,70022000,279850000,None,72766000,None,123300000,152304000,84459000,112906000,None,None,323000,None,-84901000,-11230000,None,34361000,None,22795000,33978000,152304000,43054000,195358000,None,None,None,246714000,431188000,58055000,None,30847269,USD,-3468000,12321000,-3468000,4000,13906000,13844000,-62000,8131000,-24594000,20721000,10345000,8131000,4980000,None,None,-3259000,-11649000,24415000,3472000,-11649000,None,20721000,1.51,2.89
2,2019-12-31,USD,189485000,14486000,183895000,5590000,-11078000,-11049000,None,None,-12247000,None,13571000,-2225000,-8853000,915000,1169000,-1198000,-3393000,-1168000,-1235000,None,None,-1198000,-6416000,None,-11049000,-11049000,None,USD,435826000,25258000,None,106524000,307138000,128688000,None,7620000,323000,-60307000,17591000,27816000,17192000,39511000,106607000,3256000,3256000,-45950000,73686000,255972000,150000,128688000,None,133234000,153128000,82872000,95731000,None,None,323000,None,-60307000,-11230000,None,3480000,None,73686000,37034000,153128000,10666000,163794000,None,None,None,245852000,435826000,39511000,None,30801255,USD,-4729000,-31058000,-4729000,3000,-1966000,-3394000,-1428000,-4674000,-11049000,-412000,7711000,-1149000,4901000,None,-985000,8304000,36719000,1043000,4732000,36719000,None,-412000,6.35,1.51
3,2019-09-30,USD,225399000,17968000,194195000,31204000,13236000,8520000,None,None,9436000,None,17531000,None,13236000,437000,3800000,916000,-3800000,-3800000,None,None,None,916000,-5414000,None,8520000,8520000,None,USD,471451000,28841000,None,24496000,331706000,139745000,None,5485000,319000,-43816000,20559000,25188000,13234000,38703000,136540000,3300000,3335000,-51720000,73059000,306575000,353000,85716000,None,153190000,154950000,90186000,127720000,None,None,319000,None,-43816000,-10245000,None,25727000,None,12061000,24677000,154950000,40216000,195166000,None,None,None,245207000,471451000,38703000,None,30581274,USD,-40568000,-3291000,-40568000,-33980000,-2187000,-159000,-159000,4861000,8520000,-21818000,20384000,4861000,3918000,None,None,1653000,1787000,2591000,6568000,1787000,None,-20343000,7.21,6.35
4,2019-06-30,USD,243190000,225977000,209407000,33783000,20553000,7177000,None,None,9723000,None,16248000,None,17213000,300000,7490000,2546000,-7490000,-7490000,None,None,None,2546000,-4895000,None,7177000,7177000,None,USD,460326000,12188000,None,22370000,323824000,136502000,None,4851000,319000,-52336000,13722000,7624000,12903000,60521000,136345000,3200000,3238000,-45722000,93580000,333686000,345000,116690000,None,157882000,154758000,92913000,93320000,None,None,319000,None,-52336000,-10245000,None,2322000,None,126640000,23418000,155190000,2342000,187479000,None,None,None,244486000,460326000,60521000,None,31000000,USD,-7122000,-2985000,-7122000,20000,-1094000,-1211000,-117000,-465000,7177000,6173000,14622000,-465000,3340000,None,None,4277000,-196000,3131000,7122000,-196000,None,6289000,8.02,7.21
5,2019-03-31,USD,243164000,15499000,208604000,34560000,19040000,11130000,None,None,14644000,None,15199000,None,19040000,300000,4396000,3187000,-4396000,-4396000,None,None,None,3514000,-4468000,None,11130000,11130000,None,USD,453595000,12492000,None,21257000,326944000,126651000,None,4456000,318000,-59513000,14627000,7587000,14795000,54348000,139687000,3229000,3229000,-47677000,66128000,331901000,394000,106572000,None,159016000,155600000,97280000,132002000,None,None,318000,None,-59513000,-10245000,None,22564000,None,12923000,20994000,155600000,31685000,187285000,None,None,None,243768000,453595000,54348000,None,30512843,USD,-5560000,9548000,-5560000,20000,-5349000,-5349000,-105000,-6087000,11130000,-16880000,-5971000,-6087000,4060000,None,None,-4739000,-26356000,6473000,5580000,-26356000,None,-16880000,7.67,8.02
6,2018-12-31,USD,223602000,15600000,194230000,29372000,15115000,8881000,0,0,9485000,0,15248000,1311000,13804000,352000,5630000,3364000,None,None,3670000,0,0,604000,-5220000,0,8881000,8881000,None,USD,418130000,12800000,None,16828000,303092000,115038000,None,17216000,318000,-70571000,15720000,7576000,16800000,70913000,132716000,9102000,9102000,-47471000,65099000,314724000,1131000,94662000,None,134624000,154656000,92359000,123614000,None,None,318000,None,-70571000,-10245000,None,2583000,None,15348000,None,154656000,15720000,170376000,None,None,None,243007000,418130000,70913000,-143781000,30512843,USD,None,-2571000,-4296000,31000,-1423000,-2554000,-1131000,-2709000,8881000,14103000,20953000,-5340000,3981000,None,-1131000,329000,15402000,271000,4327000,15402000,-715000,13388000,5.7,7.67
7,2018-09-30,USD,225010000,16015000,192535000,32475000,16460000,12583000,0,0,12801000,0,15694000,None,16460000,321000,3659000,None,None,None,0,0,0,218000,-3659000,0,12583000,12583000,None,USD,414970000,12987000,None,14137000,309655000,105315000,0,7000,304000,-79452000,19116000,7374000,13213000,57525000,129199000,3217000,3217000,-48590000,63000000,316053000,2343000,84954000,0,151196000,161300000,93195000,125982000,0,0,304000,0,-79452000,-9114000,None,3814000,11742000,98917000,None,161300000,19116000,180416000,None,None,None,242167000,414970000,57525000,None,30219278,USD,None,3808000,-4647000,18000,-1093000,-1093000,-329000,-484000,12583000,13398000,19138000,-484000,4392000,0,0,-2503000,-3742000,5084000,4665000,-3742000,-547000,12851000,9.16,5.7
8,2018-06-30,USD,233391000,14760000,197507000,35884000,21124000,13195000,0,0,17696000,0,14433000,None,21124000,327000,3428000,None,None,None,0,0,0,4501000,-3428000,0,13195000,13195000,None,USD,401288000,13542000,None,13981000,306747000,94541000,0,173000,304000,-92035000,21051000,7658000,15506000,44674000,123551000,3208000,3208000,-46001000,62217000,300370000,1995000,73341000,0,150606000,162100000,91109000,120343000,0,0,304000,0,-92035000,-9114000,None,3562000,13939000,100918000,None,162100000,21051000,183151000,None,None,None,241387000,401288000,44674000,None,30219278,USD,None,4950000,-3442000,0,-8594000,-8594000,-329000,2450000,13195000,8880000,20916000,2450000,4286000,0,0,1749000,-12450000,6736000,3442000,-12450000,-2114000,6766000,7.34,9.16
9,2018-03-31,USD,215734000,15604000,184613000,31121000,15485000,9853000,0,0,13526000,0,15304000,None,15485000,300000,1959000,None,None,None,0,0,0,3673000,-1959000,0,9853000,9853000,None,USD,399642000,14121000,None,18385000,313242000,86400000,0,10000,304000,-105230000,22229000,7941000,19901000,37908000,120562000,3199000,3199000,-40103000,63400000,292753000,1526000,64338000,0,141823000,170451000,94637000,117363000,0,0,304000,0,-105230000,-9114000,None,3187000,18240000,106889000,None,170451000,22229000,192680000,None,None,None,240543000,399642000,37908000,None,30219278,USD,None,-2105000,-1716000,0,6406000,6406000,-329000,-5428000,9853000,-15325000,-20015000,-5428000,4163000,0,0,5261000,-34884000,3125000,1716000,-34884000,989000,-14336000,7.75,7.34
