,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,283223987,251516331,243332297,39891690,31605365,17575811,5803128,None,15690821,45907197,3723179,None,31707656,None,15914544,-1884990,75426,-15839118,None,None,None,-1884990,-177717,None,17575811,17575811,None,USD,2918813079,None,None,1769661,2042171704,830734178,None,16087957,6697,726696685,170144721,None,502786210,3167943,1282324759,None,770943894,-80085057,856884103,1559142766,None,830734078,None,184384982,575452134,678543004,48199950,None,None,None,None,None,None,None,736988,None,1359670313,15663108,None,None,759846945,None,None,None,None,None,None,None,None,USD,-128483707,0,-128483707,None,328208905,327586656,-622249,None,17575811,-22527255,-221662200,None,None,None,None,None,None,-251874909,4672015,None,None,None,1.15,
1,2020-03-31,USD,144837678,9987829,139599821,5237857,7766726,-11038494,3841792,None,-10149463,45907197,6146037,12516698,-4749972,None,17916189,889031,265622,-17650567,None,None,None,889031,2368139,None,-11038494,-11038494,None,USD,2668977156,None,None,241746951,1856224949,812752207,90031695,1417224,6697,709120874,228446987,None,502243061,190433854,1268285841,672728013,672728013,-80491217,820918992,1302417152,None,812752107,None,240122877,345155760,630113470,594140604,None,None,6697,100,709120874,-92694,None,545641012,None,1366560004,15753585,345155760,152751653,587939108,None,None,None,184208447,2668977156,190433854,None,66948841,USD,-20075023,0,-20075023,None,27269556,74143299,46747731,None,-11038494,-35093205,-89161481,None,None,None,46621719,None,None,-92020777,20075023,None,-2905960,-37999165,0.9759,1.15
2,2019-12-31,USD,310505848,88958979,266815104,43690744,-42185747,-65001767,10807113,None,-62832524,45907197,15340741,3082488,-45268235,None,20646777,2169243,148871,-20497906,None,62811125,None,2169243,-2088301,None,-65001767,-65001767,None,USD,2635882248,None,None,171848122,1799508137,836374111,None,1388555,6697,720159368,183667996,None,496549849,228433019,1278954294,680174859,680174859,-67907807,830319716,1264862728,None,836374011,None,222072053,322456413,642509534,597390880,None,None,6697,100,720159368,-92694,None,540699804,None,1371019520,15817989,322456413,198097430,520553843,None,None,None,184208447,2635882248,228433019,None,66948841,USD,-98975193,-29024677,-98975193,885495,96474759,96474759,-4443946,-264337433,3055478,-9273255,-6772821,-256776799,59661179,None,None,-32889557,None,56778401,99860688,9267736,2549532,-6723723,1.79,0.9759
3,2019-09-30,USD,373159091,26338982,313044518,60114573,39584798,16965213,19908789,None,22548453,45907197,6430193,5809207,33775591,None,17036345,5583240,338033,-16698312,None,None,None,5583240,4065890,None,16965213,16965213,None,USD,2774798983,28465372,None,234507419,1884980388,889818595,93214165,1390531,6697,785161135,188252959,None,437128258,235156742,1405695521,619522749,619522749,-79465090,798105488,1495498092,None,861353123,None,326831373,276518446,699002558,784782241,None,None,6697,100,785161135,-92694,None,452730031,None,1279300891,15903993,276518446,109552256,479284867,None,None,None,184208447,2774798983,235156742,None,66948841,USD,13874589,0,13874589,15733577,-5242124,-5242124,-4443946,-264337433,16965213,-267386985,-276019450,None,14664563,None,None,None,None,-307649226,1858988,None,-4329155,-271716140,1.9,1.79
4,2019-06-30,USD,463073880,15563724,397813194,65260686,54813147,40111317,9551721,None,42753905,None,6012003,5116185,49696962,None,12059242,2642588,454357,-11604885,None,None,None,2642588,3050612,None,40111317,40111317,None,USD,2834279881,29439676,None,158318331,1938736240,797967176,97121826,1888376,5097,768195922,193946596,None,451787088,506872882,1477698130,678586573,678586573,-56774831,824360375,1512931901,None,866103865,None,113555865,252503403,734184823,797223181,None,None,5097,100,768195922,-92694,None,467547929,None,1321347980,16476487,252503403,111412881,461038110,None,97576465,None,86633582,2834279881,506872882,None,50948841,USD,-33547483,0,-33547483,7376822,18179924,18179924,-4443946,-264337433,40111317,10546683,25914242,None,14987953,None,None,None,None,-29185028,40924305,None,-9887112,659571,2.1206,1.9
5,2019-03-31,USD,301466007,19115391,251136339,50329668,32122619,10980715,10062186,None,14622342,None,9053205,908342,31214277,None,17500277,3641630,-19205370,-17064498,None,None,None,3641627,-1622374,None,10980715,10980715,None,USD,2893793916,30213879,None,96270070,2021648507,774568944,100255791,2304598,5097,728084605,204249373,None,527469500,506213311,1614548420,723302348,723302348,-40061746,770413511,1549778382,None,841931430,None,154051127,188183909,793243874,888941474,None,None,5097,100,728084605,-92694,None,543388144,None,1344015534,16971403,188183909,118660387,407100087,None,97576465,None,86633582,2893793916,506213311,None,50969841,USD,-11475116,0,-11475116,-3217,76456830,76456830,289300,-264337433,10980715,131931504,66949790,None,15169452,None,None,None,None,40799623,11471899,None,7289967,139221471,2.4438,2.1206
6,2018-12-31,USD,349825989,38253969,287461458,62364531,26035058,13024501,26895719,0,12565989,0,11358250,1924496,24110562,0,13469069,-458510,None,None,0,0,0,-458512,-11544573,0,13024501,13024501,None,USD,2753519231,29796795,None,132218528,1907025338,748917428,None,101694507,5097,717103890,201157249,None,533849305,366991840,1594059845,729666920,176401330,-54732547,775941280,1413931851,None,816696998,None,294688288,111808244,620033195,864392925,None,None,5097,100,717103890,-92694,None,533849305,None,1339587380,None,111808244,201157249,312965493,None,97576465,None,86633582,2753519231,366991840,None,50948841,USD,-540282321,-119931541,4179344,542828049,24865945,24985945,18365740,336571089,68313421,-24955378,-54120667,299972974,48018842,None,120000,-228481188,-5147409,-1351844,1633616,-5147409,4492147,-20463231,1.76,2.4438
7,2018-09-30,USD,297224740,34201246,249997804,47226936,18823397,8964941,23342321,0,5429511,0,10858925,5797707,13025690,0,13393886,-3535430,None,None,0,0,0,-3535430,-7596179,0,8964941,8964941,None,USD,2649883448,29881029,None,167109645,1819111605,733195378,100571327,98770772,5047,704079389,204201004,0,530750439,387455071,1487656851,692120072,172858472,-57226444,787330204,1301921776,None,800890714,7268287,173278607,127253750,566810166,795536779,0,0,5047,100,704079389,-92694,None,530750439,None,1347961672,None,127253750,103629677,331454754,None,97576465,None,86429980,2649883448,394723358,None,50448841,USD,103532930,0,84187284,76754104,93974960,18407448,-75567512,336571089,8964941,65507737,-37086995,None,22279061,0,0,-228481188,-5147409,-68330997,96099750,None,-14028478,51479259,3.6,1.76
8,2018-06-30,USD,317329520,20200114,261175654,56153866,43994881,27224078,5288636,0,32720306,0,14911478,8041129,35953752,0,11274575,None,None,None,0,0,0,5496228,-3233446,0,27224078,27224078,None,USD,2761354700,31226580,None,85211205,1911690791,752087444,105746194,145748800,5031,695114448,212186312,0,523409616,335975812,1567200274,635504864,175849800,-28729343,813775162,1392943342,None,818437229,113351268,308622962,132304205,549782095,931695410,0,0,5031,100,695114448,-92694,None,523409616,None,1368411358,None,132304205,106440118,344490517,None,97576465,None,85789902,2761354700,449327080,None,50287731,USD,221410023,0,-48895586,-35896,55030800,55030800,75568000,336571089,27224078,130306342,124171128,None,-93159,0,0,-228481188,-5147409,97040209,270269713,None,-15600917,114705425,3.3,3.6
9,2018-03-31,USD,310453033,14975916,256585577,53867456,38204933,19099901,5049898,0,25310728,0,9926018,-686607,38891540,0,12894205,None,None,None,0,0,0,6210827,-13580812,0,19099901,19099901,None,USD,2539232651,33025874,None,111816277,1680034083,761622103,108962772,140857161,4975,667890370,220801820,0,237975463,221270387,1313655062,674006093,252883902,10576667,844425358,1423805956,None,826172594,343505988,190293398,145577201,556919906,639648969,0,0,4975,100,667890370,-92694,None,237975463,None,1115426695,None,145577201,111839048,366379021,None,97576465,None,83242685,2539232651,564776375,None,49727731,USD,-43685277,0,-41147004,67008233,-96205376,-96205376,None,336571089,19099901,-108922591,28429789,None,11276313,0,0,-228481188,-5147409,-1946425,64469960,None,10101313,-98821278,4.25,3.3
10,2017-12-31,USD,427632945,24871067,336167827,91465118,71813636,-20479705,11582764,0,59308703,0,13288303,5219585,66594051,0,12504933,None,None,None,0,0,0,79788408,240946,0,-20479705,-20479705,None,USD,2544103683,31943652,None,144326151,1733749218,712778000,99168276,138606000,4975,648790469,197799000,0,235496000,320091665,1412474305,775396929,271101178,-19084743,835561739,1473046499,None,778410713,288023017,298868984,114208319,421736682,637077376,0,0,4975,100,648790469,-92694,None,203551793,None,1071057184,None,114208319,107898318,321274913,None,97576465,None,83159893,2544103683,608114682,None,49748731,USD,-429641013,79521702,104061371,651464423,73890667,67229927,-6660740,94703025,31621734,136202643,-35088655,-80116063,46806004,0,0,-120026438,120687000,4202114,117762039,120687494,7422543,143625186,4.6,4.25
11,2017-09-30,USD,311418943,21119401,264099790,47319153,28092459,14136458,9857475,0,17200347,0,11261926,1892707,26199752,0,10892112,None,None,None,0,0,0,3063889,-36053582,0,14136458,14136458,None,USD,2319185627,26449565,None,317442321,1501222034,720387128,76189771,224612000,4974,669270174,110960000,0,89753000,187320507,1269064146,727089616,230618448,-31870744,832164655,1397268551,None,791513928,343835224,139932158,111497838,408738341,541974530,0,0,4974,100,669270174,-92694,None,63302856,None,921917076,None,111497838,44470279,232157888,None,97576465,None,83075318,2319185627,531155731,None,49727731,USD,-176118173,0,-183073225,50206387,7235038,-13677630,-20912668,94703025,14136000,-231654223,-34903368,None,0,0,0,0,0,-59827973,57161439,None,-1403827,-233058050,4.7,4.6
12,2017-06-30,USD,313555663,19096841,250446461,63109202,44135599,28063992,9546922,0,32183748,0,9549919,123238,44012361,0,11951851,None,None,None,0,0,0,4119756,8458297,0,28063992,28063992,None,USD,2297254007,26043444,None,306549365,1509436185,690241357,75743684,259673000,4952,655133716,107999000,0,89737000,399970702,1195785689,642154361,837768533,-47758167,826047915,1381468005,None,761774278,159718942,151980751,195614172,363248245,553631328,0,0,4952,100,655133716,-92694,None,63694643,None,915786002,None,195614172,42292640,313650496,None,97576465,None,82953450,2297254007,559689644,None,49532541,USD,88964506,0,-28136430,-163979195,35854716,35776167,-78549,94703025,28064000,217960187,210320450,None,0,0,0,0,0,171805263,46878259,None,4169168,222129355,4.7,4.7
13,2017-03-31,USD,237840197,13423584,203068027,34772170,23475291,9900989,5851100,0,13453315,0,7572484,2126705,21348586,0,10021976,None,None,None,0,0,0,3552326,-8654298,0,9900989,9900989,None,USD,2119196319,22546978,None,54833793,1373424632,648195222,68282595,118698000,4952,627069724,101860000,0,414123000,205999000,1073515378,637931355,637931355,-61509528,811362139,893711194,None,723224609,77833983,187377515,187697496,367666903,435584023,0,0,4952,100,627069724,-92694,None,391576008,None,1225485125,None,187697496,43929163,299909254,None,97576465,None,82722668,2119196319,283832983,None,49511541,USD,-59853272,0,-148182788,240099272,134854853,94279564,-40575289,94703025,9901000,-111535104,-57631880,None,0,0,0,0,0,-77913828,328428788,None,1144379,-110390725,4.85,4.7
14,2016-12-31,USD,377661511,39577233,295504993,82156518,48024915,36722820,29308647,0,39058267,0,10268586,5445630,42579285,0,8966648,None,None,None,0,0,0,2335447,-48479145,0,36722820,36722820,None,USD,2126500199,22536397,None,125310309,1394664068,634259666,69311102,119351000,4952,617168735,100913000,0,47226000,271575847,1033411732,444757476,88681635,-65427831,806363692,1272910459,None,709299634,184806112,410279183,249520615,280939008,588654256,0,0,4952,100,617168735,-92694,None,24689651,None,853589740,None,249520615,42420619,361252336,None,97576465,None,82606404,2126500199,456381959,None,49511541,USD,-188575258,131795113,-120558316,138030583,134487715,-33576969,-168064684,50585356,101612750,75608147,229743432,-5235618,36285450,0,0,-3764167,-190860210,14650650,70013641,-190860210,-7666701,67941446,4.0,4.85
15,2016-09-30,USD,331847567,16572422,262206936,69640631,36343827,20176806,7864732,0,25472924,0,8707690,-16724382,53068209,0,10870903,None,None,None,0,0,0,5296118,7797554,0,20176806,20176806,None,USD,1968355299,23527451,None,38697013,1245644571,625134263,71171033,163628000,4956,580445916,102448000,0,121288000,170635098,876451979,466402042,721303234,-37809886,819285111,1027781448,None,699183177,130432178,272762337,254901192,415254822,410049937,0,0,4956,100,580445916,-92694,None,97761289,None,940573851,None,254901192,43120367,369192592,None,97576465,None,82585871,1968355299,301067276,None,49556541,USD,169115,None,53272583,153907846,72593862,41027349,-31566513,50585356,20177000,42928110,-51371822,None,0,0,0,0,0,None,100804378,None,-764025,42164085,4.42,4.0
16,2016-06-30,USD,277139662,12884780,216795181,60344481,49237624,33355774,5906719,0,38609402,0,6978061,1777923,47459701,0,10628222,None,None,None,0,0,0,5253628,-7939309,0,33355774,33355774,None,USD,1939528958,23809904,None,51054446,1232236649,609715844,71254125,223796000,4941,560269109,100517000,0,50903000,122483638,1037542167,568389732,568389732,-32855960,810183747,1078442211,None,683482305,282452648,200490313,81672771,421961166,469152435,0,0,4941,100,560269109,-92694,None,27093096,None,861086747,None,81672771,41767586,194694482,None,97576465,None,82390348,1939528958,404936286,None,49406191,USD,-131578220,None,5004695,149205098,90224934,79686714,-10538220,51000000,33356000,16207443,-68483966,None,0,0,0,0,0,None,12622183,None,-1281767,14925676,3.19,4.42
17,2016-03-31,USD,215030158,10264377,180216507,34813651,26799635,11357350,4909567,0,15894976,0,5354810,2250361,24549274,0,10904659,None,None,None,0,0,0,4537626,0,0,11357350,11357350,None,USD,1899833350,24556562,None,50661076,1207704733,594552152,66514797,231534000,4941,526913335,92866000,0,75264000,94778436,850703488,323997710,575000000,-14415634,807047664,1017521686,None,667571955,300872903,179660323,250739437,391548948,526705778,0,0,4941,100,526913335,-92694,None,50707438,None,882311664,None,250739437,39747011,357001245,None,97576465,None,82142104,1899833350,395651339,None,49406191,USD,-155330882,None,-86307678,96423100,56653799,34699757,-21954042,51000000,11357000,-77011597,-25403676,None,0,0,0,0,0,None,27399896,None,138350,-76873247,3.22,3.19
18,2015-12-31,USD,272752694,9619832,220831046,51921648,43897101,26815152,2756980,0,33184323,0,6862852,1595285,42301816,0,10712778,None,None,None,0,0,0,6369171,-33075044,0,26815152,26815152,None,USD,1751982208,24506837,None,15675848,1076360145,578045598,62039050,140997000,4933,515555985,86212000,0,226700000,170780812,723157473,284339089,149646098,-19342658,571746507,953536236,None,651115126,237626806,234787575,253116705,294665195,438818384,0,0,4933,100,515555985,-92694,None,202192628,None,798445972,None,253116705,38046917,353202672,None,97576465,None,81919932,1751982208,408407618,None,49323284,USD,-168164466,213345889,-178683063,256909084,23332892,23648020,193403,89011692,83732279,70946735,225981778,-903319,28626222,0,121725,-58103919,-40614289,1323812,271447770,-40650226,-2114380,68832355,4.42,3.22
19,2015-09-30,USD,239101063,11951495,209776434,29324629,19615741,6034498,5831192,0,9292070,0,6120303,2242607,17373134,0,10323671,None,None,None,0,0,0,3257572,0,0,6034498,6034498,None,USD,1564723143,25037517,None,78510277,900730296,566416382,55695731,27493000,4932,488740833,59735000,0,343797000,95269980,563453098,265754058,None,-3736189,315057485,905869296,None,638955230,192346947,246557049,262735213,293185043,297699040,0,0,4932,100,488740833,-92694,None,318758845,None,658853847,None,262735213,18846254,337277198,None,97576465,None,81499400,1564723143,287616927,None,49323284,USD,-75009546,None,18361590,-26164839,56131339,52589965,-3541374,None,6034000,679632,-70271923,None,0,0,0,0,0,None,130142000,None,-2285782,-1606150,4.18,4.42
