,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,EUR,None,None,None,None,None,None,None,None,None,None,None,None,None,-907500.0,None,None,None,None,None,None,None,None,None,None,None,-8298500.0,None,EUR,75760000,35223000,None,None,45442000,30318000,573000,1563000,48513000.0,-91021000,32135000.0,883000,6557000.0,26692000,10798000,None,91000,29477000,4231000.0,29439000,None,-5215000,0,451000,None,None,5782000,None,None,None,None,None,None,None,None,None,46321000,3613000,None,None,34644000,None,None,None,None,None,None,None,None,EUR,None,-439000,25000,61500,-383000,None,1347500.0,None,None,None,-7316500,None,None,None,None,None,None,1100500,0.0,None,None,None,10.69,
1,2020-03-31,EUR,None,None,None,None,None,None,None,None,None,None,None,None,None,-907500.0,None,None,None,None,None,None,None,None,None,None,None,-8298500.0,None,EUR,None,None,None,None,None,None,573000,None,48513000.0,-91021000,32135000.0,None,6557000.0,None,None,None,None,29477000,4231000.0,None,None,-5215000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,EUR,None,-439000,25000,61500,-383000,None,1347500.0,None,None,None,-7316500,None,None,None,None,None,None,1100500,0.0,None,None,None,7.4299,10.69
2,2019-12-31,EUR,6000,0,0,6000,0,-12667000,0,0,-12675000,0,4396000,0,-12929000,-2046500.0,182000,-8000,254000,None,0,0,0,-4000,0,0,0,-6333500.0,0,EUR,89836000,35316000,None,1254000,44217000,45619000,607000,1016000,48513000.0,-74424000,29291000.0,883000,6347000.0,39338000,11922000,0,192000,28181000,5061000.0,42836000,0,10027000,0,156000,37000,0,6969000,0,0,0,0,0,0,0,47000000,0,47000000,4134000,3004000,0,32295000,0,0,0,43349000,0,39338000,0,0,EUR,0,1154000,-51500,59000,-377000,18276000,382500.0,0,-28632000,-1203000,-6069500,0,1619000,0,16448000,0,0,-564500,622000.0,0,0,0,10.42,7.4299
3,2019-09-30,EUR,0,0,0,0,0,0,0,0,0,0,0,0,0,-2046500.0,0,None,None,None,0,0,0,-4000,0,0,0,-6333500.0,0,EUR,0,0,None,0,0,0,607000,0,48513000.0,-74424000,29291000.0,0,6347000.0,0,0,0,0,28181000,5061000.0,0,0,10027000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EUR,0,1154000,-51500,59000,-377000,0,382500.0,0,0,0,-6069500,0,0,0,0,0,0,-564500,0.0,0,0,0,10.09,10.42
4,2019-06-30,EUR,0,31272971.53,0,0,-31272971.53,-15965000,24025296.33,0,-15965000,0,4329000,0,-15950000,-336500.0,-182000,None,-15000,None,0,0,0,0,1546725.38,0,-30187616.57,-7982500.0,0,EUR,81358000,35204000,None,1409000,40439000,40919000,640000,222000,41553000.0,-61456000,28033000.0,883000,4911000.0,33668000,8916000,0,277000,26960000,5525000.0,35475000,0,5472000,0,239000,91000,0,5439000,0,0,0,0,0,0,0,1855000,0,45883000,4566000,3490000,-1000,31523000,0,0,0,33862000,0,33668000,0,0,EUR,17390260.55,-572500,4545000,56000,-366500,96000,414500.0,0,-15965000,-6876000,-8031500,0,802000,0,0,0,-408426.24,190000,219000.0,0,0,0,11.47,10.09
5,2019-03-31,EUR,0,29143191.07,0,0,-29143191.07,-28131751.93,22389103.67,0,-28131751.93,0,7939973.32,0,-29143191.07,-336500.0,-456381.05,None,None,None,0,0,0,0,1441388.84,0,-28131751.93,-7982500.0,0,EUR,286720084.37,121809692.90,None,4965566.97,142514239.47,144205844.93,640000,1994684.82,41553000.0,-61456000,28033000.0,3111849.29,4911000.0,118652029.30,31421572.19,0,976197.34,26960000,5525000.0,125020219.17,0,5472000,0,1402622.91,320700.20,0,19168004.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EUR,16205933.15,-572500,4545000,56000,-366500,169160.57,414500.0,0,-28131751.93,-12114362.33,-8031500,0,1555924.65,0,0,0,-380611.25,190000,378849.15,0,0,0,20.4,11.47
6,2018-12-31,EUR,597000,14867907.88,0,597000,-14351162.17,-18968000,10768565.05,0,-18968000,0,4799000,0,-19379000,-167920.72,-74439.08,None,410000,None,0,0,0,0,-2066982.83,0,-16418144.99,-18968000.0,0,EUR,94299000,35281000,None,1586000,38710000,55589000,1165058.17,2250483.82,41553000.0,-192111000,48787026.78,883000,1686000.0,40542000,9647000,0,486450.72,-2000,3014000.0,51692000,0,34792479.75,15921307.40,367000,229000,0,10241432.48,0,0,0,0,0,0,0,0,0,0,0,881000,0,0,0,0,0,206149000,0,49739000,0,0,EUR,-7231843.19,-532325.97,607000,2372000,300353.03,43928000,716000.0,0,-37427000,17289000,-27249000,0,1048000,0,43011000,0,1760570.80,3204342.73,1765000.0,0,0,0,18.16,20.4
7,2018-09-30,USD,345566.10,9942695.07,0,345566.10,-9597128.97,-10979393.38,7201319.75,0,-10979393.38,0,2853669.83,0,-9597128.97,-112294.51,-49780.04,None,None,None,0,0,0,0,-1382264.41,0,-10979393.38,-10979393.38,0,USD,109167631.40,40064829.82,None,105348.46,44813614.26,64354017.13,779115.54,1504978,48104885.39,-252116230.61,32625607.78,1022227.37,4748784.44,46934475.57,11168094.47,0,325306.78,29711738.83,3489233.62,59842556.15,0,23266959.94,10647140.54,1469090.07,265107.66,0,6848807.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USD,-4836188.93,-355985.18,-5509377.17,-490854.36,200856.68,615304.47,-1403681.41,0,-10979393.38,-12643551.75,-7740217.64,0,236744.62,0,0,0,1177355.87,2142857.14,176545.5,0,0,0,26.49,18.16
8,2018-06-30,EUR,2518000,16809926.32,1402373999946.50,2518000,-14499731.22,-18459000,10216970.82,0,-18459000,0,5321000,0,-18791000,1586309.5,-4587.36,None,332000,None,0,0,0,0,-2435888.78,0,-16935620.01,-18459000.0,0,EUR,109057000,34383000,None,3504000,36373000,72684000,1293635.86,1910177.19,41553000.0,-175017000,46833287.78,883000,1496000.0,62385000,10133000,0,519289.28,43787279.96,3148000.0,67003000,0,69953588.14,1546858.19,271000,368000,0,11818877.35,0,0,0,0,0,0,0,0,0,0,0,717000,0,0,0,0,0,206148000,0,63228000,0,0,EUR,9773831.73,2344141.56,10125000,10653000,-133950.94,42865000,-2224870.17,0,-18459000,39133000,-13877000,0,606000,0,43011000,0,-3204730.52,4478181.98,528000.0,0,0,0,29.71,26.49
9,2018-03-31,USD,1548775.99,11269528.85,0,1548775.99,-9720752.86,-11353795.05,6849550.99,0,-11353795.05,0,3356501.41,0,-9720752.86,1063476.44,-3075.41,None,None,None,0,0,0,0,-1633042.19,0,-11353795.05,-11353795.05,0,USD,134157953.01,41429450.12,None,4310493.30,44744741.05,89413211.96,867265.35,1280600.32,51116988.56,-244654939.11,31397465.86,1086234.47,5345060.89,76743756.92,12465247.88,0,348136.30,29355394.27,3872555.05,82424652.48,0,46897527.37,1037027.92,333374.34,452700.21,0,7923483.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USD,6552466.48,1571534.01,6227703.28,-521589.37,-89801.94,26365481.61,-1491573.38,0,-11353795.05,24069381.23,-8535490.22,0,393037.27,0,0,0,-2148480.75,3002214.29,324763.19,0,0,0,35.0,29.71
