,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,45882000,29346000,None,45882000,16536000,12966000,None,None,16536000,None,29346000,None,16536000,2516000,15078000,3570000,58634000,43556000,None,None,None,3570000,None,None,12966000,11826000,1140000,USD,6467521000,None,601813000,None,5785978000,681543000,None,4438412000,537000,592497000,80908000,55638000,5613258000,169318000,5455712000,1017300000,None,-23448000,21423000,5613700000,5945691000,509336000,542007000,5444382000,118979000,None,None,None,None,537000,116569000,592497000,-283193000,None,275451000,None,6298203000,42733000,118979000,211287000,330266000,None,None,None,278581000,6467521000,169318000,None,33089585,USD,-21458000,3916000,-231606000,-209885000,-95000000,99357000,169966000,-10560000,12966000,-129140000,3109000,-18957000,1195000,-5763000,30154000,None,None,3989000,263000,None,None,-129140000,20.49,
1,2020-03-31,USD,36748000,26040000,None,36748000,10708000,8392000,None,None,10708000,None,26040000,None,10708000,3499000,18381000,2316000,58905000,40524000,None,None,None,2316000,None,None,8392000,8325000,None,USD,6347825000,None,621799000,None,5702177000,645648000,None,4239826000,537000,585294000,72398000,55638000,5353129000,549452000,5357126000,1117300000,None,-20195000,22145000,5756726000,5730066000,517786000,557825000,5207274000,113942000,None,None,None,None,537000,72224000,585294000,-271539000,None,236677000,None,6044526000,42614000,113942000,231109000,345051000,None,None,None,279327000,6347825000,549452000,None,33875386,USD,-31040000,2515000,111807000,143881000,-84950000,-41614000,-3262000,4045000,8392000,90665000,20472000,107000,1294000,-4915000,51513000,None,None,8164000,1034000,None,None,90665000,18.99,20.49
2,2019-12-31,USD,36784000,28265000,None,36784000,8519000,6945000,None,None,8519000,None,28265000,None,8519000,3412000,20946000,1574000,60343000,39397000,None,None,None,1574000,-3855000,None,6945000,6945000,None,USD,6354460000,None,613408000,1014000,5757702000,596758000,None,4282625000,537000,581817000,38342000,55638000,5467419000,211507000,5374875000,1092250000,933800000,-14167000,22206000,5552045000,5863592000,541120000,550995000,5340538000,223906000,None,4282625000,None,None,537000,None,581817000,-250751000,None,201517000,None,6142953000,44098000,223906000,158921000,382827000,None,None,None,279322000,6354460000,211507000,None,35154642,USD,157906000,-728000,97835000,-59329000,85500000,-76986000,-142412000,5655000,6945000,42947000,22098000,3354000,2136000,-4958000,-15116000,None,None,10391000,742000,None,None,42947000,nan,18.99
3,2019-09-30,USD,28329000,22774000,None,28329000,5555000,4705000,None,None,5555000,None,22774000,None,5555000,3519000,24083000,850000,60279000,36196000,None,None,None,850000,506000,None,4705000,4705000,None,USD,6425335000,None,581703000,1839000,5816431000,608904000,None,4391406000,537000,579830000,39056000,55638000,5611664000,279503000,5448156000,1056750000,None,-16696000,22507000,5762532000,5977182000,553266000,519608000,5483029000,173869000,None,4391406000,None,None,537000,None,579830000,-234535000,None,203046000,None,6258373000,45117000,173869000,194406000,368275000,None,None,None,279768000,6425335000,279503000,None,35951652,USD,-28737000,1332000,939000,30187000,-56450000,-81214000,-19730000,-227000,4705000,-59877000,20398000,-2055000,444000,-5034000,0,None,None,15972000,511000,None,None,-59877000,nan,nan
4,2019-06-30,USD,39773000,22296000,None,39773000,17477000,13035000,None,None,17477000,None,22296000,None,17477000,2958000,23447000,4442000,59951000,36504000,None,None,None,4442000,-586000,None,13035000,13035000,None,USD,6498362000,None,543332000,3814000,5889661000,608701000,None,4435536000,537000,580159000,34802000,55638000,5662534000,878401000,5550736000,1115200000,None,-15962000,23069000,6409932000,5510397000,553063000,476514000,5531531000,171832000,None,4435536000,None,None,537000,None,580159000,-235360000,None,203275000,None,5792379000,46480000,171832000,167093000,338925000,None,None,None,279327000,6498362000,878401000,None,35887395,USD,-23759000,-3017000,5694000,29869000,40875000,7441000,-23489000,-3699000,13035000,28945000,15810000,1087000,-380000,-5051000,-4894000,None,None,5085000,416000,None,None,28945000,nan,nan
5,2019-03-31,USD,37363000,22052000,None,37363000,15311000,11501000,None,None,15311000,None,22052000,None,15311000,3029000,22371000,3810000,57695000,35324000,None,None,None,3810000,-454000,None,11501000,11501000,None,USD,6475301000,None,574057000,682000,5869027000,606274000,None,4407622000,537000,572175000,31300000,55638000,5634766000,854409000,5494947000,1087325000,None,-12809000,23708000,854409000,5484495000,550636000,511623000,None,158796000,None,4407622000,None,None,537000,None,572175000,-231987000,None,200524000,None,5764365000,46868000,158796000,215284000,374080000,None,None,None,278358000,6475301000,854409000,None,36020112,USD,-133313000,-923000,-114833000,18530000,6975000,100865000,102743000,-1879000,11501000,-3783000,10185000,-2592000,2875000,-5039000,-3814000,None,None,-676000,50000,None,None,-3783000,nan,nan
6,2018-12-31,USD,38367000,22744000,None,38367000,15623000,12440000,None,None,15623000,None,22744000,None,15623000,None,None,None,None,None,None,None,None,3183000,None,None,12440000,12440000,None,USD,6320578000,None,None,None,5718497000,602081000,None,4356754000,537000,565713000,None,55638000,None,818668000,4356754000,None,None,-11632000,24713000,818668000,5408316000,546443000,None,None,113759000,None,None,None,None,537000,None,565713000,-230049000,None,160499000,None,5649166000,None,113759000,1247984000,1361743000,None,None,None,277512000,6320578000,818668000,None,36081455,USD,45909000,3195000,-15297000,-59272000,82425000,8871000,-59982000,None,12440000,14434000,20860000,1243000,1911000,-5084000,-8488000,None,None,2071000,1934000,None,None,14434000,nan,nan
7,2018-09-30,USD,36914000,21585000,None,36914000,15329000,11782000,None,None,15329000,None,21585000,None,15329000,None,None,None,None,None,None,None,None,3547000,None,None,11782000,11782000,None,USD,6294193000,None,None,None,5690616000,603577000,None,4382250000,537000,558357000,None,55638000,None,652154000,5425175000,1042925000,None,-11942000,24736000,652154000,5397125000,547939000,None,None,113722000,None,None,None,None,537000,None,558357000,-221093000,None,164540000,None,5642039000,None,113722000,151719000,265441000,None,None,None,277718000,6294193000,652154000,None,36612153,USD,-86767000,779000,-63573000,23101000,-725000,29642000,53012000,None,11782000,-18170000,15761000,320000,1192000,-5243000,-17402000,None,None,1688000,93000,None,None,-18170000,nan,nan
8,2018-06-30,USD,37258000,20827000,None,37258000,16431000,12321000,None,None,16431000,None,20827000,None,16431000,None,None,None,None,None,None,None,None,4110000,None,None,12321000,12321000,None,USD,6253175000,None,None,None,5637643000,615532000,None,4359393000,537000,551818000,None,55638000,None,770796000,5403043000,1043650000,None,-11547000,25340000,770796000,5388884000,559894000,None,None,113686000,None,None,None,None,537000,None,551818000,-203470000,None,163509000,None,5633371000,None,113686000,120914000,234600000,None,None,None,278194000,6253175000,770796000,None,37591261,USD,30446000,283000,32289000,2413000,33250000,-85061000,-113719000,None,12321000,-37834000,14938000,152000,-322000,-5265000,673000,None,None,2504000,570000,None,None,-37834000,nan,nan
9,2018-03-31,USD,41066000,21734000,None,41066000,19332000,14745000,None,None,19332000,None,21734000,None,19332000,None,None,None,None,None,None,None,None,4587000,None,None,14745000,14745000,None,USD,6325917000,None,None,None,5717960000,607957000,None,4430441000,537000,544762000,None,55638000,None,595750000,5440841000,1010400000,None,-10088000,25276000,595750000,5486222000,552319000,None,None,113649000,None,None,None,None,537000,None,544762000,-204324000,None,163031000,None,5730167000,None,113649000,163470000,277119000,None,None,None,277070000,6325917000,595750000,None,37484270,USD,70835000,-4072000,94914000,25958000,-159600000,-88289000,76255000,None,14745000,19371000,12746000,1122000,2184000,-5234000,290000,None,None,-1233000,1879000,None,None,19371000,nan,nan
10,2017-12-31,USD,53438000,22573000,None,53438000,30865000,15423000,None,None,30865000,None,22573000,None,30865000,None,None,None,None,None,None,None,None,15442000,None,None,15423000,15423000,None,USD,6403460000,None,None,None,5804893000,598567000,None,4403447000,536000,535130000,None,55638000,None,749990000,5573447000,1170000000,None,-9271000,24326000,749990000,5587805000,542929000,None,None,113612000,None,None,None,None,536000,None,535130000,-204558000,None,155156000,None,5822925000,None,113612000,117834000,231446000,None,None,None,276730000,6403460000,749990000,None,37419070,USD,-291828000,-896000,44574000,338609000,-47500000,-55936000,-3305000,None,15423000,-3605000,7757000,-8653000,976000,-5243000,112000,None,None,907000,2207000,None,None,-3605000,nan,nan
11,2017-09-30,USD,42718000,22175000,None,42718000,20543000,13313000,None,None,20543000,None,22175000,None,20543000,None,None,None,None,None,None,None,None,7230000,None,None,13313000,13313000,None,USD,6444429000,None,None,None,5858392000,586037000,None,4371193000,536000,524237000,None,55638000,None,262274000,5588693000,1217500000,None,-10983000,22968000,262274000,5963460000,530399000,None,None,113575000,None,None,None,None,536000,None,524237000,-204427000,None,138710000,None,6180776000,None,113575000,156124000,269699000,None,None,None,276674000,6444429000,262274000,None,37422884,USD,-21415000,-509000,-128858000,-105946000,272911000,172421000,-24623000,None,13313000,63016000,19453000,9571000,861000,-5241000,-70626000,None,None,-3783000,1497000,None,None,63016000,nan,nan
12,2017-06-30,USD,38753000,19469000,None,38753000,19284000,11989000,None,None,19284000,None,19469000,None,19284000,None,None,None,None,None,None,None,None,7295000,None,None,11989000,11989000,None,USD,6258184000,None,None,None,5677736000,580448000,None,4418480000,536000,516165000,None,55638000,None,164501000,5363055000,944575000,None,-17109000,22315000,164501000,5866947000,524810000,None,None,184225000,None,None,None,None,536000,None,516165000,-199597000,None,147404000,None,6092304000,None,184225000,130456000,314681000,None,None,None,280453000,6258184000,164501000,None,37675379,USD,-4587000,-3914000,-131271000,-125126000,294395000,154695000,-134425000,None,11989000,22210000,-1214000,-10996000,957000,-5277000,2000,None,None,750000,1558000,None,None,22210000,nan,nan
13,2017-03-31,USD,38815000,20769000,None,38815000,18046000,11157000,None,None,18046000,None,20769000,None,18046000,None,None,None,None,None,None,None,None,6889000,None,None,11157000,11157000,None,USD,6095370000,None,None,None,5522145000,573225000,None,4508482000,536000,509453000,None,55638000,None,132765000,5272207000,763725000,None,-15385000,21620000,132765000,5747681000,517587000,None,None,70680000,None,None,None,None,536000,None,509453000,-200932000,None,136287000,None,5961226000,None,70680000,179258000,249938000,None,None,None,279553000,6095370000,132765000,None,37569348,USD,2927000,4413000,-116788000,-115746000,-67400000,73853000,145872000,None,11157000,-25669000,17266000,-640000,879000,-5243000,624000,None,None,1457000,3969000,None,None,-25669000,nan,nan
14,2016-12-31,USD,39186000,29638000,None,39186000,9548000,732000,None,None,9548000,None,29638000,None,9548000,None,None,None,None,None,None,None,None,8816000,None,None,732000,732000,None,USD,6005430000,None,None,None,5439562000,565868000,None,4395426000,536000,503539000,None,55638000,None,275008000,5226551000,831125000,None,-14730000,18405000,275008000,5632112000,510230000,None,None,70680000,None,None,None,None,536000,None,503539000,-201833000,None,136391000,None,5842546000,None,70680000,142331000,213011000,None,None,None,278356000,6005430000,275008000,None,37445853,USD,-779714000,3199000,-147474000,635617000,-51000000,166369000,221920000,None,732000,32633000,13738000,3356000,685000,-5149000,598000,None,None,5766000,3377000,None,None,32633000,nan,nan
15,2016-06-30,USD,37473000,18092000,None,37473000,19381000,11208000,None,None,19381000,None,18092000,None,19381000,None,None,None,None,None,None,None,None,8173000,None,None,11208000,11208000,None,USD,5556197000,None,None,None,5006586000,549611000,None,3780266000,535000,502569000,None,55638000,None,143147000,4797391000,1017125000,None,-23331000,13800000,146984000,5202341000,493973000,3837000,None,70680000,None,None,None,None,535000,None,502569000,-197146000,None,136037000,None,5407816000,None,70680000,138515000,209195000,None,None,None,266984000,5556197000,146984000,None,37654771,USD,10815000,-17883000,-137167000,-147443000,-260000000,44669000,306926000,None,11208000,-102990000,-10492000,-5561000,550000,-5157000,2900000,None,None,1194000,539000,None,None,-102990000,nan,nan
16,2016-03-31,USD,104393000,17869000,None,104393000,86524000,50037000,None,None,86524000,None,17869000,None,86524000,None,None,None,None,None,None,None,None,36487000,None,None,50037000,50037000,None,USD,5517359000,None,None,None,4977452000,539907000,None,3439756000,533000,496518000,None,55638000,None,257015000,4716881000,1277125000,None,-22437000,13770000,260802000,5053792000,484269000,3787000,None,70680000,None,None,None,None,533000,None,496518000,-197913000,None,131960000,None,5255160000,None,70680000,189891000,260571000,None,None,None,263206000,5517359000,260802000,None,37399150,USD,-5132000,23921000,-288391000,-283782000,110400000,409906000,304631000,None,50037000,128763000,7248000,755000,536000,-5125000,None,None,None,-68001000,523000,None,None,128763000,nan,nan
17,2015-12-31,USD,35764000,16139000,None,35764000,19625000,11384000,None,None,19625000,None,16139000,None,19625000,None,None,None,None,None,None,None,None,8431000,None,None,11194000,11384000,None,USD,5032872000,None,None,None,4538925000,493947000,None,3184310000,533000,451606000,None,55638000,None,123298000,4351035000,1166725000,None,-22739000,15298000,127054000,4693705000,438309000,3756000,None,70680000,None,None,None,None,533000,None,451606000,-198251000,None,141177000,None,4905818000,None,70680000,117210000,187890000,None,None,None,262798000,5032872000,127054000,None,37371992,USD,-110698000,-6899000,-210860000,-99745000,97000000,195337000,100948000,None,11384000,-9919000,5604000,-5368000,560000,-5104000,2493000,None,None,5927000,417000,None,None,-9919000,nan,nan
18,2014-12-31,USD,34846000,15231000,None,34846000,19615000,11987000,None,None,19615000,None,15231000,None,19615000,None,None,None,None,None,None,None,None,8059000,None,None,11556000,11987000,None,USD,4497107000,None,None,250000,4037382000,459725000,None,2659792000,529000,427126000,None,55638000,None,163003000,3833517000,1173725000,None,-23322000,25083000,167059000,4114673000,404087000,3806000,None,70680000,None,None,None,None,529000,None,427126000,-198966000,None,134654000,None,4330048000,None,70680000,133185000,203865000,None,None,None,254358000,4497107000,166809000,None,36855019,USD,-71648000,4061000,-93331000,-21565000,70500000,98769000,33300000,None,11987000,19210000,13772000,-402000,663000,-5031000,None,None,None,-2537000,118000,None,None,19210000,nan,nan
