,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,0,3658461,None,None,-3631440,-3125223,2173183,None,-3632548,None,1458257,None,-3658461,None,None,-507325,25913,25913,None,None,None,-507325,None,None,-3125223,-5075601,None,USD,35993126,8639000,None,None,3116471,32876655,None,12176,63999,-97408116,1249569,None,252149,25561599,1781831,None,None,None,393204,26708773,None,24237655,None,None,None,None,1354948,None,None,None,None,None,None,None,252149,None,9284353,194879,None,None,1334640,None,None,None,None,None,None,None,None,USD,None,606900,None,None,None,17877082,-595196,-258528,-3125223,14733371,-3143711,None,27021,None,None,None,None,-393881,0,None,None,None,0.98,
1,2020-03-31,USD,0,2955295,None,None,-2928275,-2558815,1534467,None,-2921195,None,1393808,None,-2955295,None,None,-362380,34100,34100,None,None,None,-362380,None,None,-2558815,-2558815,None,USD,21057126,8639000,None,None,3155501,17901625,None,22205,34605,-94282893,1756894,None,252561,10828228,1286820,None,None,None,449103,11716462,None,9262625,None,None,None,None,655298,None,None,None,None,None,None,None,252561,None,9340664,223757,None,None,1868681,None,None,None,112149910,None,10828230,None,35000000,USD,None,-455489,None,None,None,155193,-238232,-346030,-2558815,-3349121,-3504314,None,27020,None,393430,None,None,-171000,0,None,None,None,0.3166,0.98
2,2019-12-31,USD,0,2959685,None,None,-2932610,-3752080,1657877,None,-2933979,None,1274733,None,-2959685,None,None,818101,25710,25706,None,None,None,818101,25706,None,-3752080,-3752080,None,USD,24110523,8639000,None,None,3976261,20134262,None,70108,33481,-91724078,2119274,None,322301,14177349,1721421,None,None,None,499409,14649813,None,11495262,None,None,None,None,1251412,None,None,None,None,None,None,None,322301,None,9460710,247043,None,None,2254840,None,None,None,111824860,None,14177350,None,7000000,USD,None,264202,None,None,None,10475602,-238232,74522,-3752080,8037579,-2438023,None,27075,None,16207380,None,None,948258,0,None,None,None,0.4607,0.3166
3,2019-09-30,USD,0,3052043,None,None,-3033865,-2804092,1743494,None,-3030052,None,1290371,None,-3052043,None,None,-225960,21991,21991,None,None,None,-225960,21991,None,-2804092,-2804092,None,USD,16197214,8639000,None,None,2678399,13518815,None,78311,4694,-87971998,1301173,None,290674,6139770,1218479,None,None,None,549157,6718383,None,4879815,None,None,None,None,502473,None,None,None,None,None,None,None,290674,None,9478831,269716,None,None,1459920,None,None,None,101486120,None,6139770,None,5000000,USD,None,255146,None,None,None,-80206,-80206,458642,-2804092,-2232971,-2152765,None,18178,None,5731780,None,None,-80639,0,None,None,None,1.85,0.4607
4,2019-06-30,USD,0,2621223,None,None,-2586833,-2495398,1518381,None,-2604302,None,1068452,None,-2621223,None,None,-108904,16921,16921,None,None,None,-108904,16921,None,-2495398,-2495398,None,USD,18929138,8639000,None,None,2751552,16177586,None,50787,4694,-85167906,1527133,None,291176,8372741,1043043,None,None,None,589468,9409494,None,7538586,None,None,None,None,489133,None,None,None,None,None,None,None,291176,None,9519644,291849,None,None,1708509,None,None,None,101340800,None,8372740,None,4000000,USD,None,-202551,None,None,None,5649156,-82623,13254,-2495398,3039027,-2610129,None,34390,None,-82623,None,None,40176,0,None,None,None,2.85,1.85
5,2019-03-31,USD,0,2918845,None,None,-2900573,-2747810,1699845,None,-2898160,None,1200730,None,-2918850,None,None,-150350,20680,20684,None,None,None,-150352,20684,None,-2747809,-2747810,None,USD,15987820,8639000,None,None,3032870,12954950,None,77692,3380,-82672510,1636037,None,319720,5333710,1193470,110001,110001,None,645370,6383720,None,4315954,None,None,203363,None,480016,None,None,None,None,None,None,None,319724,None,9604097,313364,None,203363,1839400,None,None,None,95624090,None,5333710,None,3000000,USD,None,250871,None,None,None,0,-82623,-119644,-2747810,-2657460,-2657460,None,18270,None,0,None,None,-59148,0,None,None,None,3.71,2.85
6,2018-12-31,USD,0,2813457,0,0,-2813457,-5570938,1365449,0,-5525802,0,1419087,None,-2813457,0,3000,-54860,None,None,-100000,0,0,45136,-2712345,0,-5570938,-5570938,None,USD,18201992,8639000,None,None,2590433,15611559,None,92106,3377,-79924699,1786389,None,298480,7991172,804044,None,None,None,350281,8914231,None,6972559,None,None,None,None,198818,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,95532880,None,7991170,None,3000000,USD,None,-141633,None,None,None,5649156,-82623,-406722,-5570938,-3027269,-3027269,None,28921,None,10846060,None,None,3063103,0,None,None,None,1.99,3.71
7,2018-09-30,USD,0,2786154,0,0,-2786154,-6719730,1169810,0,-6934223,0,1589621,None,-2786154,0,0,None,None,None,0,0,0,-214493,-4148069,0,-6719730,-6719730,None,USD,23594668,8639000,None,551000,2686930,20907738,0,817000,50571,-74353761,1741253,2743208,263480,11018441,945677,None,None,None,379202,11569778,None,9525530,0,None,0,0,129057,20907738,95210928,50571,0,-74353761,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,3000000,USD,None,257659,0,0,None,5649156,-82623,220133,-6719730,-1916262,-1916262,None,26723,0,10846062,0,0,4298953,0,None,None,None,0.4317,1.99
8,2018-06-30,USD,0,3078452,0,0,-3078452,-2765181,1391113,0,-3033113,0,1660630,None,-3078452,-28018,0,None,None,None,0,0,0,-267932,45339,0,-2765181,-2765181,None,USD,29943836,8639000,None,772000,2643764,27300072,0,512000,50571,-67634031,1955746,6929258,262214,12934703,688018,None,None,None,405925,13707439,None,11731814,0,None,0,0,175772,27300072,94883532,50571,0,-67634031,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,3000000,USD,None,-155441,0,0,-550000,-724777,-174777,278431,-2765181,-3264778,-2540001,None,26709,0,10846062,0,0,75481,0,None,None,None,0.4571,0.4317
9,2018-03-31,USD,0,3351425,0,0,-3351425,-3313961,1825568,0,-3313961,0,1497839,None,-3351425,28018,0,None,None,None,0,0,0,0,37464,0,-3313961,-11567849,None,USD,33366978,8639000,None,891000,3646494,29720484,0,454000,50526,-64868850,2223678,6929258,275714,16199481,1422816,550000,550000,None,432634,17090372,None,14152226,0,None,0,0,419103,29720484,94538808,50526,0,-64868850,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,3000000,USD,None,-236420,0,0,-550000,10592297,-253765,-92944,-3313961,7303013,-3289284,None,28018,0,10846062,0,0,326023,0,None,None,None,0.546,0.4571
