,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,12874000,12281000,894000,11980000,2189000,14274000,None,None,18594000,None,10732000,1596000,593000,-11325000,-84000,4320000,None,-84000,None,None,None,4320000,18085000,None,14274000,14274000,None,USD,197964000,None,None,700000,88106000,109858000,25886000,None,14000,108089000,26748000,None,12968000,9867000,29237000,131000,131000,None,10580000,174172000,None,109858000,153390000,10164000,1610000,51000,3458000,None,None,14000,None,108089000,None,None,13212000,None,23792000,None,1610000,31373000,58869000,None,None,None,1755000,197964000,163257000,-9956000,None,USD,0,397000,None,None,968000,968000,None,520000,14274000,4045000,3077000,107000,128000,None,None,2000,-3055000,57730000,0,3055000,None,4045000,270.0,
1,2020-03-31,USD,12356000,13454000,1538000,10818000,199000,-56326000,None,None,-77186000,None,10917000,1297000,-1098000,-9819000,-174000,-20860000,1297000,-174000,None,None,None,-20860000,-75914000,None,-56326000,-56326000,None,USD,174735000,None,None,2786000,79151000,95584000,21816000,None,14000,93815000,22372000,None,13472000,5822000,25599000,129000,129000,None,10708000,150173000,None,95584000,136901000,6817000,1644000,40000,3061000,None,None,14000,None,93815000,None,None,11661000,None,22369000,None,1644000,30092000,53552000,None,None,None,1755000,174735000,142723000,-9828000,1000000,USD,-71000,-796000,-71000,None,-31000,-31000,None,434000,-56326000,-1554000,-1452000,-165000,128000,None,None,9000,1185000,-77211000,71000,-1185000,None,-1554000,228.3,270.0
2,2019-12-31,USD,11677000,13195000,1248000,10429000,162000,14210000,None,None,19490000,None,11153000,1680000,-1518000,-9635000,-206000,5280000,1680000,-206000,None,None,None,5280000,21214000,None,14210000,14210000,None,USD,254859000,None,None,1148000,102949000,151910000,42611000,19675000,14000,150141000,43112000,None,13805000,7376000,28668000,128000,128000,None,10765000,229899000,None,151910000,214112000,7604000,1676000,49000,3857000,None,None,14000,None,150141000,None,None,13805000,None,24570000,None,1676000,29994000,74281000,None,None,None,1755000,254859000,221488000,None,1000000,USD,-97000,-663000,-97000,None,-31000,-31000,None,-745000,14210000,-3254000,-3126000,250000,128000,None,None,9000,-496000,19531000,97000,496000,None,-3254000,290.42,228.3
3,2019-09-30,USD,12997000,27153000,1418000,11579000,-12815000,-12524000,None,None,-13804000,None,10251000,1341000,-14156000,-9495000,-119000,-1280000,1341000,-212000,None,13400000,None,-1280000,-12836000,None,-12524000,-12524000,None,USD,237376000,None,None,14140000,99676000,137700000,37241000,20849000,14000,135931000,37806000,0,13632000,10630000,30668000,126000,126000,None,10796000,212948000,None,137700000,194581000,7189000,1709000,40000,4520000,None,None,14000,None,135931000,None,None,24428000,None,10796000,None,1709000,30058000,69008000,None,None,None,1755000,237376000,205211000,None,1000000,USD,-68000,219000,-68000,None,-31000,-31000,None,-64000,-12524000,2122000,2221000,274000,145000,None,None,-1000,1508000,30329000,68000,-1508000,None,2122000,247.56,290.42
4,2019-06-30,USD,14518000,13394000,848000,13670000,2492000,3823000,None,None,5443000,None,11660000,1368000,1124000,-12784000,-273000,1620000,1368000,-273000,None,None,None,1620000,4592000,None,3823000,3823000,None,USD,249755000,None,None,13634000,99531000,150224000,37566000,20976000,14000,148455000,37882000,13400000,12652000,8508000,30415000,125000,125000,None,10873000,212830000,None,150224000,195367000,8680000,1741000,41000,4301000,None,None,14000,None,148455000,None,None,12652000,None,23525000,None,1741000,29809000,69116000,None,None,None,1755000,249755000,203875000,None,1000000,USD,-13000,-270000,-13000,None,-30000,-30000,None,840000,3823000,2726000,2769000,-155000,140000,None,None,-2000,-1202000,3214000,13000,1202000,None,2726000,238.0,247.56
5,2019-03-31,USD,10712000,13383000,1430000,9282000,-1530000,5018000,None,None,6735000,None,10761000,1141000,-2671000,-8090000,-241000,1717000,9397000,-241000,None,None,None,1717000,9647000,None,5018000,5018000,None,USD,243463000,None,None,13789000,97062000,146401000,36606000,19941000,14000,144632000,36833000,13400000,13091000,5782000,28963000,123000,123000,None,11000000,205972000,None,146401000,192153000,7605000,1773000,43000,4571000,None,None,14000,None,144632000,None,None,13091000,None,24091000,None,1773000,29720000,68099000,None,None,None,1755000,243463000,197935000,None,1000000,USD,0,535000,-84000,None,-31000,-31000,None,626000,5018000,-909000,-878000,-102000,151000,None,None,-12000,-309000,8497000,84000,309000,None,-909000,214.1,238.0
6,2018-12-31,USD,10428000,12949000,8831000,1597000,-991000,-21533000,0,None,-29850000,None,11675000,1530000,-2521000,-9154000,-229000,-8317000,None,None,None,None,None,-8317000,-27329000,None,-21533000,-21533000,None,USD,235116000,None,None,491000,93733000,141383000,34174000,20013000,14000,139614000,34460000,13400000,12581000,6691000,27976000,123000,123000,None,11151000,197984000,None,127983000,183656000,7091000,1804000,55000,4036000,None,None,14000,None,139614000,None,None,12581000,None,37132000,None,1804000,29779000,65757000,None,None,None,1755000,235116000,190347000,None,1000000,USD,None,1216000,-84000,None,-29000,-29000,None,-567000,-21533000,-2610000,-2497000,-21000,153000,None,None,9000,-2230000,-28640000,84000,2230000,None,-2610000,234.0,214.1
7,2018-09-30,USD,-5692000,13639000,8796000,-5692000,-2447000,-5334000,0,0,-7214000,0,11600000,1086000,-3533000,-18319000,-216000,None,None,None,0,0,0,-1880000,-3681000,0,-5334000,-5334000,None,USD,263998000,13400000,None,23181000,101082000,162916000,42151000,19914000,14000,45361000,42497000,13400000,12150000,9301000,27257000,121000,121000,115786000,11220000,227228000,None,162916000,212296000,5073000,1835000,46000,2820000,0,0,14000,0,45361000,-4000,None,2881000,None,14101000,None,1835000,29839000,73825000,None,None,None,1755000,263998000,221597000,-9828000,1000000,USD,None,-796000,-13000,0,-29000,-29000,None,939000,-5334000,4327000,4369000,25000,656000,0,0,-7000,3509000,13975000,13000,-3509000,None,4327000,241.0,234.0
8,2018-06-30,USD,11007000,13716000,8661000,2346000,-1494000,-972000,0,0,-1682000,0,11613000,1215000,-2709000,-8904000,-197000,None,None,None,0,0,0,-710000,1027000,0,-972000,-972000,None,USD,258168000,499000,None,3341000,96801000,161367000,39683000,18104000,14000,50695000,40130000,13400000,10072000,4974000,25312000,119000,119000,108903000,11364000,222833000,None,147967000,207499000,9820000,1866000,53000,3616000,0,0,14000,0,50695000,0,None,7717000,None,32481000,None,1866000,29940000,71489000,None,None,None,1755000,258168000,212473000,-9721000,1000000,USD,None,718000,-124000,0,-29000,-29000,None,666000,-972000,-2250000,-2097000,-125000,905000,0,0,7000,-4073000,-145000,124000,4073000,None,-2250000,230.2,241.0
9,2018-03-31,USD,9338000,13711000,8746000,592000,-3349000,-232000,0,0,-332000,0,11577000,1024000,-4373000,-7204000,-173000,None,None,None,0,0,0,-100000,4041000,0,-232000,-232000,None,USD,266742000,1248000,None,1860000,96790000,169952000,42861000,16457000,14000,51667000,42996000,13400000,9921000,7224000,22405000,118000,118000,116516000,11395000,230778000,None,156552000,217803000,5093000,1896000,46000,2898000,0,0,14000,0,51667000,0,None,9921000,None,34716000,None,1896000,29628000,74385000,None,None,None,1755000,266742000,225027000,-9584000,1000000,USD,8125000,-53000,8084000,0,-29000,-29000,None,550000,-232000,4716000,-3339000,-29000,899000,0,0,6000,-47000,-234000,41000,47000,None,4716000,228.49,230.2
