,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-05-03,USD,109917000,128891000,57585000,52332000,-12226000,-15135000,None,None,-20265000,-2210000,71306000,None,-18974000,None,1350000,-5086000,None,-1350000,None,None,None,-5086000,59000,None,-15179000,-15135000,None,USD,505612000,None,None,167000,344761000,163061000,None,5665000,91451000,72454000,8302000,None,1169000,8854000,82590000,None,573000,-330000,301052000,196990000,5701000,162361000,None,3459000,112396000,175037000,34421000,None,None,None,None,None,-514000,None,1869000,None,308622000,153544000,149757000,None,262171000,None,None,None,None,None,8854000,None,None,USD,-4102000,-1842000,-4102000,-43000,44910000,44653000,-150000,9003000,-15135000,7060000,-33491000,None,6689000,None,None,-27188000,-1989000,199000,4133000,None,None,None,nan,
1,2020-04-30,USD,109917000,128891000,57585000,52332000,-12226000,-15135000,None,None,-20265000,-2210000,71306000,None,-18974000,None,1350000,-5086000,None,-1350000,None,None,None,-5086000,59000,None,-15179000,-15135000,None,USD,505612000,None,None,None,344761000,163061000,None,5665000,91451000,72454000,8302000,None,1169000,8854000,82590000,None,573000,-330000,301052000,196990000,5701000,162361000,None,3459000,112396000,175037000,34421000,None,None,None,None,None,None,None,1869000,None,308622000,153544000,None,None,262171000,None,None,None,None,None,None,None,None,USD,-4102000,-1842000,-4102000,None,44910000,44653000,-150000,9003000,-15135000,7060000,-33491000,None,6689000,None,None,-27188000,-1989000,199000,4133000,None,None,None,4.01,nan
2,2020-02-02,USD,259649000,226500000,122587000,137062000,39335000,24374000,None,None,31846000,-2166000,103913000,None,33149000,None,1340000,7638000,None,-1340000,None,None,None,7638000,37000,None,24208000,24374000,None,USD,474050000,None,None,1181000,297944000,178272000,None,5685000,90902000,87589000,8505000,400000,847000,538000,78775000,557000,557000,188000,304179000,162192000,6432000,177872000,None,3121000,67110000,147849000,33053000,None,None,None,None,None,-407000,None,1247000,None,311858000,155828000,104544000,None,219169000,None,None,None,None,None,538000,None,32000000,USD,-6146000,-22298000,-6146000,-6252000,-51634000,-51548000,87000,5610000,24374000,-3374000,54320000,None,6149000,None,None,35266000,1830000,-477000,6178000,None,None,None,nan,4.01
3,2020-01-31,USD,259649000,226500000,122587000,137062000,39335000,24374000,None,None,31846000,-2166000,103913000,None,33149000,None,1340000,7638000,None,-1340000,None,None,None,7638000,37000,None,24208000,24374000,None,USD,474050000,None,None,None,297944000,178272000,None,5685000,90902000,87589000,8505000,None,847000,538000,78775000,None,557000,188000,304179000,162192000,6432000,177872000,None,3121000,67110000,147849000,33053000,None,None,None,None,None,None,None,1247000,None,311858000,155828000,None,None,219169000,None,None,None,None,None,None,None,None,USD,-6146000,-22298000,-6146000,None,-51634000,-51548000,87000,5610000,24374000,-3374000,54320000,None,6149000,None,None,35266000,1830000,-477000,6178000,None,None,None,8.45,nan
4,2019-11-03,USD,119768000,118440000,54403000,65365000,7915000,182000,None,None,-114000,-495000,64037000,None,1328000,None,1500000,-203000,None,-1500000,None,None,None,-203000,58000,None,89000,182000,None,USD,518117000,287000,None,892000,365139000,153473000,None,6094000,90451000,63214000,8732000,402000,2896000,2187000,95522000,541000,541000,214000,303770000,204263000,6499000,152784000,None,340000,118350000,183115000,55351000,None,None,None,None,None,-406000,None,2896000,None,313854000,154415000,156533000,None,269617000,None,None,None,None,None,2187000,None,32000000,USD,-7828000,19096000,-7828000,-32000,45092000,45214000,123000,3907000,182000,-2193000,-39579000,None,6529000,None,None,-68266000,32000,-1371000,7825000,None,None,None,nan,8.45
5,2019-10-31,USD,119768000,118440000,54403000,65365000,7915000,182000,None,None,-114000,-495000,64037000,None,1328000,None,1500000,-203000,None,-1500000,None,None,None,-203000,58000,None,89000,182000,None,USD,518117000,287000,None,None,365139000,153473000,None,6094000,90451000,63214000,8732000,402000,2896000,2187000,95522000,None,541000,214000,303770000,204263000,6499000,152784000,None,340000,118350000,183115000,55351000,None,None,None,None,None,None,None,2896000,None,313854000,154415000,None,None,269617000,None,None,None,None,None,None,None,None,USD,-7828000,19096000,-7828000,-32000,45092000,45214000,123000,3907000,182000,-2193000,-39579000,None,6529000,None,None,-68266000,32000,-1371000,7825000,None,None,None,9.24,nan
6,2019-08-04,USD,121963000,118228000,57159000,64804000,8740000,1936000,None,None,2524000,-402000,61069000,None,3735000,None,1203000,678000,None,-1203000,None,None,None,678000,-8000,None,1846000,1936000,None,USD,434095000,292000,None,568000,280795000,153702000,None,5360000,91075000,63032000,9028000,402000,5336000,3468000,71370000,525000,525000,None,284352000,137474000,6239000,153008000,None,372000,73016000,114849000,36255000,None,None,None,None,None,-405000,None,5336000,None,296621000,138278000,99224000,None,209425000,None,None,None,None,None,3468000,None,32000000,USD,-6951000,9545000,-6951000,4000,5403000,5471000,104000,-928000,1936000,3586000,5066000,None,5013000,None,None,-10560000,-13000,-192000,6983000,None,None,None,nan,9.24
7,2019-07-31,USD,121963000,118228000,57159000,64804000,8740000,1936000,None,None,2524000,-402000,61069000,None,3735000,None,1203000,678000,None,-1203000,None,None,None,678000,-8000,None,1846000,1936000,None,USD,434095000,292000,None,None,280795000,153702000,None,5360000,91075000,63032000,9028000,402000,5336000,3468000,71370000,None,525000,None,284352000,137474000,6239000,153008000,None,372000,73016000,114849000,36255000,None,None,None,None,None,None,None,5336000,None,296621000,138278000,None,None,209425000,None,None,None,None,None,None,None,None,USD,-6951000,9545000,-6951000,4000,5403000,5471000,104000,-928000,1936000,3586000,5066000,None,5013000,None,None,-10560000,-13000,-192000,6983000,None,None,None,12.15,nan
8,2019-05-05,USD,114244000,123935000,53326000,60918000,-5095000,-7572000,None,None,-10328000,-312000,70609000,None,-9691000,None,841000,-2683000,None,-841000,None,None,None,-2683000,204000,None,-7645000,-7572000,None,USD,418930000,None,None,202000,268099000,151143000,None,4276000,90416000,61096000,9420000,402000,3932000,992000,62718000,510000,510000,None,282218000,126111000,6267000,150741000,None,359000,68816000,104289000,26710000,None,None,None,None,None,-369000,None,3932000,None,292819000,137563000,77486000,None,205381000,None,None,None,None,None,992000,None,32000000,USD,-9762000,1221000,-9762000,-1747000,22542000,22358000,-184000,-4098000,-7572000,-515000,-13111000,None,4392000,None,None,-6604000,-331000,-115000,9803000,None,None,None,nan,12.15
9,2019-01-31,USD,250541000,101146000,119290000,131251000,34727000,20620000,0,0,28009000,-239000,101146000,None,30105000,0,2311000,7537000,None,None,0,0,0,7537000,215000,0,20472000,20620000,None,USD,295305000,306000,None,2503000,134956000,160349000,None,6163000,89849000,70592000,14725000,402000,2995000,731000,52611000,500000,500000,None,167109000,118198000,6295000,159947000,None,28000,44825000,97685000,25363000,None,None,None,None,None,-92000,None,178561000,None,4755000,None,67859000,None,84038000,None,None,None,None,None,731000,None,32000000,USD,-7418000,-8844000,-53735000,-699000,-47470000,18642000,235000,-4389000,23165000,-3998000,31095000,None,12594000,None,None,33763000,296000,8426000,53036000,None,None,None,23.88,nan
