,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-04-30,USD,297017000,338870000,74032000,222985000,-24072000,-47804000,54234000,None,-45671000,None,210604000,None,-41853000,1036000,7560000,2133000,3381000,-4179000,None,None,None,2133000,361000,None,-47804000,-47804000,None,USD,1921488000,52241000,None,280000,1398700000,522788000,169686000,None,18000,-1184989000,23198000,193594000,195998000,442237000,729590000,None,None,-6703000,296295000,1043243000,140117000,276953000,315712000,220602000,472162000,None,21504000,None,None,None,None,None,None,None,26312000,None,878245000,201363000,472162000,7097000,669110000,None,None,None,1714462000,None,757949000,None,None,USD,169668000,42040000,169668000,196057000,None,-25498000,-46723000,-54107000,-47804000,201034000,59144000,None,14039000,None,21225000,None,17239000,60275000,26389000,None,None,None,104.75,
1,2020-01-31,USD,274895000,317248000,68075000,206820000,-27407000,-47407000,52094000,None,-46156000,None,197079000,None,-42353000,669000,5483000,1251000,4175000,-3286000,None,None,None,1251000,-517000,None,-47407000,-47407000,None,USD,1891138000,56500000,None,12696000,1344811000,546327000,153333000,522554000,18000,-1137185000,23093000,194882000,162511000,241203000,693965000,None,None,-1673000,278126000,943890000,239729000,294945000,414939000,237841000,465321000,None,28144000,None,None,None,None,None,None,None,24678000,None,947248000,183160000,465321000,6695000,650846000,None,None,None,1685167000,None,656142000,None,177000000,USD,29306000,87500000,29306000,-249443000,None,-31302000,-166504000,-25164000,-47407000,43372000,45505000,None,13266000,None,0,None,-78377000,62843000,29975000,None,None,None,78.51,104.75
2,2019-10-31,USD,249502000,293499000,61964000,187538000,-26039000,-46598000,48758000,None,-45560000,None,182777000,None,-43997000,715000,6866000,1038000,4421000,-2943000,None,None,None,1038000,1380000,None,-46598000,-46598000,None,USD,1786365000,60759000,None,4466000,1217003000,569362000,139751000,12956000,18000,-1089778000,19569000,195024000,145365000,197697000,588494000,None,None,-1191000,242544000,869390000,257783000,313579000,456080000,159464000,458578000,None,29099000,None,None,None,None,None,None,None,24617000,None,916975000,169105000,458578000,5955000,628509000,None,None,None,1660313000,None,653777000,None,178000000,USD,-19067000,23281000,-19067000,-308724000,None,-6186000,-125288000,-50892000,-46598000,-26312000,-1869000,None,12655000,None,0,None,-20812000,57959000,12280000,None,None,None,66.19,78.51
3,2019-07-31,USD,235612000,300334000,61176000,174436000,-52029000,-68632000,47517000,None,-67464000,None,191641000,None,-64722000,541000,7273000,1168000,3940000,-3333000,None,None,None,1168000,591000,None,-68632000,-68632000,None,USD,1761836000,65070000,None,4733000,1195157000,566679000,127606000,16563000,18000,-1043180000,18581000,195427000,132830000,224290000,574149000,None,None,-2945000,229370000,943493000,180146000,306182000,525963000,138652000,451934000,None,23452000,None,None,None,None,None,None,None,23896000,None,818343000,167686000,451934000,6527000,621008000,None,None,None,1612786000,None,750253000,None,175000000,USD,-18237000,18778000,-18237000,-301937000,None,-19647000,-85978000,5011000,-68632000,-12220000,26405000,None,8162000,None,53011000,None,-21518000,63371000,14554000,None,None,None,51.72,66.19
4,2019-04-30,USD,213962000,256399000,52019000,161943000,-21121000,-45722000,37183000,None,-44376000,None,164091000,None,-42437000,652000,7156000,1346000,-1939000,-3477000,None,None,None,1346000,1538000,None,-45722000,-45722000,None,USD,1738400000,69490000,None,2660000,1140718000,597682000,118839000,12973000,17000,-974548000,17948000,194775000,138571000,236476000,522607000,16921000,16921000,-3258000,227455000,922126000,184683000,333417000,515648000,130494000,445385000,None,21436000,None,None,None,None,None,None,None,23947000,None,816274000,171699000,445385000,6095000,618111000,None,None,None,1575471000,None,752124000,None,172000000,USD,-313491000,4556000,-313491000,-298254000,None,-13320000,-56137000,-45917000,-45722000,-281535000,45655000,None,11971000,None,42817000,None,57414000,41212000,15237000,None,None,None,56.67,51.72
5,2019-01-31,USD,199732000,209667000,52693000,147039000,-45831000,-66244000,42921000,0,-64935000,0,166746000,None,-62628000,1949000,7101000,1309000,None,None,0,0,0,1309000,-2307000,0,-66244000,-66244000,None,USD,1615417000,74203000,None,11561000,1001055000,614362000,115250000,13903000,17000,-928778000,45810000,195225000,121416000,517811000,516313000,None,None,-1965000,75832000,984521000,164220000,344934000,251203000,174548000,438932000,None,19590000,None,None,None,None,None,None,None,630896000,None,8833000,None,438932000,9696000,484742000,None,None,None,1545088000,None,769014000,None,135000000,USD,-426449000,63628000,-426449000,-633911000,None,-181055000,-569000,-5822000,-66244000,-576322000,34137000,None,12003000,None,579266000,None,-43937000,54496000,11317000,None,None,None,49.45,56.67
6,2018-10-31,USD,178385000,236694000,44965000,133420000,-58309000,-52813000,38404000,0,-58525000,0,153325000,None,-58309000,1949000,-3503000,None,None,None,0,0,0,-5712000,-216000,0,-52813000,-52813000,None,USD,1719436000,79161000,None,1409000,909267000,810169000,99544000,336222000,16000,-862534000,42059000,194533000,106266000,1094133000,434636000,None,None,-3493000,73965000,1265511000,None,536475000,367000,142667000,432572000,0,22059000,0,0,0,0,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,168000000,USD,-415132000,15397000,-227355000,0,560756000,498070000,-67733000,-13371000,-52813000,275338000,4261000,None,10343000,0,0,0,-12394000,43209000,8576000,None,None,None,41.94,49.45
7,2018-07-31,USD,167044000,204764000,36361000,130683000,-37720000,-36714000,33773000,0,-34769000,0,134630000,None,-37720000,1949000,-47000,None,None,None,0,0,0,1945000,2951000,0,-36714000,-36714000,None,USD,1169698000,10139000,None,3864000,426228000,743470000,88356000,303357000,16000,-809721000,36638000,35369000,95712000,818795000,389590000,None,None,-2010000,60415000,968063000,None,697962000,367000,122125000,0,0,16653000,0,0,0,0,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,166000000,USD,-415132000,9076000,-4336000,0,560756000,530480000,-1328000,1928000,-36714000,549366000,22696000,None,7081000,0,0,0,-5634000,37059000,4336000,None,None,None,53.9,41.94
8,2018-04-30,USD,155808000,423366000,58294000,97514000,-267558000,-270687000,70870000,0,-269979000,0,294202000,None,-267558000,1949000,-193000,None,None,None,0,0,0,708000,-2421000,0,-270687000,-271040000,None,USD,614472000,11278000,None,3679000,400346000,-333728000,80428000,296298000,4000,-773007000,37851000,36074000,91292000,269429000,362495000,None,None,1075000,60095000,415733000,None,-381080000,367000,116158000,0,0,13269000,0,0,0,547854000,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,36000000,USD,-415132000,5393000,-6184000,0,560756000,5621000,-2194000,-31741000,-270687000,12360000,14992000,None,8600000,0,0,0,22168000,272013000,6184000,None,None,None,38.63,53.9
9,2018-01-31,USD,148874000,421121500,24188000,291845000,-42349000,-41847500,23431000,0,-40291500,0,122934000,None,-42349000,13708000,150000,None,None,None,0,0,0,2373000,2057500,0,-41847500,-42938500,None,USD,619973000,51454000,None,23349000,411120000,208853000,78976000,350106000,4000,-502320000,34790000,37306000,138159000,256867000,373819000,None,None,3403000,63019000,418795000,None,-390102000,569000,138010000,None,None,23713000,None,None,None,547501000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,32000000,USD,None,18024000,-18761000,467000,None,25728000,-705000,-35640000,-52276000,66192000,54979000,None,31720000,None,26433000,None,-35011000,26905000,18929000,None,None,None,nan,38.63
