,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2019-12-31,USD,None,None,None,None,None,None,None,None,None,69440,None,None,None,None,None,None,None,None,None,None,None,52365,None,None,None,-191547,None,USD,71757074,2191073,None,None,11733188,59954446,None,None,51827,11274536,None,None,328605,1396520,10399071,None,4305420,-4714164,46823596,21169430,1244370,57763373,7290511,4701278,None,6202977,1325647,None,None,None,None,None,None,None,None,None,50587644,1525251,None,None,1334117,None,None,None,None,None,None,None,None,USD,None,391637,-2122029,None,669915,None,None,-202053,None,None,882592,None,None,None,None,None,None,354526,0,None,None,None,1.33,
1,2019-09-30,USD,None,None,None,None,None,None,None,None,None,69440,None,None,None,None,None,None,None,None,None,None,None,52365,None,None,None,-191547,None,USD,None,None,None,None,None,None,None,None,51827,11466252,None,None,328605,None,None,None,None,-4714164,46823596,None,None,57763373,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,None,391637,-2122029,None,669915,None,None,-202053,None,None,882592,None,None,None,None,None,None,354526,0,None,None,None,2.48,1.33
2,2019-06-30,USD,13379860,6776405,8578450,4801410,-86473,695190,67226,None,727790,117486,4139910,None,527050,None,None,51200,193550,None,None,None,None,25600,450366,None,338293,347595,None,USD,69023927,6334348,None,1527397,8072423,60834018,None,3086385,51827,11657630,None,None,4363006,2550152,8072423,2914000,2914000,-3894300,35516368,25922624,995131,58607220,11073200,5409144,None,5362731,543158,None,None,None,None,None,None,None,43101303,None,43101303,None,None,None,0,None,None,None,52827150,None,13623350,None,None,USD,2931405,-415656,-1788215,15106900,-20841,-1648120,68355,343602,1403180,-4535080,1152487,None,1466520,None,None,-159178,466622,47685,16729540,None,None,None,2.886,2.48
3,2019-03-31,USD,6689932,6776405,4289225,2400707,-86473,347595,67226,None,363893,117486,2419954,None,-86473,None,None,None,None,None,None,None,None,25600,450366,None,338293,347595,None,USD,69023927,2226798,None,1527397,8072423,60834018,None,3086385,51827,11849346,None,None,4363006,2550152,8072423,None,None,-3894300,35516368,25922624,995131,58607220,11073200,5409144,None,5362731,543158,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,2931405,-415656,-1788215,None,-20841,47514,68355,343602,347595,-326190,1152487,None,411372,None,None,-159178,466622,47685,4730635,None,None,None,3.5285,2.886
4,2018-12-31,USD,12836650,6012068,8208060,4628590,406258,726590,269340,None,1055690,117486,3977400,None,112510,None,None,329100,926850,None,None,None,None,164548,121586,None,363296,726590,None,USD,67608980,2313380,None,1203611,7664080,59944900,None,2744081,51830,11154160,None,None,4138480,3202532,7664080,2923500,None,-3747100,26843480,33842420,471224,57631519,17479325,6274710,None,5673260,1372014,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,52486020,None,20681860,None,None,USD,4622047,518370,1953790,9244090,-871574,-1743150,68355,-2389400,726590,-3882700,-3573930,None,643780,None,None,-518877,-439027,178294,7290300,None,None,None,3.9,3.5285
5,2018-09-30,USD,6418326,6012068,4104030,2314296,406258,363296,269340,None,527844,117486,1638698,None,406258,None,None,None,None,None,None,None,None,164548,121586,None,363296,363296,None,USD,67608981,2313381,None,1203611,7664081,59944900,None,2744081,51827,11154156,None,None,4138477,3202532,7664081,None,None,-3747101,26843483,33842416,471224,57631519,17479325,6283689,None,5673259,1372014,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,4622047,518370,976896,None,-871574,-871574,68355,-2389400,363296,-1941352,-1786963,None,321889,None,None,-518877,-439027,178294,3634136,None,None,None,2.5,3.9
6,2018-06-30,USD,15302590,6544899,9182160,6120430,1106396,1712990,204996,0,2127350,0,3497650,None,2212790,0,388000,414360,-77530,None,0,0,0,207181,-42722,0,856493,1712990,None,USD,69708210,2390570,None,1105783,8968670,60739530,None,2656314,51830,10427570,None,None,22300,7085235,8968670,4835200,None,-1884750,20950690,46344650,None,58348961,28233035,5641500,None,4153580,351375,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,52144890,None,35318270,None,None,USD,-14368765,-713890,-44260970,-28737530,-465975,47612780,None,-1244778,4603710,5580640,3514390,None,1219890,None,50200290,541867,-288172,61885,15523440,None,None,None,4.05,2.5
7,2018-03-31,USD,7651295,6544899,4591079,3060216,1106396,856493,204996,0,1063674,0,1748824,None,1106396,0,229731,None,None,None,0,0,0,207181,-42722,0,856493,856493,None,USD,69582690,2390571,None,1105783,8843158,60739532,None,2656314,51827,10427565,None,None,22297,7085235,8843158,None,None,-1884751,20950685,46219137,None,58348961,28233035,5641501,None,4153583,351375,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,-14368765,-713890,-21720831,None,-465975,-465975,None,-1244778,856493,-23134337,-314184,None,321568,None,None,541867,-288172,61885,6312200,None,None,None,4.07,4.05
8,2017-12-31,USD,14832710,5552137,8818550,6014160,1864216,2890720,85194,0,3401730,0,2115340,None,3728440,0,-76577,511010,-328200,None,0,0,0,255505,-163351,0,1445361,2890720,None,USD,73600290,82920,None,448058,12788100,60812190,None,2955856,51830,8714580,None,None,10,53353910,12788100,5179690,5179690,242020,9372920,64144450,None,60729273,None,4980120,None,5362360,1807845,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,51803760,None,53353910,None,None,USD,-14368765,555032,-819310,None,-827777,48544730,None,1118555,2890720,51849310,4142750,None,576760,None,50200290,-1159796,-442840,40613,819310,None,None,None,5.9,4.07
9,2017-09-30,USD,7416353,5552137,4409275,3007078,1864216,1445361,85194,0,1700866,0,1057668,None,1864216,0,-76577,None,None,None,0,0,0,255505,-163351,0,1445361,1445361,None,USD,73600291,82917,None,448058,12788101,60812190,None,2955856,51827,8714579,None,None,11,53353910,12788101,5179690,5179690,242020,9372915,64144448,None,60729273,None,4980118,None,5362362,1807845,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,-14368765,555032,-409655,None,-827777,24272366,None,1118555,1445361,25924657,2071377,None,288378,None,25100143,-1159796,-442840,40613,409655,None,None,None,nan,5.9
