,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,22342000,23868000,18316000,4026000,1521000,-1287000,None,None,-1237000,None,4751000,None,-1526000,None,383000,50000,None,-383000,None,None,None,50000,672000,None,-1287000,-1771000,None,USD,89279000,21286000,None,1433000,47599000,41680000,None,3270000,None,-122769000,119000,9978000,947000,9111000,24260000,None,4459000,None,24117000,32901000,None,-10154000,27000,14523000,19124000,7638000,5807000,None,None,None,None,None,None,None,997000,None,56378000,5004000,None,1102000,23339000,None,None,None,None,None,None,None,None,USD,-67000,-1236000,-67000,None,3366000,8329000,None,-218000,-1287000,7688000,-574000,None,2375000,None,None,-927000,436000,151000,128000,None,None,None,2.8,
1,2020-03-31,USD,28857000,7045000,24416000,4441000,-2444000,-2953000,None,None,-2919000,None,6228000,160000,-2604000,817000,475000,34000,-475000,-475000,None,None,None,34000,160000,None,-2953000,-3437000,-484000,USD,83807000,22087000,None,1434000,45954000,17767000,43000,3635000,None,-121482000,110000,9978000,1050000,1592000,22373000,1211000,1211000,None,20762000,24576000,None,5788000,18000,14933000,18775000,6617000,15493000,None,None,None,None,-121482000,-5728000,None,6404000,None,59231000,5413000,18775000,4763000,23581000,None,20086000,None,144977000,83807000,1592000,None,2055158,USD,-135000,-3302000,-135000,23000,-957000,-957000,-317000,-1625000,-2953000,-469000,623000,-14000,2438000,None,None,481000,3606000,367000,158000,3606000,None,-469000,3.97,2.8
2,2019-12-31,USD,36142000,35964000,28208000,7934000,1463000,-257000,None,None,-464000,None,6927000,None,178000,None,429000,-207000,-429000,-429000,None,None,None,-207000,-213000,None,-257000,-853000,None,USD,90560000,22903000,None,1794000,49863000,40697000,600000,4638000,None,-118529000,62000,9978000,1096000,1821000,28178000,4036000,4036000,None,26965000,29549000,0,-11786000,26000,18571000,17038000,7097000,8932000,None,None,None,None,None,-5728000,None,1165000,None,61011000,5873000,18550000,1551000,21685000,None,None,None,145352000,None,1847000,None,2000000,USD,-92000,-692000,-92000,874000,-482000,-696000,-214000,1634000,-257000,377000,1165000,None,1498000,0,0,1051000,-1945000,-110000,330000,None,None,None,2.6,3.97
3,2019-09-30,USD,28333000,6405000,23137000,5196000,-1210000,-1504000,None,None,-1502000,None,4948000,-1000,-1209000,399000,292000,2000,-292000,-292000,None,1058000,None,2000,-1059000,None,-1504000,-1504000,None,USD,91361000,23723000,None,1826000,50533000,21672000,121000,3546000,None,-118272000,2115000,9975000,878000,1673000,26165000,3988000,3988000,None,23401000,28321000,0,7130000,21000,16643000,17217000,8179000,18631000,None,None,None,None,-118272000,-5728000,None,5866000,None,75000,5146000,17217000,7030000,24368000,None,19156000,None,145672000,91361000,1673000,None,2048743,USD,440000,186000,440000,176000,-1505000,1345000,-167000,-1090000,-1504000,652000,-1133000,-19000,1995000,0,2850000,-791000,-1032000,-17000,264000,-1032000,None,652000,4.48,2.6
4,2019-06-30,USD,25798000,6150000,20794000,5004000,-1383000,-1209000,None,None,-1637000,None,4867000,-237000,-1146000,283000,254000,-162000,-254000,-254000,266000,1000000,None,-162000,-1237000,266000,-1475000,-1209000,None,USD,57851000,4662000,None,1473000,34639000,23212000,121000,2882000,2000,-116768000,204000,1745000,778000,1032000,14809000,None,None,None,24324000,21069000,1275000,16805000,17000,12783000,15314000,5781000,11927000,None,None,2000,None,-116768000,-5728000,None,4701000,None,75000,4101000,15314000,4395000,19830000,None,None,None,145706000,57851000,1032000,None,2042493,USD,-1000000,1510000,-5176000,-3117000,2589000,2589000,-167000,-1090000,-1209000,-34000,2553000,74000,1871000,0,-24000,-298000,446000,208000,1059000,446000,None,-34000,6.91,4.48
5,2019-03-31,USD,23912000,5116000,19931000,3981000,-1484000,-1657000,None,None,-1665000,None,4833000,-349000,-1135000,283000,181000,-8000,-181000,-181000,None,None,None,-8000,-349000,266000,-1657000,-1657000,None,USD,54593000,4944000,None,1539000,30340000,24253000,121000,2665000,2000,-115537000,229000,1745000,2300000,965000,13423000,1251000,1251000,None,20575000,21348000,None,17564000,17000,13361000,12517000,5483000,10758000,None,None,2000,None,-115537000,-5728000,None,5965000,None,16000,3815000,12517000,4279000,16917000,None,None,None,145516000,54593000,965000,None,20309908,USD,140000,-1346000,-990000,-743000,2452000,2428000,-24000,-874000,-1657000,-747000,-2185000,-465000,1817000,0,None,8000,-794000,252000,387000,-794000,None,-747000,0.9117,6.91
6,2018-12-31,USD,25928000,5137000,22189000,3739000,-1390000,-1594000,0,0,-1535000,0,4829000,8000,-1398000,308000,145000,-621000,None,None,-680000,0,0,-621000,-137000,-680000,-914000,-1594000,None,USD,50594000,5228000,None,1438000,24794000,25800000,2077000,1687000,2000,-113880000,2077000,1745000,776000,1712000,13217000,None,None,-22000,21645000,21194000,6000,18827000,153000,12642000,9500000,5402000,11530000,None,None,2000,None,-113880000,-5728000,None,782000,None,29400000,None,9500000,None,11577000,None,None,None,145428000,50594000,1712000,None,20249786,USD,1000,1024000,1994000,315000,-4258000,-4258000,31000,532000,-1594000,582000,2846000,846000,1999000,-3321000,-74000,343000,659000,-412000,244000,659000,None,582000,0.57,0.9117
7,2018-09-30,USD,25707000,5648000,21349000,4358000,-1366000,-1426000,0,0,-1566000,0,4785000,-76000,-1290000,863000,200000,None,None,None,0,0,0,-379000,-783000,-239000,-1187000,-1426000,None,USD,55189000,6760000,None,2077000,27884000,27305000,191000,1561000,2000,-112286000,1986000,1916000,544000,1130000,12306000,None,None,-22000,23404000,22546000,19000,18629000,90000,13455000,13592000,5884000,10745000,0,0,2000,0,-112286000,-5728000,None,563000,None,32643000,None,13592000,1795000,15578000,None,None,None,145339000,55189000,1130000,None,20230628,USD,1000,-1135000,455000,1455000,928000,-155000,31000,-394000,-1426000,-523000,-823000,134000,2175000,-1109000,26000,108000,-852000,173000,1000000,-852000,None,-523000,1.5,0.57
8,2018-06-30,USD,27080000,5815000,21513000,5567000,-267000,-350000,0,0,-456000,0,4983000,-19000,-248000,356000,189000,None,None,None,0,476000,0,-106000,-684000,-239000,-350000,-350000,None,USD,57875000,7116000,None,2270000,28236000,29639000,372000,1646000,2000,-110860000,2156000,1916000,594000,1653000,13580000,12500000,12500000,-22000,25664000,22496000,89000,20607000,96000,12581000,12500000,5992000,11934000,0,0,2000,0,-110860000,-5728000,None,683000,None,35379000,None,12500000,1784000,14656000,None,None,None,146247000,57875000,1653000,None,20119318,USD,1000,1043000,-433000,285000,-700000,-1811000,-4000,723000,-350000,377000,2621000,-690000,2256000,-1107000,0,-286000,100000,548000,718000,100000,None,377000,1.55,1.5
9,2018-03-31,USD,25465000,6216000,20858000,4607000,-1626000,4106000,0,0,-1843000,0,5859000,-17000,-1609000,357000,217000,None,None,None,0,0,0,-455000,-234000,5494000,-1388000,4106000,None,USD,59962000,7473000,None,2287000,29031000,30931000,361000,1922000,2000,-110510000,2340000,2392000,647000,1276000,13690000,13001000,13001000,-22000,27176000,22186000,88000,21066000,116000,12752000,13001000,5755000,11768000,0,0,2000,0,-110510000,-5728000,None,735000,None,37776000,None,13001000,1979000,15341000,None,None,None,147189000,59962000,1392000,None,20118336,USD,-14000,-3228000,6669000,6884000,-6757000,-7932000,-70000,-2496000,4106000,-843000,420000,185000,2334000,-1105000,0,-177000,3119000,-5919000,201000,3119000,None,-843000,1.55,1.55
10,2017-12-31,USD,30918000,8527000,23296000,7622000,-620000,-21983000,0,0,-1205000,0,6934000,285000,-905000,1427000,226000,None,None,None,0,166000,0,20778000,-6455000,10988000,-21983000,-21983000,None,USD,66703000,8467000,None,1972000,38904000,27799000,2434000,3137000,2000,-114633000,286000,3491000,12762000,2119000,16970000,20296000,20296000,-5000,28365000,25576000,None,15841000,97000,15887000,19500000,5501000,13833000,0,0,2000,0,-114633000,-5728000,None,804000,None,41127000,None,19500000,None,21934000,None,None,None,148163000,66703000,2216000,None,20060311,USD,-1000,842000,-972000,-7000,763000,-338000,192000,974000,-21983000,774000,2084000,515000,3414000,-1103000,-190000,402000,-1567000,20834000,964000,-1940000,None,774000,2.575,1.55
