,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,351700000,335900000,297900000,53800000,36400000,500000,None,None,2600000,None,34000000,None,15800000,4000000,11000000,2100000,100000,-10900000,None,None,None,2100000,-2300000,None,500000,-800000,None,USD,1134000000,99000000,None,2900000,1013000000,121000000,None,59800000,None,-382700000,69700000,139500000,4300000,157300000,226600000,None,55000000,-700000,530100000,361100000,None,-182500000,None,162000000,625100000,2900000,18000000,None,None,None,None,None,None,None,33500000,None,772900000,None,None,93300000,786400000,None,None,None,None,None,None,None,None,USD,20200000,-4500000,20200000,None,-22000000,-23300000,None,-3600000,500000,49800000,53200000,None,22800000,-1300000,None,None,32700000,4300000,10400000,None,None,None,3.93,
1,2020-03-31,USD,391000000,386600000,345200000,45800000,17100000,-17300000,None,None,-21200000,None,36900000,None,4400000,4500000,12000000,-3900000,300000,-11700000,None,None,None,-3900000,-13900000,None,-17300000,-18500000,None,USD,1138100000,100800000,None,2900000,1017500000,120600000,None,72300000,None,-381900000,72300000,139100000,4200000,107500000,228600000,None,57700000,-900000,521700000,372300000,None,-184300000,None,166600000,625600000,3100000,17400000,None,None,None,None,None,None,None,29500000,None,765800000,None,625600000,92600000,788900000,None,None,None,438400000,None,107500000,None,65000000,USD,1300000,2200000,1300000,5800000,-18800000,-20000000,None,3000000,-17300000,11800000,29700000,None,26300000,-1200000,None,None,1300000,13100000,4500000,None,None,None,1.4,3.93
2,2019-12-31,USD,403000000,399500000,359900000,43100000,26600000,-18400000,None,None,-12600000,None,35100000,None,3500000,4500000,12200000,5800000,300000,-11900000,1600000,None,None,5800000,-4200000,None,-18400000,-19700000,None,USD,1140600000,109100000,None,3100000,1001900000,138700000,None,55900000,None,-363400000,71000000,139900000,4300000,95700000,219800000,53200000,53200000,-400000,560200000,327100000,None,-175300000,None,197800000,614000000,3500000,20500000,None,None,None,None,None,None,None,29600000,None,813500000,25500000,633300000,78900000,782100000,None,None,None,437500000,None,95700000,None,64000000,USD,9400000,-3600000,9400000,37800000,-16500000,-17700000,100000,-27800000,-18400000,16100000,24700000,None,27000000,-1300000,None,None,31700000,9000000,4600000,None,None,None,3.16,1.4
3,2019-09-30,USD,450400000,454300000,412400000,38000000,-280000000,-273300000,None,None,-331100000,None,37100000,None,-3900000,4800000,12800000,-57800000,300000,-12500000,52200000,None,None,-57800000,-314700000,None,-273300000,-274500000,None,USD,1190100000,111000000,None,4300000,1032800000,157300000,None,58400000,None,-343700000,67200000,145700000,4600000,79600000,247900000,61600000,61600000,-600000,585100000,343700000,None,-164400000,None,230300000,639100000,3900000,24000000,None,None,None,None,None,None,None,29600000,None,846400000,None,639100000,79600000,784900000,None,None,None,436600000,None,79600000,None,65000000,USD,2000000,400000,2000000,23800000,-18900000,-20300000,-200000,3300000,-273300000,15900000,34500000,None,38300000,-1200000,None,None,-1600000,264500000,5300000,None,None,None,2.5,3.16
4,2019-06-30,USD,450600000,446600000,409700000,40900000,45300000,-6400000,None,None,-7100000,None,31900000,None,4000000,5000000,12700000,-700000,200000,-12500000,None,None,None,-700000,1400000,None,-6400000,-7700000,None,USD,1503000000,200900000,None,2000000,1072000000,431000000,None,58800000,None,-69200000,124600000,258700000,4300000,63700000,232500000,62400000,62400000,-400000,712400000,326700000,None,-93600000,None,231000000,636500000,5000000,23800000,None,None,None,None,None,None,None,30000000,None,1176300000,None,636500000,79100000,839500000,None,None,None,435600000,None,63700000,None,65000000,USD,3700000,-6100000,3700000,16500000,-19600000,-21100000,-200000,-3100000,-6400000,1300000,18500000,None,39700000,-1300000,None,None,-13000000,6600000,8200000,None,None,None,3.6,2.5
5,2019-03-31,USD,433000000,432700000,182600000,250400000,43000000,-9300000,None,None,-11200000,None,159600000,None,700000,4900000,12700000,-1900000,-12500000,-12500000,None,None,None,-1900000,1000000,None,-9300000,-10500000,None,USD,1499800000,204700000,None,8300000,1062200000,437600000,None,56900000,None,-61500000,125500000,258500000,4200000,62400000,233300000,64100000,64100000,-800000,719100000,313300000,None,-90600000,None,218100000,615000000,4900000,29700000,None,None,None,None,None,None,None,26000000,None,1186500000,None,631200000,72300000,828900000,None,None,None,434900000,None,62400000,None,65000000,USD,700000,7500000,700000,4600000,-19300000,-20500000,-200000,-500000,-9300000,16400000,36400000,None,37200000,-1200000,None,None,-8900000,5400000,3900000,None,None,None,5.09,3.6
6,2018-12-31,USD,447013000,445683000,315780000,131233000,1330000,-20056000,0,0,-21720000,0,87660000,None,1330000,4909000,-12259000,None,None,None,-1500000,0,0,-1664000,-23050000,0,-20056000,-21115000,None,USD,1390868000,208791000,None,13445000,943870000,381998000,None,42883000,6000,-51005000,127361000,258365000,42943000,45974000,193859000,58687000,58687000,-870000,572719000,308050000,None,-85158000,None,225419000,609270000,4914000,22160000,None,None,None,None,None,None,None,None,None,None,None,622650000,None,None,None,None,None,433867000,None,62187000,None,62000000,USD,None,-3243000,3313000,-105357000,-33272000,-34839000,-532000,12822000,-20056000,27897000,58503000,None,37334000,-1239000,84447000,None,24350000,6567000,7570000,None,None,None,3.68,5.09
7,2018-09-30,USD,461589000,447970000,324255000,137334000,13619000,2181000,0,0,2851000,0,82234000,None,13619000,4681000,-11839000,None,None,None,0,0,0,670000,-10768000,0,2181000,927000,None,USD,1406534000,212009000,None,19365000,938018000,403516000,0,21357000,6000,-29710000,155017000,274291000,44902000,18077000,172977000,53587000,53587000,425000,562659000,312673000,None,-82784000,0,249727000,596432000,5366000,25534000,0,0,0,65000000,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,65000000,USD,None,-5702000,-76553000,0,109000,-1871000,-365000,9688000,2181000,-60657000,17725000,None,36800000,-1239000,84193000,0,-26066000,54000,27721000,None,None,None,8.02,3.68
8,2018-06-30,USD,376899000,364639000,263555000,113344000,12260000,13485000,0,0,-1061000,0,65428000,None,12260000,3890000,-11070000,None,None,None,0,-440000,0,-14546000,-13321000,0,13485000,12024000,None,USD,1324102000,186857000,None,21480000,861840000,397262000,0,13436000,6000,-30652000,142498000,264025000,39726000,78734000,151964000,46077000,46077000,16000,501120000,332374000,None,-53620000,0,208952000,562848000,5040000,29057000,0,0,0,65000000,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,61000000,USD,None,-1690000,-96819000,0,-20054000,-21907000,-615000,-978000,13485000,-103964000,14846000,None,31766000,-1239000,84569000,0,-15323000,-13143000,23543000,None,None,None,9.93,8.02
9,2018-03-31,USD,327581000,319539000,233444000,94137000,8042000,-797000,0,0,-1179000,0,57219000,None,8042000,3694000,-10337000,None,None,None,0,440000,0,-382000,-9221000,0,-797000,-2036000,None,USD,1210394000,91110000,None,18763000,776013000,369381000,0,12776000,6000,5302000,91109000,302539000,31037000,182698000,114501000,41611000,41611000,639000,406997000,378711000,None,-24268000,0,154643000,567323000,4873000,14316000,0,0,0,65000000,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,54000000,USD,None,1746000,-1712000,0,-3833000,79528000,-18000,4633000,-797000,92019000,14189000,None,25182000,-1239000,84569000,0,-16137000,-1161000,7580000,None,None,None,9.79,9.93
