,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-03-31,USD,27655000,None,22335000,5320000,None,-2569000,None,None,-2322000,None,4818000,None,257000,11000,None,247000,None,None,None,None,None,123500,None,None,None,-1284500,None,USD,95379000,None,None,753000,15057000,80322000,None,None,53143000,16695000,751000,0,None,22514000,14306000,None,None,5316000,28586000,65369000,1424000,80322000,20224000,12301000,None,8578000,4604000,None,None,None,None,None,-2821000,None,None,None,30010000,None,None,None,751000,None,None,None,7989000,None,42738000,None,None,USD,None,-2059500,70500,-2149000,None,-2322000,None,170000,-1320000,8143000,5261000,None,1973000,-2386000,64000,None,None,2399000,507000,None,None,None,2.2153,
1,2019-12-31,USD,None,None,None,None,None,None,None,None,None,None,None,None,None,11000,None,None,None,None,None,None,None,123500,None,None,None,-1284500,None,USD,None,None,None,None,None,None,None,None,53143000,16695000,751000,None,None,None,None,None,None,5316000,28586000,None,None,80322000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,None,-2059500,70500,None,None,None,None,170000,None,None,5261000,None,None,None,None,None,None,2399000,0,None,None,None,2.6832,2.2153
2,2019-09-30,USD,37713000,18152000,31169000,6544000,704500,1249000,None,None,1375000,None,5208000,None,1156000,-36500,None,126000,None,None,None,None,None,63000,-17000,None,624500,624500,None,USD,103110000,None,None,None,18947000,84163000,None,1787000,53143000,20536000,631000,None,None,13123000,18316000,None,None,5316000,29428000,72265000,1417000,84163000,24699000,21568000,None,10863000,8723000,None,None,None,None,None,None,None,30845000,None,30845000,None,None,None,631000,None,None,None,5168000,None,37822000,None,16000000,USD,-1266000,1235000,-1398500,-2527000,None,-1050000,None,122500,1249000,-1248000,1299500,None,1014000,-1114000,64000,1057000,-3018000,747000,270000,None,None,None,2.6517,2.6832
3,2019-06-30,USD,18856500,18152000,15584500,3272000,704500,624500,None,None,687500,None,2604000,None,704500,-36500,None,None,None,None,None,None,None,63000,-17000,None,624500,624500,None,USD,103110000,None,None,None,18947000,84163000,None,1787000,53143000,20536000,631000,None,None,13123000,18316000,None,None,5316000,29428000,72265000,1417000,84163000,24699000,21568000,None,10863000,8723000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,-1266000,1235000,-1398500,None,None,-525000,None,122500,624500,-624000,1299500,None,507000,-557000,None,1057000,-3018000,747000,135000,None,None,None,2.783,2.6517
4,2019-03-31,USD,31786000,15735000,26306000,5480000,158000,1516000,None,None,1685000,None,4696000,None,283000,234000,None,169000,None,None,None,None,None,84500,684500,None,758000,1516000,None,USD,100169000,None,None,809000,16205000,83964000,None,1955000,53063000,20401000,659000,0,None,14742000,15546000,None,None,5316000,30211000,69958000,None,83964000,24817000,15734000,None,13030000,6253000,None,None,None,None,None,-2821000,None,30211000,None,30211000,None,None,None,659000,None,None,None,8005000,None,39188000,None,None,USD,-1146000,-1468000,-1399000,-521000,None,-1588000,None,-135000,4273000,-821000,2166000,None,2114000,-1588000,None,-123500,1604500,226500,878000,None,None,None,2.99,2.783
5,2018-12-31,USD,15893000,15735000,13153000,2740000,158000,758000,None,None,842500,None,2348000,None,158000,234000,None,None,None,None,None,None,None,84500,684500,None,758000,758000,None,USD,100169000,None,None,1049000,16205000,83964000,None,1955000,53063000,20401000,659000,None,None,14371000,15546000,None,None,5316000,30211000,69958000,None,83964000,24817000,16165000,None,13030000,6253000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,-1146000,-1468000,-1464500,None,None,-476500,None,-135000,758000,-555500,1385500,None,507500,-476500,None,-123500,1604500,226500,324500,None,None,None,3.01,2.99
6,2018-09-30,USD,34795000,17237000,30005000,4790000,160500,2757000,None,None,2732000,None,4763000,None,250000,-147000,None,-25000,None,None,None,None,None,-12500,1205500,None,1378500,2757000,None,USD,102663000,None,None,1951000,19262000,83401000,None,1996000,53063000,19838000,596000,None,None,15982000,18666000,None,None,5316000,30612000,72051000,None,83401000,22360000,19288000,None,12970000,9189000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,5184000,None,37842000,None,None,USD,873000,296500,1530000,1759000,None,-635000,None,10500,2757000,290000,-605000,None,1099000,-635000,None,-53000,-1717000,-779000,229000,None,None,None,3.5,3.01
7,2018-06-30,USD,17397500,17237000,15002500,2395000,160500,1378500,None,None,1366000,None,2381500,None,160500,-147000,None,None,None,None,None,None,None,-12500,1205500,None,1378500,1378500,None,USD,102663000,None,None,None,19262000,83401000,None,1996000,53063000,19838000,596000,None,None,15482000,18666000,None,None,5316000,30612000,72051000,None,83401000,22360000,19288000,None,12970000,9189000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,873000,296500,765000,None,None,-317500,None,10500,1378500,145000,-302500,None,549500,-317500,None,-53000,-1717000,-779000,114500,None,None,None,3.38,3.5
8,2018-03-31,USD,30908000,15295500,27015000,3893000,158500,2521000,0,0,2482000,0,4372000,None,217000,-398000,0,-39000,None,None,0,0,0,-19500,1082500,0,1260500,2521000,None,USD,100399000,None,None,1152000,19120000,81279000,None,2310000,53063000,17716000,775000,None,None,17382000,18345000,None,None,5316000,31494000,68905000,None,81279000,22601000,15912000,None,12933000,8596000,None,None,None,None,None,-2821000,None,None,None,None,None,None,None,None,None,None,None,8005000,None,37793000,None,None,USD,524000,800500,2527000,4234000,None,-1112000,None,64000,6190000,7114000,5699000,None,2138000,-1112000,None,33500,-149500,-807000,1707000,None,None,None,3.12,3.38
9,2017-12-31,USD,15454000,15295500,13507500,1946500,158500,1260500,0,0,1241000,0,2186000,None,158500,-398000,0,None,None,None,0,0,0,-19500,1082500,0,1260500,1260500,None,USD,100399000,None,None,1152000,19120000,81279000,None,2310000,53063000,17716000,775000,None,None,15192000,18345000,None,None,5316000,31494000,68905000,None,81279000,22601000,16507000,None,12933000,8596000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,524000,800500,-41000,None,None,-317500,None,64000,1260500,1739500,1780500,None,542000,-317500,None,33500,-149500,-807000,565000,None,None,None,2.72,3.12
