,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2019-12-31,CHF,None,None,None,None,None,-6631900,None,None,-6825740,None,3923120,None,-7259140,3251,None,-193840,433400,None,None,None,None,33778.0,None,None,None,-1513800,None,CHF,9226151,6765613,None,219620,3190018,6036133,0,0,1650380.0,-152778389,911949.0,0,20001.0,1384720,2278069,0,0,-27565,66672.0,2373865,0,-729480,0,0,0,0,906501,0,0,0,0,0,0,0,6852286,0,6852286,0,0,0,911949,0,0,0,157191710,0,1384720,0,0,CHF,None,50482,-690221,8941,None,7377960,3157,-44284,-6631900,-4008490,-1569418,None,30820,None,9793640,None,None,-51209,3018640,None,None,None,1.62,
1,2019-09-30,CHF,None,None,None,None,None,None,None,None,None,None,None,None,None,3251,None,None,None,None,None,None,None,33778.0,None,None,None,-1513800,None,CHF,None,None,None,None,None,None,None,None,1650380.0,-152778389,911949.0,None,20001.0,None,None,None,None,-27565,66672.0,None,None,-729480,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,CHF,None,50482,-690221,8941,None,None,3157,-44284,None,None,-1569418,None,None,None,None,None,None,-51209,0,None,None,None,2.75,1.62
2,2019-06-30,CHF,0,0,0,0,0,-3604300,0,0,-3865700,0,2797270,0,-4107560,4000,0,-261390,241860,None,0,0,0,-130697.0,0,0,0,-1802151,0,CHF,11733452,5157870,None,0,2781414,8952038,0,0,1306892.0,-149712564,998565.0,0,238069.0,5791929,1782849,0,0,-37345,19851.0,6317661,16001,3794167,0,0,0,0,837283,0,0,0,0,0,0,0,5415791,0,5415791,0,0,0,998565,0,0,0,157395060,0,5791930,0,0,CHF,0,-499526,-810156,8941,-731664,7237810,-479337,-109229,-3604300,398720,-2627298,0,14040,0,9659820,0,0,-232949,1620310,0,0,0,2.77,2.75
3,2019-03-31,CHF,None,None,None,None,None,None,None,None,None,None,None,None,None,4000,None,None,None,None,None,None,None,-130697.0,None,None,None,-1802151,None,CHF,None,None,None,None,None,None,None,None,1306892.0,-149712564,998565.0,None,238069.0,None,None,None,None,-37345,19851.0,None,None,3794167,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,CHF,None,-499526,-810156,8941,-731664,None,-479337,-109229,None,None,-2627298,None,None,None,None,None,None,-232949,0,None,None,None,0.3453,2.77
4,2018-12-31,CHF,0,0,0,0,0,-3690870,0,0,-3502510,0,684240,0,-669790,0,0,188360,-2832720,None,0,0,0,202885.25,0,0,0,-3690870,0,CHF,9876870,3535240,None,0,6227220,3649650,0,0,710340.0,-146303400,0.0,0,226870.0,5393210,4562610,0,0,-44010,33900.0,6064860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149286720,0,5393210,0,1000000,CHF,0,0,-1822960,68160,0,5732600,-2442570,0,-11496400,-9580160,-13232160,0,72710,0,17447500,0,0,0,1891120,0,0,0,0.456,0.3453
5,2018-09-30,CHF,0,0,0,0,0,-2980520,1951411.76,0,-2989240,0,1017240,0,-2867290,0,144114.11,-8730,-13150,None,0,0,0,-9019.87,0,0,0,-2980520,0,CHF,8051410,1663760,None,892439.96,8792430,-741020,0,3767249.51,481320.0,-142514190,2115808.6,0,252350.0,5257880,6703960,0,0,-46160,44950.0,6074350,0,0,0,0,0,0,1219098.60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141338020,0,5257880,0,1000000,CHF,0,0,48520,68160,0,1822350,-2259430,0,-7805540,-9715490,-11303570,0,61660,0,12285850,0,0,0,19640,0,0,0,0.365,0.456
6,2018-06-30,CHF,0,0,0,0,0,-3079530,1951480.34,0,-3088260,0,1083710,0,-3113110,0,164162.39,-8730,122410,None,0,0,0,-8842.82,0,0,0,-3079530,0,CHF,7467700,1663760,None,874164.69,11016150,-3548450,0,3674159.37,122350.0,-139951610,1449759.06,0,252350.0,4421770,9451050,0,0,-52080,206590.0,5268280,0,0,0,0,0,0,2349574.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136332890,0,4421770,0,0,CHF,0,0,-19640,0,0,-3095120,-1343940,0,-4825020,-10551600,-7285260,0,46310,0,5282430,0,0,0,19640,0,0,0,0.78,0.365
7,2018-03-31,USD,0,0,0,0,0,-1826973,3540964.56,0,-1836110.53,0,5149764.20,0,-4504856.60,0,418540.18,None,None,None,0,0,0,-9137.53,0,0,0,-1826973,0,USD,18995990.61,1959685.38,None,1445970.31,20696525.08,-1479662.97,0,5152057.58,146775.74,-144286152.40,3313920.85,0,2051420.21,15222248.90,11867047.37,0,0,-18746.07,276351.19,15888152.06,0,0,0,0,5311446.85,0,1630586.67,0,0,0,0,0,0,0,0,0,0,0,5062558.78,0,0,0,0,0,156330936.74,0,14509801.78,0,0,USD,0,0,0,0,0,3565044.95,-934561.44,0,-1826973,-2427967.34,-5213617.33,0,26889.77,0,6057285.44,0,0,0,0,0,0,0,1.6,0.78
8,2017-12-31,USD,0,-9902579,0,0,-13480543,-10069154,4321000,0,-10079201,0,5457000,None,-15096139,0,396000,None,None,None,0,0,0,7000.0,6700257,0,-10069154,-10069154,None,USD,18306000,1673000,None,753000,20526000,-2218788,183488,4981000,19871000.0,-139689016,3902000.0,None,1752000.0,15376000,10706000,4660964,4660964,-33912,260000.0,16282774,78717,-3890517,None,247595,5734000,None,1061000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2000000,USD,54972,-883740,-102000,-150416,-2141689,8442000,-2802104,307526,-25048203,-16576525,-24910995,None,125997,None,13380263,None,96000,491655,6000,None,None,None,0.5905,1.6
9,2017-09-30,USD,0,26164745,0,0,-26164745,-34768161,4240000,0,-34792734,0,5558000,None,-26164745,-236000,420000,None,None,None,0,0,0,-24573.0,-8627989,0,-34768161,-34768161,None,USD,23663000,1681000,None,772000,24156000,-477899,None,5914000,18303000.0,-131530523,5489000.0,None,1760000.0,20849000,11649000,11032733,11032733,-28228,282000.0,20945841,76702,-2106999,None,299970,6840000,None,1187000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,None,-28021,-63135,9142,-1025042,7395000,-282696,704329,-6012481,-6040453,-4762005,None,31062,None,None,None,36000,522576,0,None,None,None,0.82,0.5905
