,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,10749000,42088000,None,None,-23293000,-23572000,28007000,None,-23572000,None,14081000,None,-31339000,None,-592000,None,None,592000,None,None,None,None,7175000,None,-23572000,-23572000,None,USD,655481000,None,None,None,228709000,426772000,None,4027000,6000,-610517000,138406000,None,3891000,485819000,68150000,None,None,183000,41464000,610126000,None,426772000,112901000,1865000,None,None,6339000,None,None,None,None,None,None,None,3891000,None,45355000,28803000,None,None,160559000,None,None,None,None,None,None,None,None,USD,74173000,-6807000,74173000,None,None,211153000,None,534000,-23572000,254470000,-30856000,None,871000,None,None,None,None,-1849000,1841000,None,None,None,29.58,
1,2020-03-31,USD,5723000,52339000,None,None,-38485000,-37724000,34570000,None,-37724000,None,17769000,None,-46616000,None,-1559000,None,1559000,1559000,None,None,None,None,7333000,None,-37724000,-37724000,None,USD,466737000,None,None,None,232170000,234567000,None,3515000,5000,-586945000,141771000,None,2391000,232850000,68869000,None,None,694000,39240000,425106000,None,234567000,182143000,1832000,None,None,10394000,None,None,None,None,None,None,None,2391000,None,41631000,27179000,None,1000,163301000,None,None,None,820813000,None,414993000,None,55000000,USD,46464000,458000,46464000,48616000,None,3047000,None,-14876000,-37724000,-4575000,-54086000,None,798000,None,3047000,None,None,-1328000,2152000,None,None,None,19.83,29.58
2,2019-12-31,USD,12284000,51706000,34789000,-22505000,-38633000,-37770000,34789000,None,-37770000,None,16917000,None,-39422000,None,-1645000,None,1645000,1645000,None,None,None,None,7000,None,-37770000,-37770000,None,USD,508885000,None,None,None,246448000,262437000,None,2682000,5000,-549221000,163208000,None,1726000,238183000,59963000,None,None,107000,39648000,463844000,3667000,262437000,218957000,418000,None,None,5843000,None,None,None,None,None,None,None,5393000,None,45041000,29081000,None,1000,186485000,None,None,None,811546000,None,457140000,None,50000000,USD,7818000,57592000,7818000,18419000,None,84569000,None,14692000,-37770000,133411000,41024000,None,782000,None,131824000,None,-107000,5835000,1691000,None,None,None,29.61,19.83
3,2019-09-30,USD,3848000,38436000,22702000,-18854000,-33894000,-32941000,22702000,None,-32941000,None,15734000,None,-34588000,None,-1680000,None,1680000,1680000,None,None,None,None,-33000,None,-32941000,-32941000,None,USD,372359000,None,None,None,162369000,209990000,None,1558000,5000,-511451000,82380000,None,1725000,104772000,66787000,None,None,39000,27756000,339211000,3667000,209990000,227844000,311000,None,None,6624000,None,None,None,None,None,None,None,5392000,None,33148000,17650000,None,1000,95582000,None,None,None,721397000,None,332616000,None,50000000,USD,-122302000,-1085000,-122302000,8910000,None,43353000,None,623000,-32941000,-105833000,-26884000,None,727000,None,47255000,None,-299000,6091000,2245000,None,None,None,22.74,29.61
4,2019-06-30,USD,2330000,37979000,23565000,-21235000,-35024000,-33786000,23565000,None,-33786000,None,14414000,None,-35649000,None,-1931000,None,1931000,1931000,None,None,None,None,-68000,None,-33786000,-33786000,None,USD,355625000,None,None,None,162563000,193062000,None,1033000,5000,-478510000,75912000,None,1711000,210605000,72867000,None,None,45000,26007000,324240000,3667000,193062000,107325000,12000,None,None,3981000,None,None,None,None,None,None,None,5378000,None,31385000,17432000,None,1000,89696000,None,None,None,671522000,None,317930000,None,49000000,USD,76110000,597000,76110000,128967000,None,2369000,None,987000,-33786000,52673000,-25806000,None,693000,None,3902000,None,-12000,5715000,1513000,None,None,None,24.74,22.74
5,2019-03-31,USD,2069000,33331000,15842000,-13773000,-26564000,-29249000,15842000,None,-29249000,None,17489000,None,-31262000,None,2057000,None,2057000,2057000,None,None,None,None,-44000,None,-29249000,-29249000,None,USD,378916000,None,None,None,161754000,217162000,None,1911000,5000,-444724000,105866000,None,5378000,157932000,41029000,3519000,3519000,29000,26471000,347067000,3667000,217162000,184133000,0,14859000,None,6557000,None,None,None,None,None,None,None,5378000,None,31849000,18378000,None,1000,120725000,None,None,None,661852000,None,342065000,None,49000000,USD,50626000,-1435000,50626000,51344000,None,1533000,None,-5651000,-29249000,23156000,-29003000,None,628000,None,1533000,None,30000,6674000,718000,None,None,None,24.45,24.74
6,2018-12-31,USD,6119000,32372000,19194000,-13075000,-26253000,-25055000,19195000,0,-25055000,0,13178000,None,-26253000,0,0,None,None,None,0,0,0,0,1198000,0,-25055000,-25055000,None,USD,420386000,None,None,2873000,184224000,236162000,None,20910000,5000,-416278000,115907000,None,1711000,134776000,35900000,None,None,-29000,40232000,374776000,3667000,236162000,234179000,30000,None,None,5327000,None,None,None,None,None,None,None,None,None,None,None,32417000,None,None,None,None,None,652464000,None,368955000,None,47000000,USD,-7208000,18614000,-8604000,-48333000,-236000,30352000,None,1667000,-25055000,23075000,1327000,None,880000,None,87797000,None,13000,5208000,1415000,None,None,None,22.75,24.45
7,2018-09-30,USD,14519000,30777000,17443000,-2924000,-16258000,-15238000,19195000,0,-15238000,0,13334000,None,-16258000,0,0,None,None,None,0,0,0,0,1020000,0,-15238000,-15238000,None,USD,387630000,0,None,5018000,163181000,224449000,0,11955000,5000,-391223000,104401000,0,5378000,111701000,26086000,None,None,-82000,39699000,342553000,None,224449000,225791000,43000,32694000,0,5040000,0,0,0,0,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,47000000,USD,-12697000,1194000,-13622000,0,-211000,1240000,None,-623000,-15238000,-20223000,-7841000,None,839000,0,48471000,0,319000,5668000,938000,None,None,None,31.82,22.75
8,2018-06-30,USD,7372000,47029000,32718000,-25346000,-39657000,-38723000,19195000,0,-38723000,0,14311000,None,-39657000,0,0,None,None,None,0,0,0,0,934000,0,-38723000,-38723000,None,USD,393530000,0,None,3795000,162198000,231332000,0,10507000,5000,-375985000,105234000,0,5378000,131924000,24020000,32944000,32944000,1000,39915000,348237000,None,231332000,212156000,362000,32944000,0,4661000,0,0,0,0,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,47000000,USD,-70291000,2908000,-71681000,0,-207000,2667000,None,2539000,-38723000,-85747000,-16733000,None,784000,0,48471000,0,569000,15189000,1390000,None,None,None,35.83,31.82
9,2018-03-31,USD,3927000,35486000,21300000,-17373000,-31559000,-30939000,19195000,0,-30939000,0,14186000,None,-31559000,0,0,None,None,None,0,0,0,0,620000,0,-30939000,-30939000,None,USD,403982000,0,None,3060000,156467000,247515000,0,14231000,4000,-337262000,92283000,0,1619000,217671000,30994000,33190000,33190000,-52000,39551000,362812000,None,247515000,141150000,931000,33190000,0,8996000,0,0,0,0,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,46000000,USD,41826000,1953000,40820000,0,-203000,52681000,None,-2013000,-30939000,71041000,-22460000,None,751000,0,48474000,0,-252000,8040000,1011000,None,None,None,33.15,35.83
10,2017-12-31,USD,3667000,188266000,39392000,-69431000,-78238000,-93725000,26424000,0,-120324000,0,50502000,None,-93184000,0,-978000,None,None,None,0,0,0,0,-541000,0,-79751000,-79751000,None,USD,373260000,0,None,2381000,165180000,208080000,0,25187000,4000,-305850000,95042000,0,1619000,146630000,36707000,40931000,40931000,-76000,39442000,332199000,None,208080000,182509000,679000,33431000,0,4020000,0,0,0,0,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,40000000,USD,-181766000,80192000,-183810000,0,-1364000,154534000,None,-8941000,-120324000,-38693000,-9417000,None,2683000,0,154143000,0,-591000,37564000,2059000,None,None,None,30.73,33.15
11,2017-09-30,USD,6282000,-83817000,32347000,0,-108871000,-160000,20396000,0,0,0,0,None,-634000,0,0,None,None,None,0,0,0,0,474000,0,-107425000,-107425000,None,USD,339127000,0,None,2030000,161339000,177788000,0,22520000,4000,0,98176000,0,1619000,86542000,29496000,33667000,33667000,-23000,39092000,0,None,177788000,209149000,695000,33667000,0,6976000,0,0,0,0,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,41000000,USD,-28110000,-3906000,-210488000,0,-775000,96055000,None,-2555000,-84135000,-57554000,15652000,None,0,0,96685000,0,607000,4274000,1770000,None,None,None,24.01,30.73
12,2017-06-30,USD,3097000,29212000,28561000,0,98273000,4658000,17318000,0,0,0,0,None,4512000,0,0,None,None,None,0,0,0,0,146000,0,97949000,97949000,None,USD,368849000,0,None,2257000,183845000,185004000,0,25530000,4000,0,101281000,0,1619000,144096000,48686000,48878000,48878000,-67000,39358000,0,None,185004000,180699000,820000,33878000,0,8156000,0,0,0,0,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,41000000,USD,-180623000,-8989000,-181641000,0,53000,96785000,None,3367000,-57536000,-207456000,43629000,None,0,0,96685000,0,732000,5123000,1018000,None,None,None,16.78,24.01
13,2017-03-31,USD,682000,0,30678000,0,-31097000,-31097000,19021000,0,0,0,0,None,-30627000,0,0,None,None,None,0,0,0,0,-470000,0,-31097000,-31097000,None,USD,395041000,0,None,1289000,188580000,206461000,0,20054000,4000,0,104364000,0,1619000,351552000,50287000,15000000,15000000,None,39636000,0,None,206461000,0,945000,33929000,0,15233000,0,0,0,0,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,36000000,USD,-180623000,89753000,-656000,0,-443000,97094000,None,488000,-31097000,166229000,69791000,None,0,0,97102000,0,857000,10873000,656000,None,None,None,22.32,16.78
14,2016-12-31,USD,898000,103241000,39394000,-50926000,-133294000,-76163000,26835000,0,-97183000,0,46262000,None,-76023000,0,-978000,None,None,None,0,0,0,0,-140000,0,-133289000,-133336000,None,USD,229182000,0,None,1772000,94575000,134607000,0,18443000,4000,-185526000,26396000,0,1621000,185323000,33083000,45096000,45096000,None,40378000,187183000,None,134607000,0,88000,35096000,0,4640000,0,0,0,0,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,32000000,USD,-181766000,15092000,-3473000,0,-560000,97161000,None,12781000,-97183000,43442000,-50246000,None,1202000,0,97488000,0,931000,27837000,3493000,None,None,None,16.23,22.32
15,2016-09-30,USD,962000,0,21846000,0,55148000,-1978000,10832000,0,0,0,0,None,-1965000,0,0,None,None,None,0,0,0,0,-13000,0,55148000,55148000,None,USD,242153000,0,None,2133000,71977000,170176000,0,10039000,4000,0,26172000,0,1632000,199874000,13757000,10000000,10000000,None,37072000,0,None,170176000,320000,1122000,32048000,0,3718000,0,0,0,0,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,36000000,USD,-180623000,6129000,-4436000,0,-560000,97699000,None,-69000,-57807000,-17776000,-36569000,None,0,0,97488000,0,-103000,3800000,2817000,None,None,None,13.48,16.23
16,2016-06-30,USD,3388000,0,22342000,0,-19042000,-1297000,10430000,0,0,0,0,None,-1361000,0,0,None,None,None,0,0,0,0,64000,0,-19042000,-19042000,None,USD,249602000,0,None,2053000,62272000,187330000,0,7877000,4000,0,25875000,0,1643000,217650000,13721000,10000000,10000000,None,26741000,0,None,187330000,320000,1195000,22676000,0,5844000,0,0,0,0,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,35000000,USD,None,6393000,-3723000,0,-560000,97721000,None,-523000,-36787000,-11554000,-19528000,None,0,0,97684000,0,-176000,5309000,2104000,None,None,None,24.4,13.48
17,2016-03-31,USD,805000,0,18457000,0,0,-17745000,8882000,0,0,0,0,None,-17839000,0,0,None,None,None,0,0,0,0,94000,0,0,0,None,USD,248808000,0,None,1554000,47445000,201363000,0,7313000,4000,0,25574000,0,1619000,229204000,10222000,None,None,None,15003000,0,None,None,320000,None,11649000,0,2909000,0,0,0,0,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,22000000,USD,None,2358000,-2562000,0,None,98215000,None,None,-17745000,None,-9629000,None,0,0,98182000,0,-89000,None,943000,None,None,None,34.54,24.4
18,2015-12-31,USD,792000,36941000,13017000,-17217000,-35312000,-72900000,5826000,0,-72900000,0,18095000,None,-35312000,0,34000,None,None,None,0,0,0,0,-37588000,0,-72900000,-73294000,None,USD,149363000,None,None,466000,32562000,116801000,25321000,5544000,4000,-88348000,25637000,None,2248000,143180000,6925000,10000000,10000000,None,2130000,144985000,None,-83114000,320000,1019000,35096000,None,1381000,None,None,None,199915000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,3000000,USD,-181766000,2090000,-1431000,20000,-500000,139391000,-1826000,3153000,-72900000,132517000,-5443000,None,471000,None,6000,None,-1019000,40967000,1431000,None,None,None,nan,34.54
19,2015-09-30,USD,670000,0,7920000,0,0,0,3850000,0,0,0,0,None,0,0,44000,None,None,None,0,0,0,0,0,0,0,0,None,USD,159745000,None,None,230000,32269000,127476000,None,3513000,None,None,25415000,None,661000,155301000,5476000,None,None,None,2143000,None,None,None,370000,None,1378000,None,1515000,None,None,None,199816000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,3000000,USD,None,None,None,None,None,143143000,None,None,None,None,2565000,None,None,None,None,None,None,None,1030000,None,None,None,nan,nan
