,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,3335000,4278000,1992000,1343000,-4207000,-4340000,313000,None,-4340000,None,1973000,None,-943000,None,87000,None,None,-87000,None,None,None,None,-3310000,None,-4340000,-4340000,None,USD,13907000,None,None,None,12193000,1714000,None,4011000,None,-129755000,None,None,405000,2727000,11036000,None,2197000,-3000,1680000,11822000,None,1714000,None,2518000,532000,5900000,2617000,None,None,None,None,None,None,None,405000,None,2085000,1536000,None,None,1157000,None,None,None,None,None,None,None,None,USD,-71000,1486000,-71000,None,1016000,1094000,None,60000,-4340000,-184000,-1207000,None,46000,None,None,-959000,-614000,3076000,71000,None,None,None,6.92,
1,2020-03-31,USD,3783000,2295000,2751000,1032000,-408000,-541000,282000,None,-541000,None,2027000,855000,-1263000,None,133000,None,740000,-133000,None,None,None,None,869000,None,-541000,-541000,None,USD,12423000,None,None,1845000,6539000,5884000,None,923000,2000,-125415000,7000,None,405000,2911000,5674000,1683000,1644000,-3000,390000,10181000,None,5884000,None,2309000,None,4700000,3068000,None,None,2000,None,-125415000,None,None,268000,None,658000,1753000,3000,865000,865000,None,None,None,131300000,12423000,2911000,None,15896632,USD,-47000,-152000,-47000,None,-171000,2104000,-1000,35000,-541000,1553000,-504000,541000,46000,None,2276000,-1546000,445000,-1045000,47000,-445000,None,1553000,0.33,6.92
2,2019-12-31,USD,6613000,4167000,5765000,848000,-3345000,-3589000,567000,None,-3552000,None,3519000,-26000,-3319000,-53000,207000,10000,-181000,-181000,None,81000,None,10000,100000,None,-3562000,-3589000,None,USD,11739000,None,None,1171000,7743000,3996000,None,914000,1000,-124874000,14000,None,405000,350000,6542000,3332000,3300000,-3000,389000,9334000,None,3996000,None,2337000,109000,6168000,2296000,None,None,1000,None,-124874000,None,None,2016000,None,2405000,1950000,109000,1092000,1201000,None,None,None,128872000,11739000,350000,None,12428418,USD,-72000,91000,-72000,2000,403000,408000,5000,122000,-1335000,41000,-295000,None,49000,None,-110000,575000,-531000,1013000,75000,None,None,41000,0.4732,0.33
3,2019-09-30,USD,2915000,3767000,1887000,1028000,-802000,-946000,191000,None,-946000,None,1689000,-46000,-852000,-53000,67000,None,-67000,-67000,None,-19000,None,None,-27000,None,-946000,-946000,None,USD,12828000,None,None,2691000,7588000,5240000,None,904000,1000,-123566000,20000,None,206000,634000,6242000,3023000,3023000,-3000,2165000,10457000,None,5240000,None,1782000,None,7399000,1228000,None,None,1000,None,-123566000,None,None,206000,None,2371000,2183000,5000,20000,1346000,None,None,None,128808000,12828000,634000,None,12000000,USD,-29000,-774000,-29000,None,-329000,-329000,-208000,80000,-946000,-1573000,-1209000,None,77000,None,-116000,608000,42000,-323000,29000,None,None,-1567000,0.4705,0.4732
4,2019-06-30,USD,3082000,5103000,3191000,-109000,-2133000,-2254000,318000,None,-2254000,None,1594000,None,-2021000,-53000,26000,None,-26000,-26000,None,None,None,None,-207000,None,-2254000,-2254000,None,USD,14869000,None,None,4281000,8717000,6152000,None,932000,1000,-122620000,29000,None,225000,2207000,7142000,3467000,3352000,-3000,422000,12212000,None,6152000,None,2030000,None,7667000,2743000,None,None,1000,None,-122620000,None,None,469000,None,891000,2437000,5000,1575000,1575000,None,None,None,128774000,14869000,2207000,None,12370030,USD,-24000,-197000,-24000,None,-66000,-71000,-5000,-397000,-2254000,-1659000,-1564000,None,95000,None,-116000,50000,568000,690000,23000,None,None,-1659000,0.4096,0.4705
5,2019-03-31,USD,3177000,2901000,3079000,98000,-2822000,-2865000,526000,None,-2865000,None,2241000,-19000,-2803000,-53000,43000,0,-43000,-43000,None,134000,None,None,-153000,None,-2865000,-2865000,None,USD,18039000,None,None,6116000,9606000,8433000,None,973000,1000,-120366000,30000,None,213000,3861000,7815000,3532000,3417000,-1000,510000,15071000,None,8433000,None,2599000,1756000,8251000,3310000,None,None,1000,None,-120366000,None,None,563000,None,1073000,2685000,5000,1791000,1791000,None,None,None,128799000,18039000,3861000,None,12191120,USD,-4000,-1346000,-4000,1000,1198000,1086000,-112000,264000,-2865000,-2474000,-3556000,None,105000,None,-111000,643000,-210000,-691000,5000,None,None,-2474000,1.22,0.4096
6,2018-12-31,USD,3118000,2992000,3099000,19000,-2816000,-2997000,657000,0,-2986000,0,2178000,-9000,-2816000,0,4000,11000,None,None,0,157000,0,11000,-170000,0,-2997000,-2997000,None,USD,18492000,None,None,1094000,7440000,11052000,None,30000,1000,-117315000,200000,None,194000,6335000,7240000,2219000,None,-1000,610000,17688000,None,11052000,None,2201000,None,8058000,4991000,None,None,1000,None,-117315000,None,None,194000,None,804000,None,None,200000,200000,None,None,None,128367000,18492000,6335000,None,12000000,USD,None,620000,6000,6000,2219000,2224000,-2000,-42000,-2997000,-719000,-2949000,-9111000,123000,None,7000,-2172000,755000,48000,5000,None,-5000,-724000,0.6187,1.22
7,2018-09-30,USD,5158000,3182000,3877000,1281000,-1918000,-1920000,638000,0,-1920000,0,2543000,-17000,-1901000,0,2000,None,None,None,0,1000,0,0,-20000,0,-1920000,-1920000,None,USD,18565000,0,None,8309000,4723000,13842000,0,378000,1000,-114318000,152000,0,147000,7054000,4571000,134000,None,-1000,713000,17705000,None,13842000,0,2962000,0,6434000,4059000,0,0,1000,0,-114318000,0,None,147000,None,860000,None,None,152000,152000,None,None,None,128160000,18565000,None,None,12071044,USD,None,-27000,6000,0,2219000,-21000,-21000,258000,-1920000,-1567000,-1546000,None,105000,0,0,-572000,411000,374000,5000,None,None,-1567000,2.05,0.6187
8,2018-06-30,USD,5172000,3097000,3876000,1296000,-1803000,-1804000,673000,0,-1804000,0,2421000,-2000,-1801000,0,1000,None,None,None,0,3000,0,0,-6000,0,-1804000,-1804000,None,USD,19763000,0,None,9661000,4255000,15508000,0,105000,1000,-112398000,176000,0,147000,8619000,4079000,167000,None,-1000,847000,18769000,None,15508000,0,3369000,0,5739000,3807000,0,0,1000,0,-112398000,0,None,147000,None,994000,None,None,176000,176000,None,None,None,127906000,19763000,None,None,12047272,USD,None,59000,-4000,-4000,2219000,14000,-7000,-293000,-1804000,-1547000,-1557000,None,143000,0,21000,-209000,171000,247000,5000,None,None,-1547000,1.9,2.05
9,2018-03-31,USD,4659000,3226000,3843000,816000,-2389000,-2390000,629000,0,-2390000,0,2647000,21000,-2410000,0,1000,None,None,None,0,-50000,0,0,70000,0,-2390000,-2390000,None,USD,21365000,0,None,11058000,4299000,17066000,0,118000,1000,-110594000,201000,0,144000,10172000,4098000,178000,None,3000,1004000,20217000,None,17066000,0,3551000,0,5608000,3802000,0,0,1000,0,-110594000,0,None,144000,None,1148000,None,None,201000,201000,None,None,None,127656000,21365000,None,None,11931237,USD,None,1420000,187000,244000,2219000,-32000,-32000,-221000,-2390000,-588000,-743000,None,151000,0,0,597000,66000,1647000,57000,None,None,-588000,2.55,1.9
