,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,27266000,10431000,18048000,9218000,-1233000,-1287000,4807000,None,-1273000,None,5936000,-20000,-1213000,-312000,40000,14000,None,-40000,None,None,None,14000,292000,None,-1287000,-1287000,None,USD,119638000,211000,None,33509000,47366000,72272000,None,3478000,743160000,-624112000,2014000,69000,217000,29682000,27341000,None,2458000,945000,21210000,83045000,None,71992000,None,19854000,4030000,24410000,23863000,None,None,743160000,None,-624112000,-47721000,None,15103000,None,36593000,15001000,None,20025000,20025000,None,None,None,None,119638000,29682000,None,29408000,USD,-577000,2240000,-577000,396000,6898000,6043000,-35000,133000,-1287000,7589000,2123000,1345000,1046000,None,None,-815000,-213000,2065000,973000,None,None,7589000,3.18,
1,2020-03-31,USD,23850000,11408000,17423000,6427000,-5137000,-5081000,4584000,None,-5136000,None,7139000,-156000,-4981000,-315000,-1000,-55000,-155000,1000,None,None,None,-55000,159000,None,-5081000,-5081000,None,USD,110914000,220000,None,32404000,38101000,72813000,None,1048000,742416000,-622825000,2006000,69000,217000,22090000,21870000,None,None,943000,20894000,74312000,None,72524000,None,19818000,None,23582000,20822000,None,None,742416000,None,-622825000,-47721000,None,15419000,None,36602000,15273000,None,16231000,16231000,None,None,None,None,110914000,22090000,None,29291000,USD,12045000,-296000,12045000,12957000,-4869000,-3768000,-47000,1035000,-5081000,6728000,-1549000,1260000,1332000,None,281000,1424000,-903000,2272000,912000,None,None,6728000,2.24,3.18
2,2019-12-31,USD,25482000,8927000,18008000,7474000,-1306000,-1335000,4642000,None,-1321000,None,5887000,147000,-1453000,-1602000,15000,14000,132000,-15000,None,None,None,14000,1749000,None,-1335000,-1335000,None,USD,106989000,229000,None,33382000,30860000,76129000,None,823000,740680000,-617744000,1971000,69000,62000,15386000,25007000,4459000,4459000,914000,33996000,68047000,None,75831000,None,19279000,None,25095000,19725000,None,None,740680000,None,-617744000,-47721000,None,4648000,None,38942000,4705000,None,5853000,5853000,None,None,None,None,106989000,15386000,None,28948000,USD,441000,794000,441000,1947000,-1038000,-1085000,-47000,-4167000,-1335000,-6623000,-5979000,-5725000,1981000,None,None,-902000,-1450000,1081000,1506000,None,None,-6623000,3.04,2.24
3,2019-09-30,USD,24300000,39210000,24532000,-232000,-12779000,-14975000,6435000,None,-14965000,None,8217000,-396000,-14910000,26000,-39000,10000,-357000,39000,None,None,None,10000,-94000,None,-14975000,-14975000,None,USD,109562000,239000,None,31495000,32816000,76746000,None,2427000,739926000,-616409000,2097000,69000,62000,21977000,30719000,5497000,5497000,950000,37223000,71969000,None,76438000,None,18497000,None,24051000,25222000,None,None,739926000,None,-616409000,-47721000,None,62000,None,37593000,None,None,2097000,2097000,None,None,None,None,109562000,21977000,None,28893000,USD,-942000,-31000,-942000,-21013000,5497000,5764000,-203000,1811000,-14975000,1316000,-3442000,8338000,2131000,None,505000,7697000,-1139000,1064000,2175000,None,None,1380000,3.07,3.04
4,2019-06-30,USD,17219000,27432000,13515000,3704000,-8430000,-10477000,4629000,None,-10463000,None,9288000,-349000,-10213000,26000,-99000,14000,-250000,99000,None,None,None,14000,-349000,None,-10477000,-10477000,None,USD,126656000,250000,None,48292000,36049000,90607000,None,1672000,738841000,-601434000,1972000,798000,973000,20503000,34077000,None,None,921000,37231000,87404000,None,89559000,None,18451000,None,31123000,10615000,None,None,738841000,None,-601434000,-47721000,None,973000,None,39252000,None,None,122000,1972000,None,None,None,None,126656000,20661000,None,28000000,USD,-25285000,-4243000,-25285000,-22246000,5497000,-9000,-203000,3274000,-10477000,-29976000,-4648000,3029000,1783000,None,238000,-1910000,5908000,1017000,3039000,None,None,-29942000,3.29,3.07
5,2019-03-31,USD,21745000,27252000,15936000,5809000,-3873000,-4994000,4360000,None,-4979000,None,6996000,304000,-5507000,-40000,-224000,15000,528000,224000,None,None,None,15000,304000,None,-4994000,-4994000,None,USD,130125000,None,None,37064000,32634000,97491000,None,1394000,735257000,-590957000,1932000,None,1198000,50604000,30702000,None,None,912000,21095000,107832000,None,97491000,None,20131000,None,20672000,13321000,None,None,735257000,None,-590957000,-47721000,None,1198000,None,22293000,None,None,96000,1932000,None,None,None,None,130125000,50637000,None,28000000,USD,-2698000,1799000,-5576000,None,5497000,44000,-194000,-1665000,-10532000,-12558000,-7061000,-1259000,3228000,None,238000,307000,-1700000,2061000,5576000,None,None,-6693000,3.65,3.29
6,2018-12-31,USD,24001000,11612000,18193000,5808000,-5790000,-5538000,4019000,None,-5523000,None,7593000,14000,-5804000,-40000,-267000,None,None,None,None,None,None,15000,224000,None,-5538000,-5538000,None,USD,129991000,None,None,33717000,28435000,101556000,None,12036000,734341000,-585963000,1912000,None,1529000,57295000,26523000,None,None,899000,20488000,109374000,None,101556000,None,18362000,None,20466000,26523000,None,None,734341000,None,-585963000,-47721000,None,114000,None,20602000,None,None,1912000,1912000,None,None,None,None,129991000,57295000,None,27668000,USD,None,-2064000,-2878000,None,5497000,-150000,-150000,1327000,-5538000,-5897000,-2869000,566000,1594000,None,None,392000,911000,2103000,2878000,None,-3000,-5900000,4.2,3.65
7,2018-09-30,USD,25241000,10044000,20813000,4428000,-6076000,-5886000,4372000,0,-5833000,0,5532000,-460000,-5616000,140000,-243000,None,None,None,0,0,0,102000,188000,0,-5886000,-5886000,None,USD,135898000,0,None,33580000,29093000,106805000,0,10529000,734066000,-580425000,1891000,0,1632000,63195000,27202000,None,None,885000,19649000,116050000,None,106805000,78000,19275000,0,20850000,27202000,106805000,0,734066000,0,-580425000,-47721000,None,199000,None,19848000,None,None,1891000,1891000,None,None,None,None,135898000,63195000,None,27577000,USD,None,2139000,-2822000,5000,None,325000,None,2259000,-5886000,-2267000,230000,3264000,1581000,0,325000,3290000,-4424000,2852000,2827000,None,-43000,-2310000,4.75,4.2
8,2018-06-30,USD,17717000,9152000,16519000,1198000,-8630000,-8414000,3915000,0,-8414000,0,5237000,-676000,-7954000,145000,-216000,None,None,None,0,0,0,169000,-460000,0,-8414000,-8414000,None,USD,135994000,0,None,35705000,24567000,111427000,0,8060000,732806000,-574539000,1716000,0,2337000,65505000,22851000,None,None,881000,19669000,116080000,None,111427000,193000,14870000,0,24152000,22851000,0,0,732806000,0,-574539000,-47721000,None,245000,None,19914000,None,None,1716000,1716000,None,None,None,None,135994000,65505000,None,27486000,USD,None,3261000,-1021000,0,None,-115000,-118000,515000,-8414000,19000,1155000,5886000,1497000,0,3000,-264000,2374000,3683000,1021000,None,-43000,-24000,5.05,4.75
9,2018-03-31,USD,18623000,8876000,13676000,4947000,-3403000,-3071000,3300000,0,-3240000,0,5644000,526000,-3929000,-68000,-163000,None,None,None,0,0,0,-169000,157000,0,-3071000,-3071000,None,USD,138305000,0,None,34711000,19161000,119144000,0,6822000,732055000,-566125000,1687000,0,3570000,65529000,17474000,None,None,935000,19528000,118007000,None,119144000,52000,17767000,0,23726000,17474000,0,0,732055000,0,-566125000,-47721000,None,791000,None,20319000,None,None,1687000,1687000,None,None,None,None,138305000,65529000,None,27458000,USD,None,-601000,-785000,69000,None,11000,-415000,-1504000,-3071000,1266000,2040000,3072000,1403000,0,426000,-128000,5305000,2039000,854000,None,30000,1296000,5.7,5.05
10,2017-12-31,USD,24036000,8726000,16122000,7914000,-526000,-82000,3800000,0,-415000,0,4819000,286000,-812000,107000,-111000,None,None,None,0,0,0,-333000,249000,0,-82000,-82000,None,USD,139468000,0,None,31862000,18317000,121151000,0,4897000,731112000,-563054000,1697000,0,3086000,64233000,16620000,None,None,814000,19667000,119225000,None,121151000,33000,23130000,0,23401000,16620000,0,0,731112000,0,-563054000,-47721000,None,576000,None,20243000,None,None,1697000,1697000,None,None,None,None,139468000,64233000,None,27152000,USD,None,-4322000,-1873000,8000,None,-708000,-724000,-1004000,-82000,-4536000,-1955000,-4040000,1202000,0,16000,2169000,-883000,2167000,1881000,None,15000,-4521000,6.45,5.7
11,2017-09-30,USD,29176000,8902000,18565000,10611000,2097000,2170000,3862000,0,2196000,0,5136000,388000,1709000,-134000,-99000,None,None,None,0,32000,0,69000,-1847000,41000,2164000,2170000,None,USD,144084000,0,None,33666000,23310000,120774000,0,6905000,730906000,-562972000,1667000,0,2764000,68754000,21643000,None,None,561000,19321000,124685000,None,120774000,421000,22265000,0,25139000,21643000,120774000,0,730906000,0,-562972000,-47721000,None,78000,None,19399000,None,None,1667000,1667000,None,None,None,None,144084000,68754000,None,27028000,USD,None,2095000,-2203000,135000,None,509000,None,-2585000,2170000,2199000,3893000,13000,3757000,0,509000,-140000,-3859000,1675000,2338000,None,38000,2237000,8.2,6.45
