,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,48833409,46793068,38076590,48833409,-1825290,-1888782,756171,None,-2431843,None,7960307,416917,-2242207,None,606553,-543061,None,-606553,None,None,None,-543061,-3865631,None,-2431843,-1888782,None,USD,271371499,30417070,None,3668863,157208001,102778735,4374343,None,31100484,119310219,35228460,75440535,1030595,19986055,31024742,5187689,5187689,-27094006,39707351,113391185,None,114163498,25916,33801611,90954799,55908740,25837053,None,None,31100484,None,119310219,-20537962,None,118272963,None,157980314,11384763,90954799,30854117,126183259,None,None,None,None,271371499,20011971,-47313479,6237595,USD,1020536,-3970958,1020536,1375840,-1401322,-3339324,1251943,950849,-1888781,3533744,5852532,1141134,1994468,-686059,0,-1335902,5682737,4229834,355304,5682737,None,3533744,17.87,
1,2020-03-31,USD,65325616,10800402,50663943,14661673,4606064,2895817,775444,None,3778400,None,10024958,744793,3861271,None,827664,882583,None,-827664,None,None,None,882583,744793,None,2895817,2895817,None,USD,279937676,31103963,None,126331021,162976545,105108478,5270465,None,30890108,122723970,36789716,79418533,None,16508881,33830708,5187689,5187689,-27967638,41926567,115635960,None,116961131,23154,39873177,92356121,55274876,28643019,None,None,30890108,None,122723970,-20537962,None,164301716,None,41926567,11852653,92356121,31519251,129145837,None,None,None,None,279937676,16532035,None,6230731,USD,-371752,616281,-371752,456363,-1221423,-2276901,-1251943,-2224381,2895817,-1144188,1504465,-752138,2055782,-686614,-368864,-994546,-2273864,-42867,828115,-2273864,None,-1144188,19.5,17.87
2,2019-12-31,USD,68726897,11652040,50631015,18095882,6260549,4972327,784563,None,5377123,None,10852524,-183293,6443842,None,883426,404796,None,-883425,None,14953,None,404796,-182356,None,4972327,4972327,None,USD,280662976,31864393,None,128068387,162883244,105437257,5270465,None,30651815,120189111,37374357,79518012,None,17996505,31931343,5187689,5187689,-25234571,42022613,114915483,None,117779732,34305,37941900,93577544,54599266,26743654,None,None,30651815,None,120189111,-20169098,None,165747493,None,42022613,12342475,93577544,32103892,130951901,None,None,None,None,280662976,18030810,None,6240705,USD,-546,-1416285,-2686939,857967,-1275377,-1960673,-1251943,-706049,4972327,5798281,10445893,1899014,2647402,-685296,0,-1754327,5622829,-1525068,3544360,5622829,None,5798281,30.53,19.5
3,2019-09-30,USD,60692645,9217323,45754911,14937734,5909034,4193082,825425,None,5488657,None,8391898,188623,5720411,None,420377,1295575,None,-420377,None,None,None,1295575,188623,None,4193082,4193082,None,USD,279237125,33933801,None,128997490,165344411,103611900,8630744,None,30440228,115906469,35131206,78965485,1396006,11983328,35360284,5187689,5187689,-22565699,40843453,113817566,None,113892714,33759,44617865,94852921,52761230,30172595,None,None,30440228,None,115906469,-20169098,None,165419559,None,40843453,10280814,94852921,26500462,129984127,None,None,None,None,279237125,12017087,None,6238317,USD,-10623,-2408112,-81800562,-81051269,77265231,76580234,-684997,-1196510,4193082,-1415662,3804666,-828641,1416165,-684997,None,-400567,2153788,-321049,634186,2153788,None,-1415662,24.82,30.53
4,2019-06-30,USD,61439929,12050597,46430039,15009890,3546116,2529773,2174803,None,3284498,None,8076501,586823,2959293,None,261618,754725,None,-261618,None,1799293,None,754725,-1212470,None,2529773,2529773,None,USD,185412887,12804695,None,62269804,75083150,100303340,1516012,None,30288617,112398386,27441807,34880617,1396006,13667902,28341343,3100000,3100000,-22214565,26994822,99310350,None,110329737,23136,33185410,19300000,49271813,25241343,None,None,30288617,None,112398386,-20169098,None,10026397,None,26994822,10026397,19300000,25925795,46741807,None,None,None,None,185412887,13691038,None,6000000,USD,68264,-1550051,-345572,-23140,-5887500,-6574460,-686960,-821020,2529773,297257,7217289,907534,952515,-686960,None,2304428,329045,1744046,518320,329045,None,152303,28.02,24.82
5,2019-03-31,USD,60883148,11474735,47074105,13809043,2348233,1570960,2239776,None,2055693,None,8398265,13925,2334308,None,292540,484733,None,-292540,None,836694,None,484733,-822769,None,1570960,1570960,None,USD,191431313,13696570,None,63716575,82403364,98404558,1516012,2070000,30099883,110555582,27645028,34776299,1396006,13547289,29183335,2712500,2712500,-22081810,28879972,102059074,None,109027949,91400,33574911,25575000,51621166,24400835,None,None,30099883,None,110555582,-20169098,None,10623392,None,28879972,10623392,25575000,26129017,53220029,None,None,None,None,191431313,13638689,None,6000000,USD,-91400,-1740436,-939506,-104484,-387500,-1074240,-686960,-1692562,1570960,-523430,1490316,228504,1438799,-686740,None,1313875,-2123227,801840,743622,-2123227,144954,-378476,27.52,28.02
6,2018-12-31,USD,56612172,10174011,41879621,14732551,4818513,4380604,1975102,0,4535138,0,8198909,259973,4558540,0,283375,745860,None,None,591330,0,0,154534,-910402,0,4380604,4380604,None,USD,181247567,13967783,None,53276053,84378928,96868639,1516012,2070000,29994890,109671362,27880828,34840376,1396006,13925765,30148100,2325000,2325000,-22628515,29853377,101190025,None,96868639,None,31419163,26350000,52773209,25753100,None,None,29994890,None,109671362,-20169098,None,None,None,29853377,None,26350000,26364816,54230828,None,None,None,None,181247567,13925765,None,6231258,USD,174145,-608493,-1074468,-502406,-387500,-1824335,-686960,-2593723,4380604,2881719,5780522,-522157,1846173,-688521,-748314,-626336,632837,677894,746207,632837,-127657,2754062,24.18,27.52
7,2018-09-30,USD,57357442,9477254,43139780,14217662,4969195,3766661,2004919,0,4658688,0,7472335,228787,4740408,0,310507,892030,None,None,0,0,0,892027,-81720,0,3766661,3766661,None,USD,177906469,14384699,None,3629899,82746260,95160209,1723543,2070000,29769535,106061448,25912563,34891579,2210225,11171703,29708197,1937000,1937000,-21249990,29710478,96709488,None,95160209,192529,30515259,27125500,51200098,25701197,0,0,29769535,0,106061448,-19420784,None,51486503,None,81196981,None,27125500,24189020,53038063,None,None,None,None,177906469,11364232,None,6000000,USD,-174145,1029860,-1655243,132892,-6387500,-7392062,-686960,2360290,3766661,-7566182,1481123,-2081760,1168050,-689501,-315061,-2071952,-398543,68806,1613990,-398543,-242038,-7808221,28.4,24.18
8,2018-06-30,USD,60860852,10664850,45807496,15053356,4614275,3258477,1581719,0,4302215,0,9083131,225769,4388506,0,312060,1043740,None,None,0,0,0,1043738,-86291,0,3258477,3258477,None,USD,184088536,14704872,None,3839937,91563606,92524929,1723543,2070000,29715945,102903644,29077570,34874518,1840724,18979924,34586037,7550000,7550000,-20988937,29510103,103158319,None,92524930,0,30449373,27900000,49889085,24966037,0,0,29715945,0,102903644,-19105723,None,51420114,None,80930217,None,27900000,27354026,56977569,None,None,None,None,184088536,18979924,None,6000000,USD,-174145,2324471,-6336022,-5705302,4612500,3923177,-689323,705336,3258477,3105697,5518542,-237747,1164781,-689323,0,-1117655,-203246,329462,630720,-203246,-487590,2618108,28.05,28.4
9,2018-03-31,USD,59444997,10549589,44723521,14721476,4390618,3100195,1389229,0,4094288,0,9160360,218731,4171887,0,296330,994090,None,None,0,0,0,994093,-77599,0,3100195,3100195,None,USD,175765778,13533279,None,3615307,85340818,90424960,1723543,2070000,29608222,100311681,29440903,32200916,1904485,16361816,27612415,2550000,2550000,-20389220,28868362,99258736,None,90424960,0,30304665,28287500,48976948,22992415,0,0,29608222,0,100311681,-19105723,None,47638680,None,76507042,None,28287500,27717360,57728403,None,None,None,None,175765778,16361816,None,6000000,USD,-174145,806938,-1339497,-733842,-4387500,-5076633,-689323,-1684324,3100195,-6320255,95875,-43486,1150204,-689133,0,-1540703,-3514532,137259,605655,-3514532,406594,-5913661,28.5,28.05
10,2017-12-31,USD,54143638,11828057,38335184,15808454,4065872,-168769,3773968,0,3749244,0,8054089,85475,3980397,0,316628,None,None,None,0,0,0,3918013,-2830232,0,-168769,-168769,None,USD,176458397,45190000,None,3401456,89527807,86930590,1723543,2070000,29501123,97921903,27813000,32229000,47200000,22275477,31314682,6550000,6550000,-21386713,29192394,100065600,None,86930590,0,74320313,28675000,47268757,22694682,0,0,29501123,0,97921903,-19105723,None,None,None,29192394,None,28675000,27814582,58213125,None,None,None,None,176458397,22275477,None,6263245,USD,None,-1999612,1175346,2114100,-387500,-1076461,None,1380613,-168769,1104724,1005839,1313849,1489011,-688961,0,-2115815,-2574823,1167429,1305308,1319746,-23339,1081386,26.15,28.5
11,2017-09-30,USD,56007937,8375890,44058406,11949531,3587154,2230481,1848861,0,3259948,0,6527029,13513,3573641,0,327206,None,None,None,0,0,0,1029467,-76643,0,2230481,2230481,None,USD,175363475,45697000,None,4398041,87661797,87619378,0,9633000,29277169,98779632,27089000,32396000,46877000,21194091,31511155,6550000,6632302,-21331700,28871163,99615033,None,87701678,366554,75325813,29062500,45207813,24961155,0,0,29277169,0,98779632,-19105723,None,None,None,28871163,None,29062500,27088142,56150642,None,None,None,None,175363475,21560645,None,6261415,USD,-48515,1934222,-797657,0,-387500,-1076193,-689323,-101682,2230481,1991953,3865803,-1633718,1693855,-688693,0,-981498,3894569,-2236,749142,624697,123336,2115289,28.7,26.15
