,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,687588000,539849000,336096000,351492000,277424000,10558000,30495000,None,25252000,None,173258000,None,147739000,None,129562000,7642000,398000,-129164000,None,None,None,7642000,6677000,-7052000,17610000,10558000,None,USD,9165134000,2281172000,None,None,9880001000,-714867000,None,None,23000,-9411726000,284163000,3560011000,100604000,1780087000,1222411000,None,34150000,-227858000,537203000,2686144000,None,-6556050000,None,271893000,8302595000,330540000,113049000,None,None,None,None,None,None,None,98412000,None,6478990000,54052000,None,284152000,8657590000,None,None,None,None,None,None,None,None,USD,-15450000,-116236000,-15450000,-1125000,-56964000,-61248000,-1817000,-11542000,10558000,228613000,304332000,None,122610000,None,-2467000,-8395000,265432000,15384000,16667000,None,None,None,3.43,
1,2020-03-31,USD,820405000,587182000,388799000,431606000,299210000,129930000,31615000,None,21249000,None,166768000,None,233223000,None,136373000,-136332000,3496000,-132877000,-27651000,None,None,-136332000,-79097000,-27651000,157581000,129930000,None,USD,9305880000,2382374000,None,200666000,10043697000,-737817000,None,None,23000,-9422284000,267023000,3560011000,86465000,1531538000,1346991000,None,34150000,-233483000,541695000,2735335000,None,-6680202000,None,536903000,8354920000,324962000,88211000,None,None,None,None,None,None,None,86351000,None,6570545000,56569000,8384626000,269705000,8696706000,None,None,None,8917927000,None,1531538000,None,233000000,USD,-15963000,-112625000,-15963000,-1125000,-9721000,-14483000,-364000,-3581000,129930000,30216000,62556000,None,141588000,None,-4398000,-324000,-72833000,118789000,19638000,None,None,None,3.7,3.43
2,2019-12-31,USD,764800000,595106000,400056000,364744000,58630000,-218643000,34379000,None,-224541000,None,160671000,None,169694000,None,138718000,-16052000,4371000,-134347000,-10154000,None,None,-16052000,-259888000,-10154000,-208489000,-218643000,None,USD,9389527000,2571267000,None,88412000,10256071000,-866544000,None,47335000,23000,-9552214000,356272000,3595184000,80293000,1454531000,1460289000,34150000,34150000,-219045000,556565000,2586218000,None,-7032995000,None,467953000,8359899000,327865000,101532000,None,None,None,None,None,None,None,78101000,None,6803309000,59062000,8391211000,355881000,8795782000,None,None,None,8904692000,None,1454531000,None,226000000,USD,-14871000,-147199000,-14871000,-1125000,-9908000,-14963000,-4976000,-4207000,-218643000,-50710000,-21192000,None,144453000,None,-79000,5622000,-39472000,252173000,16042000,None,None,None,4.69,3.7
3,2019-09-30,USD,729426000,594013000,389165000,340261000,266564000,-79415000,36519000,None,-24070000,None,168329000,None,135413000,None,143013000,17361000,6110000,-136903000,-37984000,None,None,17361000,-22580000,-37984000,-41431000,-79415000,None,USD,9834866000,2938217000,None,141686000,10496343000,-661477000,None,55603000,23000,-9333571000,379972000,3615322000,77001000,1526250000,1667727000,34150000,34150000,-222575000,555191000,2649135000,None,-7215016000,None,420195000,8364911000,338513000,110074000,None,None,None,None,None,None,None,77001000,None,7185731000,61540000,8397679000,371522000,8828616000,None,None,None,8894646000,None,1526250000,None,227000000,USD,-23011000,-111747000,-23011000,-1125000,-9708000,-15365000,-5007000,8797000,-79415000,-5795000,32642000,None,147621000,None,-650000,-3594000,24073000,29405000,24180000,None,None,None,3.21,4.69
4,2019-06-30,USD,699727000,566853000,388208000,311519000,203314000,-106005000,26348000,None,-94584000,None,152297000,None,132874000,None,139843000,3468000,5034000,-134809000,-7953000,None,None,3468000,-92649000,-7953000,-98052000,-106005000,None,USD,10074289000,3075654000,None,307587000,10664761000,-590472000,None,1262153000,23000,-9254156000,372967000,3615697000,77287000,1446949000,1835820000,34150000,34150000,-220059000,550599000,2755052000,None,-7281823000,None,442078000,8369972000,335890000,120366000,None,None,None,None,None,None,None,77287000,None,7319237000,64278000,8403788000,373386000,8828941000,None,None,None,8883720000,None,1446949000,None,226000000,USD,-5939000,-8598000,-5939000,912000,284190000,268700000,-8477000,1721000,-106005000,440250000,177185000,None,158055000,None,-7013000,-17239000,48946000,92431000,8246000,None,None,None,4.12,3.21
5,2019-03-31,USD,720411000,576518000,391909000,328502000,298130000,-18573000,33486000,None,-1709000,None,151123000,None,134474000,None,137106000,10903000,-136477000,-132675000,-5961000,None,None,10903000,-12927000,-5961000,-12612000,-18573000,None,USD,9803324000,3235594000,None,332547000,10297774000,-494450000,None,12051000,67000,-9148151000,382912000,3679801000,62627000,981739000,1751288000,35940000,35940000,-224499000,552200000,2272133000,969000,-7409845000,None,487974000,8075337000,331391000,97592000,None,None,None,None,None,None,None,62627000,None,7531191000,66309000,8075337000,383310000,8546486000,None,None,None,8878133000,None,981739000,None,225000000,USD,-16377000,-258202000,-16377000,-991000,-26585000,-33771000,-7190000,5059000,-18573000,-140194000,-90583000,None,162733000,None,4000,-11928000,-14389000,33361000,15386000,None,None,None,8.03,4.12
6,2018-12-31,USD,786389000,625590000,432773000,353616000,160799000,-291908000,25395000,0,-267273000,0,167422000,None,160799000,0,-139169000,None,None,None,-32093000,0,0,-1794000,-428072000,-26429000,-265479000,-291908000,None,USD,10132393000,3457306000,None,305368000,10630676000,-498283000,None,1324141000,22000,-9124932000,422192000,3764636000,67671000,1149113000,1950096000,34150000,34150000,-229183000,498892000,2343150000,738000,-7720225000,None,519651000,8224269000,322179000,96024000,None,None,None,None,None,None,None,None,None,None,None,8224269000,None,None,None,None,None,8855810000,None,1149113000,None,224000000,USD,None,-57357000,-4218000,912000,-9837000,-18764000,-9094000,-13790000,-291908000,45929000,70278000,None,23226000,None,933000,14770000,-14544000,299210000,27834000,None,None,None,7.3,8.03
7,2018-09-30,USD,745466000,612606000,409132000,336334000,132860000,-173205000,39683000,0,-143068000,0,163791000,None,132860000,0,-134829000,None,None,None,0,0,0,3003000,-275928000,-27134000,-146071000,-173205000,None,USD,10521662000,3624216000,None,289667000,10741121000,-219459000,0,1474118000,22000,-8833024000,491041000,4056668000,67940000,1118885000,2021468000,34150000,34150000,-216808000,495546000,2275599000,1693000,-7900343000,289667000,493863000,8228612000,332787000,106321000,-219459000,0,0,46000,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,224000000,USD,None,-168914000,-4694000,5000000,-9885000,-22015000,-9397000,-4237000,-173205000,-48447000,-22140000,None,22670000,0,0,8851000,-17110000,154898000,15476000,None,None,None,16.83,7.3
8,2018-06-30,USD,714696000,585349000,355090000,359606000,129347000,-60867000,82102000,0,-46244000,0,148157000,None,129347000,0,-133339000,None,None,None,0,-452751000,0,6235000,-175591000,-8388000,-52479000,-60867000,None,USD,10858035000,3923866000,None,358211000,10920112000,-62077000,0,1608266000,22000,-8659819000,534041000,4055193000,68532000,1098788000,2153066000,34205000,34205000,-221542000,499142000,2308898000,2404000,-8041136000,358211000,473576000,8233005000,343318000,95195000,-62077000,0,0,47000,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,224000000,USD,None,-11639000,6609000,5000000,-9829000,-17383000,-7320000,-10438000,-60867000,159129000,170286000,None,23828000,0,0,38857000,9034000,33169000,18012000,None,None,None,9.43,16.83
9,2018-03-31,USD,700527000,579305000,373992000,326535000,121222000,-505489000,38646000,0,-482247000,0,166667000,None,121222000,0,-127513000,None,None,None,0,452751000,0,15491000,-603469000,-7751000,-497738000,-505489000,None,USD,10933745000,4102704000,None,335858000,10940838000,-7093000,0,1623943000,22000,-8598952000,615752000,4056854000,51212000,980412000,2087599000,34205000,34205000,-215569000,511227000,2208454000,3294000,-8166651000,335858000,477100000,8237487000,376650000,87235000,-7093000,0,0,49000,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,224000000,USD,None,-187426000,-15597000,-3322000,-9821000,-23410000,-11947000,15668000,-505489000,9212000,48846000,None,41505000,0,0,4791000,39710000,482406000,25625000,None,None,None,5.94,9.43
10,2017-12-31,USD,768640000,3599970000,245664000,1416527000,898815000,-1938763000,160945000,0,-1483004000,0,207816000,None,137831000,0,129215000,None,None,None,0,2536729000,0,-222176000,-2115359000,-2198330000,-2359641000,-4557971000,None,USD,11635580000,8767766000,None,43098000,11150700000,484880000,0,2097157000,22000,-8096539000,607961000,4450082000,8840532000,986605000,2220909000,34205000,34205000,-209773000,523971000,2271077000,1456000,-8282886000,320453000,529484000,8278699000,391437000,80748000,484880000,8791170000,22000,48000,-8096539000,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,223000000,USD,7000000,-69608000,104583000,223237000,-22105000,-166993000,-142810000,-12991000,-2035433000,505834000,565729000,None,115102000,0,0,147189000,486359000,1258711000,125654000,None,None,None,7.75,5.94
11,2017-09-30,USD,786887000,-1477295000,252296000,0,-559067000,1299848000,93845000,0,0,0,173511000,None,177600000,0,128672000,None,None,None,0,-1433355000,0,29355000,-4612000,2079296000,1492104000,3571400000,None,USD,11895471000,9053175000,None,98281000,11130487000,764984000,0,1910176000,22000,-7728122000,761351000,4450798000,9123969000,738393000,2042121000,34205000,34205000,-288314000,575023000,2196479000,None,-8288191000,361137000,555398000,8246605000,443270000,89685000,764984000,0,0,47000,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,223000000,USD,7000000,-262574000,-69802000,103066000,-9775000,-135353000,-25876000,15183000,-1667016000,121859000,422612000,None,0,0,0,10956000,471829000,138029000,94102000,None,None,None,8.57,7.75
12,2017-06-30,USD,875731000,715925000,313575000,0,355862000,-1222690000,163269000,0,0,0,184735000,None,164620000,0,123354000,None,None,None,0,79300000,0,-45544000,4672000,-675283000,-199751000,-875034000,None,USD,12278090000,9283401000,None,199515000,11468984000,809106000,0,2072824000,22000,-7631452000,910943000,4447314000,9365255000,616534000,2226947000,8285439000,8285439000,-327769000,637820000,2275015000,None,-8474295000,364796000,604418000,8251289000,489752000,114710000,809106000,0,0,46000,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,223000000,USD,7000000,110057000,-123780000,18531000,26344000,-99583000,-72733000,-23294000,-1570346000,-1055000,319861000,None,0,0,0,47513000,409790000,696139000,59729000,None,None,None,11.17,8.57
13,2017-03-31,USD,1037600000,0,380331000,0,-65352000,-173828000,88498000,0,0,0,199240000,None,171174000,0,113453000,None,None,None,0,215778000,0,-11928000,2037000,-8405000,-165423000,-173828000,None,USD,13218650000,10138192000,None,152528000,11030597000,2188053000,0,1917439000,22000,-6234934000,591600000,4650327000,10215082000,617589000,2059164000,25612000,25612000,-338603000,670847000,2332721000,None,-7950139000,278245000,735221000,8224559000,549138000,97681000,2188053000,0,0,43000,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,223000000,USD,7000000,-471275000,-7121000,16217000,-28894000,-53194000,-24300000,13543000,-173828000,100339000,159210000,None,0,0,0,28492000,310719000,223177000,27202000,None,None,None,11.16,11.17
14,2016-12-31,USD,1241513000,2622499000,469942000,1552783000,487033000,-3128147000,174481000,0,-3923856000,16000,230842000,None,277152000,0,112741000,None,None,None,0,3800863000,0,-746269000,-4522137000,-143179000,-2163889000,-2307122000,None,USD,14275109000,10588692000,None,194508000,11573520000,2701589000,348800000,2363451000,22000,-5688281000,556715000,4729395000,11016054000,517250000,2634745000,131125000,131125000,-353392000,669596000,2589459000,2267000,-7887103000,282074000,1039956000,8189763000,555671000,122312000,2701589000,8743240000,22000,42000,-5688281000,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,223000000,USD,34000,-682515000,125861000,303413000,-336361000,-397186000,-56396000,-455259000,-3347066000,-57903000,512695000,None,973109000,0,0,66876000,-7387000,3269805000,138856000,None,None,None,16.47,11.16
15,2016-09-30,USD,884335000,789092000,303295000,0,-16174000,-562497000,44885000,0,0,-18000,225786000,None,119233000,0,113088000,None,None,None,0,293230000,0,46185000,-402000,-24099000,-1627221000,-1429738000,None,USD,17683502000,14387198000,None,75568000,11632641000,6050861000,0,2226197000,22000,-2350425000,621450000,7411620000,14764448000,561577000,2662302000,8294868000,8294868000,-332096000,671618000,2247436000,None,-8336337000,275745000,710244000,8170618000,624302000,306096000,6050861000,0,0,49000,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,223000000,USD,34000,-221956000,178866000,0,-28894000,-334511000,106582000,-167097000,-9210000,-106245000,443377000,None,0,0,0,22215000,342012000,105364000,88087000,None,None,None,20.15,16.47
16,2016-06-30,USD,920887000,0,352582000,0,218509000,343578000,50589000,0,0,18000,234596000,None,96287000,0,113097000,None,None,None,0,-348756000,0,-436562000,0,89108000,656101000,389794000,None,USD,17935535000,14513896000,None,45992000,11673997000,6261538000,0,2495778000,22000,-2131506000,393180000,7417237000,14611825000,667822000,2938840000,117454000,117454000,-326052000,673294000,2650416000,None,-8252358000,388593000,921689000,8199888000,626320000,318459000,6261538000,0,0,44000,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,223000000,USD,34000,403653000,137005000,0,-254881000,-297690000,-9365000,4198000,343578000,445854000,554700000,None,0,0,2729000,29830000,133654000,-457571000,53705000,None,None,None,15.59,20.15
