,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,0,2233000,None,None,-2084000,-3041000,1360000,None,-3041000,None,873000,None,-2233000,None,897000,None,89000,-808000,None,None,None,None,None,None,-3041000,-3041000,None,USD,35437000,None,None,None,5245000,30192000,None,None,1513000,-29508000,None,None,407000,10163000,5009000,None,None,-1428000,696000,34334000,None,30192000,20043000,None,None,None,524000,None,None,None,None,None,None,None,60000,None,1103000,359000,None,None,236000,None,None,None,None,None,None,None,None,USD,-10127000,228000,-10127000,None,None,97000,2294000,-1002000,-3041000,-13704000,-3674000,None,60000,None,None,None,None,221000,127000,None,None,None,5.06,
1,2020-03-31,USD,0,1896000,None,None,-738000,-794000,1372000,None,-794000,None,524000,None,-1896000,None,2000,None,1104000,1102000,None,None,None,None,None,None,-794000,-794000,None,USD,37651000,None,None,2937000,5592000,32059000,None,None,1509000,-26467000,256000,None,69000,22666000,5336000,None,None,-2316000,978000,36604000,None,32059000,10008000,None,None,None,209000,None,None,None,None,None,None,None,64000,None,1047000,119000,None,256000,256000,None,None,None,59333000,None,32674000,None,11000000,USD,-2039000,-99000,-2039000,-2000000,None,22456000,-2294000,-327000,-794000,21196000,779000,None,54000,None,22456000,None,None,165000,39000,None,None,None,4.68,5.06
2,2019-12-31,USD,0,2839000,None,None,-2942000,-2867000,1874000,None,-2867000,None,965000,None,-2839000,None,None,None,73000,968000,None,None,None,None,None,None,-2867000,-3065000,None,USD,17560000,None,None,1500000,6278000,11282000,None,None,1151000,-25673000,None,None,81000,3948000,5980000,None,None,-1300000,1058000,16421000,None,11282000,8060000,None,None,None,316000,None,None,None,None,None,None,None,76000,None,1139000,123000,None,298000,298000,None,None,None,37104000,None,12008000,None,9000000,USD,1715000,172000,1759000,-6166000,None,1000,-2294000,432000,-2867000,79000,-1637000,None,62000,None,8306000,None,None,385000,31000,None,None,None,8.3914,4.68
3,2019-09-30,USD,0,2121000,None,None,-2000000,-2391000,1576000,None,-2391000,None,545000,None,-2121000,None,342000,None,72000,-270000,None,None,None,None,-270000,None,-2391000,-2391000,None,USD,19217000,None,None,1500000,5434000,13783000,None,3514000,1151000,-22806000,637000,None,66000,5448000,4550000,None,None,-1367000,1083000,18068000,None,13783000,8017000,2445000,None,None,137000,None,None,None,None,None,None,None,469000,None,1149000,None,None,877000,884000,None,None,None,36805000,None,13465000,None,10000000,USD,-7986000,-185000,-7986000,-7912000,None,595000,-2294000,227000,-2391000,-9451000,-2060000,None,49000,None,8305000,None,312000,-72000,30000,None,None,None,26.71,8.3914
4,2019-06-30,USD,0,1297000,None,None,-1208000,-1461000,696000,None,-1461000,None,601000,None,-1297000,None,202000,None,38000,-164000,None,None,None,None,-126000,None,-1461000,-1461000,None,USD,20829000,None,None,1500000,5468000,15361000,None,3500000,1126000,-20415000,7000,None,65000,14548000,5199000,148000,148000,-1717000,1186000,19578000,None,15361000,41000,2751000,262000,None,321000,None,None,None,None,None,None,None,488000,None,1251000,None,None,262000,269000,None,None,None,36367000,None,14589000,None,10000000,USD,-54000,37000,-54000,44000,None,2999000,-2294000,-377000,-1461000,673000,-2272000,None,51000,None,7710000,None,-653000,131000,54000,None,None,None,21.5,26.71
5,2019-03-31,USD,0,2362000,None,None,-2263000,-2665000,1578000,None,-2665000,None,784000,None,-2362000,None,358000,None,-303000,-303000,None,None,None,None,-303000,None,-2665000,-2665000,None,USD,19046000,None,None,1500000,5590000,13456000,None,3500000,1099000,-18954000,611000,None,63000,13642000,4692000,159000,159000,-1951000,1205000,17778000,None,13456000,40000,2092000,287000,None,279000,None,None,None,None,None,None,None,521000,None,1268000,None,None,891000,898000,None,None,None,33262000,None,13682000,None,4000000,USD,-34000,90000,-34000,44000,None,4711000,-655000,603000,-2665000,3906000,-1072000,None,44000,None,4711000,None,294000,562000,78000,None,None,None,12.4,21.5
6,2018-12-31,USD,None,2068000,None,None,-2068000,-1585000,1624000,None,-1585000,None,444000,None,-2068000,None,-438000,-4000,None,None,None,None,None,-4000,483000,None,-1585000,-1799000,None,USD,11034000,None,None,None,1136000,9182000,None,222000,396000,-16289000,6000,None,72000,9736000,1130000,None,None,-2251000,685000,10277000,None,9182000,40000,213000,None,None,173000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,27326000,None,9776000,None,4000000,USD,-7960000,51000,-280000,1000,None,50000,-156000,-110000,-1585000,-1615000,-1052000,None,39000,None,1000,None,-58000,611000,281000,None,None,None,0.7738,12.4
7,2018-09-30,USD,0,1241000,0,0,-1241000,-1102000,1045000,None,-1102000,None,196000,None,-1241000,None,-1000,None,None,None,None,None,None,0,139000,None,-1102000,-1241000,None,USD,12130000,None,None,None,967000,10637000,None,229000,204000,-14704000,7000,None,71000,11351000,960000,None,None,-1916000,469000,11590000,None,10637000,40000,161000,None,None,128000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,27053000,None,11391000,None,4000000,USD,None,0,-280000,1000,None,50000,-156000,-110000,-1102000,-1615000,-1052000,None,39000,None,5144000,None,-58000,611000,281000,None,None,None,1.35,0.7738
8,2018-03-31,USD,None,1142000,None,None,-1142000,-1025000,918000,None,-1025000,None,224000,None,-1142000,None,-15000,None,None,None,None,None,None,None,117000,None,-1025000,-1025000,None,USD,None,None,None,None,None,8028000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,8028000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,4000000,USD,None,4000,-139000,1000,None,50000,-156000,37000,-1025000,-1110000,-866000,None,33000,None,None,None,53000,32000,139000,None,None,None,1.98,1.35
9,2017-12-31,USD,0,672000,0,0,-672000,-795000,585000,None,-795000,None,87000,None,-672000,None,-1000,None,None,None,None,None,None,0,-123000,None,-795000,-1071000,None,USD,9540000,None,None,None,703000,8252000,None,240000,204000,-12047000,7000,None,38000,9005000,696000,None,None,-1503000,388000,9114000,None,8252000,None,95000,None,None,37000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,3000000,USD,None,12000,-39000,1000,None,2037000,-156000,-117000,-795000,1366000,-797000,None,24000,None,None,None,115000,-36000,39000,None,None,None,2.286,1.98
