,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-03-31,USD,0,3829661.0,0,0,-1466695.0,-1514489.0,2307336.0,None,-1514489.0,None,1486561.0,None,-3829661.0,None,12030,0,12371,341,None,None,None,None,2314831.0,None,-1514489.0,-1514489.0,None,USD,180509378.0,154903403.0,None,None,10286032.0,170223346.0,None,None,4650.0,-60090037.0,2006798,11640000,137550.0,10939166.0,971271.0,None,None,-55745.0,2562881,11265544.0,None,3679943.0,None,None,5706808,None,328366.0,None,None,None,None,None,None,None,169243834,None,169243834,1867336,5706810,2006798,9314761,None,None,None,230364480,None,10939170,None,46000000,USD,-41694.0,-295928.0,-41694.0,None,6200000,6200000.0,None,223244.0,-1514489.0,2312489.0,-3838464.0,None,28186.0,None,1000000.0,None,None,-2289625.0,41694.0,None,None,None,3.0,
1,2019-12-31,USD,0,2818483.0,0,0,-1691286.0,-1720531.0,561468.0,None,-1720531.0,None,2235348.0,None,-2818483.0,None,0,0,18400,18400,None,None,None,None,1079552.0,None,-1720531.0,-1720531.0,None,USD,178359885.0,154908407.0,None,None,7076950.0,171282935.0,None,None,4630.0,-58575548.0,4317000,11640000,137550.0,8626677.0,1090095.0,None,None,-45547.0,2610622,9063305.0,None,4734527.0,None,2998,None,None,627980.0,None,None,None,None,None,None,None,169296579,None,169296579,1930982,None,4317000,5986855,None,None,None,229899400,None,8626680,None,46000000,USD,-63705.0,19709.0,-63705.0,None,6200000,0.0,None,-447201.0,-1720531.0,-2511575.0,-2575274.0,None,29245.0,None,1000000.0,None,11698,-468194.0,63705.0,None,None,None,5.02,3.0
2,2019-09-30,USD,0,2442485.0,0,0,-2421004.0,-4083177.0,520192.0,None,-4083177.0,None,1900812.0,None,-2442485.0,None,None,0,14553,14553,None,None,None,None,-1655245.0,None,-4083177.0,-4083177.0,None,USD,180619871.0,154913412.0,None,None,8437757.0,172182114.0,None,235000,4627.0,-56855017.0,5399000,11640000,137550.0,11138252.0,1301146.0,None,None,-176838.0,2719785,11209124.0,None,5628702.0,None,14696,None,None,609585.0,None,None,None,None,None,None,None,169410747,None,169410747,1993743,None,5399000,7136611,None,None,None,229209340,None,11138250,None,46000000,USD,-68616.0,71022.0,-68616.0,None,6200000,1000000.0,None,-60887.0,-4083177.0,-1143972.0,-1800587.0,None,21481.0,None,1000000.0,None,6098,2244876.0,68616.0,None,None,None,5.5,5.02
3,2019-06-30,USD,0,-3703262.0,0,0,-9086251.0,6984150.0,485329.0,0,6984150.0,0,1574517.0,0,3703262.0,0,-87,0,1086,1043,0,0,0,0,3279845.0,0,6984150.0,6984150.0,0,USD,179877353.0,154917299.0,None,0,6777416.0,173099937.0,0,235000,4527.0,-52771840.0,5667000,11640000,137550.0,12282224.0,1110416.0,0,0,101818.0,687517,12494987.0,0,6542638.0,0,20794,0,0,538563.0,0,0,0,0,0,0,0,167382366,0,167382366,0,0,5667000,5667000,0,0,0,225765430,0,12282220,0,38000000,USD,16507.0,-493466.0,16507.0,0,6200000,4320000.0,0,121211.0,6984150.0,2010026.0,-2226207.0,0,-5770739.0,0,6020000.0,0,-560,-3066803.0,716670.0,0,0,0,4.5,5.5
4,2019-03-31,USD,0,4661641.0,0,0,-2718470.0,-2730080.0,730255.0,0,-2730080.0,0,1951690.0,0,-2902880.0,0,43,0,172800,8681,0,0,0,0,-52886.0,0,-4705846.0,-2730080.0,0,USD,169305690.0,146277560.0,None,0,25337130.0,143968560.0,0,0,3880.0,-62596020.0,23818000,11640000,138080.0,10272198.0,1519130.0,0,0,198820.0,743520,10506520.0,0,-13949000.0,0,1941,0,0,1270329.0,0,0,0,0,0,0,0,158799170,0,158799170,0,0,23818000,23818000,0,0,0,206361880,0,10272200,0,37000000,USD,-92632.0,516402.0,-733180.0,0,0,1700000.0,0,-842460.0,-19187230.0,-5328670.0,-6288770.0,0,21420.0,0,1700000.0,0,618,313733.0,733180.0,0,0,0,6.94,4.5
5,2018-12-31,USD,0,6265627.0,0,0,-6265627.0,-17991551.0,788968.0,0,-17991551.0,0,1800046.0,0,-6265627.0,0,-43,None,None,None,0,0,0,0,-11725924.0,0,-17991551.0,-17991551.0,0,USD,173956807.0,148255481.0,None,0,25239420.0,148717387.0,0,0,3878.0,-57890173.0,23601000,11640000,137550.0,13240240.0,1638420.0,0,0,338532.0,654830,13268946.0,0,-11178094.0,0,3093,0,0,518927.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206265150,0,13240240,0,36000000,USD,0.0,40160.0,-332358.0,0,0,1700000.0,0,925195.0,-17991551.0,-164945.0,-1754190.0,0,1896554.0,0,1700000.0,0,2003,13373449.0,332358.0,0,0,0,6.9999,6.94
6,2018-09-30,USD,0,3766026.0,0,0,-3766026.0,-2303233.0,493555.0,0,-2303233.0,0,1227743.0,0,-3766026.0,0,-44,None,None,None,0,0,0,0,1462793.0,0,-2303233.0,-2303233.0,0,USD,175797002.0,150137800.0,None,0.01,22207883.0,153589119.0,0,0.01,3617.0,-39898622.0,21423000,11640000,137550.0,13405185.0,784883.0,0,0,114162.0,334077,13547575.0,0,-8188681.0,0,0,0,0,478126.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36000000,USD,0.0,-93042.0,-308186.0,0,0,1700000.0,0,-94946.0,-2303233.0,-2195680.0,-1796724.0,0,1958561.0,0,0.0,0,117770,-1381834.0,308186.0,0,0,0,5.84,6.9999
7,2018-06-30,USD,0,259.15,0,0,-2908998.0,-4888986.0,105424.0,0,-4989401.0,0,456273.0,0,-2908998.0,-1.25,-131202,None,None,None,0,0,0,-100415,-2080403.0,0,-4888986.0,-4888986.0,0,USD,179662426.0,152095459.0,None,0.06,23764722.0,155897704.0,0,0.11,3616.0,-37595389.0,22891000,11640000,137550.0,15600865.0,873722.0,0,0,250679.0,27402,15762015.0,0,-7837755.0,0,122866,0,0,571809.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22000000,USD,0.0,-100022.0,-297000.0,-0.42,0,1700000.0,0,-66177.0,-4888986.0,-1417628.0,-1611615.0,0,2089364.0,0,0.0,0,-84502,1438708.0,308186.0,0,0,0,3.32,5.84
8,2018-03-31,USD,0,1762221.06,0,0,-1762221.06,-3098351.48,144354.2,0,-3103301.24,0,821080.18,None,-1762221.06,792639.73,1238.22,None,None,None,0,0,0,-4949.76,-1341080.18,0,-3098351.48,-3098351.48,None,USD,150998943.9,133072770.57,None,16103.20,948362.99,150050580.91,0,0,3784.8,-34233203.89,0,0,34141.72,17812950.6,948362.99,0,0,-280207.24,30248.06,17861783.55,0,16977810.34,0,32729.75,0,0,694553.07,0,0,0,0,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,25000000,USD,0.0,0.0,-310864.56,5038552.44,0,1779359.43,0,-69266.28,-3098351.48,-1483805.74,-1686848.44,None,2186899.73,0,12455803.85,0,-88446.72,1505869.79,322572.74,None,None,None,5.5,3.32
9,2017-12-31,USD,0,217567.0,0,0,12077.0,272723.0,-260742.0,0,277361.0,0,-297691.0,None,408201.0,-3938,-6481,None,None,None,0,0,0,4638,-131609.0,0,272723.0,272723.0,None,USD,192883.0,122794.0,None,15385,792759.0,-599876.0,None,None,85.0,-604370.0,None,None,8719.0,132727.0,345820.0,446939,446939,-31750.0,None,192883.0,446939,-599876.0,None,60156,446939,None,345820.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,14000000,USD,-24599.0,0.0,-297000.0,-4811766,None,4816939.0,None,-66177.0,46948.0,-1417628.0,-1611615.0,None,2089364.0,None,3217176.0,None,-84502,1438708.0,308186.0,None,None,None,4.75,5.5
