,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,584699000,77516000,451749000,132950000,54223000,40248000,None,None,54223000,-440000,31427000,-1211000,55434000,46089000,None,None,None,None,None,None,None,13535000,None,None,40688000,40248000,None,USD,2488157000,6072000,None,27150000,1770381000,715997000,25877000,254625000,57000,467219000,87201000,54469000,34688000,201738000,581038000,3292000,None,None,780439000,547306000,None,655456000,16357000,302061000,None,None,323121000,None,None,57000,None,467219000,-71049000,None,1096259000,None,3612000,None,None,1163466000,1189343000,None,None,None,319770000,2488157000,218095000,None,53755000,USD,-1284000,44127000,-12784000,-240000,-101246000,4290000,108003000,47254000,40689000,138521000,147015000,17291000,13815000,-2683000,216000,None,None,3883000,11260000,27210000,None,138521000,41.85,
1,2020-03-31,USD,589613000,78299000,454521000,135092000,53826000,40849000,None,None,53826000,352000,32249000,-2967000,56793000,46050000,3665000,12625000,698000,-2967000,None,None,None,-12625000,None,None,41201000,40849000,None,USD,2388006000,6199000,None,25565000,1711191000,675236000,5955000,46055000,57000,429689000,66140000,54469000,33756000,63217000,330143000,2727000,2727000,None,783291000,433321000,None,614568000,15021000,329518000,344558000,None,281361000,None,None,57000,None,429689000,-70296000,None,1107114000,None,3612000,1016405000,344558000,1375093000,1381048000,None,None,None,315786000,2388006000,78238000,None,53666000,USD,388000,-7873000,-15542000,-120000,19334000,-7539000,-720000,-20303000,41201000,4042000,27123000,-3840000,13930000,-2705000,-24168000,None,-21845000,5550000,15810000,-21845000,None,4042000,37.61,41.85
2,2019-12-31,USD,311152000,40746000,255821000,55331000,11202000,27394000,None,None,11202000,-1270000,-20208000,-3383000,14585000,60954000,4149000,3349000,766000,-3383000,18844000,None,None,-44559000,-6494000,19473000,7853000,27394000,None,USD,2361909000,6450000,None,25167000,1705765000,654197000,5278000,44964000,56000,391523000,63392000,54469000,44883000,59175000,343173000,2702000,2702000,None,767565000,411081000,30571000,593278000,17754000,308985000,325217000,None,295507000,None,None,56000,None,391523000,-45296000,None,1117729000,None,4615000,1018947000,325217000,1357314000,1362592000,None,None,None,307914000,2361909000,76929000,None,53487000,USD,-17475000,39856000,-97627000,-63594000,49346000,57776000,11159000,-20303000,27326000,14779000,54630000,-31130000,11167000,-2564000,-165000,None,-26251000,33662000,16558000,-26251000,None,14779000,45.37,37.61
3,2019-09-30,USD,600507000,83757000,477805000,122702000,35781000,27159000,None,None,35781000,669000,31710000,-3164000,38945000,52047000,3900000,7953000,736000,-3164000,None,None,None,7953000,-7896000,None,27828000,27159000,None,USD,2359549000,39639000,None,27686000,1657743000,686259000,3968000,60817000,55000,426414000,62926000,96199000,25572000,44396000,354629000,10177000,10177000,None,708224000,393201000,34561000,550421000,13026000,308093000,265692000,None,283635000,None,None,55000,None,426414000,-43890000,None,1114181000,None,8105000,1035313000,265692000,1299146000,1303114000,None,None,None,303680000,2359549000,57422000,None,53367000,USD,250000,27474000,-51132000,-31861000,-2529000,-8829000,2116000,32019000,27828000,5354000,65315000,1944000,14612000,-2558000,-3742000,None,-11457000,4914000,19221000,-11457000,None,5354000,47.43,45.37
4,2019-06-30,USD,575651000,80805000,457000000,118651000,34477000,28609000,None,None,34477000,-316000,30561000,-3369000,37846000,50244000,3941000,5552000,572000,-3369000,None,None,None,5552000,-5427000,None,28925000,28609000,None,USD,2321521000,34751000,None,31566000,1644214000,662052000,2977000,129502000,55000,401996000,60542000,97408000,25666000,39042000,327348000,10153000,10153000,None,674892000,375546000,38929000,529893000,8003000,296935000,268179000,None,187693000,None,None,55000,None,401996000,-38890000,None,1130321000,None,8603000,1047831000,268179000,1045710000,1316866000,None,None,None,298891000,2321521000,47045000,None,53272000,USD,-72863000,15801000,-72863000,-51046000,26552000,26645000,-485000,14397000,28925000,1218000,47436000,-8869000,13474000,-2543000,3121000,None,-6375000,4480000,22117000,-6375000,None,1218000,56.92,47.43
5,2019-03-31,USD,549214000,81408000,430002000,119212000,34707000,27372000,None,None,34707000,-235000,68810000,-3097000,37804000,12598000,3672000,5275000,-3109000,-3097000,5892000,None,None,7100000,-6087000,5892000,27607000,27372000,None,USD,2218359000,32249000,None,24167000,1573356000,632705000,1662000,128174000,55000,378443000,58081000,87062000,25261000,37824000,311443000,10129000,10129000,None,627400000,357729000,42937000,513394000,4037000,291701000,240660000,None,173140000,None,None,55000,None,378443000,-38405000,None,1105316000,None,8603000,1021392000,240660000,1019591000,1261913000,None,None,None,292612000,2218359000,41861000,None,52955000,USD,-300000,-13649000,-25393000,-11448000,7483000,7292000,-92000,-14256000,27607000,6741000,24842000,10766000,12891000,-2525000,2334000,None,-16341000,3568000,13645000,-16341000,None,6741000,51.19,56.92
6,2018-12-31,USD,537775000,144076000,359252000,178523000,31322000,26360000,0,0,31322000,-199000,131877000,-3125000,34447000,12199000,-3711000,None,None,None,32871000,0,0,4763000,-8617000,0,26559000,26360000,None,USD,1181958000,58602000,None,32208000,579618000,590935000,22651000,69784000,55000,344901000,77256000,80477000,40357000,31083000,269227000,10105000,10105000,None,618874000,348072000,36168000,451856000,8682000,276099000,233135000,None,189338000,None,None,55000,None,344901000,-38405000,None,64283000,None,11650000,None,233135000,54605000,310391000,None,None,None,284384000,1181958000,39765000,None,52584000,USD,-6611000,19879000,-55942000,-32015000,-12512000,-11657000,-2000,20071000,26559000,-14574000,53025000,1616000,12492000,-2377000,3232000,None,-16578000,9057000,17316000,-16578000,None,-14574000,38.79,51.19
7,2018-09-30,USD,514364000,71354000,413723000,100641000,25765000,20861000,0,0,25765000,511000,59452000,-3522000,29287000,11902000,-3989000,None,None,None,0,0,0,5415000,-7175000,0,20350000,20861000,None,USD,1143575000,57821000,None,31614000,571199000,561899000,23031000,74297000,54000,321448000,77735000,78612000,33806000,45657000,247860000,10080000,10080000,None,593088000,348413000,32487000,425466000,9688000,261454000,245604000,0,163483000,572376000,0,54000,0,321448000,-38405000,None,53606000,None,12035000,None,245604000,54704000,323339000,None,None,None,278802000,1143575000,55345000,None,52248000,USD,1992000,16928000,-14025000,-2680000,-22505000,-23539000,-44000,20492000,20350000,18473000,56037000,6653000,12196000,-2347000,1313000,0,-9997000,9907000,13337000,-9997000,None,18473000,37.92,38.79
8,2018-06-30,USD,496386000,34007000,430604000,65782000,28468000,22011000,0,0,28468000,-315000,22386000,-3307000,31775000,11621000,-3869000,None,None,None,0,1664000,0,6142000,-3307000,0,22326000,22011000,None,USD,1125847000,57854000,None,36391000,575568000,539788000,23391000,66972000,54000,303157000,77166000,81019000,37750000,27184000,230336000,10058000,10058000,None,591580000,327569000,31396000,400915000,12952000,251042000,268066000,0,153306000,550279000,0,54000,0,303157000,-38405000,None,55094000,None,12731000,None,268066000,53775000,345232000,None,None,None,274982000,1125847000,40136000,None,52033000,USD,7373000,19651000,-55781000,-49941000,-12428000,-12937000,73000,4680000,22326000,-7873000,60845000,-3360000,11910000,-2367000,1858000,0,7023000,3295000,13213000,7023000,None,-7873000,35.82,37.92
9,2018-03-31,USD,492134000,35062000,424093000,68041000,29814000,23132000,0,0,29814000,-161000,25104000,-3165000,32979000,11622000,-3613000,None,None,None,0,-1664000,0,6521000,-1501000,0,23293000,23132000,None,USD,1092709000,57485000,None,37529000,566766000,517995000,23518000,63088000,54000,285398000,75036000,80963000,40830000,35057000,211281000,10035000,10035000,None,541019000,344726000,28065000,379547000,13631000,258509000,280449000,0,138158000,525943000,0,54000,0,285398000,-38405000,None,55785000,None,12731000,None,280449000,51518000,355485000,None,None,None,270948000,1092709000,48688000,None,51764000,USD,-10025000,-12891000,-25463000,-4356000,-22512000,-22212000,-383000,-3495000,23293000,-7280000,40395000,8568000,11921000,-2328000,2628000,0,6453000,3051000,11082000,6453000,None,-7280000,26.3,35.82
