,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,448405000,112660000,241033000,207372000,94925000,68036000,32572000,None,82397000,None,66872000,213000,94712000,13216000,-13005000,14361000,213000,-12792000,None,None,None,14361000,477000,None,68036000,68036000,None,USD,2804040000,342258000,None,773416000,1530547000,1231789000,71494000,58626000,1349000,447590000,108600000,725678000,24144000,532667000,237955000,None,None,-48777000,475202000,1188847000,None,931235000,None,275557000,1183992000,332885000,179329000,None,None,1349000,None,447590000,-7112000,None,72055000,None,889515000,41704000,1183992000,37106000,1292592000,None,None,None,838739000,2804040000,532667000,None,134746225,USD,-24097000,48300000,-24097000,191000,103036000,92148000,-1281000,2092000,68036000,198072000,130021000,2092000,33855000,-10805000,1198000,-37157000,None,12987000,24288000,1908000,-482000,197590000,59.05,
1,2020-03-31,USD,412327000,104734000,226849000,185478000,80187000,61006000,29632000,None,69628000,None,58891000,-557000,80744000,16211000,10559000,8622000,321000,-10238000,None,None,None,8622000,-878000,None,61006000,61006000,None,USD,2598565000,355815000,None,778973000,1383689000,1171327000,71516000,60857000,1348000,390542000,106811000,726234000,25311000,335077000,201990000,4000000,4000000,-46610000,474841000,966306000,None,859061000,None,277796000,1074888000,300694000,137133000,None,None,1348000,None,390542000,-7112000,None,75369000,None,906025000,43549000,1074888000,35295000,1181699000,None,None,None,833159000,2598565000,335077000,None,134606529,USD,-98210000,-38245000,-98210000,-75625000,142000000,71685000,-30455000,3426000,61006000,-15122000,11403000,3426000,36859000,-10847000,-29013000,-18205000,None,10557000,22585000,-43995000,-1712000,-16834000,44.77,59.05
2,2019-12-31,USD,426998000,113551000,229362000,197636000,84469000,57438000,30352000,None,71094000,None,67171000,384000,84085000,16028000,13375000,13656000,632000,-12743000,None,None,None,13656000,-248000,None,57438000,57438000,None,USD,2516086000,333952000,None,58979000,1306370000,1165889000,71586000,87778000,1349000,366127000,109453000,695044000,24989000,351911000,264433000,4000000,4000000,-37259000,479544000,932397000,None,180720000,None,234409000,932484000,287098000,172655000,None,None,1349000,None,366127000,-7112000,None,63904000,11245000,1583689000,43827000,932484000,37867000,1041937000,None,None,None,842784000,2516086000,351911000,None,134727368,USD,-35859000,26344000,-35859000,-9927000,-2000000,-24992000,-145000,-5223000,57438000,67793000,128644000,-5223000,38710000,-10787000,-12060000,-15665000,27241000,-201000,25932000,27241000,1370000,69163000,50.09,44.77
3,2019-09-30,USD,394147000,117557000,223797000,170350000,53031000,40767000,31173000,None,41643000,None,71232000,238000,52793000,15152000,11388000,876000,1172000,-10216000,None,None,None,876000,-934000,None,40767000,40767000,None,USD,2467684000,367558000,None,49916000,1303392000,1119917000,103326000,74528000,1351000,332579000,156232000,659840000,37357000,282748000,213080000,4000000,4000000,-44113000,470005000,884240000,None,136894000,None,261306000,934080000,290270000,134552000,None,None,1351000,None,332579000,-7112000,None,62850000,None,23191000,44375000,934080000,52906000,1090312000,None,None,None,837212000,2467684000,282748000,None,134939086,USD,-240810000,-15169000,-240810000,-214488000,-2000000,-22662000,-281000,-840000,40767000,-238181000,25291000,-840000,34458000,-10815000,-11566000,-9398000,-35841000,11314000,26322000,-35841000,-453000,-238634000,47.06,50.09
4,2019-06-30,USD,378874000,111365000,212600000,166274000,178547000,123997000,30624000,None,167232000,None,64150000,123638000,54909000,16591000,11315000,43235000,1623000,-9692000,None,None,None,43235000,122015000,None,123997000,123997000,None,USD,2424722000,266425000,None,46456000,1281561000,1102549000,89848000,70263000,1353000,315511000,132746000,583328000,37085000,521382000,215140000,4000000,4000000,-38125000,445254000,1048454000,None,293408000,None,218682000,933675000,261934000,140877000,None,None,1353000,None,315511000,-7112000,None,58108000,None,23153000,40612000,933675000,42898000,1066421000,None,None,None,830922000,2424722000,521382000,None,135141280,USD,-25114000,50576000,-25114000,522000,-1000000,-26315000,-821000,-4626000,123997000,179472000,230901000,-4626000,35187000,-9494000,-15000000,5840000,14545000,5382000,25636000,14545000,-450000,179022000,37.32,47.06
5,2019-03-31,USD,391047000,129902000,213654000,177393000,48964000,32658000,28991000,None,38080000,None,82254000,1473000,47491000,18657000,10884000,5422000,1225000,-9659000,None,None,None,5422000,248000,None,32658000,32658000,None,USD,2314008000,284581000,None,76804000,1272997000,1000464000,84080000,74622000,1357000,213481000,125948000,584537000,35815000,342360000,212780000,4000000,4000000,-36399000,442395000,922812000,None,171893000,None,232138000,934269000,271510000,134158000,None,None,1357000,None,213481000,-7112000,None,56864000,None,22819000,40547000,934269000,41868000,1060217000,None,None,None,829137000,2314008000,342360000,None,135513636,USD,-84057000,-87892000,-84057000,-49592000,-1000000,-52851000,-7977000,18211000,32658000,-139446000,-2538000,18211000,35378000,-9470000,-34404000,-2131000,-9109000,10347000,34465000,-9109000,-256000,-139702000,35.69,37.32
6,2018-12-31,USD,401642000,108432000,221902000,179740000,69358000,80784000,30675000,0,59706000,0,60707000,-1950000,71308000,17050000,9652000,None,None,None,0,0,0,-21078000,-16990000,0,80784000,80784000,None,USD,2317641000,295687000,None,57081000,1305616000,1012025000,69290000,62732000,1362000,213753000,101085000,550202000,22885000,482062000,269668000,4000000,4000000,-33636000,419529000,1029338000,None,166136000,None,222055000,934863000,268140000,202936000,None,None,1362000,None,213753000,-7112000,None,12723000,10162000,1288303000,None,934863000,31795000,1035948000,None,None,None,837658000,2317641000,482062000,None,135976981,USD,None,8202000,-35353000,-537000,285750000,131381000,-3246000,-15215000,80784000,187355000,91327000,-15215000,35764000,-9890000,-141233000,-9312000,-8760000,-136000,34816000,-8760000,-186000,187169000,27.895,35.69
7,2018-09-30,USD,398597000,113741000,216881000,181716000,67474000,48060000,29964000,0,59487000,0,62358000,-501000,67975000,21419000,7987000,None,None,None,0,0,0,11427000,-12521000,0,48060000,48060000,None,USD,2103456000,323379000,None,49234000,1019785000,1083671000,125816000,55389000,1416000,258223000,158148000,542235000,23190000,294893000,211012000,None,None,-33665000,393706000,820946000,None,218057000,0,212729000,650625000,264090000,155623000,0,0,1416000,0,258223000,-7112000,None,11455000,None,11735000,None,650625000,32332000,808773000,None,None,None,864809000,2103456000,294893000,None,141404935,USD,None,3848000,-24834000,3066000,293150000,-20286000,-389000,1190000,48060000,39023000,84143000,1190000,37956000,-9899000,-9998000,-6316000,-11400000,10805000,27900000,-11400000,-1236000,37787000,28.95,27.895
8,2018-06-30,USD,383059000,107445000,200681000,182378000,72427000,54349000,30231000,0,64131000,0,65200000,-2506000,74933000,12014000,8296000,None,None,None,0,0,0,9782000,-15810000,0,54349000,54349000,None,USD,2066108000,361429000,None,51367000,1013203000,1052905000,127741000,56828000,1417000,222381000,158718000,529933000,20261000,257106000,204262000,650223000,650223000,-32250000,380259000,774226000,None,161543000,0,200395000,650223000,265358000,147434000,0,0,1417000,0,222381000,0,None,9281000,None,10980000,None,650223000,30977000,808941000,None,None,None,861357000,2066108000,257106000,None,141691182,USD,None,4812000,-367200000,-340810000,-2000000,-17905000,1460000,3601000,54349000,-286816000,98289000,3601000,27816000,-9919000,-7446000,-7517000,8698000,6530000,26390000,8698000,-6314000,-293130000,33.9,28.95
9,2018-03-31,USD,367199000,97524000,191202000,175997000,79267000,57562000,27586000,0,71108000,0,58269000,794000,78473000,11669000,8159000,None,None,None,0,0,0,13546000,-7365000,0,57562000,57562000,None,USD,1961330000,190814000,None,51385000,936936000,1024394000,86869000,39959000,1418000,186276000,120647000,375340000,585979000,550236000,266468000,100000000,100000000,-19673000,364301000,1011050000,None,458240000,0,195284000,549821000,214145000,126509000,0,0,1418000,0,186276000,0,None,9639000,None,10186000,None,549821000,33778000,670468000,None,None,None,856373000,1961330000,550236000,None,141802172,USD,None,-27293000,-58557000,-37510000,-25000000,-58779000,-14369000,-2962000,57562000,-78519000,38817000,-2962000,27566000,-9883000,-9527000,-14955000,-6011000,4910000,21047000,-6011000,3347000,-75172000,34.8,33.9
