,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,SEK,55578000000.0,51617000000.0,34661000000.0,20917000000.0,6117000000.0,2452000000.0,10035000000.0,None,4143000000.0,-533000000.0,7052000000.0,None,3961000000.0,-131000000.0,152000000.0,1558000000,292000000,292000000,None,None,None,1558000000.0,-110000000.0,None,2585000000.0,2452000000.0,None,SEK,276778000000.0,6267000000.0,None,None,198306000000.0,79005000000.0,4078000000,34834000000.0,79005000000,None,43822000000.0,31130000000.0,36713000000.0,45655000000.0,124503000000.0,None,15290000000,79005000000,22247000000.0,151643000000,34409000000,45686000000,6740000000.0,38325000000,22581000000.0,31917000000.0,32182000000.0,None,None,None,None,None,None,None,None,None,125135000000,9702000000,29981000000,1813000000,73803000000,None,None,None,None,None,51394000000,None,None,SEK,-499000000,3104000000,-499000000,-126000000,-618000000,-4558000000,-1451000000.0,-1990000000,2452000000.0,-2692000000,5449000000,None,2156000000,-2489000000.0,None,-1253000000,0.0,980000000,1538000000.0,None,None,None,9.3,
1,2020-03-31,SEK,49750000000.0,45256000000.0,29962000000.0,19788000000.0,6614000000.0,2156000000.0,9145000000.0,0,3404000000.0,-728000000.0,6238000000.0,0,4494000000.0,-89000000.0,28000000.0,1124000000,-902000000,-902000000,0,0,0,1124000000.0,-188000000.0,0,2280000000.0,2156000000.0,0,SEK,292307000000.0,6800000000.0,None,0,213194000000.0,79841000000.0,4217000000,40521000000.0,79841000000,0,48970000000.0,33082000000.0,37671000000.0,48347000000.0,133138000000.0,0,17759000000,79841000000,22833000000.0,162093000000,35888000000,44176000000,8947000000.0,42572000000,23381000000.0,32588000000.0,29840000000.0,0,0,0,0,0,0,0,130214000000,0,130214000000,10101000000,31086000000,2178000000,80056000000,0,0,0,0,0,56181000000,0,3317000000,SEK,-5031000000,1811000000,-5031000000,-42000000,-596000000,1431000000,2036000000.0,-7274000000,2156000000.0,3268000000,4302000000,0,2120000000,-9000000.0,0,-538000000,5559000000.0,468000000,1375000000.0,0,0,0,8.09,9.3
2,2019-12-31,SEK,66373000000.0,60850000000.0,41939000000.0,24434000000.0,8678000000.0,4430000000.0,10633000000.0,0,6054000000.0,-681000000.0,8222000000.0,0,5523000000.0,56000000.0,37000000.0,1570000000,-71000000,493000000,0,0,0,1570000000.0,38000000.0,0,4484000000.0,4430000000.0,0,SEK,276383000000.0,6531000000.0,None,1,194505000000.0,82559000000.0,4040000000,6008000000.0,16672000000,38864000000,41834000000.0,31200000000.0,37476000000.0,45079000000.0,116819000000.0,0,9439000000,2292000000,22337000000.0,153914000000,31227000000,48868000000,8253000000.0,43069000000,28257000000.0,30863000000.0,30403000000.0,0,0,0,0,0,0,0,122469000000,0,122469000000,9882000000,35852000000,2114000000,77686000000,0,0,0,0,0,51838000000,0,3306000000,SEK,-4772000000,-3725000000,-4772000000,-74000000,-336000000,108000000,247000000.0,-5716000000,4430000000.0,-6104000000,496000000,0,1800000000,-15000000.0,0,5200000000,-3216000000.0,1723000000,1804000000.0,0,0,0,8.78,8.09
3,2019-09-30,SEK,57127000000.0,61309000000.0,35587000000.0,21540000000.0,-1983000000.0,-6229000000.0,9497000000.0,0,-4881000000.0,-725000000.0,4920000000.0,0,-4182000000.0,-195000000.0,214000000.0,2013000000,-685000000,-685000000,0,0,0,2013000000.0,-14000000.0,0,-6894000000.0,-6229000000.0,0,SEK,288531000000.0,6433000000.0,None,0,211056000000.0,78200000000.0,4024000000,34624000000.0,78200000000,0,42673000000.0,32565000000.0,37337000000.0,51183000000.0,123342000000.0,0,1622000000,78200000000,22016000000.0,165633000000,31066000000,43226000000,7200000000.0,41228000000,37153000000.0,36056000000.0,30672000000.0,0,0,0,0,0,0,0,122898000000,0,122898000000,10114000000,45041000000,2163000000,87714000000,0,0,0,0,0,57049000000,0,3326000000,SEK,-3058000000,-6901000000,-3058000000,-56000000,-1052000000,203000000,1396000000.0,10605000000,-6229000000.0,5684000000,6989000000,0,2199000000,-141000000.0,0,1077000000,6528000000.0,-290000000,1544000000.0,0,0,0,7.98,8.78
4,2019-06-30,SEK,54810000000.0,51155000000.0,34739000000.0,20071000000.0,5929000000.0,1705000000.0,9518000000.0,0,3298000000.0,45000000.0,6964000000.0,0,3655000000.0,-66000000.0,67000000.0,1451000000,-441000000,-441000000,0,0,0,1451000000.0,84000000.0,0,1847000000.0,1705000000.0,0,SEK,280447000000.0,6438000000.0,None,0,195914000000.0,84488000000.0,3971000000,33351000000.0,84488000000,0,39903000000.0,30964000000.0,29169000000.0,45498000000.0,115272000000.0,0,2160000000,84488000000,21419000000.0,163806000000,28651000000,51057000000,7476000000.0,44956000000,33040000000.0,36135000000.0,31388000000.0,0,0,0,0,0,0,0,116641000000,0,116641000000,10096000000,40739000000,2160000000,80642000000,0,0,0,0,0,51865000000,0,3325000000,SEK,1021000000,192000000,4289000000,7604000000,-623000000,-4611000000,-1690000000.0,-1794000000,1705000000.0,46000000,3623000000,0,2274000000,-3308000000.0,0,-3065000000,3338000000.0,973000000,1544000000.0,0,0,0,9.5,7.98
5,2019-03-31,SEK,48906000000.0,44552000000.0,30127000000.0,18779000000.0,7260000000.0,2317000000.0,9167000000.0,0,4291000000.0,-1009692.98,6031000000.0,0,4354000000.0,313352.99,643000000.0,1888000000,38000000,-605000000,0,0,0,21911498.23,542000000.0,0,2403000000.0,26890329.14,0,SEK,283958000000.0,6653000000.0,None,0,199426000000.0,84619000000.0,46086101.42,38528000000.0,982059888.29,0,421216057.69,30870000000.0,413068879.85,45453000000.0,122129000000.0,0,3015000000,1535.14,251007353.71,160912000000,34206000000,592666567.97,5138000000.0,50529000000,32533000000.0,33024000000.0,30842000000.0,0,0,0,0,0,0,0,123046000000,0,123046000000,10246000000,743.87,2118000000,77297000000,0,0,0,0,0,882.34,0,3300000000,SEK,3268000000,98450868.39,37927317.92,-1914934.96,-7009822.53,-2600000000,-11721723.1,-111333158.14,2317000000.0,7064000000,5765000000,0,2326000000,-986000000.0,0,-2951000000,4345000000.0,9725548.48,1771000000.0,0,0,0,9.18,9.5
6,2018-12-31,USD,10383493.33,9839494.55,7058477.75,3325015.58,543998.78,-1066354.77,1645828.2,0,-417722.07,128880.36,1229407.95,0,543998.78,-31406.45,-72088.38,None,None,None,0,0,0,639519.96,-961720.85,0,-1057242.02,-1066354.77,0,USD,43734865.79,565316.11,None,109353.03,29452253.47,14153731.97,689477.37,7415014.19,2712996.61,7416316.01,6380065.87,4887527.19,4648968.34,6246954.59,18048782.76,0,59721.07,125315727.45,2090888.52,26226339.07,5315826.56,8700888.67,1078071.17,13689469.77,5023404.84,4760599.56,4862792.57,0,0,0,0,0,0,0,0,0,0,0,44476724.07,0,0,0,0,0,0,0,64855045.59,0,3291000000,USD,-195436,805502.23,-358651.90,-15621.86,-136203.10,-91615.71,27175.53,1708641.10,-1066354.77,379318.32,697613.75,0,120743.97,-21805.52,0,274847.13,-1223875.21,827145.02,173955.94,0,0,0,8.87,9.18
7,2018-09-30,USD,6015180477.77,5591401455.45,3798025867.18,2217154610.6,423779022.32,306851336.4,1025520641.2,0,290866002.66,96806286.82,725600008.94,0,423779022.32,-3465352.07,-46279217.95,None,None,None,0,0,0,-16320690.39,-132913019.66,0,307186693.05,306851336.4,0,USD,29606179505.24,390466928.24,None,0,18880020568.54,10629352649.88,549761337.85,8015694691.3,10629352649.88,0,3870574689.52,3411024291.0,3392244318.5,4030763383.53,11523189912.47,0,275327811.13,0,1431972903.18,17463138714.69,3517332349.62,6827861430.63,736778564.0,9271046424.54,3486255966.55,3424550342.62,3232167410.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3293000000,USD,3353566.52,81938808.59,-192494718.13,-21239254.61,-93564505.85,28169958.75,28393529.85,409917614.05,306851336.4,-110891266.19,228042523.22,0,135819443.98,-223571.1,0,-198195781.21,-391584783.75,-192494718.13,121622679.05,0,0,0,8.8,8.87
8,2018-06-30,USD,5555518376.0,5330321789.08,3517706764.82,2037811611.18,225196586.92,-210250404.33,1035190452.29,0,-71942446.04,97150186.83,737493725.95,None,225196586.92,-1226925.44,-87557860.69,None,None,None,0,0,0,129050248.17,-297139032.96,0,-200992694.22,-210250404.33,None,USD,29593664603.2,433104679.05,None,0,19158106073.28,10338408343.09,608778093.80,8189169594.56,10338408343.09,0,4016061569.35,3362333389.1,3390552674.14,4132396408.45,11669733980.26,294685182.09,294685182.09,0,1438179688.81,17561876080.53,3407618091.57,6542970274.94,926217165.8,9151525291.39,3472310523.67,3351737214.88,3185879203.61,0,0,0,0,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,3290000000,USD,407785399.59,113657910.88,178796497.69,-44392393.06,-93357871.84,-409570018.40,-42719312.92,103842507.39,-210250404.33,39373152.64,160838770.84,None,159500306.73,-366850705.48,0,-213038871.23,185265740.9,-48965478.78,106073280.91,None,None,None,7.67,8.8
9,2018-03-31,USD,5191523000.0,42554000000.0,3099653000.0,15601000000.0,857000000.0,-837000000.0,1085040000.0,0,-853000000.0,13394000.0,1773281000.0,None,92444000.0,-84000000.0,56088000.0,None,None,None,0,0,0,-128000000.0,-1710000000.0,0,-725000000.0,-837000000.0,None,USD,31174853000.0,4407970000.0,None,2867769000,19997250000.0,11086356000.0,4229000000,8935051000.0,92703000000,None,3711477000.0,3441443000.0,11570815000.0,4388595000.0,12403999000.0,2554000000,2554000000,None,1544147000.0,151015000000,34228000000,60073000000,652125000.0,79856000000,3723317000.0,3469188000.0,3163515000.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,3286000000,USD,-534000000,159000000,-1809000000,161000000,None,-94000000,-94000000.0,-2084000000,-837000000.0,813000000,188115000,None,1275000000,-3289000000.0,None,-2813000000,922757000.0,-2059000000,102369000.0,None,None,None,6.4,7.67
