,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,13976000,None,None,None,None,4160000,None,None,5203000,None,5342000,None,None,1412000,3391000,1043000,15751000,12360000,None,None,None,1043000,None,None,4160000,4160000,None,USD,1615004000,None,None,None,1454223000,160781000,None,None,223000,5900000,8021000,None,1237459000,85326000,None,None,None,4230000,34712000,None,259911000,160781000,226867000,None,68167000,None,None,None,None,None,None,None,None,None,None,None,None,6264000,None,None,None,None,None,None,None,None,None,None,None,USD,-107270000,0,-107270000,-418000,13102000,154505000,142591000,-180000,4160000,54960000,7725000,None,691000,-1116000,-72000,None,None,3054000,104000,None,None,None,5.5,
1,2020-03-31,USD,13573000,8594000,None,10273000,1679000,1415000,None,None,1679000,None,5869000,None,1679000,1520000,3708000,264000,15946000,12238000,None,None,None,264000,None,None,1415000,1415000,None,USD,1453540000,None,253248000,None,1298072000,155468000,None,1221058000,223000,2856000,7443000,None,1151950000,30366000,1221058000,None,None,2170000,35299000,266184000,235818000,155468000,202711000,None,58333000,None,None,None,None,223000,None,2856000,None,None,52197000,None,1187356000,6513000,4124000,72890000,77014000,None,None,None,150219000,1453540000,266184000,None,22317420,USD,-22723000,0,-22723000,398000,-34604000,21090000,57610000,-672000,1415000,1682000,3315000,271000,721000,-1121000,-806000,None,None,1851000,76000,None,None,1682000,4.85,5.5
2,2019-12-31,USD,13174000,8668000,None,13591000,4923000,4045000,None,None,4923000,None,7199000,None,4923000,700000,3864000,878000,16277000,12413000,None,None,None,878000,-36000,None,4045000,4045000,None,USD,1430840000,None,243766000,2090000,1275361000,155479000,None,1187885000,224000,2562000,8071000,None,1136893000,28684000,1187885000,None,None,1965000,35944000,260241000,231557000,155479000,186969000,None,68500000,4527000,1163448000,None,None,224000,None,2562000,None,None,52244000,None,1170599000,6737000,4124000,83352000,87476000,None,None,None,150728000,1430840000,260241000,None,22422621,USD,-19314000,0,-19314000,292000,19199000,4703000,-13794000,1448000,4045000,-8114000,6497000,1116000,724000,-897000,195000,None,None,280000,246000,None,None,-8114000,8.88,4.85
3,2019-09-30,USD,14930000,9230000,None,14930000,5700000,4613000,None,None,5700000,None,5887000,None,5700000,1588000,4041000,1087000,17460000,13419000,None,None,None,1087000,-449000,None,4613000,4613000,None,USD,1422681000,None,251043000,1589000,1270043000,152638000,None,1177241000,223000,-586000,7816000,None,1114745000,36798000,1250908000,73667000,None,2737000,36422000,274099000,237301000,152638000,190159000,None,73667000,4740000,1177241000,None,None,223000,None,-586000,None,None,52609000,None,1148582000,6967000,4124000,15011000,19135000,None,None,None,150264000,1422681000,274099000,None,22335411,USD,10905000,0,10905000,-1211000,25042000,-14351000,-38966000,1012000,4613000,4016000,7462000,981000,726000,-670000,243000,None,None,1111000,149000,None,None,4016000,8.6,8.88
4,2019-06-30,USD,13451000,8991000,None,13326000,4335000,3544000,None,None,4335000,None,6014000,None,4335000,1559000,3906000,791000,15906000,12000000,None,None,None,791000,-459000,None,3544000,3544000,None,USD,1431131000,None,275553000,1891000,1283735000,147396000,None,1216208000,223000,-4529000,7470000,None,1252000,32554000,1216208000,None,None,1950000,31887000,292772000,259990000,147396000,211904000,None,48696000,983000,1216208000,None,None,223000,None,-4529000,None,None,53677000,None,1138359000,7192000,4124000,63403000,67527000,None,None,None,149752000,1431131000,292772000,None,22258456,USD,-33525000,-246000,-33525000,70000,-20376000,27410000,48085000,-1366000,3544000,-3024000,3091000,-1361000,749000,-667000,368000,None,None,165000,71000,None,None,-3024000,8.47,8.6
5,2019-03-31,USD,13139000,8840000,None,13139000,4299000,3503000,None,None,4299000,None,8840000,None,4299000,1438000,3681000,796000,15806000,12125000,None,None,None,796000,-142000,None,3503000,3503000,None,USD,1398497000,None,269371000,1648000,1256189000,142308000,None,1168123000,222000,-7406000,7452000,None,1252000,35806000,1168123000,None,None,377000,32394000,285784000,1027589000,142308000,249978000,None,4124000,1225000,1168123000,None,None,222000,None,-7406000,None,None,52730000,None,1112713000,7418000,4124000,83942000,88066000,None,None,None,149115000,1398497000,285784000,None,22168979,USD,5377000,-58000,4868000,-310000,-9815000,-7245000,3148000,-424000,3503000,1587000,3964000,-333000,886000,-665000,87000,None,None,-34000,199000,None,None,1587000,7.32,8.47
6,2018-12-31,USD,13128000,8984000,12093000,13128000,4144000,3357000,0,0,4144000,0,8984000,None,4144000,686000,355000,None,None,None,0,0,0,787000,-132000,0,3357000,3357000,None,USD,1393150000,None,None,1398000,1255689000,137461000,None,1164975000,221000,-10244000,7703000,None,1075859000,34219000,1164975000,10280000,10280000,-1279000,32740000,1322843000,146000,137461000,256634000,1031990000,4124000,1099000,1164975000,None,None,221000,None,-10244000,None,None,37421000,None,70307000,None,4124000,86590000,90714000,None,None,None,148763000,1393150000,290853000,None,22132304,USD,-33375000,1142000,-33001000,604000,5067000,36185000,31087000,1805000,3357000,9884000,6700000,522000,915000,-665000,31000,None,None,764000,230000,None,None,9884000,7.22,7.32
7,2018-09-30,USD,13191000,8291000,10469000,13191000,4900000,3955000,0,0,4900000,0,8291000,None,4900000,1376000,465000,None,None,None,0,0,0,945000,-258000,0,3955000,3955000,None,USD,1350420000,0,None,1252000,1218617000,131803000,0,1133888000,221000,-13601000,6785000,0,1046804000,276383000,1197708000,63820000,None,-3311000,33034000,1277952000,244162000,131803000,7886000,1001569000,4124000,1732000,1133888000,0,0,221000,0,-13601000,0,None,39434000,None,72468000,None,4124000,16785000,20909000,None,None,None,148494000,1350420000,276383000,None,22120862,USD,4097000,238000,2597000,1080000,-16871000,-6875000,9988000,-31000,3955000,528000,4806000,-458000,938000,-665000,8000,0,0,133000,2580000,None,None,528000,8.8,7.22
8,2018-06-30,USD,12782000,8187000,10061000,12782000,4595000,3782000,0,0,4595000,0,8187000,None,4595000,1313000,508000,None,None,None,0,0,0,813000,-243000,0,3782000,3782000,None,USD,1353868000,0,None,552000,1225224000,128644000,0,1123900000,221000,-17556000,6509000,0,1052400000,275894000,1214591000,90691000,94815000,-2263000,30975000,1283166000,243152000,128644000,8935000,1007272000,4124000,3147000,1123900000,0,0,221000,0,-17556000,0,None,39727000,None,70702000,None,4124000,6509000,10633000,None,None,None,148242000,1353868000,275894000,None,22111495,USD,2259000,-148000,1082000,-8000,-30370000,-2713000,27580000,-609000,3782000,2501000,4132000,-672000,977000,-665000,77000,0,0,193000,1169000,None,None,2501000,8.95,8.8
9,2018-03-31,USD,12549000,9415000,11050000,12549000,3134000,2594000,0,0,3134000,0,9415000,None,3134000,1649000,469000,None,None,None,0,0,0,540000,-256000,0,2594000,2594000,None,USD,1353232000,0,None,3166000,1228188000,125044000,0,1096320000,221000,-21338000,6683000,0,292285000,277361000,1197381000,101061000,125185000,-1774000,30286000,1283887000,246699000,125044000,9356000,1006526000,4124000,3166000,1096320000,0,0,221000,0,-21338000,0,None,39059000,None,69345000,None,4124000,26683000,30807000,None,None,None,147935000,1353232000,277361000,None,22084193,USD,-19467000,673000,-20072000,-57000,14783000,15369000,556000,491000,2594000,-652000,4051000,-376000,956000,0,30000,0,0,204000,548000,None,None,-652000,9.0,8.95
