,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,0,6964966,None,None,-6964966,-6967395,5782094,None,-6967395,None,1182872,None,-6964966,None,2429,None,485,-2429,None,None,None,None,None,None,-6967395,-6967395,None,USD,8267056,None,None,205453,8640732,-373676,None,5175379,2601,-94488094,None,None,None,7990392,6640732,None,104168,None,71211,8195845,None,-373676,None,None,2000000,None,1465353,None,None,2601,None,-94488094,None,None,71211,None,71211,71211,2000000,None,2000000,None,None,None,94111817,8267056,7990392,None,26011263,USD,None,-179682,None,None,2104168,5413284,None,228042,-6967395,3857204,-1556080,5228042,None,None,3309116,None,None,362955,0,None,None,3857204,3.54,
1,2020-03-31,USD,0,1793687,None,None,-1790309,-1790309,463853,None,-1786931,None,1329834,3378,-1793687,None,-3378,None,3378,3378,None,None,None,None,None,None,-1786931,-1790309,None,USD,4637894,None,None,399354,1716246,2921648,None,105352,2446,-87520699,None,None,None,4133188,1716246,None,None,None,105352,4532542,None,2921648,None,None,None,None,1610894,None,None,2446,None,-87520699,None,None,105352,None,105352,105352,None,None,0,None,None,None,90439901,4637894,4133188,None,24456914,USD,None,-298837,None,None,2104168,21250,None,227089,-1790309,-1530645,-1551895,227089,None,None,21250,None,None,310162,0,None,None,-1530645,1.16,3.54
2,2019-12-31,USD,0,1424158,None,None,-1424158,-1418228,641541,None,-1418228,None,782617,None,-1424158,None,-5930,None,5930,5930,None,None,None,None,5930,None,-1418228,-1418228,None,USD,6395628,None,None,581706,2015083,4380545,None,138538,2443,-85730390,None,None,11551,5663833,2015083,None,None,None,138538,6245539,None,4380545,None,None,None,None,1876545,None,None,2443,None,-85730390,None,None,150089,None,150089,138538,None,None,0,None,None,None,90108492,6395628,5663833,None,24431914,USD,None,-277616,None,None,2104168,306721,None,229299,-1418228,-840969,-1147690,229299,None,None,306721,None,None,318855,0,None,None,-840969,1.62,1.16
3,2019-09-30,USD,0,1636662,None,None,-1636662,-1628065,822444,None,-1628065,None,814218,None,-1636662,None,-8597,None,8597,8597,None,None,None,None,8597,None,-1628065,-1628065,None,USD,7327358,None,None,787158,2154161,5173197,None,35398,2423,-84312162,None,None,None,6504802,2154161,None,None,None,35398,7291960,None,5173197,None,None,None,None,2118763,None,None,2423,None,-84312162,None,None,35398,None,35398,35398,None,None,0,None,None,None,89482936,7327358,6504802,None,24231914,USD,None,869143,None,None,2104168,123813,None,-631471,-1628065,-935277,-1059090,-631471,None,None,123813,None,None,331303,0,None,None,-935277,0.86,1.62
4,2019-06-30,USD,0,2123738,None,None,-2123738,-2114096,1205599,None,-2114096,None,918139,None,-2123738,None,-9642,None,9642,9642,None,None,None,None,9642,None,-2114096,-2114096,None,USD,7631164,None,None,121290,1285018,6346146,None,69795,2411,-82684097,None,None,None,7440079,1285018,None,None,None,69795,7561369,None,6346146,None,None,None,None,1215223,None,None,2411,None,-82684097,None,None,69795,None,69795,69795,None,None,0,None,None,None,89027832,7631164,7440079,None,24113956,USD,None,-2369,None,None,None,5039956,None,143197,-2114096,3411529,-1628427,143197,None,None,5039956,None,None,344841,0,None,None,3411529,0.625,0.86
5,2019-03-31,USD,0,1969895,None,None,-1969895,-1965266,746882,None,-1965266,None,1223013,None,-1969895,None,-4629,None,4630,4629,None,None,None,None,4629,None,-1965266,-1965266,None,USD,4362832,None,None,231030,1287387,3075445,None,103252,1788,-80570001,None,None,None,4028550,1287387,103252,103252,None,103250,4259580,None,3075445,None,None,None,None,1184135,None,None,1788,None,-80570001,None,None,103252,None,103252,103252,None,None,0,None,None,None,83643658,4362832,4028550,None,17877533,USD,None,-482878,None,None,None,636432,None,142299,-1965266,-1290454,-1926886,142299,None,None,636432,None,None,378959,0,None,None,-1290454,1.5,0.625
6,2018-12-31,USD,0,6603643,0,0,-1768421,-1760633,3466092,0,-1760633,0,3137551,None,-1768421,0,-7788,None,None,None,0,0,0,0,7788,0,-1760633,-1760633,None,USD,5659773,None,None,329218,1634453,4025320,None,None,1743,-78604735,None,None,11551,5319004,1634453,None,None,None,None,5648222,None,4025320,None,None,None,None,1634453,None,None,1743,None,-78604735,None,None,11551,None,11551,None,None,None,None,None,None,None,82628312,5659773,5319004,None,17427533,USD,None,23776,None,None,None,636432,None,109739,-1760632,-1248914,-1248914,109739,None,None,4618300,None,None,378203,0,None,None,-1248914,2.48,1.5
7,2018-09-30,USD,0,1522557,0,0,-1522557,-1519468,625497,0,-1519468,0,897060,None,-1522557,0,-3089,None,None,None,0,0,0,0,3089,0,-1519468,-1519468,None,USD,7018426,0,None,438957,1610677,5407749,0,985000,1743,-76844103,None,0,11551,6567918,1610677,None,None,None,0,7006875,None,5407749,0,None,0,0,1610677,0,0,1743,0,-76844103,0,None,11551,None,11551,None,None,None,None,None,None,None,82250109,7018426,6567918,None,17427533,USD,None,344743,0,0,None,1186777,None,-355275,-1519468,36839,-1149938,-355275,0,0,1186777,0,0,380062,0,None,None,36839,2.98,2.48
8,2018-06-30,USD,0,2306096,0,0,-2306096,-2303193,1388791,0,-2303193,0,917305,None,-2306096,0,-2903,None,None,None,0,0,0,0,2903,0,-2303193,-2303193,None,USD,6626312,0,None,95233,1265934,5360378,0,825000,1690,-75324635,None,0,0,6531079,1265934,None,None,None,0,6626312,None,5360378,0,None,0,0,1265934,0,0,1690,0,-75324635,0,None,None,None,None,None,None,None,None,None,None,None,80683323,6626312,6531079,None,16898664,USD,None,70341,0,0,None,2886877,None,83682,-2303194,1125135,-1761742,83682,0,0,2886877,0,0,387429,0,None,None,1125135,2.5,2.98
9,2018-03-31,USD,0,-2417611,0,0,-1984219,-1982786,-1385366,0,-1982786,0,-1032245,433392,-2417611,0,-1433,None,None,None,0,0,0,0,434825,0,-1982786,-1982786,None,USD,5584859,0,None,178915,1195593,4389266,0,650000,1568,-73021441,None,0,0,5405944,1195593,None,None,None,0,5584859,None,4389266,0,None,0,0,1195593,0,0,1568,0,-73021441,0,None,None,None,None,None,None,None,None,None,None,None,77409139,5584859,5405944,None,15682480,USD,None,-879245,0,0,None,544643,None,83682,-1982786,-2273323,-2817966,83682,0,0,544643,0,0,-39617,0,None,None,-2273323,2.08,2.5
