,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,1455158,2288278,1399822,55336,-819876,-833957,None,None,-833157,None,None,None,-833120,None,665,800,627,-38,None,None,None,800,None,None,-833957,-833957,None,USD,5952478,247055,None,None,1365337,4587141,6986,None,5277,-47586059,None,None,57605,1952394,1365337,None,343083,None,293445,5354373,None,4340086,None,829478,None,2278271,359001,None,None,None,None,None,None,None,None,None,598105,87291,None,None,0,None,None,None,None,None,None,None,None,USD,-40811,-667661,-40811,None,336507,364356,-6986,122703,-833957,-479906,-803451,None,12616,None,None,296958,149133,116757,40811,None,None,None,9.97,
1,2020-03-31,USD,1317052,2258693,1356693,-39641,-923813,-942521,None,None,-942521,None,105520,None,-941641,None,9772,None,8892,-880,None,None,None,None,None,None,-942521,-942521,None,USD,7014154,222433,None,None,1744648,5269506,None,None,5251,-46752102,None,None,57092,2432300,1744648,None,6576,None,414366,6320263,None,5047073,None,978611,None,2525731,1007789,None,None,None,None,None,None,None,693891,None,693891,218225,None,None,0,None,None,None,52016360,None,2432300,None,5000000,USD,-143512,528217,-143512,None,-2718,279632,-6986,-439940,-942521,-1417156,-1553276,None,8936,None,282350,-605396,-214077,105515,143512,None,None,None,7.59,9.97
2,2019-12-31,USD,495876,1890056,998930,-503053,-1372383,-1390054,None,None,-1390054,None,175250,None,-1394179,None,7189,0,11314,4125,None,None,None,None,None,None,-1390054,-1390054,None,USD,7286999,205154,None,None,1462837,5824162,None,None,5207,-45809581,None,None,56869,3849456,1462837,223721,223721,None,419420,6605556,None,5619008,None,764534,None,1843880,485019,None,None,None,None,None,None,None,681443,None,681443,349160,None,None,0,None,None,None,51628540,None,3849460,None,4000000,USD,-58055,-221492,-58055,None,-2661,-2660,3001,-156254,-1390054,-1442773,-1382058,None,10482,None,0,-106785,302864,203444,58055,None,None,None,4.66,7.59
3,2019-09-30,USD,1785724,2408374,1444887,340836,-590857,-610363,None,None,-608094,None,52160,None,-622651,None,7182,2269,21739,14557,None,None,None,2269,-111944,None,-610363,-610363,None,USD,9021304,170782,None,None,1982342,7038962,None,86677,5140,-44419527,None,None,56869,5292229,1981402,223943,223943,None,530650,8263003,None,6868180,None,1069827,940,1695919,713443,None,None,None,None,None,None,None,758301,None,758301,480094,940,None,940,None,None,None,51453350,None,5292230,None,5000000,USD,-23746,-691070,-23746,None,-2652,-2652,3001,103444,-610363,-624989,-598591,None,10055,None,0,128780,295805,163260,23746,None,None,None,5.77,4.66
4,2019-06-30,USD,1640350,2319318,1578805,61545,-646249,-983874,None,None,-983043,None,143880,None,-678968,None,326760,831,-304070,-326760,None,None,None,831,22685,None,-983874,-983874,None,USD,10092139,151693,None,None,2606074,7486065,None,838261,5114,-43809164,87290,None,56869,5917218,2314002,10839,10839,None,665274,9218303,None,7334372,None,1365632,204782,1503254,656080,None,None,None,None,None,None,None,873836,None,873836,523738,204780,None,292072,None,None,None,51290120,None,5917220,None,5000000,USD,-14556,-1007132,-14556,None,-3634166,8429497,-1137166,-644198,-983874,5791427,-2623514,None,10034,None,13201000,-79803,-176010,32781,14556,None,None,None,4.94,5.77
5,2019-03-31,USD,1189600,1765364,1242700,-53100,-564496,-949630,None,None,-949630,None,33550,None,-575760,None,375206,0,-373870,-375206,None,None,None,None,1344,None,-949631,-949630,None,USD,4098600,140960,None,None,7491390,-3392790,233714,937869,2910,-42825290,218224,None,290580,125791,7079620,1980940,3419047,None,802650,2864400,None,-3533753,None,1189620,193550,1270070,1594215,None,None,None,None,None,None,None,1234198,None,1234198,523739,193550,None,411776,None,None,None,39429590,None,125790,None,3000000,USD,-13229,294280,-13230,None,155859,117170,-38690,42522,-949630,-118230,-222180,None,9930,None,None,-52647,101080,33551,13230,None,None,None,0.181,4.94
6,2018-12-31,USD,1503717,2428659,1793001,-289284,-924942,-1206346,3585,None,-1206346,None,632073,None,-924942,None,-285133,None,None,None,None,None,None,0,-281404,None,-1206346,-1206346,None,USD,3487192,131625,None,226547,5967871,-2480679,195028,907529,145331,-41875659,None,None,300569,244024,5681343,10520,10520,None,133235,2921763,None,-2612304,None,1290702,286528,1130966,1368257,None,None,None,None,None,None,None,None,None,None,None,286530,None,None,None,None,None,39249650,None,244020,None,3000000,USD,None,1236812,-26484,50270,430720,318889,-111831,181048,-1206346,-10916,-303321,None,11023,None,290000,-368788,-497010,129796,23470,None,None,None,0.195,0.181
7,2018-09-30,USD,938218,1394786,894068,44150,-456568,-606556,3585,None,-606556,None,500718,None,-456568,None,-148316,None,None,None,None,None,None,0,-149988,None,-606556,-606556,None,USD,2619635,130488,None,None,4505153,-1885518,113197,220602,145144,-40669313,None,None,218738,254940,4393222,10366,10366,None,124622,2145787,None,-2016006,None,793692,111931,756467,746628,None,None,None,None,None,None,None,None,None,None,None,111930,None,None,None,None,None,38638650,None,254940,None,3000000,USD,None,-76157,39060,50270,929046,851265,-77781,-249826,-606556,126265,-764060,None,15461,None,290000,141031,-104333,25582,23470,None,None,None,0.185,0.195
8,2018-06-30,USD,844495,1398912,825761,18734,-554417,-774271,3585,None,-774271,None,573151,None,-554417,None,-220468,None,None,None,None,None,None,0,-219854,None,-774271,-774271,None,USD,2233720,119645,None,None,3670045,-1436325,40416,70724,144894,-40062757,None,None,147414,128675,3552849,7602,7602,None,179234,1787427,None,-1555970,None,689359,117196,891990,972662,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,3000000,USD,None,394939,-17636,None,43715,3299,-40416,199460,-774271,-125550,-111213,None,18284,None,None,-348058,184410,32467,23470,None,None,None,0.24,0.185
9,2018-03-31,USD,2875972,3450841,2841672,34300,-574869,-1011607,3585,None,-1011607,None,609169,None,-574869,None,-437546,None,None,None,None,None,None,0,-436738,None,-1011607,-1011607,None,USD,2283530,102361,None,202289,3009012,-725482,None,55649,144706,-39288486,None,None,109788,254225,2991753,10057,10057,None,202673,1868708,None,-827843,None,873769,17259,538425,592799,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,3000000,USD,None,84244,-27222,-27222,-866166,-588166,-12000,-97913,-1011607,-149250,466138,None,18071,None,290000,1816855,-867823,144967,23470,None,None,None,0.355,0.24
10,2017-12-31,USD,308099,1278406,754582,-446483,-970307,-1251326,1772,None,-1251326,None,522052,None,-970307,None,-307582,None,None,None,None,None,None,0,-281019,None,-1251326,-1251326,None,USD,3242574,75279,None,30272,3591836,-349262,None,121937,141836,-38276879,None,None,156588,403475,3571216,9862,9862,None,226112,2784595,None,-424541,None,5946,20620,2319500,486690,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,3000000,USD,None,-187746,-18519,-543,251655,2281099,-55556,25954,-1251326,271967,-1990613,None,17472,None,2085000,-1095361,131905,114931,17976,None,None,None,0.15,0.355
11,2017-09-30,USD,225524,724372,234832,-9308,-498848,-566199,1772,None,-566199,None,489540,None,-498848,None,-65413,None,None,None,None,None,None,0,-67351,None,-566199,-566199,None,USD,2135708,74876,None,185278,3573443,-1437735,None,90167,127748,-37025553,None,None,156588,131508,3551234,10618,10618,None,230976,1673268,None,-1512611,None,137851,22209,1218631,661783,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,3000000,USD,None,-307419,-2789,-90,848420,856348,-7072,-28275,-566199,-140398,-993957,None,17128,None,15000,-519229,292464,100838,2699,None,None,None,0.1547,0.15
12,2017-06-30,USD,507730,1066128,520836,-13106,-558398,-604332,1772,None,-603532,None,545292,None,-558398,None,-47625,None,None,None,None,None,None,800,-45134,None,-604332,-604332,None,USD,1960804,74926,None,82402,3424168,-1463364,None,102667,127241,-36459354,None,None,156588,271906,2241564,1847206,1847206,None,250772,1478518,None,-1538290,None,430315,1182604,693895,969202,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,3000000,USD,None,245345,-876,-875,494668,698813,-10855,48591,-604332,226738,-471199,None,17306,None,215000,-335705,37486,119305,1,None,None,None,0.1,0.1547
13,2017-03-31,USD,370689,0,374543,-3854,-565592,-619573,1772,None,-619573,None,668989,None,-672843,None,53981,None,None,None,None,None,None,0,107251,None,-619573,-619573,None,USD,1478658,74192,None,110593,2681540,-1202882,None,115980,125206,-35855022,None,None,154778,45168,1820945,488293,488293,None,273444,976244,None,-1277074,None,467801,860595,352682,1216672,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2000000,USD,None,31796,-4181,-962,-5276,22324,-2400,-13478,-619573,36600,18457,None,18275,None,27600,-54231,693263,-37595,3219,None,None,None,0.14,0.1
14,2016-12-31,USD,1574047,0,1640136,-66089,-600309,-672200,None,None,-670600,None,1008811,None,-1074900,None,70291,None,None,None,None,None,None,1600,474591,None,-672200,-672200,None,USD,2057590,73370,None,94167,3442694,-1385104,None,75323,120105,-35235449,None,None,155578,8568,3413016,1984067,1984067,None,293041,1535601,None,-1458474,None,1161064,29678,271802,1353626,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2000000,USD,None,458505,-31017,-12608,-5253,318347,None,62335,-672200,-72127,-359457,None,60270,None,326000,542151,-810766,248,18409,None,None,None,0.144,0.14
