,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,353525000,345206000,319164000,34361000,9240000,8275000,None,None,8296000,204000,26042000,None,8319000,None,None,61000,None,None,None,None,None,61000,-23000,None,8235000,8275000,None,USD,154875000,2837000,None,None,76343000,78328000,None,None,1000,-61853000,None,8248000,7000,63551000,74583000,None,970000,147000,6982000,136801000,None,67243000,None,52543000,1585000,None,1642000,None,None,None,None,None,None,None,7000,None,18074000,902000,None,None,1760000,None,None,None,None,None,None,None,None,USD,-1332000,-2287000,-1332000,-25000,None,-1024000,19000,24560000,8275000,26848000,28547000,None,921000,None,-1682000,None,-19038000,16116000,1307000,None,None,None,17.05,
1,2020-03-31,USD,271421000,271210000,243406000,28015000,1071000,165000,None,None,152000,224000,27804000,None,211000,None,None,11000,-21000,None,None,None,None,11000,-59000,None,141000,165000,None,USD,110665000,2729000,None,9829000,54665000,55776000,None,None,1000,-70128000,None,8248000,None,44279000,52411000,None,950000,-97000,7003000,92685000,None,44799000,None,34580000,1560000,None,3886000,None,None,None,None,None,-18928000,None,17980000,None,17980000,1118000,1560000,None,2254000,None,None,None,144928000,None,44279000,None,72000000,USD,-1355000,1336000,-1355000,-25000,None,-8390000,87000,8114000,165000,7034000,17489000,None,860000,None,-10305000,None,-6433000,13447000,1355000,None,None,None,8.46,17.05
2,2019-12-31,USD,274019325,272899730,249612194,24407131,1887118,811213,None,None,1035903,160594,23287536,None,1119595,None,-176836,253596,-211080,None,None,None,None,253596,93144,None,782307,811213,None,USD,96452379,2677129,None,791518,44324500,51967285,None,8192448,662,-70292980,None,8248107,15756,40087372,41965379,916240,916240,199899,6692367,78819020,None,41042049,None,28195798,1529506,None,2592894,None,None,None,None,None,-8623210,None,15756,None,17633359,1264469,1529510,None,2359121,None,None,None,130682920,None,40087370,None,63000000,USD,-2575942,1410126,-2575942,-50000,None,-8471850,189500,-9806903,811213,4425005,15410306,None,767523,None,-9407122,None,7845803,14382544,1525942,None,None,None,11.33,8.46
3,2019-09-30,USD,282179339,283821594,259140641,23038698,-1000166,-1847363,None,None,-1815130,160594,24680953,None,-1642255,None,-176836,32233,83636,83636,None,None,None,32233,-256511,None,-1847363,-1847363,None,USD,98191398,2646678,None,7913160,52987824,45203574,None,7913156,665,-71104193,None,8248107,None,34736287,50064504,992067,992067,128207,6004530,81292083,None,34308789,None,36039325,1791015,None,1221971,None,None,None,None,None,-17649010,None,16899315,None,16899315,1299725,1791020,None,2923320,None,None,None,133827910,None,34736290,None,63000000,USD,-1529194,-427871,-1529194,-50000,None,-8457798,189500,-13841533,-1847363,4960691,14999646,None,642089,None,-9103962,None,14746184,15728140,1529194,None,None,None,8.38,11.33
4,2019-06-30,USD,266704945,268861974,244586510,22118435,-1623177,-2195741,None,None,-2147286,160594,24275464,None,-2157029,None,46955,48455,46955,46955,None,None,None,48455,-37212,None,-2195741,-2195741,None,USD,105425426,2698132,None,6165740,64766800,40658626,None,6165740,631,-69256830,None,8248107,None,31523012,62771690,974659,974659,51345,4087269,90391918,None,29712387,None,50788908,1754065,None,1713213,None,None,None,None,None,-8545050,None,15033508,None,15033508,285561,1754070,None,1995110,None,None,None,118408530,None,31523010,None,62000000,USD,-1256982,385686,-1256982,-50000,None,-4207709,189500,24797148,-2195741,12722979,18119125,None,533852,None,-4897976,None,-21090918,15689098,1256982,None,None,None,11.13,8.38
5,2019-03-31,USD,157033630,163132027,142542410,14491220,-5658116,-6295820,None,None,-6133130,160594,20589620,None,-6098400,None,-176836,162700,46250,46245,None,None,None,162697,-80976,None,-6295823,-6295820,None,USD,70604460,2458680,None,4193800,39242080,31362380,None,4193802,610,-67061090,None,8248110,None,20771970,37313010,974659,974659,3530,3445500,56452170,None,20655593,None,29693640,1716850,None,1300295,None,None,None,None,None,-3647080,None,291689,None,14152288,291752,1716850,None,1929067,None,None,None,102066400,None,20771970,None,61000000,USD,-1327919,44888,-1327920,-500000,None,-3431350,189500,13574306,-6295820,1925130,6657360,None,367290,None,-3431350,None,-12263873,11157578,827920,None,None,None,10.87,11.13
6,2018-12-31,USD,150406272,155480903,140154844,10251428,-5074631,-5219182,0,0,-5193557,0,15326059,None,-5074631,0,0,None,None,None,0,0,0,25625,-118926,0,-5219182,-5219182,None,USD,55846028,2531669,None,2584080,25866399,29979629,None,2720411,606,-60765266,None,8248107,None,20538057,24212062,974659,974659,-11327,2739525,42326727,None,19199853,None,17428091,1654337,None,1758377,None,None,None,None,None,None,None,None,None,None,None,1654340,None,None,None,None,None,90755620,None,20538060,None,58000000,USD,None,-283448,-7463116,-6725000,None,265138,None,-3451858,-5219182,-1770249,5455674,None,323078,None,2015030,None,3752633,10313255,738116,None,None,None,7.08,10.87
7,2018-09-30,USD,157236070,161866173,145740264,11495806,-4630103,-4628171,0,0,-4620716,0,16125909,None,-4630103,0,0,None,None,None,0,0,0,7455,9387,0,-4628171,-4628171,None,USD,49071143,None,None,2717187,25426592,23644551,None,2717187,589,-55557542,None,None,None,22093710,25426592,None,None,6253,2319415,46751728,None,23644551,2717000,21183291,None,None,1527470,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,58000000,USD,None,504956,-567813,None,None,876639,None,-4304222,-4628171,6349173,6325852,None,240031,None,None,None,2072186,12441072,567813,None,None,None,18.39,7.08
8,2018-06-30,USD,130542808,132415196,118119212,12423596,-1872388,-1886658,0,0,-1872388,0,14295984,None,-1872388,0,0,None,None,None,0,0,0,14270,0,0,-1886658,-1886658,None,USD,44093691,None,None,2894294,29134512,14959179,None,2894294,575,-45179377,None,None,None,15567430,29134512,None,None,16974,1978362,42115329,None,14959179,2894000,22974140,None,None,1022514,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,57000000,USD,None,271857,-315012,None,None,608902,None,12928751,-1886658,8350274,7740771,None,147558,None,None,None,-14169656,10448919,315012,None,None,None,11.32,18.39
9,2018-03-31,USD,61962531,72628426,55701516,6261015,-10665895,-10696345,0,0,-10665895,0,16926910,None,-10665895,0,0,None,None,None,0,0,0,30450,0,0,-10696345,-10696345,None,USD,21773162,None,None,1770599,15994940,5778222,None,1770599,563,-43292719,None,None,None,8340851,15994940,None,None,7179,1868413,19904749,None,5778222,1771000,9110304,None,None,750657,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,56000000,USD,None,115570,-513521,None,None,264355,None,5410949,-10696345,4516223,4788422,None,183321,None,264355,None,-2175888,11950815,513521,None,None,None,11.04,11.32
