,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,260007000,299194000,140780000,119227000,-19810000,-43833000,None,None,-57236000,None,136582000,None,-39187000,-92000,15502000,-13403000,None,-15638000,None,None,None,-13403000,-2411000,None,-43833000,-43833000,None,USD,2219037000,293783000,None,None,1398098000,820939000,1800000,7228000,812000,72512000,102388000,777613000,12871000,256292000,311942000,None,3293000,-7355000,681648000,453122000,None,-250457000,None,43287000,644941000,117859000,52432000,None,None,None,None,None,None,None,12871000,None,1765915000,383816000,None,15554000,1086156000,None,None,None,None,None,None,None,None,USD,-12677000,-14388000,-12677000,66000,32358000,20836000,-12400000,39910000,-43833000,-6481000,-14640000,None,21924000,None,0,11325000,-30839000,-1239000,12743000,None,None,None,30.52,
1,2020-03-31,USD,469704000,437039000,218554000,251150000,41725000,9742000,None,None,9460000,None,193741000,None,32665000,-66000,7455000,-282000,None,-7455000,None,None,None,-282000,-15750000,None,9742000,9742000,None,USD,2218746000,295635000,None,None,1432586000,786160000,None,8230000,811000,116345000,92028000,777613000,10783000,263154000,287465000,None,3531000,-10416000,693498000,441217000,None,-287088000,None,25204000,713246000,130372000,59953000,None,None,None,None,None,-27881000,None,10783000,None,1777529000,391248000,713246000,11913000,1145121000,None,None,None,707301000,None,263154000,None,82000000,USD,-12854000,19680000,-12854000,199000,145555000,150601000,-12400000,3368000,9742000,223807000,86060000,None,24810000,None,-74000,-4511000,16431000,16323000,13053000,None,None,None,19.42,30.52
2,2019-12-31,USD,401763000,391895000,187541000,214222000,32035000,3919000,None,None,963000,None,178044000,None,9868000,2036000,7398000,-2956000,None,-7398000,None,None,None,-2956000,-1507000,None,3919000,3919000,None,USD,2032725000,297487000,None,None,1256288000,776437000,None,6382000,805000,107132000,93804000,777613000,8129000,39342000,273179000,13759000,13759000,-3814000,714857000,234639000,None,-298663000,None,42808000,555933000,127556000,40782000,None,None,None,None,None,-27807000,None,8129000,None,1798086000,383706000,555933000,4845000,983109000,None,None,None,700121000,None,39342000,None,82000000,USD,-24723000,-6500000,-24723000,130000,-28528000,-24399000,-12400000,-16203000,3919000,-54979000,-5857000,None,23674000,None,-646000,-16949000,-902000,6886000,24853000,None,None,None,32.43,19.42
3,2019-09-30,USD,431902000,417274000,204502000,227400000,23662000,1192000,None,None,-6547000,None,190290000,None,14628000,-54000,7873000,-7739000,None,-7873000,None,None,None,-7739000,-13302000,None,1192000,1192000,None,USD,2078424000,299339000,None,None,1312953000,765471000,None,6260000,800000,103212000,95099000,777613000,6575000,94086000,303898000,13736000,13736000,-4921000,716248000,278649000,None,-311481000,None,43010000,584250000,111894000,45337000,None,None,None,None,None,-27161000,None,6575000,None,1799775000,383306000,584250000,4665000,1009055000,None,None,None,693541000,None,94086000,None,82000000,USD,-24120000,-500000,-24120000,249000,3886000,-16118000,-2930000,15534000,1192000,11421000,51659000,None,22336000,None,-25000000,-7256000,4544000,15629000,24369000,None,None,None,24.07,32.43
4,2019-06-30,USD,429451000,405959000,202506000,226945000,42521000,10257000,None,None,12734000,None,182278000,None,23492000,-44000,8968000,2477000,None,-8968000,None,None,None,2477000,-1790000,None,10257000,10257000,None,USD,2071836000,301188000,None,None,1297402000,774434000,None,5677000,786000,102020000,104805000,777613000,6265000,82779000,288279000,8515000,8515000,-5427000,715876000,270894000,None,-304367000,None,49878000,579087000,105660000,47100000,None,None,None,None,None,-2161000,None,6265000,None,1800942000,378077000,579087000,8379000,1009123000,None,None,None,679216000,None,82779000,None,81000000,USD,-25982000,3133000,-25982000,129000,-1823000,-270000,-2930000,-11701000,10257000,10013000,36265000,None,20819000,None,0,5552000,-1260000,8979000,26111000,None,None,None,30.73,24.07
5,2019-03-31,USD,461215000,426733000,211969000,249246000,52815000,17429000,None,None,23339000,None,193876000,None,34482000,-127000,9061000,5910000,None,-9061000,None,None,None,5910000,-2082000,None,17429000,17429000,None,USD,2053092000,303034000,None,None,1290512000,762580000,None,3757000,783000,91763000,96013000,777613000,6692000,72506000,297669000,8484000,8484000,-3757000,695264000,270089000,400000,-318067000,None,50545000,578397000,111936000,45087000,None,None,None,None,None,-2161000,None,7092000,None,1783003000,370249000,578397000,2213000,992843000,None,None,None,675952000,None,72506000,None,81000000,USD,-25806000,6129000,-25806000,186000,-1867000,-1354000,-2930000,29826000,17429000,55854000,83014000,None,20415000,None,513000,2767000,-9307000,15349000,25992000,None,None,None,31.43,30.73
6,2018-12-29,USD,355922000,361999000,173470000,182452000,-6077000,-20287000,0,0,-31209000,0,167912000,None,-6077000,358000,-9339000,None,None,None,0,0,0,-10922000,-25132000,0,-20287000,-20287000,None,USD,1661389000,305079000,None,None,918235000,743154000,None,121662000,782000,74840000,132533000,777613000,7876000,17132000,211652000,8130000,8130000,-2810000,355117000,214704000,1000000,-339538000,None,51535000,552132000,116022000,43642000,None,None,None,None,None,-2161000,None,None,None,None,None,570545000,None,None,None,None,None,672503000,None,17132000,None,79000000,USD,None,10361000,-25544000,136000,-546000,2796000,-1400000,-4077000,-20287000,-32072000,-9324000,None,20259000,None,17874000,-18119000,-13986000,15764000,25680000,None,None,None,28.98,31.43
7,2018-09-29,USD,387425000,386103000,182588000,204837000,1322000,5816000,0,0,-10622000,0,184424000,None,1322000,11000,-9407000,None,None,None,0,0,0,-16438000,-11944000,0,5816000,5816000,None,USD,1660694000,307171000,None,24065000,902523000,758171000,0,110854000,770000,100113000,137162000,792744000,7652000,48881000,197199000,10913000,10913000,-1059000,340626000,211101000,1400000,-341744000,0,38875000,568162000,99280000,30885000,0,0,0,0,0,-1133000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,80000000,USD,None,-942000,-30109000,20000,-1922000,8540000,-1400000,12458000,5816000,14248000,35817000,None,19080000,0,0,-5540000,4568000,-52000,30129000,None,None,None,45.14,28.98
8,2018-06-30,USD,385532000,359339000,177059000,208473000,26193000,13077000,0,0,16369000,0,165038000,None,26193000,-104000,-9424000,None,None,None,0,0,0,3292000,-9824000,0,13077000,13077000,None,USD,1639441000,309263000,None,24803000,909854000,729587000,0,109251000,753000,94296000,151554000,792744000,8170000,34642000,189264000,11771000,11771000,-2746000,328035000,199429000,1800000,-372420000,0,45075000,569036000,94909000,32784000,0,0,0,0,0,-1093000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,78000000,USD,None,-12325000,-25892000,20000,-1851000,-638000,-1400000,-16902000,13077000,-24182000,2348000,None,17346000,0,3530000,-2031000,-5065000,7820000,25892000,None,None,None,36.57,45.14
9,2018-03-31,USD,407975000,368132000,180454000,227521000,39843000,25047000,0,0,30330000,0,170102000,None,39843000,-78000,-9313000,None,None,None,0,0,0,5283000,-9513000,0,25047000,25047000,None,USD,1644554000,311356000,None,24777000,933279000,711275000,19430000,118105000,751000,81219000,144868000,792744000,8763000,58433000,221663000,12485000,12485000,-5244000,310964000,218627000,2100000,-392825000,0,41739000,566748000,93678000,46126000,0,0,0,0,0,-1088000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,78000000,USD,None,14679000,-22676000,116000,-1758000,-301000,-1400000,14107000,25047000,54810000,77787000,None,17654000,0,2312000,-3049000,-166000,9085000,22792000,None,None,None,32.31,36.57
10,2017-12-30,USD,321819000,1282395000,152393000,726883000,84365000,28700000,0,0,5464000,0,153827000,None,62224000,-341000,13096000,None,None,None,0,0,0,-38810000,-76444000,0,42778000,28700000,None,USD,1583791000,1106194000,None,23325000,924203000,659588000,31222000,168343000,746000,27277000,77266000,792744000,1117182000,4208000,211309000,12669000,12669000,-9868000,304132000,162477000,2300000,-446606000,0,43793000,561980000,91151000,35708000,0,0,0,0,0,-233000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,62000000,USD,-1500000,3095000,-94827000,-108000,-192736000,3838000,-5467000,10804000,28700000,-737000,90252000,None,61115000,-170983000,371932000,-9583000,-16858000,-15746000,93219000,None,None,None,40.61,32.31
11,2017-09-30,USD,346089000,350831000,162357000,226969000,43735000,1546000,0,0,1709000,0,151251000,None,17129000,355500,14851000,None,None,None,0,0,0,163000,-5766000,0,29395000,1546000,None,USD,1588862000,1108302000,None,22688000,1334274000,254588000,32094000,175969000,565000,8445000,81808000,792744000,1119416000,27621000,219176000,18144000,18144000,-13223000,290656000,178790000,None,-853714000,0,39111000,912734000,89370000,33562000,0,0,0,0,0,-233000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,58000000,USD,-1500000,-871000,-68748000,40965000,-2365000,-4827000,-2765000,10579000,1546000,2757000,96251000,None,0,-170983000,1004000,7001000,4741000,2443000,67135000,None,None,None,nan,40.61
12,2017-06-30,USD,337541000,-667308000,156408000,-419561000,-88569000,-43423000,0,0,-64245000,0,144659000,None,21845000,-66500,14622000,None,None,None,0,0,0,646000,24324000,0,-43423000,-43423000,None,USD,1576673000,1110412000,None,22000000,1327164000,249509000,None,167869000,564000,6899000,82430000,792744000,1120956000,24864000,211865000,946719000,946719000,-14605000,281321000,174396000,3000000,-860903000,None,38156000,913341000,89376000,34433000,None,None,None,None,None,-233000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,56000000,USD,-1500000,-2483500,-22274000,-164500,84565500,-1733000,-1351000,8903000,7787000,9959500,67933000,None,14526000,-170983000,544000,-3096000,-1893000,7851000,44219000,None,None,None,nan,nan
