,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,210233000,214254000,108049000,102184000,14353000,-5487000,None,None,-10218000,None,14688000,None,-4021000,None,5379000,-4751000,628000,-4751000,None,None,None,-4751000,-1446000,-20000,-5467000,-5487000,None,USD,1224302000,65003000,None,None,544390000,679912000,None,None,551000,341517000,9688000,257326000,11217000,311130000,119368000,None,268000,-70757000,262689000,598584000,29483000,357583000,None,137535000,247618000,123112000,15304000,None,None,None,None,None,None,None,4572000,None,625718000,216556000,None,7523000,425022000,None,None,None,None,None,None,None,None,USD,81753000,-3898000,81753000,None,39000,-132000,-172000,-557000,-5487000,117401000,35094000,None,19192000,None,1000,9271000,10049000,4101000,8707000,None,None,None,6.3,
1,2020-03-31,USD,223283000,206672000,95918000,127365000,-9184000,-40874000,None,None,-34105000,None,14620000,None,16611000,None,5881000,6749000,941000,-4940000,-20000,None,None,6749000,-45776000,-20000,-40854000,-40874000,None,USD,1213132000,64043000,None,4000000,535579000,677553000,None,None,551000,347004000,9730000,257222000,12428000,193729000,110555000,None,267000,-76173000,265626000,585820000,27993000,356288000,None,198417000,244288000,173251000,15582000,None,None,None,None,None,None,None,5045000,None,627312000,215082000,244288000,7190000,425024000,None,None,None,406171000,None,193729000,None,56000000,USD,35434000,-6828000,35434000,4000000,-63000,-4322000,-172000,6858000,-40874000,54588000,32189000,None,19040000,None,-4196000,311000,4382000,43436000,6586000,None,None,None,4.17,6.3
2,2019-12-31,USD,222435000,208213000,92366000,130069000,27560000,1238000,None,None,3024000,None,17489000,None,14222000,None,5329000,1759000,843000,-4486000,-27000,None,None,1759000,-6712000,-27000,1265000,1238000,None,USD,1300942000,68995000,None,None,549342000,751600000,None,12548000,559000,389928000,9345000,301282000,8259000,143141000,112436000,215000,215000,-46327000,291196000,601938000,29272000,381323000,None,240093000,241209000,187369000,12534000,None,None,None,None,None,None,None,5012000,None,699004000,234404000,241209000,7226000,436906000,None,None,None,407440000,None,143141000,None,56000000,USD,-6798000,-30433000,-6798000,4000000,-292000,-2934000,-284000,-9649000,1238000,-19301000,-10918000,None,19207000,None,-963000,-1592000,-355000,8625000,5574000,None,None,None,6.82,4.17
3,2019-09-30,USD,214339000,206858000,93483000,120856000,13545000,-645000,None,None,437000,None,16870000,None,7481000,None,5425000,1029000,1449000,-3976000,-53000,None,None,1029000,-3068000,-53000,-592000,-645000,None,USD,1083702000,68044000,None,229854000,338753000,744949000,1985000,12915000,556000,389163000,9287000,300527000,7498000,157567000,91086000,214000,214000,-52398000,67357000,605760000,35633000,376378000,None,38984000,238380000,179355000,77957000,None,None,556000,None,389163000,None,None,4383000,None,1998000,None,238380000,7302000,247667000,None,None,None,407628000,1083702000,157567000,None,56000000,USD,-14591000,23950000,-14591000,12167000,-216000,-216000,-284000,9926000,-645000,23520000,38540000,None,7683000,None,None,-1870000,-2033000,3260000,14271000,None,None,None,6.455,6.82
4,2019-06-30,USD,202465000,193646000,86612000,115853000,20545000,3158000,None,None,3459000,None,15053000,None,8819000,None,9832000,98000,3172000,-6660000,-203000,None,None,98000,1300000,-203000,3361000,3158000,None,USD,1069223000,63646000,None,None,321907000,747316000,None,12750000,554000,389808000,13512000,300700000,19340000,138922000,72946000,215000,215000,-47926000,66214000,588401000,30922000,382970000,None,240481000,235449000,175802000,18329000,None,None,None,None,None,None,None,4472000,None,480822000,None,235449000,5990000,248961000,None,None,None,404880000,None,138922000,None,55000000,USD,-28153000,-1929000,-28153000,7309000,-195370000,-195370000,-284000,-604000,3158000,-208864000,14354000,None,7254000,None,None,956000,-2496000,4978000,10705000,None,None,None,9.47,6.455
5,2019-03-31,USD,214730000,110919000,87040000,127690000,20059000,3394000,None,None,5019000,-753000,104730000,3288000,16771000,-208541000,8589000,2360000,-5032000,-5463000,-18000,None,None,2360000,-5466000,-18000,2659000,3394000,None,USD,1253115000,58503000,None,206122000,513356000,739759000,9012000,13564000,554000,386650000,15462000,296881000,14514000,347786000,265161000,192901000,192901000,-49950000,67518000,777803000,37896000,384375000,None,50547000,232733000,173348000,58696000,None,None,554000,None,386650000,None,None,4395000,10119000,475312000,None,232733000,6450000,248195000,None,None,None,402505000,1253115000,347786000,None,55000000,USD,-47897000,3698000,23194000,79074000,-119000,-119000,-3288000,-2026000,3519000,50938000,27863000,16767000,5896000,None,None,-264000,4674000,-1753000,7983000,None,None,50938000,9.32,9.47
6,2018-12-31,USD,215850000,116315000,85646000,130204000,16495000,-4244000,None,None,-5570000,-477000,105025000,2606000,13889000,-204560000,8791000,-1081000,None,None,-183000,None,None,-1032000,-23901000,-183000,-4538000,-4244000,None,USD,1237772000,55956000,None,225207000,505308000,739467000,9617000,11747000,554000,387936000,15767000,294881000,18324000,297031000,259613000,190238000,190238000,-49104000,69770000,763330000,40110000,388630000,255000,65670000,229928000,175422000,57628000,None,None,554000,None,387936000,None,None,4442000,9283000,474442000,None,229928000,6150000,245695000,None,None,None,400081000,1237772000,297031000,None,55000000,USD,-79945000,-461000,-8279000,77546000,676000,-2612000,-3288000,-1564000,-4721000,11869000,22760000,13024000,5472000,None,None,685000,-877000,8761000,5880000,None,None,11869000,7.73,9.32
7,2018-09-30,USD,206331000,106769000,101424000,124818000,24164000,-135000,0,0,3688000,360000,99573000,6115000,18049000,-626288000,8764000,1338000,None,None,-2125000,0,0,3238000,-13871000,-225000,450000,-135000,None,USD,1246920000,54923000,None,231617000,502214000,748037000,8817000,11824000,546000,392180000,15707000,297448000,14254000,286015000,259805000,190181000,190181000,-42616000,73649000,757146000,52726000,395666000,267000,72517000,226702000,166997000,57800000,744706000,397927000,546000,0,392180000,0,None,3863000,7165000,489774000,None,226702000,6890000,242409000,None,None,None,397927000,1246920000,286015000,None,58000000,USD,-59215000,-524000,-17098000,48674000,-2569000,-2569000,-311000,3831000,225000,7000,19674000,-6836000,22853000,0,0,-2062000,-4754000,6018000,6557000,None,977000,984000,10.7,7.73
8,2018-06-30,USD,199942000,102738000,84870000,115072000,23130000,14633000,0,0,15736000,-359000,96300000,10796000,12334000,-193504000,7394000,1553000,None,None,91000,0,0,1553000,3088000,91000,14183000,14633000,None,USD,1240113000,59678000,None,226502000,503555000,740248000,0,11938000,545000,392315000,11111000,292544000,21276000,285031000,269547000,195796000,195796000,-48040000,71587000,733972000,74488000,388026000,252000,71294000,222897000,151145000,61813000,736558000,395428000,545000,0,392315000,0,None,3575000,4269000,506141000,None,222897000,11111000,234008000,None,None,None,395428000,1240113000,285031000,None,58000000,USD,-97849000,500000,-67634000,44881000,170468000,170468000,-311000,-372000,14274000,126343000,23509000,453000,3934000,0,0,1616000,-2363000,2732000,14666000,None,-1224000,125119000,12.05,10.7
9,2018-03-31,USD,202734000,102052000,72567000,120593000,23689000,11813000,0,0,17860000,-374000,95501000,5148000,18541000,16125000,5829000,5797000,None,None,-500000,0,0,5921000,-1281000,-500000,11939000,11813000,None,USD,1074553000,45728000,None,188632000,386423000,691462000,0,12225000,545000,377682000,11884000,289438000,52275000,159912000,176201000,103287000,103287000,-40463000,64833000,575770000,65169000,356296000,273000,68584000,198338000,158642000,60689000,688130000,353698000,545000,0,377682000,0,None,19773000,13842000,498783000,None,198338000,11884000,210222000,None,None,None,353698000,1074553000,159912000,None,58000000,USD,-43840000,1688000,17238000,72412000,170468000,170468000,311000,-861000,11439000,45411000,28173000,8700000,3996000,0,0,459000,4014000,1891000,11334000,None,917000,46328000,13.2,12.05
