,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,1509000000,355600000,837400000,671600000,316100000,238900000,None,None,313700000,None,355300000,100000,316000000,None,2400000,74800000,100000,-2300000,None,300000,None,74800000,-300000,None,238900000,238900000,None,USD,4085200000,None,None,121800000,1144200000,2783000000,100300000,96700000,2900000,2788600000,107900000,None,196400000,201500000,631300000,None,None,-52900000,1029700000,2606300000,None,2941000000,None,881500000,405000000,1401500000,534600000,None,None,2900000,None,2788600000,None,None,449200000,None,1478900000,254700000,405000000,7600000,512900000,None,None,None,44400000,4085200000,201500000,None,573570647,USD,-37000000,55500000,-37000000,4200000,-50000000,-174300000,None,19400000,238900000,39400000,250700000,8700000,40700000,-143200000,18900000,-51400000,-45800000,4100000,41200000,-45800000,1400000,40800000,42.84,
1,2020-03-31,USD,1367000000,365500000,730200000,636800000,271400000,202600000,None,None,269200000,None,365900000,100000,271300000,None,2200000,66600000,100000,-2100000,None,-400000,None,66600000,400000,None,202600000,202600000,None,USD,3934700000,None,None,124200000,1130400000,2656600000,99900000,96400000,2900000,2692900000,99900000,None,200300000,160700000,580400000,4900000,4900000,-63400000,1027700000,2464300000,None,2804300000,None,833900000,450100000,1345500000,479100000,None,None,2900000,None,2692900000,None,None,442700000,None,1470400000,244100000,450100000,None,550000000,None,None,None,24200000,3934700000,160700000,None,572817649,USD,-171700000,51500000,-171700000,-122900000,110000000,-78200000,None,11600000,202600000,-8800000,241100000,35600000,38600000,-143600000,-44600000,10600000,-101400000,3600000,48800000,-101400000,-5400000,-14200000,31.25,42.84
2,2019-12-31,USD,1276900000,359500000,678500000,598400000,239000000,178700000,None,None,236400000,None,359900000,100000,238900000,None,2600000,57700000,100000,-2500000,None,-400000,None,57700000,400000,None,178700000,178700000,None,USD,3799900000,None,None,174100000,986100000,2665600000,99400000,97400000,2900000,2633900000,99400000,None,76300000,174900000,544700000,3000000,3000000,-38400000,1023200000,2457200000,None,2813800000,None,741800000,342000000,1366400000,444300000,None,None,2900000,None,2633900000,None,None,319500000,None,1342700000,245600000,342000000,None,441400000,None,None,None,67200000,3799900000,174900000,None,574128911,USD,-60600000,-28500000,-60600000,1500000,-100000000,-210800000,None,-10000000,178700000,-19000000,252400000,-20200000,37900000,-126300000,15500000,-7500000,77600000,14400000,62100000,77600000,2700000,-16300000,36.95,31.25
3,2019-09-30,USD,1379100000,369200000,728000000,651100000,282000000,213500000,None,None,278400000,None,369200000,100000,281900000,None,3600000,64900000,100000,-3500000,None,None,None,64900000,-3500000,None,213500000,213500000,None,USD,3814200000,None,None,137600000,1083700000,2585700000,86600000,95600000,2900000,2581500000,86600000,None,77300000,191200000,555100000,3000000,3000000,-49000000,997700000,2500800000,None,2730500000,None,817300000,442000000,1354700000,456500000,None,None,2900000,None,2581500000,None,None,315700000,None,1313400000,240400000,442000000,None,528600000,None,None,None,50300000,3814200000,191200000,None,573526178,USD,-59500000,30300000,-59500000,1700000,-55000000,-178300000,None,2600000,213500000,19500000,257300000,-12700000,37300000,-126200000,2900000,-12600000,-1600000,3100000,61200000,-1600000,-3300000,16200000,32.67,36.95
4,2019-06-30,USD,1368400000,366200000,727200000,641200000,275100000,204600000,None,None,271400000,None,366700000,100000,275000000,None,3700000,66800000,100000,-3600000,None,-500000,None,66800000,500000,None,204600000,204600000,None,USD,3756400000,None,None,127800000,1111600000,2503700000,86700000,95100000,2900000,2494200000,86700000,None,78500000,175000000,527900000,3000000,3000000,-39400000,975100000,2468300000,None,2644800000,None,819800000,497000000,1345700000,429800000,None,None,2900000,None,2494200000,None,None,313000000,None,1288100000,236200000,497000000,None,583700000,None,None,None,46000000,3756400000,175000000,None,573396959,USD,-66900000,-32600000,-66900000,1800000,30000000,-71100000,None,-13700000,204600000,-9900000,128100000,-6900000,37100000,-123100000,22000000,-50800000,-26900000,3600000,68700000,-26900000,-500000,-10400000,32.59,32.67
5,2019-03-31,USD,1309300000,363300000,684600000,624700000,261500000,194100000,0,None,257500000,None,363600000,100000,261400000,None,4000000,63400000,100000,-3900000,None,-300000,None,63400000,300000,None,194100000,194100000,None,USD,3651800000,None,None,116900000,1124200000,2397200000,85000000,91800000,2900000,2412700000,85000000,None,79400000,185400000,554600000,4400000,4400000,-41100000,943300000,2389200000,19000000,2527600000,None,793000000,484600000,1293900000,458400000,None,None,2900000,None,2412700000,None,None,319300000,None,1262600000,222200000,484600000,None,569600000,None,None,None,22700000,3651800000,185400000,None,286265537,USD,-52700000,33000000,-52700000,1700000,-30000000,-134900000,None,22500000,194100000,17300000,204900000,30500000,36400000,-123000000,18100000,-13500000,-79500000,3900000,54400000,-79500000,900000,18200000,64.31,32.59
6,2018-12-31,USD,1231600000,354400000,643800000,587800000,233500000,168800000,0,0,229800000,0,354400000,100000,233400000,0,3700000,None,None,None,13600000,0,0,61000000,-3600000,0,168800000,168800000,None,USD,3321500000,None,None,156000000,1018800000,2302700000,84400000,240800000,2900000,2341600000,84400000,None,80500000,167200000,437400000,3000000,3000000,-44800000,924800000,2316200000,None,2302700000,None,714300000,497000000,1278700000,434400000,None,None,2900000,None,2341600000,None,None,80500000,None,1005300000,None,497000000,None,581400000,None,None,None,3000000,3321500000,167200000,None,285901919,USD,None,14000000,-75000000,4200000,110000000,-64900000,None,-4800000,168800000,38100000,178000000,-18000000,35900000,-114400000,-60500000,-88400000,51700000,14000000,79200000,51700000,-600000,37500000,52.29,64.31
7,2018-09-30,USD,1279800000,353500000,664000000,615800000,262400000,197600000,0,0,259400000,0,353800000,100000,262300000,0,3000000,None,None,None,0,-300000,0,61800000,-2600000,0,197600000,197600000,None,USD,3193900000,0,None,128600000,878300000,2315600000,74700000,227600000,2900000,2342000000,74700000,0,84600000,129700000,416100000,2500000,2500000,-36700000,883800000,2225500000,None,2315600000,0,772500000,387500000,1194700000,413600000,0,0,2900000,0,2342000000,0,None,84600000,None,968400000,None,387500000,None,462200000,None,None,None,7400000,3193900000,129700000,None,287056618,USD,None,32900000,-45000000,-8500000,-35000000,-144100000,None,4300000,197600000,-4500000,184600000,-18900000,34800000,-114800000,5700000,-29900000,-40000000,8100000,36500000,-40000000,-1300000,-5800000,58.02,52.29
8,2018-06-30,USD,1267900000,348700000,650200000,617700000,269100000,211200000,0,0,265900000,0,349300000,100000,269000000,0,3200000,None,None,None,0,-600000,0,54700000,-2500000,0,211200000,211200000,None,USD,3100100000,0,None,108100000,873500000,2226600000,70000000,2000000,2900000,2259200000,70000000,0,79300000,135500000,381000000,2500000,2500000,-35900000,880100000,2140700000,None,2226600000,0,733700000,422500000,1163400000,378500000,0,0,2900000,0,2259200000,0,None,79300000,None,959400000,None,422500000,None,492500000,None,None,None,400000,3100100000,135500000,None,286948535,USD,None,-11400000,-25000000,4100000,20000000,-124900000,None,-3100000,211200000,2000000,151900000,-7800000,34100000,-106300000,-38600000,-33800000,-49600000,9200000,29100000,-49600000,-3600000,-1600000,48.13,58.02
9,2018-03-31,USD,1185800000,343100000,608200000,577600000,234600000,174300000,0,0,231900000,0,342700000,100000,234500000,0,2700000,None,None,None,0,400000,0,57600000,-3000000,0,174300000,174300000,None,USD,3029600000,0,None,99700000,857600000,2172000000,62700000,199700000,2900000,2178500000,62700000,0,80300000,137100000,403000000,13100000,13100000,-23100000,889000000,2060300000,None,2172000000,0,688600000,391900000,1134900000,389900000,0,0,2900000,0,2178500000,0,None,80300000,None,969300000,None,391900000,None,454600000,None,None,None,13700000,3029600000,137100000,None,287687089,USD,None,41900000,-28900000,2600000,-10000000,-112600000,None,24200000,174300000,18200000,159700000,18500000,33400000,-106400000,3800000,-41200000,-82400000,15200000,31500000,-82400000,2000000,20200000,54.59,48.13
