,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,29421000,18913000,None,29421000,10508000,8238000,None,None,10508000,None,18913000,None,10508000,2803000,1447000,2270000,27786000,26339000,None,None,None,2270000,None,None,8238000,8238000,None,USD,2949066000,7798000,None,None,2533236000,415830000,None,2497846000,17710000,226627000,32532000,129565000,2215753000,421492000,2497846000,None,None,-1108000,62658000,406114000,100548000,278467000,98367000,-15378000,None,None,34290000,None,None,17710000,None,226627000,None,None,2242383000,None,2542952000,None,None,35390000,35390000,None,None,None,172601000,2949066000,421492000,None,17709569,USD,-30777000,0,-30721000,601000,-1248000,203759000,209432000,-3896000,8238000,179879000,6841000,-905000,1540000,-4425000,0,None,-2263000,231000,545000,-2263000,None,179879000,22.45,
1,2020-03-31,USD,31731000,21664000,None,31731000,10067000,7872000,None,None,10067000,None,21664000,None,10067000,3057000,1827000,2195000,29509000,27682000,None,None,None,2195000,None,None,7872000,7872000,None,USD,2738961000,8159000,267312000,None,2327355000,411606000,None,2288414000,17700000,222814000,34681000,129565000,2176549000,241613000,2288414000,None,None,-1139000,63319000,226593000,110255000,273882000,107753000,-15020000,1000000,None,36593000,None,None,17700000,None,222814000,None,None,2201070000,None,2512368000,None,1000000,37941000,38941000,None,None,None,172231000,2738961000,241613000,None,17700140,USD,80818000,0,80487000,1249000,707000,-67256000,-41498000,-2712000,7872000,24604000,11373000,-1679000,2694000,-4593000,-21872000,None,560000,1926000,1580000,560000,None,24604000,23.3,22.45
2,2019-12-31,USD,31280000,11888000,None,31280000,19392000,9564000,None,None,12397000,None,18883000,None,19392000,3382000,1313000,2833000,23370000,22057000,None,-6995000,None,2833000,232000,None,9564000,9564000,None,USD,2798847000,8519000,320028000,6940000,2370028000,428819000,None,2329912000,18377000,219535000,37034000,129565000,2192912000,217009000,2329912000,1601000,1601000,-1506000,62824000,205261000,173806000,290735000,169574000,-11748000,40000,3969000,38515000,None,None,18377000,None,219535000,None,None,2218872000,None,2593586000,None,None,40116000,40116000,None,None,None,192413000,2798847000,217009000,None,18376991,USD,6689000,0,31620000,27117000,-262000,-14088000,-9943000,5476000,9564000,34551000,17019000,165000,1232000,-3895000,12000,None,None,6697000,2186000,None,None,34551000,31.02,23.3
3,2019-09-30,USD,29180000,17444000,None,29180000,11736000,9156000,None,None,11736000,None,17444000,None,11736000,2233000,1384000,2580000,23605000,22221000,None,None,None,2580000,57000,None,9156000,9156000,None,USD,2205047000,4280000,249786000,4842000,1867684000,337363000,None,1836852000,15580000,213866000,27509000,92744000,1749685000,182458000,1836852000,1863000,1863000,-305000,48521000,168807000,118065000,240339000,115537000,-13651000,None,2528000,28969000,None,None,15580000,None,213866000,None,None,1772630000,None,2036240000,None,None,30832000,30832000,None,None,None,108222000,2205047000,182458000,None,15579740,USD,29876000,0,30068000,1465000,-1220000,-18275000,-11186000,1869000,9156000,25980000,14187000,251000,1232000,-3908000,-1961000,None,475000,3073000,1273000,475000,None,25980000,32.37,31.02
4,2019-06-30,USD,30053000,16651000,None,30053000,13402000,10451000,None,None,13402000,None,16651000,None,13402000,2883000,1393000,2951000,24382000,22989000,None,None,None,2951000,1626000,None,10451000,10451000,None,USD,2212027000,4532000,236812000,5317000,1878341000,333686000,None,1848038000,15633000,208618000,25800000,92744000,1776761000,156478000,1848038000,3083000,3083000,-381000,48262000,143255000,123038000,236410000,119076000,-13223000,None,3962000,27220000,None,None,15633000,None,208618000,None,None,1800196000,None,2068772000,None,None,30303000,30303000,None,None,None,109816000,2212027000,156478000,None,15633388,USD,40252000,0,38047000,1122000,-617000,-41471000,-30399000,-1204000,10451000,7932000,11356000,-603000,1178000,-3936000,-6519000,None,-90000,420000,3327000,-90000,None,7932000,33.76,32.37
5,2019-03-31,USD,29046000,16785000,None,29046000,12261000,9631000,None,None,12261000,None,16785000,None,12261000,3051000,1425000,2630000,23611000,22186000,None,None,None,2630000,1261000,None,9631000,9631000,None,USD,2242335000,4780000,244543000,5227000,1909233000,333102000,None,1878437000,15818000,202103000,25669000,92744000,1802277000,148546000,1878437000,3700000,3700000,-733000,46636000,135530000,136652000,235578000,132597000,-13016000,899000,4055000,27096000,None,None,15818000,None,202103000,None,None,1825993000,None,2106805000,None,None,30796000,30796000,None,None,None,115914000,2242335000,148546000,None,15818368,USD,71899000,0,71642000,1368000,-25670000,-14062000,22687000,862000,9631000,71673000,14093000,-213000,998000,-3321000,-7758000,None,254000,3423000,1625000,254000,None,71673000,33.14,33.76
6,2018-12-31,USD,29433000,17531000,2410000,29433000,11902000,9306000,0,0,11902000,0,17531000,None,11902000,2529000,1502000,2596000,25381000,23879000,0,0,0,2596000,-1473000,0,9306000,9306000,None,USD,2244374000,5026000,214581000,5481000,1911517000,332857000,None,1855750000,16007000,195793000,25779000,92744000,1830788000,76873000,1855750000,25000000,25000000,-1429000,45785000,64087000,181967000,235087000,None,-12786000,29370000,3838000,1855750000,None,None,16007000,None,195793000,None,None,1854765000,None,2180287000,None,None,55767000,55767000,None,None,None,122486000,2244374000,76873000,None,16007263,USD,27258000,0,28200000,2417000,-781000,-37359000,-20101000,2438000,9306000,3194000,12353000,-1555000,959000,-3415000,-13062000,None,None,4047000,1475000,None,None,3194000,31.48,33.14
7,2018-09-30,USD,28349000,18131000,2456000,28349000,10218000,9100000,0,0,10218000,0,18131000,None,10218000,2056000,1961000,None,None,None,0,0,0,1118000,-3083000,0,9100000,9100000,None,USD,2269688000,5366000,None,5374000,1931286000,338402000,0,1875851000,21382000,189902000,24681000,94287000,1846354000,73679000,1875851000,None,None,-2817000,45537000,60797000,193438000,238749000,0,-12882000,25000000,4798000,1875851000,0,0,21382000,0,189902000,-99247000,None,1870263000,None,2208891000,None,None,55435000,55435000,None,None,None,229182000,2269688000,73679000,None,17000000,USD,36686000,0,36208000,214000,-47718000,-86490000,-28887000,2203000,9100000,-34278000,16004000,1306000,856000,-3477000,-6408000,0,404000,4536000,692000,206000,None,-34278000,33.88,31.48
8,2018-06-30,USD,28783000,17217000,2530000,28783000,11566000,9066000,0,0,11566000,0,17217000,None,11566000,3939000,2035000,None,None,None,0,0,0,2500000,-515000,0,9066000,9066000,None,USD,2348120000,5628000,None,5580000,2008999000,339121000,0,1904738000,21382000,184279000,25303000,95779000,1854883000,107957000,1954738000,50000000,77869000,-2585000,45547000,1892985000,221507000,237714000,0,1785028000,75000000,4849000,1904738000,0,0,21382000,0,184279000,-92904000,None,86674000,None,455135000,None,None,54261000,54261000,None,None,None,228949000,2348120000,107957000,None,17000000,USD,-18499000,0,-18184000,578000,-1246000,-89308000,-75881000,-10000,9066000,-97183000,10309000,-784000,997000,-3014000,-9167000,0,198000,1455000,263000,-425000,None,-97183000,31.86,33.88
9,2018-03-31,USD,28330000,16894000,2446000,28330000,11436000,8868000,0,0,11436000,0,16894000,None,11436000,3028000,1951000,None,None,None,0,0,0,2568000,-472000,0,8868000,8868000,None,USD,2428307000,5891000,None,5155000,2086270000,342037000,0,1980619000,21382000,178227000,26536000,95779000,398453000,205140000,2030619000,50000000,79115000,-2481000,46415000,1983904000,189252000,240367000,0,1778764000,75000000,4690000,1980619000,0,0,21382000,0,178227000,-83865000,None,107066000,None,444403000,None,None,55651000,55651000,None,None,None,228774000,2428307000,205140000,None,17000000,USD,2141000,0,3174000,1154000,-971000,33182000,50728000,350000,8868000,47189000,10833000,-1463000,1179000,-11184000,-5391000,0,623000,1626000,121000,623000,None,47189000,29.85,31.86
10,2017-12-31,USD,29065000,17132000,2644000,29065000,11933000,1213000,0,0,11933000,0,17132000,None,11933000,19666000,6091000,None,None,None,0,0,0,10720000,-2643000,0,1213000,1213000,None,USD,2388460000,6151000,None,5778000,2037746000,350714000,0,1929891000,21382000,180543000,27769000,95779000,381961000,157951000,1979891000,50000000,80086000,-840000,48126000,2127217000,25149000,248784000,165580000,1803686000,75000000,2514000,1929891000,0,0,21382000,0,180543000,-79121000,None,86038000,None,261243000,None,None,57855000,57855000,None,None,None,228750000,2388460000,323531000,None,17000000,USD,28223000,0,30158000,2233000,-53697000,9542000,66071000,6570000,1213000,52832000,13132000,-829000,1247000,-3059000,227000,0,0,11898000,298000,None,None,52832000,28.73,29.85
