,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,13130000,9131000,None,11880000,2749000,2217000,None,None,2749000,None,7459000,None,2749000,1844000,923000,532000,10666000,9743000,None,None,None,532000,None,None,2217000,2217000,None,USD,1324800000,1283000,None,None,1193999000,130801000,None,1118872000,7486000,22155000,10320000,14637000,844524000,92938000,1118872000,None,None,9976000,37852000,388857000,297972000,114881000,295919000,None,14964000,None,None,None,None,7486000,None,22155000,None,None,43363000,None,935943000,3192000,14964000,60163000,75127000,None,None,None,91184000,1324800000,388857000,None,7486151,USD,-73238000,0,-73238000,None,-390000,131237000,132227000,2607000,2217000,43562000,-14437000,-2301000,499000,-892000,0,None,None,-19760000,313000,None,None,43562000,15.15,
1,2020-03-31,USD,12345000,9038000,None,11270000,2232000,1794000,None,None,2232000,None,7338000,None,2232000,1888000,1293000,438000,10710000,9417000,None,None,None,438000,None,None,1794000,1794000,None,USD,1185307000,1378000,328517000,None,1060693000,124614000,None,986645000,7462000,20830000,8614000,14637000,776975000,49376000,986645000,None,None,5406000,37989000,338257000,290943000,108599000,288881000,None,14964000,None,None,None,None,7462000,None,20830000,None,None,42444000,None,847050000,3229000,14964000,59084000,74048000,None,None,None,90916000,1185307000,338257000,None,7462247,USD,-11055000,0,-11055000,-10841000,12534000,10172000,-1555000,-443000,1794000,1684000,2567000,80000,508000,-891000,-15000,None,None,708000,214000,None,None,1684000,15.72,15.15
2,2019-12-31,USD,9736000,8864000,None,12288000,3424000,2697000,None,None,3424000,None,3910000,None,3424000,1960000,1426000,727000,10786000,9360000,None,None,None,727000,-376000,None,2697000,2697000,None,USD,1170279000,1483000,332688000,11746000,1050085000,120194000,None,988201000,7440000,19927000,9048000,14637000,766296000,47692000,988201000,211000,211000,2339000,38223000,334492000,288792000,104074000,286800000,None,15175000,1410000,988200000,None,None,7440000,None,19927000,None,None,43102000,None,835786000,3266000,14964000,46920000,61884000,None,None,None,90488000,1170279000,334492000,None,7440026,USD,-25412000,3054000,-25412000,2000,-1030000,37693000,39303000,-4662000,2697000,14457000,2176000,2140000,724000,-794000,-77000,None,None,363000,402000,None,None,14457000,21.61,15.72
3,2019-09-30,USD,12466000,8604000,None,12441000,3651000,2898000,None,None,3651000,None,6867000,None,3837000,1912000,1511000,753000,10864000,9353000,None,None,None,753000,-186000,None,2898000,2898000,None,USD,1129990000,1609000,290991000,10775000,1011210000,118780000,None,948827000,7409000,18024000,8491000,14637000,761925000,32940000,984272000,None,None,3055000,39337000,298008000,267060000,102534000,265068000,None,15180000,1412000,948827000,None,None,7409000,None,18024000,None,None,40370000,None,831982000,3291000,14964000,47419000,62383000,None,13000,None,90305000,1129990000,298008000,None,7000000,USD,-22455000,0,-22455000,-21393000,427000,8986000,11444000,5262000,2898000,-6388000,7081000,-4396000,484000,-831000,-2224000,None,None,-1563000,437000,None,None,-6388000,19.48,21.61
4,2019-06-30,USD,12302000,8640000,None,12293000,3653000,2881000,None,None,3653000,None,6900000,None,3653000,1743000,1490000,772000,10606000,9116000,None,None,None,772000,-221000,None,2881000,2881000,None,USD,1115968000,1742000,285930000,8730000,998479000,117489000,None,937391000,7511000,15957000,8091000,14637000,758726000,39623000,937391000,None,None,1764000,35991000,289933000,252302000,101110000,250310000,None,15185000,1412000,937391000,None,None,7511000,None,15957000,None,None,44590000,None,826035000,2823000,2823000,58265000,61088000,None,15000,None,92242000,1115968000,289933000,None,7511164,USD,-10084000,0,-1329000,625000,-123000,13601000,18200000,-4190000,2881000,1416000,-2101000,4212000,388000,-841000,-3413000,None,None,-1180000,776000,None,None,1416000,18.51,19.48
5,2019-03-31,USD,11529000,8076000,None,11424000,3101000,2495000,None,None,3101000,None,6558000,None,3348000,1690000,1354000,606000,10374000,9020000,None,None,None,606000,-247000,None,2495000,2495000,None,USD,1097396000,1874000,278885000,7299000,980962000,116434000,None,919773000,7665000,13917000,7853000,14637000,746710000,38207000,953080000,None,None,-298000,38300000,284954000,248909000,99923000,246747000,None,17190000,1460000,919773000,None,None,7665000,None,13917000,None,None,41095000,None,812442000,2839000,14964000,46225000,61189000,None,17000,None,95150000,1097396000,284954000,None,8000000,USD,8755000,0,8755000,301000,3985000,-651000,-5735000,-1639000,2495000,5939000,-2165000,3273000,525000,-840000,-156000,None,None,105000,1178000,None,None,5939000,19.07,18.51
6,2018-12-31,USD,11558000,8170000,1296000,11558000,3388000,2686000,0,0,3388000,0,8170000,None,3388000,1538000,1945000,None,None,None,0,0,0,702000,-277000,0,2686000,2686000,None,USD,1091595000,2006000,None,3223000,979098000,112497000,None,925523000,7639000,12262000,9058000,14637000,746992000,32211000,925523000,None,None,-2483000,34987000,270104000,731596000,95854000,237893000,None,14964000,1460000,925523000,None,None,7639000,None,12262000,None,None,38265000,None,821491000,None,14964000,38611000,53575000,None,31000,None,95048000,1091595000,270104000,None,7638681,USD,-3369000,1550000,-6277000,449000,65044000,-6064000,3818000,-624000,2686000,-4672000,7669000,77000,389000,760000,-57000,None,None,94000,971000,None,None,-4672000,19.43,19.07
7,2018-09-30,USD,11704000,8134000,1123000,11704000,3570000,2833000,0,0,3570000,0,8134000,None,3570000,1580000,222000,None,None,None,0,0,0,737000,-299000,0,2833000,2833000,None,USD,1091142000,2142000,None,5528000,982956000,108186000,0,921722000,7630000,10336000,7608000,14637000,725606000,36335000,921722000,52426000,52426000,-4781000,34405000,287955000,712049000,91407000,251620000,None,14964000,1921000,921722000,0,0,7630000,0,10336000,0,None,39954000,None,803187000,None,14964000,46270000,61234000,None,34000,None,94967000,1091142000,287955000,None,7629638,USD,9802000,431000,-10673000,187000,5023000,-3254000,-11626000,514000,2833000,-8005000,5922000,-83000,380000,760000,0,0,0,21000,173000,None,None,-8005000,24.2,19.43
8,2018-06-30,USD,11821000,8225000,909000,11821000,3596000,3001000,0,0,3596000,0,8225000,None,3596000,1912000,168000,None,None,None,0,0,0,595000,-257000,0,3001000,3001000,None,USD,1092149000,2284000,None,6969000,985152000,106997000,0,933368000,7605000,8263000,7176000,14562000,713222000,44342000,933368000,43408000,43408000,-3784000,34613000,299855000,701476000,90151000,255513000,None,14964000,1824000,933368000,0,0,7605000,0,8263000,0,None,39359000,None,792294000,None,14964000,36820000,51784000,None,46000,None,94867000,1092149000,299855000,None,7605053,USD,27361000,388000,-18313000,118000,6244000,19078000,13496000,882000,3001000,6031000,5266000,-494000,376000,756000,0,0,0,29000,172000,None,None,6031000,25.1,24.2
9,2018-03-31,USD,10963000,7594000,999000,10963000,3369000,2709000,0,0,3369000,0,7594000,None,3369000,1680000,712000,None,None,None,0,0,0,660000,-253000,0,2709000,2709000,None,USD,1070539000,2427000,None,7546000,965056000,105483000,0,919898000,7600000,6018000,7990000,14589000,324779000,38312000,919898000,37168000,37168000,-2954000,34816000,292027000,687109000,88467000,253715000,None,14964000,9433000,919898000,0,0,7600000,0,6018000,0,None,39571000,None,778512000,None,14964000,30194000,45158000,None,46000,None,94773000,1070539000,292027000,None,7600690,USD,10505000,-272000,-12531000,62000,2689000,19554000,31602000,-331000,2709000,8323000,1300000,59000,374000,757000,0,0,0,202000,149000,None,None,8323000,22.9,25.1
