,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,2675000,None,None,None,None,365000,None,None,451000,None,1272000,None,None,260000,443000.0,86000,2818000,2375000,None,None,None,86000,None,None,365000,365000,None,USD,293381000,None,None,None,191409000,101972000,None,None,77000,37323000,2463000,None,206519000,3017000,None,None,None,-4453000,4687000,None,59856000,101972000,59076000,899000,13500000,None,365000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,-9462000,0,-9462000,None,2000000,14134000,12134000,-671000,365000,4749000,77000,None,77000,None,0,None,-83000,389000,21000,None,None,None,8.6,
1,2020-03-31,USD,2426000,None,None,None,None,407000,None,None,542000,None,1398000,None,None,110000,544000.0,135000,2807000,2263000,None,None,None,135000,None,None,407000,407000,None,USD,277980000,None,67342000,None,176972000,101008000,None,None,77000,36958000,1819000,None,200830000,11018000,None,None,None,-4970000,4744000,None,55843000,101008000,55063000,816000,11500000,None,259000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,68943000,None,None,None,None,USD,-9803000,0,-9803000,95000,2000000,-15767000,-53524000,446000,407000,-24520000,1050000,None,79000,None,0,None,-91000,209000,16000,None,None,None,7.8893,8.6
2,2019-12-31,USD,2626000,1897000,None,2625000,None,549000,None,None,728000,None,1223000,None,728000,279000,658000.0,179000,2865000,2207000,None,None,None,179000,None,None,549000,549000,None,USD,292218000,None,91503000,925000,230348000,61870000,None,52648000,67000,36551000,1545000,None,198066000,4101000,227303000,10000000,10000000,-1959000,4807000,41403000,48959000,61870000,48179000,725000,11500000,84000,51000,None,None,None,None,None,-1461000,None,None,None,None,None,None,None,None,None,None,None,28672000,None,None,None,7000000,USD,264000,0,264000,107000,-3350000,34137000,37487000,22000,549000,35192000,791000,None,81000,None,0,None,41000,82000,70000,None,None,None,11.55,7.8893
3,2019-09-30,USD,2311000,1772000,None,2266000,None,370000,None,None,491000,None,1328000,None,494000,111000,719000.0,121000,2812000,2093000,None,None,None,121000,-3000,None,370000,370000,None,USD,258089000,None,53606000,1884000,196779000,61310000,None,None,67000,36002000,2391000,None,201785000,4185000,182888000,3350000,3350000,-1878000,4818000,7673000,44603000,61310000,44603000,766000,14850000,84000,840000,None,None,None,None,None,-1461000,None,None,None,None,None,None,None,None,None,None,None,28580000,None,None,None,7000000,USD,-1364000,0,-1364000,-121000,-900000,5000,1495000,-499000,370000,-1212000,147000,None,84000,None,-590000,None,11000,181000,14000,None,None,None,10.9788,11.55
4,2019-06-30,USD,2351000,1751000,0,2266000,0,388000,0,0,514000,0,1279000,0,515000,126000,724000.0,126000,2804000,2080000,0,0,0,126000,-1000,0,388000,388000,0,USD,258324000,0,54189000,2728000,197140000,61184000,0,0,67000,35632000,3189000,0,201140000,4351000,185951000,0,7750000,-2133000,4888000,9707000,43478000,61184000,43478000,777000,15750000,84000,648000,0,0,0,0,0,-871000,0,0,0,0,0,0,0,0,0,0,0,28489000,0,0,0,8000000,USD,6150000,0,6150000,76000,-900000,-3604000,-3923000,-475000,388000,2844000,298000,0,97000,0,-552000,0,79000,209000,10000,0,0,0,10.45,10.9788
5,2019-03-31,USD,2203000,1807000,0,2133000,0,249000,0,0,325000,0,1350000,0,326000,103000,687000.0,76000,2750000,2063000,0,0,0,76000,-1000,0,249000,249000,0,USD,259587000,0,52250000,856000,198746000,60841000,0,0,67000,35244000,1690000,0,206356000,2135000,187056000,0,5750000,-156000,4975000,4705000,44169000,60841000,44169000,856000,15750000,69000,364000,0,0,0,0,0,-319000,0,0,0,0,0,0,0,0,0,0,0,28406000,0,0,0,8000000,USD,771000,0,771000,773000,-2000000,-4211000,-3892000,1048000,249000,-1935000,1505000,0,84000,0,-319000,0,-88000,212000,2000,0,0,0,10.75,10.45
6,2018-12-31,USD,2113000,1810000,0,2113000,0,233000,0,0,303000,0,1629000,0,303000,181000,3077686.36,None,None,None,0,0,0,70000,-176549.54,0,233000,233000,0,USD,262726000,0,None,1447000,202364000,60362000,0,0,67000,34995000,1339000,0,207175000,4488000,191025000,0,7750000,-3026000,5057000,7450000,43044000,60362000,1446000,0,10000000,69000,183205000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28326000,0,0,0,6000000,USD,7844000,0,6667000,-31000,-2000000,-6092000,-4092000,-890000,233000,507000,-68000,0,104000,0,0,0,0,366000,34000,0,0,0,10.03,10.75
7,2018-09-30,USD,2270000,1811000,4272480.23,2270000,0,349000,0,0,460000,0,1605000,0,459000,206000,3611971.71,None,None,None,0,0,0,111000,1000,0,349000,349000,0,USD,268349000,0,None,1087000,208840000,59509000,0,0,66000,34762000,2364000,0,206275000,3981000,188726000,0,2000000,-3626000,5111000,8968000,47995000,59509000,3900000,0,17750000,1190106.08,186185000,0,0,0,0,0,-14674006.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7000000,USD,3605000,0,-924000,104000,-18250000,1878000,20128000,77000,349000,1588000,634000,0,87000,0,0,0,0,187000,37000,0,0,0,11.35,10.03
8,2018-06-30,USD,2253000,1825000,692160.95,2253000,0,353000,0,0,437000,0,1626000,None,428000,199000,916819.09,None,None,None,0,0,0,84000,9000,0,353000,353000,None,USD,265911000,0,None,821000,206610000,59301000,0,0,66000,34413000,1916000,0,201303000,2393000,193944000,20500000,20500000,-3480000,5161000,7112000,52335000,59301000,3898000,0,10750000,0,166334000,0,0,0,0,0,-2672361.74,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,7000000,USD,4422000,0,-12697000,-268000,25250000,4912000,-20338000,273000,353000,-6807000,978000,None,84000,0,0,116608.26,0,281000,19000,None,None,None,11.09,11.35
9,2018-03-31,USD,2051000,1829000,514000,2051000,0,123000,0,0,176000,0,1617000,None,222000,212000,0.0,None,None,None,0,0,0,53000,-46000,0,123000,123000,None,USD,260603000,0,None,808000,201564000,59039000,0,None,66000,34060000,1463000,0,184598000,9200000,189351000,2000000,2000000,-3386000,5226000,14258000,56521000,59039000,3944000,None,10750000,306000,187140000,0,0,0,0,0,-2531000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,7000000,USD,-2773000,0,-7712000,507000,25250000,4613000,4613000,73000,123000,-2613000,486000,None,83000,0,0,109000,0,233000,19000,None,None,None,11.13,11.09
10,2017-12-31,USD,7630000,7255000,626000,7630000,0,-225000,0,0,64000,0,1270000,None,716000,1006000,1554000.0,None,None,None,0,0,0,266000,-27000,0,-84000,-225000,None,USD,256481000,103000,None,891000,196992000,59489000,0,None,66000,33690000,1329000,0,67295000,11813000,182950000,2000000,2000000,-2810000,5290000,17320000,54529000,59489000,3997000,None,12750000,728000,182913000,0,0,0,0,0,-2563000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,-10092000,8000,-11808000,1448000,-8500000,15544000,-1723000,534000,-186000,4902000,1166000,None,476000,0,0,483000,0,364000,357000,None,None,None,11.02,11.13
11,2017-09-30,USD,1904000,2125000,478000,1904000,0,39000,0,0,14000,0,1214000,None,676000,618000,0.0,None,None,None,0,0,0,-21000,-8000,0,-51000,39000,None,USD,270294000,0,None,842000,235916000,34378000,0,None,0,34378000,3061000,0,53375000,0,0,19757000,19757000,24000,7276000,0,None,34378000,0,None,19757000,72000,213098000,0,0,0,0,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,2603000,449000,0,1217000,5000000,28101000,29601000,155000,39000,26400000,1035000,None,0,0,0,520000,0,82000,280000,None,None,None,nan,11.02
12,2017-06-30,USD,3808000,-3668000,441000,-3808000,0,111000,0,0,132000,0,1287000,None,508000,-528000,0.0,None,None,None,0,0,0,21000,16000,0,-132000,111000,None,USD,236150000,0,None,847000,201827000,34323000,0,None,0,34323000,2110000,0,55523000,0,0,14763000,14763000,8000,7618000,0,None,34323000,0,None,14763000,901000,184954000,0,0,0,0,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,1157000,294000,3702000,451000,-5000000,0,970000,-131000,111000,794000,696000,None,0,0,0,461000,44000,18000,280000,None,None,None,nan,nan
13,2017-03-31,USD,1904000,1813000,428000,1904000,0,81000,0,0,83000,0,1298000,None,484000,249000,0.0,None,None,None,0,0,0,2000,-8000,0,81000,81000,None,USD,236114000,115000,None,1044000,201959000,34155000,None,None,None,34155000,1655000,None,56648000,4985000,186762000,19770000,19770000,-49000,7679000,8129000,46520000,34155000,1263000,None,19770000,1105000,180534000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,1330000,179000,2900000,286000,-1500000,-5337000,-3837000,301000,81000,-1926000,511000,None,122000,None,25767000,324000,None,23000,191000,None,None,None,nan,nan
14,2016-12-31,USD,7254000,7199000,882000,7254000,0,171000,0,0,15000,0,1344000,None,14000,971000,1633000.0,None,None,None,0,0,0,-156000,-40000,0,171000,171000,None,USD,241555000,119000,None,1352000,207557000,33998000,None,None,None,33998000,1641000,None,58801000,6911000,184668000,21277000,21277000,-125000,7610000,9944000,48946000,33998000,1014000,None,21277000,1259000,184639000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,-629000,1000,3394000,86000,-2000000,-1575000,425000,710000,171000,3818000,1999000,None,489000,None,25767000,44000,46000,583000,99000,None,None,None,nan,nan
15,2016-09-30,USD,0,0,746000,0,0,-197000,0,0,-264000,0,1301000,None,355000,0,0.0,None,None,None,0,0,0,-67000,0,0,0,-197000,None,USD,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0,None,None,None,nan,nan
16,2016-06-30,USD,0,0,433000,0,0,197000,0,0,264000,0,1200000,None,656000,0,0.0,None,None,None,0,0,0,67000,0,0,0,197000,None,USD,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,None,None,None,None,None,None,None,None,197000,None,None,None,None,None,None,None,None,None,0,None,None,None,nan,nan
17,2016-03-31,USD,0,0,416000,0,0,259000,0,0,307000,0,1218000,None,693000,0,0.0,None,None,None,0,0,0,48000,0,0,0,259000,None,USD,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,None,None,None,None,None,None,None,None,259000,None,None,None,None,None,None,None,None,None,0,None,None,None,nan,nan
18,2015-12-31,USD,8084000,6715000,1643000,8084000,0,978000,0,0,1395000,0,4577000,None,3178000,1077000,1283000.0,None,None,None,0,0,0,417000,26000,0,978000,978000,None,USD,242695000,136000,None,1442000,208513000,34182000,None,None,None,34182000,1003000,None,58825000,3093000,184234000,23304000,23304000,230000,8009000,5525000,49278000,34182000,990000,None,23304000,636000,184206000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,2296000,4000,-5602000,-1504000,9500000,378000,-9122000,-89000,978000,-4270000,954000,None,329000,None,25767000,None,3000,-267000,4513000,None,None,None,nan,nan
19,2015-09-30,USD,0,0,0,0,0,0,0,0,0,0,0,None,0,0,0.0,None,None,None,0,0,0,0,0,0,0,0,None,USD,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0,None,None,None,nan,nan
