,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,52835000,28755000,None,52835000,24080000,18272000,None,None,24080000,None,28755000,None,24080000,3609000,16055000,5808000,64761000,48706000,None,None,None,5808000,None,None,18272000,18272000,None,USD,7162659000,None,789712000,None,6590738000,571921000,None,5049874000,315000,437663000,114587000,16127000,6176226000,141154000,6355061000,1305187000,None,-23522000,27018000,141154000,6710706000,555794000,232803000,30219000,1305187000,None,None,None,None,315000,None,437663000,-69436000,None,318134000,None,7071985000,45897000,1305187000,235677000,235677000,None,None,None,226901000,7162659000,141154000,None,28217434,USD,-37047000,5695000,21105000,58826000,-302928000,-112163000,196858000,-143000,18272000,-72430000,18628000,-5419000,3148000,-6063000,-30000,None,None,-3068000,674000,None,None,-72430000,11.52,
1,2020-03-31,USD,30784000,32380000,None,30784000,-1596000,-1390000,None,None,-1596000,None,32380000,None,-1596000,4311000,25844000,-206000,66655000,40811000,None,None,None,-206000,None,None,-1390000,-1390000,None,USD,7245410000,None,847566000,None,6695727000,549683000,None,4828435000,315000,425455000,131373000,16127000,6131136000,231184000,6446017000,1617582000,None,-32440000,27899000,231184000,6703692000,533556000,225856000,25526000,1617582000,None,None,None,None,315000,None,425455000,-69540000,None,317135000,None,7064853000,47726000,119524000,249710000,249710000,None,None,None,225893000,7245410000,231184000,None,28213602,USD,-116603000,-7106000,-108518000,8844000,379544000,204650000,-164975000,-4666000,-1390000,107397000,11265000,4581000,3178000,-6084000,-3835000,None,None,12002000,759000,None,None,107397000,13.36,11.52
2,2019-12-31,USD,46535000,29647000,None,46535000,16888000,12931000,None,None,16888000,None,29647000,None,16888000,3790000,29000000,3957000,70162000,41162000,None,None,None,3957000,-1135000,None,12931000,12931000,None,USD,7017776000,None,888309000,40122000,6438104000,579672000,None,5022049000,315000,433960000,109804000,16127000,5970558000,106708000,6259280000,1237231000,727516000,-9807000,28676000,106708000,6607804000,563545000,248651000,25722000,1237231000,274000,5022049000,None,None,315000,None,433960000,-71487000,None,258461000,None,6911068000,49367000,118703000,178824000,178824000,None,None,None,226691000,7017776000,106708000,None,28157206,USD,39273000,-623000,51113000,13871000,-185751000,-99743000,92041000,-1576000,12931000,-37202000,11428000,-1993000,3654000,-6033000,0,None,None,-2541000,2031000,None,None,-37202000,21.61,13.36
3,2019-09-30,USD,39305000,26045000,None,39305000,13260000,10724000,None,None,13260000,None,26045000,None,13260000,3182000,30440000,2536000,69371000,38931000,None,None,None,2536000,541000,None,10724000,10724000,None,USD,7110895000,None,950795000,26566000,6542503000,568392000,None,4912509000,315000,427062000,125940000,16127000,5964892000,86989000,6334949000,1422440000,None,-12969000,28146000,109024000,60040000,552265000,246465000,22035000,1422440000,274000,4912509000,None,None,315000,None,427062000,-71487000,None,15363000,None,119676000,50626000,118144000,207554000,207554000,None,None,None,225471000,7110895000,86989000,None,28157206,USD,-100900000,4186000,-128119000,-26257000,50009000,139533000,96330000,3870000,10724000,30505000,19091000,946000,3540000,-6035000,-771000,None,None,-305000,962000,None,None,30505000,20.2,21.61
4,2019-06-30,USD,40986000,27158000,None,40986000,13828000,10556000,None,None,13828000,None,27158000,None,13828000,3338000,29566000,3272000,69556000,39990000,None,None,None,3272000,83000,None,10556000,10556000,None,USD,6945634000,None,931868000,26552000,6380244000,565390000,None,4825716000,315000,422373000,111593000,16127000,5848961000,56484000,6197606000,1371890000,None,-10616000,28623000,77994000,60186000,549263000,254172000,21510000,1371890000,274000,4825716000,None,None,315000,None,422373000,-70913000,None,15278000,None,120214000,50898000,117572000,182638000,182638000,None,None,None,224231000,6945634000,56484000,None,28187922,USD,-114750000,3909000,-70176000,44896000,254950000,46552000,-202351000,6826000,10556000,-2193000,21431000,3750000,3056000,-6039000,-8000,None,None,160000,322000,None,None,-2193000,22.2,20.2
5,2019-03-31,USD,41774000,32419000,None,41774000,9355000,7068000,None,None,9355000,None,32419000,None,9355000,4627000,28010000,2287000,69794000,41784000,None,None,None,2287000,-562000,None,7068000,7068000,None,USD,6867450000,None,927687000,27226000,6307891000,559559000,None,5010094000,315000,417856000,123875000,16127000,5762423000,58677000,6126510000,1116416000,None,-10542000,29798000,79692000,30481000,543432000,266839000,21015000,1116416000,35000,5010094000,None,None,315000,None,417856000,-70929000,None,15422000,None,91828000,52510000,117015000,181381000,181381000,None,None,None,222859000,6867450000,58677000,None,28187184,USD,-60907000,-3737000,-47587000,14218000,-135560000,-24117000,119359000,-4679000,7068000,-59884000,11820000,-305000,2790000,-6042000,-1874000,None,None,6004000,898000,None,None,-59884000,21.93,22.2
6,2018-12-31,USD,39228000,25760000,27219000,39228000,13468000,12422000,0,0,13468000,0,25760000,None,13468000,3077000,26797000,None,None,None,0,0,0,1046000,797000,0,12422000,12422000,None,USD,6834176000,16127000,None,29885000,6284712000,549464000,None,4915923000,315000,414327000,115707000,16127000,5720430000,118561000,6166766000,1250843000,782899000,-12752000,30418000,5670045000,32018000,533337000,None,5551484000,467944000,35000,4915923000,None,None,315000,None,414327000,-75146000,None,131788000,None,210351000,None,115850000,117946000,117946000,None,None,None,222720000,6834176000,118561000,None,27983637,USD,-353344000,396000,-234167000,121165000,51996000,289735000,244369000,-883000,12422000,73467000,17899000,641000,3148000,-5683000,-947000,None,None,1292000,1988000,None,None,73467000,21.53,21.93
7,2018-09-30,USD,46476000,27233000,23965000,46476000,19243000,17333000,0,0,19243000,0,27233000,None,19243000,3718000,23965000,None,None,None,0,0,0,1910000,-494000,0,17333000,17333000,None,USD,6539543000,16127000,None,24673000,5997787000,541756000,0,4657648000,315000,407590000,142589000,16127000,5548647000,45094000,5854749000,1197101000,None,-13549000,29929000,65403000,31165000,525629000,0,20309000,1197101000,35000,4657648000,0,0,315000,0,407590000,-74222000,None,15226000,None,92447000,None,None,143038000,143038000,None,None,None,221622000,6539543000,45094000,None,28025081,USD,-61924000,5740000,-59255000,3424000,-54254000,38840000,106540000,5096000,17333000,2289000,22704000,-644000,3483000,-5697000,-7749000,0,0,-3208000,755000,None,None,2289000,24.4,21.53
8,2018-06-30,USD,45808000,27396000,20653000,45808000,18412000,13923000,0,0,18412000,0,27396000,None,18412000,3749000,20653000,None,None,None,0,0,0,4489000,-560000,0,13923000,13923000,None,USD,6467616000,16127000,None,24184000,5929572000,538044000,0,4558878000,315000,395960000,118834000,16127000,5514110000,42805000,5809610000,1250732000,1251860000,-12007000,30658000,63025000,31093000,521917000,0,20220000,1250732000,35000,4558878000,0,0,315000,0,395960000,-66656000,None,15647000,None,93525000,None,None,119962000,119962000,None,None,None,220432000,6467616000,42805000,None,28588266,USD,-39213000,958000,-39347000,665000,72710000,-31219000,-92257000,4660000,13923000,-49154000,21412000,3675000,3900000,-5752000,-5920000,0,0,-1044000,799000,None,None,-49154000,26.1,24.4
9,2018-03-31,USD,45656000,31294000,18330000,45656000,14362000,11412000,0,0,14362000,0,31294000,None,14362000,4691000,18177000,None,None,None,0,0,0,2950000,-596000,0,11412000,11412000,None,USD,6482771000,16127000,None,22578000,5947464000,535307000,0,4635803000,315000,387793000,132907000,16127000,5483654000,91959000,5812904000,1177101000,1178754000,-11179000,31314000,112501000,31235000,519180000,0,20542000,1177101000,744000,4635803000,0,0,315000,0,387793000,-60737000,None,16395000,None,95071000,None,None,134560000,134560000,None,None,None,219115000,6482771000,91959000,None,28546443,USD,-156100000,-118000,-145226000,12741000,-134294000,170351000,318403000,-1073000,11412000,40413000,15288000,-955000,3407000,-5795000,-7963000,0,0,1542000,1867000,None,None,40413000,26.96,26.1
