,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,17265000,14625000,7717000,9548000,3189000,3321000,1849000,None,2915000,None,5059000,None,2640000,None,None,-599000,275000,275000,None,None,None,-599000,None,None,3321000,3321000,None,USD,95915000,None,None,None,8872000,87043000,None,None,2000,-62064000,None,None,80000,2431000,6509000,None,None,1049000,8819000,41183000,45833000,87043000,18530000,13863000,None,2155000,3636000,None,None,None,None,None,None,None,80000,None,54732000,2864000,None,None,2363000,None,None,None,None,None,None,None,None,USD,-2405000,377000,-2405000,None,None,-59000,-87000,-2605000,3321000,-6871000,-4409000,None,549000,None,0,None,-7541000,1548000,411000,None,None,None,16.0,
1,2020-03-31,USD,7753000,9667000,4057000,3696000,-1345000,-1956000,1978000,None,-1673000,None,3632000,None,-1914000,None,None,34000,241000,241000,None,None,None,34000,None,None,-1956000,-1956000,None,USD,89325000,None,None,1531000,7953000,81372000,None,None,2000,-65385000,None,None,160000,9302000,5810000,None,None,-193000,8223000,37025000,43917000,81372000,18028000,6371000,None,1531000,2855000,None,None,None,None,None,None,None,160000,None,52300000,2574000,None,None,2143000,None,None,None,146948000,None,27330000,None,22000000,USD,-3862000,1907000,-3862000,-3066000,None,-164000,-130000,-757000,-1956000,-2663000,1366000,None,569000,None,-46000,None,104000,1465000,796000,None,None,None,10.76,16.0
2,2019-12-31,USD,8387000,8796000,3634000,4753000,149000,-296000,1795000,None,-160000,None,3367000,None,-409000,None,None,-38000,249000,249000,None,None,None,-38000,75000,None,-296000,-296000,None,USD,88756000,None,None,277000,5979000,82777000,None,389000,2000,-63429000,None,None,251000,11965000,3723000,None,None,146000,8607000,37079000,42819000,82777000,16304000,6555000,None,277000,1581000,None,None,None,None,None,None,None,251000,None,51677000,2676000,None,None,2256000,None,None,None,146058000,None,28269000,None,19000000,USD,-36079000,-238000,-36079000,-27864000,None,27639000,-130000,-113000,-296000,-8557000,-116000,None,558000,None,28775000,None,-1427000,1436000,598000,None,None,None,12.9,10.76
3,2019-09-30,USD,10347000,8838000,3885000,6462000,2012000,1462000,1744000,None,1698000,None,3209000,None,1509000,None,None,61000,189000,189000,None,None,None,61000,14000,None,1462000,1462000,None,USD,61145000,None,None,244000,6619000,54526000,None,429000,2000,-63133000,None,None,409000,20522000,4253000,None,None,179000,9135000,39205000,12396000,54526000,11596000,5292000,None,244000,2150000,None,None,None,None,None,None,None,409000,None,21940000,2775000,None,None,2366000,None,None,None,117478000,None,32118000,None,19000000,USD,6344000,33000,6344000,7754000,None,1127000,-130000,367000,1462000,11357000,3903000,None,503000,None,1136000,None,220000,1258000,88000,None,None,None,10.39,12.9
4,2019-06-30,USD,8424000,8129000,3620000,4804000,806000,331000,1574000,None,487000,None,2935000,None,295000,None,None,7000,192000,192000,None,None,None,7000,43000,None,331000,331000,None,USD,56436000,None,None,405000,5294000,51142000,None,None,2000,-64595000,None,None,167000,9165000,2909000,None,None,203000,8693000,34795000,12781000,51142000,17820000,5543000,None,405000,1175000,None,None,None,None,None,None,None,167000,None,21641000,2786000,None,None,2385000,None,None,None,115532000,None,26985000,None,19000000,USD,3211000,-203000,3211000,1322000,None,5000,-130000,11000,331000,3877000,675000,None,511000,None,9000,None,-1046000,1071000,499000,None,None,None,6.68,10.39
5,2019-03-31,USD,5370000,7193000,2968000,2402000,-1288000,-1908000,1424000,None,-1616000,None,2801000,None,-1823000,None,None,13000,207000,207000,None,None,None,13000,-72000,None,-1908000,-1908000,None,USD,55652000,None,None,423000,5691000,49961000,None,None,2000,-64926000,None,None,231000,5288000,3203000,393000,393000,95000,8904000,36301000,10216000,49961000,24139000,4563000,2488000,423000,1456000,None,None,None,None,None,None,None,231000,None,19351000,2881000,None,None,2488000,None,None,None,114790000,None,29427000,None,18000000,USD,-2522000,79000,-2522000,-2388000,None,4000,None,-36000,-1908000,-1448000,1055000,None,535000,None,4000,None,1414000,971000,134000,None,None,None,5.95,6.68
6,2018-12-31,USD,5673000,6702000,2769000,2904000,-1029000,-2053000,1426000,0,-1165000,0,2507000,None,-1029000,0,0,None,None,None,0,0,0,888000,-136000,0,-2053000,-2053000,None,USD,53904000,None,None,1565000,2752000,51152000,None,None,2000,-63018000,14000,None,17000,6736000,2738000,None,None,-35000,6446000,39543000,7898000,51152000,24298000,6238000,None,None,1313000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,114203000,None,31034000,None,18000000,USD,-2413000,277000,-2536000,3272000,None,5000,None,75000,-2053000,-1753000,778000,None,538000,None,15000,None,23000,1918000,123000,None,None,None,3.17,5.95
7,2018-09-30,USD,5625000,6471000,2612000,3013000,-846000,-595000,1438000,0,-913000,0,2421000,None,-846000,0,0,None,None,None,0,0,0,-318000,-67000,0,-595000,-595000,None,USD,54846000,0,None,1582000,2266000,52580000,0,1231000,2000,-60965000,11000,0,947000,8489000,2255000,None,None,-57000,6853000,41050000,5996000,52580000,24114000,6397000,0,0,1024000,0,0,0,0,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,18000000,USD,6009000,1169000,4962000,0,None,1000,None,-761000,-595000,4835000,-105000,None,547000,0,0,0,-1003000,538000,1047000,None,None,None,3.93,3.17
8,2018-06-30,USD,5400000,6401000,2544000,2856000,-1001000,-1049000,1212000,0,-1149000,0,2645000,None,-1001000,0,0,None,None,None,0,0,0,-100000,-148000,0,-1049000,-1049000,None,USD,55548000,0,None,1720000,2987000,52561000,0,1184000,2000,-60370000,9000,0,612000,3654000,2978000,None,None,-82000,7325000,38195000,9416000,52561000,26949000,5304000,0,0,1794000,0,0,0,0,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,18000000,USD,-981000,-1562000,-1527000,0,None,7000,None,1277000,-1049000,-1620000,-57000,None,562000,0,0,0,-277000,992000,546000,None,None,None,4.14,3.93
9,2018-03-31,USD,4653000,6847000,2772000,1881000,-2194000,-1910000,1458000,0,-2344000,0,2617000,None,-2194000,0,0,None,None,None,0,0,0,-434000,-150000,0,-1910000,-1910000,None,USD,55440000,0,None,1711000,2415000,53025000,0,1062000,2000,-59321000,6000,0,535000,5274000,2409000,None,None,-87000,6853000,36075000,11977000,53025000,23211000,5244000,0,0,1347000,0,0,0,0,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,18000000,USD,1167000,218000,51000,0,None,2000,None,33000,-1910000,-1216000,-1291000,None,516000,0,0,0,-713000,565000,1116000,None,None,None,4.0,4.14
