,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,14511000,18238000,6203000,8308000,-2551000,-6703000,259000,None,-6707000,None,9796000,None,-3727000,None,2176000,-4000,None,-2447000,None,None,None,-4000,-533000,None,-6703000,-6703000,None,USD,203391000,11010000,None,None,158170000,45221000,None,493000,3000,-17822000,6531000,21286000,622000,26495000,26087000,None,3253000,None,137116000,33357000,None,12925000,None,1784000,105876000,1780000,7284000,None,None,None,None,None,None,None,None,None,170034000,23323000,None,None,132083000,None,None,None,None,None,None,None,None,USD,-355000,2658000,-355000,-11000,5175000,4728000,-447000,223000,-6703000,2178000,-2195000,None,1980000,None,None,None,-1260000,636000,344000,None,None,None,1.33,
1,2020-03-31,USD,30853000,15077000,19204000,11649000,-1772000,-4358000,56000,None,-4263000,None,12981000,1656000,-3428000,2096000,2491000,95000,-835000,-2491000,None,None,None,95000,1656000,None,-4358000,-4358000,None,USD,202940000,11033000,None,3200000,151119000,51821000,807000,3586000,3000,-11119000,6667000,21286000,612000,24317000,21076000,1499000,1100000,None,120193000,30142000,None,19502000,None,524000,102874000,2101000,15991000,None,None,3000,None,-11119000,-1548000,None,20286000,None,172798000,24088000,102874000,26362000,130043000,None,None,None,64485000,202940000,24317000,None,27075962,USD,-998000,-2608000,-998000,33000,-275000,-370000,-95000,331000,-4358000,-5534000,-4166000,331000,2265000,None,None,None,1682000,-1478000,1031000,1682000,None,-5534000,1.25,1.33
2,2019-12-31,USD,39016000,20485000,18900000,20116000,-1438000,-4133000,534000,None,-4104000,None,17880000,-1069000,-369000,2605000,2666000,29000,-3735000,-2664000,None,None,None,29000,-1074000,None,-4133000,-4133000,None,USD,211335000,11056000,None,4340000,155239000,56096000,712000,13768000,3000,-6761000,6598000,21286000,646000,28851000,25183000,3155000,1100000,None,121487000,37689000,None,23754000,None,2206000,102923000,2292000,8260000,None,None,3000,None,-6761000,-1548000,None,19817000,None,173646000,23690000,102923000,26421000,130056000,None,None,None,64402000,211335000,28851000,None,27075962,USD,-2445000,5007000,-2445000,-19000,-281000,-242000,-35000,799000,-4133000,2069000,4756000,799000,2315000,None,74000,None,-420000,1188000,2426000,-420000,None,2069000,3.35,1.25
3,2019-09-30,USD,44259000,14812000,26053000,18206000,3132000,938000,228000,None,704000,None,12485000,-262000,3394000,2327000,2428000,-234000,-2690000,-2420000,None,None,None,-234000,-280000,None,938000,938000,None,USD,208488000,11079000,None,4496000,148524000,59964000,683000,471000,3000,-2628000,683000,21286000,613000,27782000,22711000,2086000,1100000,None,121253000,36017000,None,27599000,None,1804000,102957000,1935000,20154000,None,None,3000,None,-2628000,-1654000,None,18853000,None,172471000,24910000,102957000,22173000,125813000,None,None,None,64243000,208488000,27782000,None,26980360,USD,-3168000,3157000,-3168000,-562000,-276000,-416000,-140000,621000,938000,3874000,7458000,621000,2336000,None,45000,None,290000,116000,2606000,290000,None,3874000,2.16,3.35
4,2019-06-30,USD,41663000,15248000,24492000,17171000,2064000,-1010000,142000,None,-867000,None,13027000,141000,1923000,2221000,2931000,143000,-2790000,-2918000,None,None,None,143000,132000,None,-1010000,-1010000,None,USD,205099000,11102000,None,4505000,147743000,57356000,2517000,1218000,3000,-5166000,2517000,21286000,691000,23908000,21381000,1100000,1100000,None,120845000,32406000,None,24968000,None,2076000,102986000,1917000,19063000,None,None,3000,None,-5166000,-1654000,None,19460000,None,172693000,23571000,102986000,20859000,126362000,None,None,None,64173000,205099000,23908000,None,26980360,USD,-1805000,-76000,-1805000,-5000,8547000,8409000,-138000,-2061000,-1010000,5538000,-1066000,-2061000,2491000,None,45000,None,-527000,117000,1800000,-527000,None,5538000,1.87,2.16
5,2019-03-31,USD,40494000,14883000,24343000,16151000,1228000,-1617000,133000,None,-1475000,None,12660000,-40000,1268000,2223000,2703000,142000,-2743000,-2634000,None,None,None,142000,-108000,None,-1617000,-1617000,None,USD,197858000,11122000,None,3009000,139599000,58259000,2375000,1381000,3000,-4156000,2375000,21286000,701000,18370000,21541000,1000000,1000000,None,121153000,24280000,None,25851000,None,1549000,94130000,1352000,19160000,None,None,3000,None,-4156000,-1654000,None,20017000,None,173578000,24240000,94130000,21553000,118058000,None,None,None,64066000,197858000,18370000,None,26958836,USD,-1252000,-2129000,-1252000,4000,-253000,-333000,-125000,-37000,-1617000,-2264000,-679000,-37000,2281000,None,45000,None,486000,337000,1256000,486000,None,-2264000,2.02,1.87
6,2018-12-31,USD,40690000,15148000,24396000,16294000,1918000,-989000,0,0,-869000,0,12501000,772000,1146000,2523000,2787000,120000,None,None,0,124000,0,120000,-2015000,0,-989000,-989000,None,USD,182272000,11145000,None,2899000,122527000,59745000,2232000,825000,3000,-2539000,2398000,21286000,680000,20634000,21611000,1497000,1000000,None,122076000,26993000,92000,27314000,None,2035000,94194000,1425000,19289000,None,None,3000,None,-2539000,-1654000,None,772000,None,155279000,4324000,98518000,166000,100916000,None,None,None,63935000,182272000,20634000,None,26932169,USD,None,1982000,-3235000,-38000,-381000,-379000,2000,762000,-989000,-207000,3407000,948000,2292000,None,11435000,None,-272000,-554000,3197000,-272000,None,-207000,2.02,2.02
7,2018-09-30,USD,44028000,14393000,25901000,18127000,4197000,1565000,0,0,1684000,0,11769000,463000,3734000,2484000,2513000,None,None,None,0,140000,0,119000,-2050000,0,1565000,1565000,None,USD,182390000,11169000,None,37035000,121767000,60623000,2112000,1611000,3000,-1550000,2284000,21286000,920000,20841000,20756000,1474000,1000000,None,121325000,27690000,None,60623000,0,1764000,94262000,1425000,17671000,0,0,3000,0,-1550000,-1654000,None,None,None,121325000,4465000,98727000,172000,101011000,None,None,None,63824000,182390000,20841000,None,26932169,USD,None,1287000,-7217000,-107000,-414000,-414000,-48000,1107000,1565000,-1885000,5746000,1066000,2291000,0,0,0,-233000,-230000,7110000,-233000,None,-1885000,2.88,2.02
8,2018-06-30,USD,41227000,14569000,24655000,16572000,1923000,-661000,0,0,-543000,0,12462000,-80000,2003000,2107000,2466000,None,None,None,0,0,0,118000,-2615000,0,-661000,-661000,None,USD,181355000,10926000,None,37887000,122411000,58944000,1994000,2074000,3000,-3115000,2173000,21286000,1031000,22726000,21271000,1451000,1000000,None,117661000,30451000,None,58944000,0,1530000,94362000,1551000,17746000,0,0,3000,0,-3115000,-1654000,None,None,None,117661000,4605000,98967000,179000,101140000,None,None,None,63710000,181355000,22726000,None,26932169,USD,None,454000,-5568000,-332000,-646000,-637000,-282000,-1211000,-661000,-4986000,1219000,-1131000,2229000,0,9000,0,-36000,364000,5236000,-36000,None,-4986000,3.33,2.88
9,2018-03-31,USD,37931000,14177000,23211000,14720000,-1627000,-4286000,0,0,-4167000,0,11962000,-2170000,543000,2205000,2540000,None,None,None,0,10000,0,119000,-4720000,0,-4286000,-4286000,None,USD,181514000,10932000,None,3335000,122094000,59420000,1875000,1993000,3000,-2454000,2061000,21286000,464000,27712000,20825000,1428000,1000000,None,114745000,34087000,None,59420000,0,1494000,94466000,1546000,17404000,0,0,3000,0,-2454000,-1654000,None,147427000,None,147427000,4742000,99208000,186000,101269000,None,None,None,63525000,181514000,27712000,None,26914259,USD,None,-992000,-1410000,98000,-1525000,9760000,-141000,-441000,-4286000,7802000,-548000,-441000,2375000,0,11426000,0,266000,2530000,1508000,266000,None,7802000,3.21,3.33
