,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,15451000,37237000,5481000,9970000,-27369000,-32619000,12507000,None,-32371000,None,24730000,-102000,-27267000,None,5002000,248000,95000,-4907000,None,None,None,248000,-197000,None,-32619000,-32619000,None,USD,271776000,None,None,5043000,255261000,16515000,None,6422000,49000,-738020000,295000,None,None,183099000,37357000,7639000,7639000,3000,17795000,246567000,None,16515000,17509000,21524000,210819000,19392000,23296000,None,None,49000,None,-738020000,None,None,7414000,None,25209000,8212000,210819000,7085000,217904000,None,None,None,754483000,271776000,200608000,None,49270392,USD,-4290000,-4905000,-6584000,None,None,98074000,-107000,-4962000,-32619000,71080000,-20410000,829000,2875000,None,98074000,599000,8838000,3973000,2294000,8838000,None,71080000,13.15,
1,2020-03-31,USD,20127000,50433000,2276000,17851000,-32081000,-36802000,21134000,None,-36802000,None,29299000,501000,-32582000,None,4721000,None,427000,-4294000,None,None,None,None,74000,None,-36802000,-36802000,None,USD,204582000,None,None,5812000,256888000,-52306000,None,1381000,39000,-705401000,295000,None,None,112019000,35696000,2222000,2222000,6000,15364000,181396000,None,-52306000,13212000,30362000,213735000,19991000,32093000,None,None,39000,None,-705401000,None,None,7822000,None,23186000,8543000,213735000,7457000,221192000,None,None,None,653050000,204582000,125231000,None,38562422,USD,41198000,-2010000,37954000,41198000,20000000,20009000,20000000,167000,-36802000,29766000,-28197000,-457000,2401000,None,9000,-3101000,6753000,5019000,3244000,6753000,None,29766000,7.87,13.15
2,2019-12-31,USD,23654000,49320000,3928000,19726000,-28987000,-33516000,17072000,None,-33516000,None,32248000,607000,-29594000,None,4529000,None,649000,-3880000,None,None,None,None,-43000,None,-33516000,-33516000,None,USD,217560000,None,None,5371000,237668000,-20108000,None,1351000,38000,-668599000,251000,None,None,82253000,36219000,None,None,62000,13662000,195675000,None,-20108000,54407000,37115000,193589000,16529000,34868000,None,None,38000,None,-668599000,None,None,8223000,None,21885000,8960000,193589000,7860000,201449000,None,None,None,648391000,217560000,136660000,None,38361476,USD,33704000,-2429000,30928000,118658000,20000000,2498000,-107000,-5034000,-33516000,-5516000,-38942000,61000,2353000,None,2498000,-1523000,-7799000,3911000,2776000,-7799000,None,-5516000,20.7,7.87
3,2019-09-30,USD,21786000,53074000,2872000,18914000,-33580000,-38232000,20938000,None,-38232000,None,32136000,580000,-34160000,None,4652000,None,721000,-3931000,None,None,None,None,-141000,None,-38232000,-38232000,None,USD,244353000,None,None,5235000,237180000,7173000,None,1283000,38000,-635083000,251000,None,None,87769000,37790000,None,None,131000,10651000,225084000,None,7173000,87991000,29316000,191274000,14773000,36507000,None,None,38000,None,-635083000,None,None,8618000,None,19269000,9148000,191274000,8116000,199390000,None,None,None,642087000,244353000,175760000,None,38152405,USD,43091000,8941000,43041000,84954000,30472000,30480000,-161000,7926000,-38232000,42068000,-31453000,-932000,2300000,None,8000,-1639000,-6727000,4836000,50000,-6727000,None,42068000,13.705,20.7
4,2019-06-30,USD,16953000,49228000,1398000,15555000,-32538000,-36487000,16125000,None,-36487000,None,33103000,1135000,-33673000,None,3949000,None,831000,-3118000,None,None,None,None,304000,None,-36487000,-36487000,None,USD,232480000,None,None,4213000,191009000,41471000,None,1247000,38000,-596851000,251000,None,None,45701000,27070000,None,None,230000,9753000,211184000,5050000,41471000,125811000,22589000,158002000,12870000,25823000,None,None,38000,None,-596851000,None,None,6493000,None,21296000,6933000,158002000,5937000,163939000,None,None,None,638054000,232480000,171512000,None,38106641,USD,-392000,-801000,-392000,41863000,-2500000,-1460000,-161000,-734000,-36487000,-42234000,-40382000,408000,1926000,None,1040000,-2186000,-7459000,4217000,1068000,-7459000,None,-42234000,12.3,13.705
5,2019-03-31,USD,10564000,47646000,1762000,8802000,-37602000,-41538000,15424000,None,-41538000,None,32222000,1242000,-38844000,None,3936000,None,-2925000,-2925000,None,None,None,None,231000,None,-41538000,-41538000,None,USD,264619000,None,None,4656000,192043000,72576000,None,1142000,38000,-560364000,251000,None,None,87935000,39214000,11280000,11280000,105000,10329000,247958000,None,72576000,129913000,15130000,146939000,10324000,26792000,None,None,38000,None,-560364000,None,None,6332000,None,16661000,6781000,146939000,5890000,152829000,None,None,None,632797000,264619000,217848000,None,37992631,USD,42255000,1317000,41187000,42255000,-2500000,-2500000,-161000,2267000,-41538000,706000,-37981000,865000,1857000,None,None,-2326000,-2009000,3853000,1068000,-2009000,None,706000,12.48,12.3
6,2018-12-31,USD,9543000,45428000,2073000,7470000,-36638000,-40575000,14856000,0,-40575000,0,30572000,1320000,-37958000,0,3937000,None,None,None,0,0,0,0,-2618000,0,-40575000,-40575000,None,USD,295752000,None,None,5500000,185673000,110079000,None,897000,38000,-518826000,537000,None,None,87229000,36617000,9967000,9967000,-77000,10710000,285042000,None,110079000,171555000,13121000,148519000,7637000,26650000,None,None,38000,None,-518826000,None,None,None,None,10710000,None,148519000,537000,149056000,None,None,None,628944000,295752000,258784000,None,37946341,USD,14135000,-278000,13971000,126436000,-2500000,-1850000,-161000,-3943000,-40575000,-30537000,-42658000,-823000,1722000,None,650000,-2200000,-4323000,3819000,164000,-4323000,None,-30537000,11.32,12.48
7,2018-09-30,USD,6990000,46382000,1619000,5371000,-39710000,-43640000,13578000,0,-43640000,0,32804000,1301000,-41011000,0,3930000,None,None,None,0,0,0,0,-2629000,0,-43640000,-43640000,None,USD,331695000,0,None,4676000,185590000,146105000,0,656000,38000,-478251000,546000,0,0,117766000,36212000,9967000,9967000,-157000,10285000,321410000,None,146105000,185094000,8798000,148832000,5076000,26245000,0,0,38000,0,-478251000,0,None,None,None,10285000,None,148832000,546000,149378000,None,None,None,624475000,331695000,302860000,None,37825275,USD,-18556000,9038000,-18683000,0,-2500000,-2381000,None,4407000,-43640000,-56799000,-35735000,-1913000,2058000,0,119000,-1539000,-3738000,3999000,127000,-3738000,None,-56799000,18.71,11.32
8,2018-06-30,USD,3797000,44130000,946000,2851000,-39949000,-43875000,13094000,0,-43875000,0,31036000,1330000,-41279000,0,3926000,None,None,None,0,0,0,0,-2596000,0,-43875000,-43875000,None,USD,362528000,0,None,3007000,177021000,185507000,0,461000,38000,-434611000,552000,0,0,174565000,27279000,9967000,9967000,-310000,10690000,351838000,None,185507000,165832000,5060000,149190000,3374000,17312000,0,0,38000,0,-434611000,0,None,None,None,10690000,None,149190000,552000,149742000,None,None,None,620390000,362528000,340397000,None,37807523,USD,31395000,3038000,63714000,0,-2500000,-8000,None,1910000,-43875000,26661000,-37045000,1048000,2202000,0,2492000,-779000,-2663000,3984000,227000,-2663000,None,26661000,25.85,18.71
9,2018-03-31,USD,2194000,38450000,2698000,-504000,-37650000,-41569000,11551000,0,-41569000,0,26899000,1304000,-38954000,0,3919000,None,None,None,0,0,0,0,-2615000,0,-41569000,-41569000,None,USD,397089000,0,None,4023000,174482000,222607000,0,304000,38000,-390736000,440000,0,600000,147304000,24447000,9967000,9967000,-576000,10964000,380587000,4938000,222607000,224338000,2397000,149595000,2525000,14480000,0,0,38000,0,-390736000,0,None,600000,None,16502000,None,149595000,440000,150035000,None,None,None,613881000,397089000,371642000,None,37632589,USD,99462000,-5950000,66582000,-32546000,-2500000,-2086000,None,-3764000,-41569000,19515000,-44981000,-623000,2217000,0,414000,-726000,-1987000,3657000,334000,-1987000,None,19515000,22.41,25.85
