,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,145576000,120330000,None,145576000,25246000,19064000,None,None,25246000,None,120330000,None,25246000,14624000,16810000,6182000,162044000,145234000,None,None,None,6182000,None,None,19064000,17840000,1037000,USD,21244881000,940182000,4285812000,None,18588670000,2656211000,None,15657656000,1253000,1359407000,167454000,None,15113314000,942301000,17962851000,2305195000,None,28727000,279021000,942301000,3435862000,1485529000,3435862000,568239000,234358000,None,391461000,None,None,1253000,230500000,1359407000,-232323000,None,15926536000,None,20302580000,None,234358000,391461000,625819000,None,None,None,1268647000,21244881000,942301000,None,114276000,USD,-1040870000,53741000,-1041355000,994000,-343015000,1419985000,1558706000,49885000,19064000,460689000,82059000,-207003000,12825000,-17049000,221343000,None,-10822000,203432000,1479000,None,None,460689000,13.35,
1,2020-03-31,USD,143405000,117331000,None,143405000,26074000,19606000,None,None,26074000,None,117331000,None,26074000,12654000,26652000,6468000,170227000,143575000,None,None,None,6468000,None,None,19606000,19606000,None,USD,19753300000,935241000,3826619000,None,17317593000,2435707000,None,14098950000,1253000,1357395000,108879000,None,14156223000,481612000,16747160000,2648210000,None,35323000,290044000,481612000,3382865000,1500466000,3382865000,539748000,234153000,None,336280000,None,None,1253000,None,1357395000,-233199000,None,14953582000,None,19271688000,None,234153000,336280000,570433000,None,None,None,1274935000,19753300000,481612000,None,114213000,USD,-727640000,-40870000,-586293000,144515000,977920000,834362000,-102404000,-38832000,19606000,182391000,-65678000,-215679000,12968000,-15431000,-25723000,None,-114028000,158297000,3168000,None,None,182391000,13.235,13.35
2,2019-12-31,USD,185261000,116748000,None,185261000,68513000,184523000,None,None,68513000,None,116748000,None,68513000,-6884000,28245000,16392000,176604000,148359000,None,None,None,-116010000,-25395000,None,184523000,184523000,None,USD,17850397000,875262000,3137255000,231148000,15479604000,2370793000,None,13251278000,1204000,1380612000,145019000,796756000,13156314000,299221000,14910036000,1658758000,None,-1954000,282172000,299221000,2895383000,1495531000,2873386000,437581000,233948000,20458000,335620000,None,None,1204000,None,1380612000,-220343000,None,13780531000,None,17551176000,None,233948000,335620000,569568000,None,None,None,1211274000,17850397000,299221000,None,109972000,USD,699213000,131584000,-54001000,-685734000,5268000,-199780000,-189649000,130171000,52121000,-176446000,77335000,-313040000,11064000,-15402000,33931000,None,-148212000,195606000,6790000,None,None,-176446000,23.06,13.235
3,2019-09-30,USD,181240000,108395000,None,181240000,72845000,54545000,None,None,72845000,None,108395000,None,72845000,11432000,31176000,18300000,181963000,150787000,None,None,None,18300000,-4012000,None,54545000,54545000,None,USD,18013454000,876219000,3283926000,105678000,15673855000,2339599000,None,13440927000,1204000,1343895000,148518000,None,13074291000,475667000,15094417000,1653490000,None,6738000,286564000,475667000,2928304000,1463380000,2905738000,458303000,233743000,25266000,345695000,None,None,1204000,None,1343895000,-220268000,None,13733264000,None,17537787000,None,233743000,345695000,579438000,None,None,None,1208030000,18013454000,475667000,None,109970000,USD,-368505000,13523000,-365784000,5901000,246112000,470148000,252339000,13490000,54545000,149017000,44653000,-189321000,12429000,-15502000,-12801000,None,-17783000,153477000,3180000,None,None,149017000,19.48,23.06
4,2019-06-30,USD,177347000,114142000,None,177347000,63205000,47014000,None,None,63205000,None,114142000,None,63205000,12987000,27370000,16191000,177682000,150312000,None,None,None,16191000,-10250000,None,47014000,47014000,None,USD,17462233000,878802000,3093715000,76713000,15161660000,2300573000,None,13188588000,1204000,1304756000,135855000,None,12830848000,326650000,14595966000,1407378000,None,-2810000,288247000,326650000,2816593000,1421771000,2793316000,415379000,233538000,28488000,332156000,None,None,1204000,None,1304756000,-207973000,None,13440188000,None,17135583000,None,233538000,332156000,565694000,None,None,None,1205396000,17462233000,326650000,None,110589000,USD,-427822000,1719000,-430369000,2732000,431780000,438593000,40852000,1299000,47014000,63891000,55667000,-110844000,10906000,-12854000,-21185000,None,-8921000,106872000,5279000,None,None,63891000,20.47,19.48
5,2019-03-31,USD,163486000,102110000,None,163486000,61376000,46058000,None,None,61376000,None,102110000,None,61376000,10581000,23466000,15318000,162490000,139024000,None,None,None,15318000,-4630000,None,46058000,46058000,None,USD,15817769000,808852000,2558660000,65595000,13658298000,2159471000,None,12160982000,1157000,1273245000,124765000,None,11872886000,262759000,13134834000,973852000,None,-32159000,271714000,262759000,2363037000,1350619000,2350195000,360872000,203984000,10818000,319480000,None,None,1157000,None,1273245000,-186763000,None,12383121000,None,15555010000,None,203984000,319480000,523464000,None,None,None,1103991000,15817769000,262759000,None,106900000,USD,-193481000,-37870000,-204039000,-5477000,67773000,128086000,76870000,-40368000,46058000,-26499000,49454000,-37445000,9387000,-12782000,-3775000,None,27948000,69324000,5081000,None,None,-26499000,20.46,20.47
6,2018-12-31,USD,165280000,110828000,30709000,165280000,54452000,119782000,0,0,54452000,0,110828000,None,54452000,-4610000,20898000,None,None,None,902000,0,0,-65330000,-31503000,0,119782000,119782000,None,USD,15505649000,790744000,None,207525000,13450651000,2054998000,None,12084112000,1157000,1192767000,217138000,728809000,11793641000,289258000,12990191000,906079000,None,-52512000,128780000,289258000,2282185000,1264254000,78069000,None,203808000,12821000,12084112000,None,None,1157000,None,1192767000,-200994000,None,12143462000,None,15216391000,None,203808000,256652000,460460000,None,None,None,1114580000,15505649000,289258000,None,106375000,USD,-128248000,-2397000,32694000,168004000,-185685000,-103378000,93838000,-242000,41408000,-7341000,63343000,-76261000,10489000,-11351000,-180000,None,None,90139000,7062000,None,None,-7341000,19.81,20.46
7,2018-09-30,USD,156445000,96477000,28753000,156445000,59968000,53352000,0,0,59968000,0,96477000,None,59968000,11015000,17505000,None,None,None,0,0,0,6616000,-1886000,0,53352000,53352000,None,USD,14961499000,751248000,None,57876000,13043824000,1917675000,0,11527114000,1124000,1164133000,188125000,0,11364416000,296599000,12600660000,1073546000,None,-75133000,126389000,296599000,2192083000,1166427000,0,None,195595000,12244000,11527114000,0,0,1124000,0,1164133000,-201084000,None,11721569000,None,14664900000,None,195595000,247569000,443164000,None,None,None,1028635000,14961499000,296599000,None,103058000,USD,-228147000,-18049000,-227289000,4705000,92502000,115836000,34851000,-18654000,53352000,-77668000,33785000,-84668000,9889000,-11323000,-194000,18068000,0,73261000,3847000,None,None,-77668000,26.59,19.81
8,2018-06-30,USD,152736000,113416000,26299000,152736000,39320000,29600000,0,0,39320000,0,113416000,None,39320000,11878000,14685000,None,None,None,0,0,0,9720000,-14759000,0,29600000,29600000,None,USD,14818076000,753020000,None,54572000,12934513000,1883563000,0,11492263000,1124000,1122107000,210598000,0,11187424000,374267000,12473307000,981044000,1224537000,-64400000,127024000,2517132000,13042000,1130543000,2142865000,None,195453000,12892000,11492263000,0,0,1124000,0,1122107000,-200971000,None,11534882000,None,12300944000,None,195453000,265753000,461206000,None,None,None,1025703000,14818076000,2517132000,None,103059000,USD,-341154000,47220000,-346310000,4891000,30356000,365217000,346241000,47292000,29600000,139231000,120324000,-49154000,9964000,-11331000,-49000,16758000,0,82694000,10047000,None,None,139231000,25.47,26.59
9,2018-03-31,USD,138899000,95582000,27963000,138899000,43317000,33510000,0,0,43317000,0,95582000,None,43317000,9953000,12782000,None,None,None,0,0,0,9807000,-1068000,0,33510000,33510000,None,USD,14379971000,754814000,None,51673000,12510684000,1869287000,0,11146022000,1123000,1103840000,218662000,0,3419195000,235036000,12096710000,950688000,1184738000,-57531000,126348000,2275986000,13400000,1114473000,2040950000,219725000,195312000,17472000,11146022000,0,0,1123000,0,1103840000,-200068000,None,11335771000,None,12103985000,None,195312000,218662000,413974000,None,None,None,1021923000,14379971000,2275986000,None,103092000,USD,-458647000,-31120000,-461481000,4010000,235804000,314215000,92697000,-31778000,33510000,-111534000,35732000,-57502000,9558000,-10288000,-3998000,15650000,0,81286000,6844000,None,None,-111534000,24.59,25.47
