,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,313109000,299166000,113914000,199195000,53172000,2409000,None,None,3365000,326478000,129739000,None,13943000,None,10766000,37000,66000,-10700000,None,None,None,37000,122000,None,3328000,2409000,None,USD,2661096000,972506000,None,None,1829886000,504732000,8297000,None,696000,9343000,247901000,1121153000,84506000,35329000,1377787000,None,1292831000,-8516000,244208000,238723000,None,-1588927000,None,147592000,None,None,7438000,None,None,None,None,None,None,None,None,None,2422373000,221339000,None,170760000,452099000,None,None,None,None,None,None,None,None,USD,-9571000,-4814000,-9571000,None,-232916000,-249466000,-13564000,8666000,2409000,-197710000,60996000,None,39041000,-3076000,None,None,-6858000,21843000,2759000,None,None,None,33.05,
1,2020-03-31,USD,337054000,271464000,117844000,219210000,99162000,20396000,None,None,46089000,307881000,146288000,None,65590000,None,14368000,12070000,285000,-14083000,None,None,None,12070000,-5418000,None,34019000,20396000,None,USD,2848777000,998870000,None,None,2021731000,519165000,8971000,None,696000,6934000,247663000,1111780000,81588000,233039000,1591127000,None,1525687000,-8746000,223742000,432797000,None,-1591485000,None,139502000,1525687000,None,9655000,None,None,None,None,None,None,None,2415980000,None,2415980000,199307000,1525687000,170773000,430604000,None,None,None,520281000,None,233039000,None,47000000,USD,-55376000,3020000,-55376000,-52188000,247074000,220522000,-22062000,-47917000,20396000,167861000,3382000,None,38705000,-4567000,77000,None,-9047000,-2557000,3188000,None,None,None,23.01,33.05
2,2019-12-31,USD,340231000,301239000,112657000,227574000,53182000,-11999000,None,None,-1941000,319850000,149584000,None,38992000,None,16125000,10750000,337000,-15788000,None,None,None,10750000,-25145000,None,-12691000,1720000,None,USD,2653629000,1003456000,None,None,1849659000,484120000,9645000,None,695000,-13462000,330261000,1090231000,85098000,65178000,1381118000,None,1272999000,-1299000,221748000,253096000,20000000,-1609567000,None,129337000,1272999000,None,8077000,None,None,None,None,None,None,None,9645000,None,2400533000,196425000,1272999000,215878000,468541000,None,None,None,498186000,None,65178000,None,47000000,USD,-41361000,-3518000,-41361000,-530983000,-2928000,-9828000,-1526000,7025000,-11999000,13915000,64854000,None,38998000,-5416000,838000,None,805000,18855000,4714000,None,None,None,29.47,23.01
3,2019-09-30,USD,316641000,289301000,111829000,204812000,50953000,1273000,None,None,-3513000,315578000,139777000,None,27340000,None,16771000,-3905000,291000,-16480000,None,None,None,-3905000,-14373000,None,392000,1273000,None,USD,2644628000,1014303000,None,None,1831054000,497996000,10319000,None,694000,-1463000,300219000,1073283000,88238000,51263000,1387495000,None,1275551000,-3576000,208093000,260711000,None,-1589590000,None,130384000,1275551000,None,10456000,None,None,None,None,None,None,None,10319000,None,2383917000,183491000,1275551000,204173000,443559000,None,None,None,502341000,None,51263000,None,47000000,USD,-215933000,3333000,-215933000,-494336000,166189000,154734000,-7964000,26529000,1273000,13319000,74702000,None,37695000,-3491000,796000,None,-12148000,17101000,10698000,None,None,None,23.8,29.47
4,2019-06-30,USD,301545000,278165000,105531000,196014000,53379000,796000,None,None,4527000,330331000,138988000,None,23380000,None,15206000,1425000,339000,-14867000,None,None,None,1425000,-3986000,None,3102000,796000,None,USD,2420652000,913110000,None,None,1604797000,485524000,10993000,None,694000,-2736000,253890000,988706000,88038000,37944000,1193612000,None,1112784000,-2000000,203230000,227568000,None,-1416292000,None,118674000,1112784000,None,12216000,None,None,None,None,None,None,None,10993000,None,2193084000,180451000,1112784000,178016000,411185000,None,None,None,489566000,None,37944000,None,47000000,USD,-93892000,-6046000,-93892000,-289101000,27956000,8756000,-8644000,-5119000,796000,-45835000,39305000,None,33646000,-11138000,796000,None,2471000,12775000,8185000,None,None,None,27.31,23.8
5,2019-03-31,USD,259924000,243193000,101448000,158476000,40646000,-2942000,None,None,-4049000,357222000,210711000,None,9317000,None,13641000,-1221000,-13130000,-13444000,None,None,None,-1221000,-7336000,None,-2828000,-2942000,None,USD,2396156000,881096000,None,None,1941102000,455054000,11666000,None,692000,-3532000,261943000,945503000,87026000,83779000,1181621000,None,1084683000,-1594000,196049000,286482000,None,-1371545000,None,119202000,1084683000,None,13603000,None,None,None,None,None,None,None,11666000,None,2109674000,181597000,1084683000,169717000,402259000,None,None,None,459488000,None,83779000,None,46000000,USD,-205269000,4747000,-205269000,-203394000,247936000,239905000,-7649000,-7861000,-2828000,50566000,15913000,None,2313000,-596000,214000,None,-20690000,10823000,1875000,None,None,None,35.64,27.31
6,2018-12-31,USD,247515000,248460000,173686000,73829000,-945000,9608000,0,0,21330000,342858000,47544000,None,-945000,0,-11750000,None,None,None,0,0,0,3783000,22275000,0,17547000,9608000,None,USD,1937778000,762195000,None,4300000,1125258000,469662000,12340000,None,690000,-590000,242926000,860495000,82349000,33213000,45364000,None,None,-1824000,24780000,176459000,31500000,-1153028000,None,98596000,836582000,None,8935000,None,None,None,None,None,None,None,None,None,None,None,836582000,None,None,None,None,None,471386000,None,33213000,None,43000000,USD,-24300000,-2582000,-119003000,-437344000,37942000,34238000,-2268000,-26250000,9608000,-65165000,19701000,None,27230000,-1436000,565160000,None,6425000,4488000,2780000,None,None,None,26.33,35.64
7,2018-09-30,USD,235701000,232820000,163943000,71758000,2881000,-10198000,0,0,-35179000,268785000,43184000,None,2881000,0,-13824000,None,None,None,0,0,0,3745000,-38060000,0,-38924000,-10198000,None,USD,1740948000,672060000,None,None,1092123000,380040000,13014000,48588000,653000,-10198000,236433000,693160000,83246000,98378000,57209000,None,None,-245000,22407000,270075000,None,-985180000,0,101570000,798481000,0,8621000,0,389830000,228000,228000,-10198000,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,42000000,USD,None,386000,-83386000,45480000,-394573000,100143000,-8103000,29116000,-10198000,65806000,49066000,None,25693000,-802000,565160000,0,-8705000,-7764000,1897000,None,None,None,47.46,26.33
8,2018-06-30,USD,231435000,207777000,141832000,89603000,23658000,12054000,0,0,-6910000,268785000,41493000,None,23658000,0,-19141000,None,None,None,0,0,0,746000,-30568000,0,-7656000,12054000,None,USD,1502710000,626734000,None,None,1563753000,-759543000,11804000,37209000,37176000,-825230000,328833000,639599000,11804000,32572000,46315000,1188605000,1188605000,-9775000,22767000,201806000,None,-2025876000,0,94145000,1188605000,0,9106000,0,0,0,864749000,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,-24300000,-245000,-212818000,3400000,197453000,193104000,-3981000,1397000,12054000,4623000,24427000,None,24452000,-368000,0,0,-10450000,16000000,2117000,None,None,None,nan,47.46
9,2018-03-31,USD,196229000,177312000,119649000,76580000,18917000,-12054000,0,0,-10878000,268785000,36287000,None,18917000,0,-15231000,None,None,None,0,0,0,1176000,-29795000,0,-12054000,-12054000,None,USD,1254519000,532667000,None,None,1336648000,-780629000,12541000,28837000,10931000,-817492000,308425000,527201000,12541000,27949000,36038000,992185000,992185000,-8653000,21870000,160240000,None,-1840497000,None,84433000,992185000,None,7201000,None,None,None,864749000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,-24300000,3301000,-31243000,-3400000,-2046000,-4998000,-2814000,-13978000,-12054000,-23506000,12725000,None,21376000,-138000,None,None,-11017000,24138000,2312000,None,None,None,nan,nan
10,2017-12-31,USD,189857000,634840000,151678000,233715000,28047000,-48359000,0,0,-49860000,342858000,134615000,None,17972000,0,15881000,None,None,None,0,0,0,-2058000,-77907000,0,-48359000,-48359000,None,USD,1234837000,1037771000,None,1833000,1148749000,86088000,13278000,23626000,4347000,-805470000,138869000,515489000,1088472000,51455000,29378000,980502000,980502000,-8269000,21397000,150891000,11500000,-1816432000,None,73513000,972550000,None,5752000,None,None,None,864749000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,-500000,393000,-376716000,None,539678000,342403000,-38836000,11232000,-48359000,34947000,69090000,None,71053000,-5817000,None,None,-30209000,60896000,10518000,None,None,None,nan,nan
11,2017-09-30,USD,180254000,-152592000,165854000,-61259000,-4638000,5239000,0,0,4957000,0,-40721000,None,-14478000,0,15640000,None,None,None,0,0,0,557000,9595000,0,5239000,5239000,None,USD,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0,None,None,None,nan,nan
