,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-03-31,USD,2721000,14672000,4399000,-1678000,-16224000,2522000,535000,None,2724000,653000,7224000,126000,-16350000,6913000,17000,810000,109000,-17000,None,None,None,-810000,126000,None,3534000,2522000,None,USD,121412000,4162000,None,58383000,45593000,125610000,None,12315000,1000,-56792000,2571000,3985000,21268000,31019000,14890000,34000,34000,675000,21258000,91362000,None,67695000,32000,18610000,247000,1775000,2541000,None,None,1000,None,-56792000,-675000,None,645000,None,30050000,31099000,247000,30456000,30703000,None,None,None,183076000,171180000,31051000,None,7000000,USD,13300000,369000,13300000,15046000,-9000,-1419000,-1410000,-1256000,1915000,15626000,3745000,387000,998000,-1410000,None,-24000,-2508000,7160000,1945000,-2114000,None,15626000,14.62,
1,2019-12-31,USD,2418000,11841000,4589000,-2171000,-13873000,6208000,583000,None,5141000,1105000,4163000,139000,-14012000,7095000,19000,932000,120000,-19000,None,None,None,932000,139000,None,4209000,6208000,None,USD,119640000,4336000,None,57410000,46594000,124349000,None,12764000,1000,-58053000,2734000,3985000,23240000,15393000,14922000,34000,34000,-675000,20121000,90001000,None,63991000,15294000,19875000,256000,1751000,2124000,None,None,1000,None,-58053000,-675000,None,1197000,None,29639000,31867000,256000,31416000,31672000,None,None,None,183076000,171677000,30687000,None,7000000,USD,-80000,-231000,-2349000,-24000,-16000,-1996000,-1980000,2865000,4209000,1599000,5944000,97000,1008000,-1980000,None,40000,-3112000,-739000,2245000,-3112000,None,1599000,19.69,14.62
2,2019-09-30,USD,2418000,11851000,4410000,-1992000,-13695000,6598000,472000,None,5613000,1207000,4294000,148000,-13843000,7085000,21000,1107000,127000,-21000,None,None,None,1107000,148000,None,4506000,6598000,None,USD,115470000,4553000,None,55932000,44026000,121246000,None,11623000,1000,-61157000,357000,3985000,21786000,13794000,13916000,41000,41000,-675000,18643000,87037000,None,61298000,15213000,20841000,266000,1791000,2252000,None,None,1000,None,-61157000,-675000,None,1252000,None,28433000,32610000,266000,29844000,30110000,None,None,None,183077000,166880000,29007000,None,7000000,USD,-119000,-345000,-2568000,-38000,-8000,-1763000,-1755000,-3463000,4506000,-88000,4243000,233000,995000,-1755000,None,7000,-1188000,-239000,2411000,-1188000,None,-88000,20.67,19.69
3,2019-06-30,USD,66431887,20671729,-2197034,68628921,48105765,9168262,444347,None,4137194,4048543,6788755,148573,47957192,13438627,21636,-1820480,125930,-20636,None,None,None,-5830520,147638,None,9967714,9168262,None,USD,112022463,4755675,None,53788617,15448107,115956378,None,11389531,676,-64455456,1085056,3985397,22744799,13882013,14089939,40530,40530,-675390,16985617,85088722,None,85677528,15094816,22062857,273112,1798166,2659878,None,None,676,31,-64455456,-675390,None,1207052,None,26933741,None,273112,1085056,1358168,None,None,None,181086517,133560210,28976829,None,7000000,USD,-15094816,229977,-15421665,-40393,-7725,-1792512,-1785000,2741668,5955674,-10897729,6316448,134359,984491,-1785000,None,11214,-1109095,-4679730,286456,-1109095,None,-10897729,21.51,20.67
4,2019-03-31,USD,28000,11787000,4384000,-4356000,-16039000,7726000,381000,None,6685000,-1338000,4604000,104000,-16143000,6802000,27000,1484000,77000,-27000,None,None,None,1484000,104000,None,5201000,7726000,None,USD,97801000,4959000,None,51887000,12651000,111373000,239000,8777000,1000,-69039000,1087000,3985000,20196000,24780000,11282000,40000,40000,None,17440000,78812000,None,73638000,None,1535000,282000,1810000,2465000,None,None,1000,None,-69039000,-675000,None,1207000,None,18989000,None,282000,848000,1369000,None,None,None,181086000,126592000,24780000,None,7000000,USD,-874000,337000,-874000,-43000,-8000,-1124000,-4806000,-1113000,5201000,1493000,3491000,-518000,978000,-1125000,None,-153000,-2716000,1360000,831000,-2716000,None,1493000,20.47,21.51
5,2018-12-31,USD,28000,11127000,4118000,-4090000,-15095000,7104000,550000,None,6077000,1312000,3610000,122000,-15217000,6967000,25000,None,None,None,None,None,None,1213000,97000,None,4864000,7104000,None,USD,93972000,5160000,None,48593000,13010000,107510000,239000,9367000,1000,-72902000,1090000,3985000,22753000,23287000,11630000,39000,39000,-9000,17344000,73624000,None,69462000,None,1287000,290000,1657000,2224000,None,None,1000,None,-72902000,-675000,None,1205000,None,20348000,None,290000,851000,1380000,None,None,None,181086000,122866000,23287000,None,7000000,USD,-15094816,-216000,-1814000,-25000,-8000,-1958000,-1950000,487000,4865000,2100000,5872000,490000,952000,-1950000,None,-7000,-688000,2261000,1789000,-688000,None,2100000,20.24,20.47
6,2018-09-30,USD,20705000,4696000,10472000,10233000,5645000,6636000,437000,None,5620000,1174000,4259000,108000,5537000,None,25000,None,None,None,None,None,None,1128000,83000,None,4492000,6636000,None,USD,92170000,5378000,None,47686000,13298000,103958000,239000,9247000,1000,-76454000,1214000,3985000,24004000,21187000,11786000,39000,39000,-9000,16264000,70609000,None,66516000,0,1287000,298000,1649000,2500000,0,0,1000,0,-76454000,-675000,None,1243000,None,21561000,None,298000,975000,1512000,None,None,None,181086000,120240000,21187000,None,7000000,USD,-15094816,210000,-469000,-20000,-7000,-1747000,-1740000,-3311000,4492000,1553000,3769000,-186000,922000,-1740000,0,-218000,-1621000,80000,449000,-1621000,None,1553000,24.9,20.24
7,2018-06-30,USD,21034994,5722013,10625770,10409224,4771780,19683604,496747,0,4759435,1507383,5225266,84569,4687211,0,23074,None,None,None,0,0,0,4749750,72224,0,9685,19683604,None,USD,94421934,5601656,None,45912782,16076474,98684502,0,12369925,668,-79772587,1068857,3985397,25167072,19633742,14566702,38332,38332,-675390,16492278,67064542,None,65199194,0,23975649,306035,1431380,2158445,0,0,668,31,-79772587,-675000,None,1278061,None,27357392,None,306035,1203737,1509772,None,None,None,179131780,118310945,19633742,None,7000000,USD,None,41033,-276051,16726,-22484,-1642151,-1622000,2355307,11348185,4220121,6138323,130447,950851,-1680000,0,205882,-1322816,-1189680,183948,-1323239,None,4220121,26.55,24.9
8,2018-03-31,USD,20979000,6036000,10541000,10438000,4476000,6962000,503000,0,4422000,781000,5533000,74000,4402000,0,46000,None,None,None,0,0,0,160000,20000,0,4262000,6962000,None,USD,89215000,5813000,None,44033000,13938000,88843000,332000,10164000,1000,-89614000,1281000,3985000,18518000,15414000,12342000,52000,52000,-11000,17015000,61171000,None,61747000,0,17374000,315000,1637000,2126000,0,0,1000,0,-89614000,-675000,None,1231000,None,28044000,None,315000,949000,1596000,None,None,None,179131000,106502000,15414000,None,7000000,USD,None,-106000,-756000,-24000,-51000,-1745000,-1695000,-1853000,4263000,1220000,3721000,-58000,992000,-1695000,0,58000,-864000,2044000,732000,-1513000,None,1220000,29.8,26.55
9,2017-12-31,USD,20168000,3693000,10665000,9503000,5868000,8378000,407000,0,5815000,1051000,3286000,58000,5810000,0,48000,None,None,None,0,0,0,575000,7000,0,5240000,8378000,None,USD,87896000,6076000,None,43620000,15188000,271551000,332000,11237000,1000,93095000,938000,3985000,27951000,14194000,13595000,95000,95000,-13000,16986000,60246000,None,58001000,0,18023000,323000,1696000,2263000,0,0,0,0,93095000,-675000,None,603000,None,27650000,None,323000,938000,1593000,None,None,None,179131000,105183000,14194000,None,7000000,USD,None,-241000,-1218000,-21000,-49000,-1067000,-1020000,-415000,5240000,2855000,5140000,-139000,998000,-1020000,0,-7000,-195000,739000,1197000,-195000,None,2855000,24.35,29.8
