,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,157824000,43674000,91657000,66167000,22802000,20469000,20919000,None,22631000,None,22755000,309000,22493000,None,171000,2162000,376000,205000,None,None,None,2162000,-67000,None,20469000,20469000,None,USD,884234000,43785000,None,18458000,193512000,690722000,14735000,19957000,77000,-207882000,14735000,200293000,72053000,201350000,123236000,21325000,21325000,458000,83662000,455414000,None,446644000,61177000,86616000,28725000,87813000,81954000,None,None,77000,None,-207882000,None,None,31368000,None,69712000,6168000,28725000,26816000,70276000,None,None,None,898069000,884234000,262527000,None,75764990,USD,9158000,16961000,-15535000,82000,4799000,1806000,-3415000,4610000,20469000,29379000,43108000,6504000,4688000,None,422000,-12017000,3561000,5973000,24693000,3561000,None,29379000,29.33,
1,2020-03-31,USD,160753000,48960000,93363000,67390000,19024000,15890000,21267000,None,18706000,None,27693000,594000,18430000,None,318000,2816000,685000,367000,None,None,None,2816000,-91000,None,15890000,15890000,None,USD,849379000,50139000,None,15699000,182962000,666417000,17798000,16645000,77000,-228351000,17798000,200378000,72650000,171714000,117494000,31535000,31535000,-909000,63745000,426255000,None,415900000,69759000,90100000,13642000,78983000,69314000,None,None,77000,None,-228351000,None,None,38589000,None,70273000,6815000,13642000,34028000,65468000,None,None,None,895600000,849379000,241473000,None,76158251,USD,6608000,-6330000,-5442000,40000,-13199000,-9071000,-385000,-8574000,15890000,24826000,39339000,7410000,4552000,None,4513000,928000,7803000,9326000,12050000,7803000,None,24826000,20.09,29.33
2,2019-12-31,USD,178629000,50587000,104324000,74305000,24823000,18636000,21606000,None,24447000,None,28981000,1105000,23718000,None,376000,5811000,726000,350000,None,None,None,5811000,379000,None,18636000,18636000,None,USD,839882000,57610000,None,15064000,198885000,640997000,17598000,9810000,76000,-244241000,17598000,199196000,73866000,146526000,136560000,42846000,42846000,-659000,58747000,419043000,None,384191000,76327000,97868000,15639000,83258000,77353000,None,None,76000,None,-244241000,None,None,2614000,71252000,389419000,35639000,15639000,10612000,33237000,None,None,None,885821000,839882000,222853000,None,75764990,USD,692000,-5353000,-26305000,-20392000,12104000,12398000,-127000,9718000,18636000,23763000,37670000,10506000,11919000,None,421000,2951000,-10099000,14110000,6605000,-10099000,-727000,23036000,25.97,20.09
3,2019-09-30,USD,140604000,45983000,85286000,55318000,10285000,8279000,20096000,None,9863000,None,25887000,950000,9335000,None,422000,1584000,724000,302000,None,None,None,1584000,226000,None,8279000,8279000,None,USD,793605000,47054000,None,17834000,179059000,614546000,7078000,14731000,76000,-262877000,7078000,188559000,79665000,123711000,141907000,46193000,46193000,-2180000,56240000,389787000,None,378933000,77025000,85228000,None,85989000,80983000,None,None,76000,None,-262877000,None,None,34691000,77274000,403818000,6416000,None,30074000,37152000,None,None,None,879527000,793605000,200736000,None,75696234,USD,-24795000,20212000,-27577000,132000,12104000,-1939000,-5741000,-3118000,8279000,-1514000,28002000,-1225000,10359000,None,3802000,-5672000,-13597000,9646000,2782000,-13597000,None,-1514000,18.645,25.97
4,2019-06-30,USD,138018000,46357000,82666000,55352000,9760000,6948000,20074000,None,9238000,None,26283000,765000,8995000,None,522000,2290000,684000,162000,None,None,None,2290000,81000,None,6948000,6948000,None,USD,757569000,53404000,None,14282000,153467000,604102000,6984000,13401000,75000,-271156000,6984000,189121000,79688000,125628000,102810000,33657000,33657000,159000,54436000,347646000,None,361577000,52071000,71813000,12500000,83852000,55752000,None,None,75000,None,-271156000,None,None,35683000,77279000,409923000,6203000,12500000,31173000,50657000,None,None,None,875024000,757569000,177699000,None,74691781,USD,2294000,3180000,-3138000,132000,-11250000,-13105000,-1855000,2201000,6948000,18495000,34738000,-1684000,11357000,None,3870000,-2916000,10372000,7481000,5432000,10372000,None,18495000,15.67,18.645
5,2019-03-31,USD,132213000,44907000,79692000,52521000,8110000,5483000,19723000,None,7515000,None,25184000,496000,7614000,None,595000,2032000,580000,-15000,None,None,None,2032000,-84000,None,5483000,5483000,None,USD,756621000,60385000,None,11747000,163633000,592988000,7011000,12907000,74000,-278104000,7011000,188925000,79832000,106583000,100643000,33622000,33622000,-599000,54697000,338385000,None,343678000,54086000,82753000,23740000,83216000,54114000,None,None,74000,None,-278104000,None,None,36936000,77293000,418236000,6022000,23740000,32239000,62990000,None,None,None,871617000,756621000,160669000,None,74101623,USD,-3304000,-10549000,-9332000,132000,-7500000,-3932000,-302000,-6329000,5483000,7374000,20638000,1222000,11017000,None,3870000,-8658000,13805000,8318000,6028000,13805000,None,7374000,16.09,15.67
6,2018-12-31,USD,140887000,44226000,84865000,56022000,12317000,85100000,18398000,0,11657000,0,25668000,521000,11796000,160000,660000,None,None,None,0,0,0,-73443000,-299000,0,85100000,85100000,None,USD,728222000,67640000,None,13669000,148058000,580164000,10569000,4941000,74000,-283587000,10569000,189214000,79494000,99321000,102518000,29840000,29840000,780000,54054000,337820000,None,323310000,50531000,96593000,34971000,77706000,67737000,None,None,74000,None,-283587000,None,None,2193000,77301000,390402000,None,34971000,None,45540000,None,None,None,862897000,728222000,149852000,None,74139712,USD,-383000,-4243000,-7832000,94000,-7500000,-7597000,-97000,5974000,85100000,7133000,22562000,2845000,11343000,None,7712000,508000,-6261000,-66730000,7543000,-6261000,-256000,6877000,14.09,16.09
7,2018-09-30,USD,134989000,43602000,82019000,52970000,9858000,7688000,18857000,0,9081000,0,24745000,490000,9368000,0,777000,None,None,None,0,0,0,1393000,-287000,0,7688000,7688000,None,USD,652472000,75278000,None,15716000,162421000,490051000,10827000,4795000,75000,-368687000,10827000,189427000,5239000,92119000,105401000,26061000,26061000,1158000,52857000,329671000,None,225346000,50109000,90189000,46193000,81538000,74545000,0,0,75000,0,-368687000,0,None,2197000,3042000,322801000,None,46193000,None,57020000,None,None,None,857505000,652472000,142228000,None,74101623,USD,-2743000,-1371000,-6501000,23000,-12500000,-12783000,-3241000,-2516000,7688000,-3204000,16080000,2833000,11196000,0,2958000,-8119000,-4239000,8092000,3781000,-4239000,None,-3204000,13.75,14.09
8,2018-06-30,USD,135509000,44907000,79291000,56218000,11687000,9123000,19675000,0,10777000,0,25232000,376000,11311000,0,910000,None,None,None,0,0,0,1654000,-534000,0,9123000,9123000,None,USD,651221000,82861000,None,18822000,172553000,478668000,11056000,4927000,74000,-376375000,11056000,189531000,5345000,95740000,110360000,33519000,33519000,1691000,49161000,324323000,None,206276000,47275000,86107000,51137000,76379000,71914000,0,0,74000,0,-376375000,0,None,2278000,3067000,326898000,None,51137000,None,62193000,None,None,None,853278000,651221000,143015000,None,73358108,USD,1143000,10251000,-3571000,28000,-12500000,-14596000,-2096000,1493000,9123000,2569000,20736000,-3510000,10663000,0,0,-6279000,-6684000,7172000,4714000,-6684000,None,2569000,13.3,13.75
9,2018-03-31,USD,118290000,41495000,73161000,45129000,3379000,2125000,18046000,0,2412000,0,23449000,-255000,3634000,0,967000,None,None,None,0,0,0,287000,-1222000,0,2125000,2125000,None,USD,646188000,90649000,None,14452000,175178000,471010000,11233000,4515000,74000,-385498000,11233000,190367000,5526000,94362000,96630000,29730000,29730000,5185000,47851000,311795000,None,189994000,48370000,80831000,67315000,73780000,62385000,0,0,74000,0,-385498000,0,None,2381000,3145000,334393000,None,67315000,None,78548000,None,None,None,851249000,646188000,142732000,None,73013842,USD,440000,-7806000,-3391000,20000,-8750000,-4353000,-357000,-6591000,2125000,1578000,9322000,2878000,10865000,0,4754000,-7408000,3354000,5314000,3831000,3354000,None,1578000,13.65,13.3
