,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,113541000,58346000,43964000,69577000,13382000,11837000,None,None,12075000,None,50573000,2151000,11231000,7161000,1307000,238000,None,-1307000,None,612000,None,238000,1539000,None,11837000,11837000,None,USD,588559000,87994000,None,36446000,415150000,173409000,None,170777000,234000,129314000,21512000,243201000,4977000,68377000,227188000,10938000,10938000,-178917000,29019000,158931000,None,-157786000,None,54108000,101235000,None,45473000,None,None,234000,None,129314000,None,None,69414000,None,429628000,63490000,101235000,86727000,187962000,None,None,None,222778000,588559000,68377000,None,18770000,USD,-2709000,-5437000,-2709000,None,-2344000,-2338000,-49000,1430000,11837000,-1868000,3179000,-14880000,7407000,None,55000,None,5399000,-1147000,2709000,5399000,None,-1868000,32.04,
1,2020-03-31,USD,106345000,62271000,43353000,62992000,1044000,-513000,None,None,-494000,None,52278000,323000,721000,7118000,1538000,19000,-1525000,-1538000,None,2875000,None,19000,-2552000,None,-513000,-513000,None,USD,608298000,92655000,None,43583000,450126000,158172000,None,195399000,234000,117477000,22940000,242690000,4582000,69815000,257357000,10156000,10156000,-179847000,28748000,172903000,None,-177173000,None,59505000,104202000,None,51802000,None,None,234000,None,117477000,-171889000,None,71302000,None,435395000,63840000,104202000,88567000,192769000,None,None,None,220308000,608298000,69815000,None,18758000,USD,-2401000,-27407000,-2401000,None,-16344000,-15291000,-902000,-35483000,-513000,4131000,21823000,15516000,7362000,None,1955000,None,24556000,2309000,2401000,24556000,None,4131000,29.23,32.04
2,2019-12-31,USD,124269000,67326000,50116000,74153000,6647000,4890000,None,None,4934000,None,58308000,-180000,6827000,7918000,1713000,44000,-1607000,-1713000,None,1100000,None,44000,-1280000,None,4890000,4890000,None,USD,639160000,97363000,None,39527000,481072000,158088000,None,179194000,233000,118147000,23765000,243895000,4329000,67904000,268931000,9375000,9375000,-176746000,29937000,192036000,2500000,-183170000,None,84605000,121170000,None,80362000,None,None,233000,None,118147000,-171889000,None,75929000,None,447124000,79270000,121170000,90971000,212141000,None,None,None,216454000,639160000,67904000,None,18644000,USD,-3528000,10421000,-3528000,-237655000,-1562000,-847000,-23000,-637000,4890000,-1591000,2784000,313000,8166000,0,738000,None,-29688000,8682000,3528000,-29688000,None,-1591000,41.7,29.23
3,2019-09-30,USD,108596000,65307000,44929000,63667000,-1530000,-2699000,None,None,-3434000,None,55138000,110000,-1640000,7775000,1904000,-735000,-1921000,-1904000,None,2394000,None,-735000,-2284000,None,-2699000,-2699000,None,USD,598331000,102915000,None,28629000,450679000,147652000,None,168008000,232000,113257000,14912000,238826000,4618000,67629000,248583000,8594000,8594000,-178493000,27609000,150870000,2400000,-194089000,None,54612000,123355000,None,71981000,None,None,232000,None,113257000,-171889000,None,78111000,None,447461000,63829000,123355000,78741000,202096000,None,None,None,212656000,598331000,67629000,None,18616000,USD,-2438000,1084000,-2438000,1258000,-7563000,-10392000,-4138000,2568000,-2699000,-737000,12093000,-9893000,8021000,0,1309000,None,10908000,4672000,3696000,10908000,None,-737000,32.14,41.7
4,2019-06-30,USD,128183000,66990000,56571000,71612000,4528000,1555000,None,None,2443000,None,57238000,-94000,4622000,7265000,2085000,888000,-2093000,-2085000,None,2487000,None,888000,-2581000,None,1555000,1555000,None,USD,624470000,108661000,None,31064000,474784000,149686000,None,180910000,231000,115956000,18901000,242265000,5353000,69762000,259525000,7813000,7813000,-176879000,25974000,166650000,2400000,-201240000,None,65824000,131540000,None,70802000,None,None,231000,None,115956000,-171889000,None,80920000,None,457820000,64818000,131540000,83719000,215259000,None,None,None,210378000,624470000,69762000,None,18458000,USD,-1864000,-464000,-1864000,30000,-11562000,-10684000,-41000,-5873000,1555000,-5007000,7541000,-7035000,7509000,0,919000,None,3237000,2739000,1894000,3237000,None,-5007000,47.03,32.14
5,2019-03-31,USD,100649000,66423000,45110000,55539000,-11190000,-13316000,None,None,-13542000,None,55223000,-306000,-10884000,8233000,2352000,-226000,-2388000,-2352000,None,2967000,None,-226000,-3273000,None,-13316000,-13316000,None,USD,640378000,114684000,None,33553000,496564000,143814000,None,191612000,231000,114401000,19195000,242543000,7578000,75012000,269798000,7031000,7031000,-177473000,26357000,177687000,2400000,-213413000,None,69122000,143728000,None,71155000,None,None,231000,None,114401000,-171889000,None,79107000,None,462691000,63843000,143728000,83038000,226766000,None,None,None,206655000,640378000,75012000,None,18419000,USD,-241715000,-6342000,-241715000,-238943000,148855000,151361000,-855000,-10930000,-13316000,-64366000,25988000,25422000,8463000,0,3361000,None,19239000,-7478000,2772000,19239000,None,-64366000,48.35,47.03
6,2018-12-31,USD,98645000,50874000,38965000,59680000,9372000,5375000,0,0,9434000,0,46102000,628000,8744000,2291000,-2352000,None,None,None,-400000,2481000,0,4059000,-1791000,0,5375000,5375000,None,USD,353524000,4951000,None,28479000,201924000,151600000,None,135332000,230000,127717000,11939000,85165000,2810000,140296000,189985000,None,None,-177043000,22005000,236093000,2500000,61484000,None,67318000,None,None,54653000,None,None,230000,None,127717000,-171889000,None,5310000,None,117431000,None,None,None,11939000,None,None,None,200696000,353524000,140296000,None,18320000,USD,52414000,13481000,50526000,30000,149712000,-1877000,-17000,8888000,5375000,49635000,986000,3161000,2240000,-3663000,1803000,None,-29269000,5998000,1888000,-29269000,-1396000,48239000,44.7,48.35
7,2018-09-30,USD,84873000,45587000,34361000,50512000,5261000,3950000,0,0,5244000,0,42243000,319000,4942000,2367000,-2352000,None,None,None,0,977000,0,1294000,-675000,0,3950000,3950000,None,USD,328494000,5368000,None,24176000,181664000,146830000,0,128435000,229000,126006000,11353000,85126000,6617000,92057000,170311000,None,None,-176208000,22403000,207180000,1800000,56336000,52395000,38552000,0,0,41876000,0,0,229000,0,126006000,-171889000,None,8417000,None,121314000,None,None,None,11353000,None,None,None,196803000,328494000,144452000,None,18262000,USD,-2184000,2795000,-10762000,-7961000,149712000,1185000,-2407000,4481000,3950000,-431000,9146000,-13456000,2332000,-3643000,7235000,0,11837000,1688000,617000,11837000,-509000,-940000,45.9,44.7
8,2018-06-30,USD,96333000,46255000,39071000,57262000,11298000,7788000,0,0,11278000,0,43649000,271000,11027000,2277000,-2352000,None,None,None,0,329000,0,3490000,-78000,0,7788000,7788000,None,USD,326142000,617000,None,25303000,186031000,140111000,0,143023000,226000,125698000,8094000,76551000,5956000,92997000,177937000,None,None,-175367000,23342000,217876000,1800000,62943000,50090000,49486000,0,0,34914000,0,0,226000,0,125698000,-171585000,None,7756000,None,108266000,None,None,None,8094000,None,None,None,189554000,326142000,143087000,None,17940000,USD,4259000,-17405000,1750000,-1289000,149712000,-7748000,-36000,7522000,7788000,14483000,20481000,14475000,2270000,-3585000,-4127000,0,12099000,1254000,1220000,12099000,-3559000,10924000,41.95,45.9
9,2018-03-31,USD,77724000,45932000,34105000,43619000,-2406000,-1733000,0,0,-2431000,0,43750000,-118000,-2288000,2182000,0,None,None,None,0,0,0,-698000,-143000,0,-1733000,-1733000,None,USD,340736000,559000,None,33363000,199441000,141295000,0,155425000,225000,121495000,8403000,76900000,5142000,82073000,191038000,None,None,-166760000,24487000,231848000,1800000,63836000,54258000,62154000,0,0,35613000,0,0,225000,0,121495000,-166310000,None,6942000,None,108888000,None,None,None,8403000,None,None,None,186335000,340736000,136331000,None,18017000,USD,-104000,2518000,-1428000,0,None,-5514000,-66000,-20466000,-1733000,863000,7805000,-5576000,2207000,-3611000,-1837000,0,7921000,2468000,1324000,7921000,1420000,2283000,41.45,41.95
10,2017-12-31,USD,90895000,46868000,36058000,54837000,7504000,2093000,0,0,8022000,0,44796000,53000,7451000,2072000,0,None,None,None,0,0,0,5929000,-178000,0,2093000,2093000,None,USD,345200000,732000,None,32673000,204011000,141189000,0,145207000,224000,123010000,8858000,76169000,83132000,79790000,195053000,None,None,-163955000,25249000,236819000,1900000,64288000,54333000,70023000,0,0,49846000,0,0,224000,0,123010000,-161943000,None,6231000,None,108381000,None,None,None,8958000,None,None,None,181910000,345200000,134123000,None,18041000,USD,-480000,25565000,-2392000,143000,None,1198000,-16000,2032000,2093000,-564000,630000,-1104000,-4540000,-3426000,4640000,0,-10327000,9083000,2055000,-30467000,394000,-170000,44.2,41.45
11,2017-09-30,USD,79597000,41112000,32508000,47089000,6895000,3953000,0,0,6123000,0,39308000,146000,6749000,1804000,0,None,None,None,0,0,0,2170000,0,0,3953000,3953000,None,USD,314388000,927000,None,24963000,179168000,135220000,0,132929000,223000,124343000,8788000,75815000,89837000,79960000,170380000,None,None,-164564000,26128000,198423000,None,58478000,54019000,39481000,0,0,37451000,0,0,223000,0,124343000,-161943000,None,13095000,None,115965000,None,None,None,8788000,None,None,None,175218000,314388000,133979000,None,17902000,USD,4101000,-9299000,1511000,-24000,None,89000,-1974000,3245000,3953000,11570000,9970000,-1018000,1847000,-3390000,5453000,0,20140000,2804000,2566000,11683000,1284000,12854000,41.85,44.2
12,2017-06-30,USD,89711000,42610000,36910000,52801000,10306000,6064000,0,0,10284000,0,40927000,93000,10213000,1683000,0,None,None,None,0,0,0,4220000,0,0,6064000,6064000,None,USD,314193000,1109000,None,23801000,186819000,127374000,0,145350000,219000,123780000,8040000,75024000,89764000,67106000,178779000,None,None,-162647000,24439000,199990000,None,51241000,58129000,50954000,0,0,33429000,0,0,219000,0,123780000,-158402000,None,13631000,None,114203000,None,None,None,8040000,None,None,None,166022000,314193000,125235000,None,17612000,USD,2230000,-9964000,570000,40000,None,-16658000,-481000,4250000,6064000,-8649000,7439000,3042000,1750000,-3353000,-12824000,0,8457000,1929000,1700000,4618000,1579000,-7070000,39.15,41.85
13,2017-03-31,USD,76991000,42662000,31396000,45595000,3145000,3030000,0,0,2942000,0,40792000,9000,3136000,1870000,0,None,None,None,0,0,0,-88000,0,0,3030000,3030000,None,USD,327802000,1280000,None,26599000,194551000,133251000,0,156256000,218000,121069000,8188000,73552000,88168000,74176000,186363000,None,None,-150195000,23413000,216221000,None,58419000,60417000,55029000,0,0,30107000,0,0,218000,0,121069000,-143429000,None,13336000,None,111581000,None,None,None,8188000,None,None,None,162159000,327802000,134593000,None,17883000,USD,697000,8541000,-659000,184000,None,-22248000,-56000,-97000,3030000,-3453000,19454000,-97000,1931000,-3462000,-18730000,0,3839000,2210000,1540000,3839000,671000,-2782000,39.75,39.15
14,2016-12-31,USD,83446000,41662000,32746000,50700000,9738000,5790000,0,0,9738000,0,39628000,700000,9038000,2034000,0,None,None,None,0,-5020000,0,3948000,-1091000,0,5790000,5790000,None,USD,335785000,1464000,None,26519000,185749000,150036000,0,134265000,217000,121799000,8175000,73193000,88455000,76958000,177474000,None,None,-7573000,23894000,223436000,2800000,75379000,61147000,58812000,0,0,43209000,0,0,217000,0,121799000,-121976000,None,13798000,None,112349000,None,None,None,8275000,None,None,None,157569000,335785000,138105000,None,18361000,USD,1792000,20512000,987000,1000,None,1870000,205000,2396000,5790000,8824000,5967000,-2249000,282000,-3291000,4956000,0,7963000,4747000,806000,-23115000,-2002000,6822000,42.95,39.75
