,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,18208000,None,None,None,None,4117000,None,None,5464000,None,6446000,None,None,875000,5651000,1347000,21979000,16328000,None,None,None,1347000,None,None,4117000,4117000,None,USD,2300594000,1939000,None,None,2074144000,226450000,None,None,102573000,52514000,7916000,16253000,2006328000,131317000,None,None,None,863000,18720000,None,116239000,208258000,66757000,8656000,134372000,None,790000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,-209538000,0,-209538000,764000,10027000,203218000,197732000,-154000,4117000,-3429000,2891000,None,434000,-590000,-4006000,None,-3720000,2196000,0,None,None,None,6.52,
1,2020-03-31,USD,17085000,None,None,None,None,3233000,None,None,4238000,None,6837000,None,None,869000,6343000,1005000,22214000,15871000,None,None,None,1005000,None,None,3233000,3233000,None,USD,2092444000,1992000,None,None,1866185000,226259000,None,None,102387000,48987000,6675000,16253000,1811192000,120119000,None,None,None,538000,19305000,None,102486000,208014000,52400000,4936000,124327000,None,1436000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,-38860000,0,-38860000,142000,-3140000,77439000,84697000,-144000,3233000,45794000,7215000,None,486000,-613000,-3878000,None,-126000,3739000,0,None,None,None,6.94,6.52
2,2019-12-31,USD,17684000,9290000,None,17344000,None,3453000,None,None,5601000,None,6470000,None,8054000,913000,6844000,2148000,23035000,16191000,None,None,None,2148000,-19000,None,3453000,3453000,None,USD,2011587000,2083000,221170000,4810000,1785194000,226393000,None,None,101887000,46367000,7211000,16253000,1785044000,47879000,1641943000,None,None,27000,20081000,94052000,100462000,208057000,47462000,4810000,127440000,1363000,1076000,None,None,None,None,None,None,None,None,None,None,None,21964000,None,None,None,None,None,78112000,None,None,None,None,USD,20221000,0,20221000,1684000,-22000000,-34339000,-11725000,-2953000,3453000,-7561000,6557000,None,545000,-614000,None,None,-100000,5585000,184000,None,None,None,11.05,6.94
3,2019-09-30,USD,14881000,8397000,None,13323000,None,2882000,None,None,3829000,None,5989000,None,4926000,628000,6836000,947000,20812000,13976000,None,None,None,947000,-1097000,None,2882000,2882000,None,USD,2047373000,2232000,228508000,4710000,1824070000,223303000,None,None,101887000,43528000,11836000,18872000,1801759000,56070000,1654121000,None,None,2000,20276000,102644000,101590000,202199000,46923000,4710000,149413000,1864000,1513000,None,None,None,None,None,None,None,None,None,None,None,21937000,None,None,None,None,None,77886000,None,None,None,19000000,USD,-21909000,0,-21909000,-5154000,-18777000,18915000,38239000,1247000,2882000,2700000,5694000,None,722000,-563000,None,None,851000,-35000,497000,None,None,None,10.83,11.05
4,2019-06-30,USD,15088000,8796000,None,13367000,None,2840000,None,None,4240000,None,6416000,None,4571000,787000,6316000,1400000,20480000,14164000,None,None,None,1400000,-331000,None,2840000,2840000,None,USD,1830695000,1332000,219953000,5034000,1628453000,202242000,None,None,93376000,41209000,6596000,16074000,9896000,68524000,1444678000,None,None,-81000,19651000,99334000,98333000,184836000,48871000,5034000,168163000,776000,1181000,None,None,None,None,None,None,None,None,None,None,9016000,21910000,None,None,None,None,None,67738000,None,None,None,19000000,USD,-49879000,0,-79487000,-79142000,57902000,50068000,50278000,-365000,2840000,4948000,4759000,None,214000,-562000,97000,None,-161000,2204000,23000,None,None,None,11.74,10.83
5,2019-03-31,USD,14708000,8696000,None,14343000,None,4270000,None,None,5343000,None,6251000,None,5647000,662000,5808000,1073000,19843000,14035000,None,None,None,1073000,-304000,None,4270000,4270000,None,USD,1777301000,1393000,218134000,4873000,1577964000,199337000,None,None,93301000,38931000,6239000,16074000,10037000,63820000,1452195000,None,None,-460000,20059000,95144000,102200000,181870000,50251000,4873000,21883000,1451000,1421000,None,None,None,None,None,None,None,None,None,None,9296000,21883000,None,None,None,None,None,67565000,None,None,None,19000000,USD,-29608000,0,-29608000,-29286000,-5000000,52086000,57561000,79000,4270000,26275000,3797000,None,124000,-561000,86000,None,-615000,-170000,322000,None,None,None,11.53,11.74
6,2018-12-31,USD,13993000,8974000,6376000,13993000,0,4097000,0,0,4920000,0,8169000,None,5019000,805000,17794000,823000,19502000,14152000,0,0,0,823000,-99000,0,4097000,4097000,None,USD,1711159000,1363000,195432000,4258000,1516323000,194836000,None,None,93132000,35222000,6867000,16074000,10216000,55430000,1427124000,32875000,32875000,-935000,11003000,67068000,101071000,177399000,5925000,None,21856000,1455000,1393204000,None,None,None,None,None,None,None,None,None,None,None,21856000,None,None,None,None,None,67417000,None,None,None,None,USD,-1142000,-1959000,-140669000,-138876000,-17303000,115800000,118083000,441000,17589000,12052000,36921000,None,1130000,-2200000,1381000,None,None,4741000,1793000,None,None,None,12.12,11.53
7,2018-09-30,USD,15022000,7958000,5532000,15022000,0,5436000,0,0,6808000,0,7263000,None,7064000,695000,0,None,None,None,0,0,0,1372000,-256000,0,5436000,5436000,None,USD,1717146000,1440000,None,4317000,1526474000,190672000,None,None,93078000,31685000,7251000,15997000,1457201000,113866000,1386740000,None,None,-1273000,11343000,124170000,106995000,173235000,4721000,None,132483000,1266000,1385329000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,19000000,USD,7031000,0,-25533000,-321000,6581000,70497000,64305000,214000,5436000,65859000,20895000,None,340000,-559000,None,15740000,None,14898000,848000,None,None,None,13.15,12.12
8,2018-06-30,USD,13692000,7715000,4744000,13692000,0,4019000,0,0,5038000,0,7064000,None,5977000,651000,0,None,None,None,0,0,0,1019000,-939000,0,4019000,4019000,None,USD,1640999000,1519000,None,26896000,1455493000,185506000,None,None,92951000,26808000,7644000,15997000,1416903000,48007000,1321968000,125881000,125881000,-1165000,10750000,81897000,113933000,167990000,5067000,None,125881000,1927000,1321068000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,19000000,USD,21462000,0,-17551000,-2841000,5085000,27726000,22361000,1704000,4019000,14077000,3902000,None,289000,-556000,None,615000,None,-2032000,697000,None,None,None,13.9,13.15
9,2018-03-31,USD,12125000,6878000,4589000,12125000,0,4037000,0,0,4869000,0,6415000,None,5247000,463000,0,None,None,None,0,0,0,832000,-378000,0,4037000,4037000,None,USD,1483060000,868000,None,3803000,1316320000,166740000,None,None,87395000,23345000,3536000,10497000,1307887000,33930000,1191996000,120788000,120788000,-1069000,5826000,42176000,115806000,155375000,3297000,None,120788000,1146000,1190593000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,18000000,USD,5560000,0,-41113000,-3964000,4173000,27491000,23524000,-430000,4037000,-9448000,4174000,None,231000,-525000,319000,None,25000,284000,128000,None,None,None,14.4,13.9
