,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,426186000,374891000,320607000,105579000,76678000,27115000,None,None,34570000,None,53283000,None,51295000,1001000,19702000,7455000,-16576000,-19702000,None,None,None,7455000,2977000,None,27115000,27093000,None,USD,1771497000,121978000,None,4794000,1636101000,135396000,None,13476000,19000,-103312000,121090000,508182000,5390000,52506000,256362000,None,12510000,-11006000,504418000,580070000,51459000,-494764000,None,237250000,1067682000,238835000,122715000,None,None,None,None,None,None,None,5390000,None,1191427000,215991000,1206131000,90345000,1379739000,None,None,None,249695000,None,52506000,None,None,USD,5814000,16544000,5814000,10590000,-193297000,-195144000,-1847000,12382000,27115000,-129905000,59464000,None,22406000,None,None,20897000,None,674000,4776000,None,None,None,11.16,
1,2020-03-31,USD,330876000,326044000,272134000,58742000,29258000,-14066000,None,None,-13988000,None,54240000,None,4832000,-366000,20745000,78000,-17946000,-20745000,None,None,None,78000,1925000,None,-14066000,-14066000,None,USD,1912620000,132252000,None,14024000,1809429000,103191000,None,13145000,19000,-130427000,120473000,507681000,2147000,182411000,240129000,None,12510000,-13443000,522928000,696380000,51232000,-536742000,None,198358000,1258150000,259273000,125321000,None,None,None,None,None,None,None,2147000,None,1216240000,215677000,1395411000,85574000,1569300000,None,None,None,247042000,None,182411000,None,65000000,USD,-4278000,11406000,-4278000,None,171929000,171588000,-341000,-5500000,-14066000,147611000,-19225000,None,22501000,None,None,-21842000,None,9776000,4278000,None,None,None,5.98,11.16
2,2019-12-31,USD,363149000,352979000,296550000,66599000,35118000,-7676000,None,None,-10436000,None,56505000,None,10170000,-570000,21250000,-2760000,-19743000,-21250000,None,None,None,-2760000,644000,None,-7676000,-7676000,None,USD,1740058000,142674000,None,8890000,1619091000,120967000,None,13145000,19000,-116361000,115075000,508826000,3443000,34800000,226447000,12510000,12510000,-7063000,535828000,498995000,50034000,-530533000,None,178698000,1085793000,238483000,102426000,None,None,None,None,None,None,None,3701000,None,1241063000,217102000,1223158000,73306000,1392644000,None,None,None,244372000,None,34800000,None,64000000,USD,-8554000,-34584000,-8554000,11414000,-70631000,-81801000,-11591000,-960000,-7676000,-9052000,81064000,None,24304000,None,1703000,18382000,80744000,-1086000,9388000,None,None,None,11.56,5.98
3,2019-09-30,USD,464526000,416781000,362362000,102164000,75771000,22430000,None,None,28327000,None,55234000,None,47745000,-815000,23272000,5897000,-19282000,-23272000,None,None,None,5897000,3854000,None,22430000,22390000,None,USD,1866146000,154558000,None,19603000,1742142000,124004000,None,15457000,18000,-108685000,133037000,508588000,3198000,43852000,260857000,12510000,12510000,-8249000,539525000,606445000,53065000,-539142000,None,262506000,1156023000,256645000,138247000,None,None,None,None,None,None,None,3965000,None,1259701000,218007000,1292579000,95713000,1481285000,None,None,None,240920000,None,43852000,None,65000000,USD,-9199000,24193000,-9199000,10580000,-57855000,-56730000,-157000,3908000,22430000,27061000,93044000,None,24172000,None,1282000,34843000,-20325000,1814000,10270000,None,None,None,7.23,11.56
4,2019-06-30,USD,410219000,383421000,324405000,85814000,54008000,2954000,None,None,3835000,None,58640000,None,26798000,376000,25783000,881000,-45479000,-25783000,None,None,None,881000,2820000,None,2954000,-22045000,None,USD,1878164000,166480000,None,22432000,1779322000,98842000,None,15457000,18000,-131115000,133686000,508742000,2329000,16791000,242416000,12510000,12510000,-7539000,548800000,597737000,54076000,-576380000,None,252442000,1210546000,291696000,131697000,None,None,None,None,None,None,None,2329000,None,1280427000,218554000,1346642000,94256000,1536906000,None,None,None,237478000,None,16791000,None,64000000,USD,-1767000,25513000,-24542000,9509000,-6127000,-6339000,-395000,8937000,2954000,8616000,16633000,None,24390000,None,None,14366000,-59668000,-1873000,11102000,None,None,None,4.97,7.23
5,2019-03-31,USD,291858000,300865000,250053000,41805000,16721000,-25039000,None,None,-32336000,None,51391000,None,-9007000,-526000,24665000,-7297000,None,-24665000,None,None,None,-7297000,1336000,None,-25039000,-25039000,None,USD,1851917000,178450000,None,31801000,1758393000,93524000,None,15457000,18000,-134069000,134702000,508473000,2389000,8175000,215092000,12510000,12510000,-8859000,560138000,551793000,50674000,-593399000,None,196865000,1214659000,305534000,118379000,None,None,None,None,None,None,None,2389000,None,1300124000,217196000,1350179000,91633000,1543301000,None,None,None,236434000,None,8175000,None,64000000,USD,-22775000,-12447000,-22775000,174000,38872000,38689000,-183000,-2803000,-25039000,-27618000,-43955000,None,24392000,None,None,-20100000,-8145000,-1812000,22949000,None,None,None,4.22,4.97
6,2018-12-31,USD,339155000,337821000,280400000,58755000,1334000,-16952000,0,0,-20218000,0,45160000,None,1334000,-839000,-25344000,-4663000,None,None,-1397000,0,0,-3266000,-21552000,0,-16952000,-16952000,None,USD,1793252000,183789000,None,13109000,1685030000,108222000,None,39335000,18000,-115987000,151938000,508193000,7748000,35793000,222049000,12510000,12510000,-10740000,492167000,544089000,57266000,-583760000,None,202868000,1176095000,285030000,114708000,None,None,None,None,None,None,None,None,None,None,None,1311043000,None,None,None,None,None,234931000,None,35793000,None,64000000,USD,None,-29590000,-15580000,-443000,-3127000,-33683000,-30556000,3806000,-16952000,5445000,55791000,None,26050000,None,None,-20294000,81254000,9473000,19135000,None,None,None,3.76,4.22
7,2018-09-30,USD,434510000,404128000,357374000,77136000,30382000,5503000,0,0,8296000,0,35192000,None,30382000,-1538000,-21940000,2793000,None,None,0,0,0,2793000,-22086000,0,5503000,5478000,None,USD,1868102000,196987000,None,18170000,1739229000,128873000,0,58646000,18000,-99034000,156052000,507002000,8544000,30348000,270928000,12510000,12510000,-6598000,490439000,602273000,62857000,-575116000,0,280831000,1177382000,265609000,145112000,0,0,0,0,0,0,None,None,None,None,None,1312249000,None,None,None,None,None,234487000,None,30348000,None,64000000,USD,None,-422000,-14813000,-3998000,-3128000,-3248000,-120000,-13861000,5503000,166000,18063000,None,25924000,0,0,10606000,-11658000,-78000,13845000,None,None,None,7.46,3.76
8,2018-06-30,USD,416087000,387401000,340774000,75313000,28686000,6994000,0,0,14237000,0,37963000,None,28686000,-4536000,-17745000,3558000,None,None,0,0,0,7243000,-14449000,0,6994000,6957000,None,USD,1864282000,208211000,None,6335000,1743819000,120463000,0,59608000,18000,-104536000,158480000,506750000,8456000,30182000,272632000,12510000,12510000,-8084000,489527000,586901000,64437000,-594498000,0,267266000,1178665000,275850000,148843000,0,0,0,0,0,0,None,None,None,None,None,1312707000,None,None,None,None,None,233065000,None,30182000,None,64000000,USD,None,33444000,-16451000,-3030000,-3127000,-3256000,-129000,18650000,6994000,-23173000,-3317000,None,26037000,0,0,-4853000,-72059000,-13563000,8356000,None,None,None,9.73,7.46
9,2018-03-31,USD,289960000,306114000,255595000,34365000,-16154000,-19910000,0,0,-23595000,0,38262000,None,-16154000,-843000,-13308000,-3685000,None,None,0,0,0,-3685000,-7441000,0,-19910000,-19910000,None,USD,1766640000,220267000,None,23083000,1653549000,113091000,0,57452000,18000,-111532000,247600000,505063000,22757000,53355000,225986000,12510000,12510000,-6515000,414266000,547993000,56294000,-612239000,0,196313000,1179963000,268659000,127906000,0,0,0,0,0,0,None,None,None,None,None,1179963000,None,None,None,None,None,231120000,None,53355000,None,64000000,USD,None,-7980000,-4208000,-4990000,-3128000,-3264000,-136000,4305000,-19910000,-51179000,-43341000,None,27412000,0,0,-30772000,-3000,-18410000,9273000,None,None,None,8.32,9.73
