,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,56158000,35009000,None,56158000,21149000,15405000,None,None,21149000,204000,35009000,None,21149000,2335000,2543000,5540000,15176000,12633000,None,None,None,5540000,None,None,15609000,15405000,None,USD,1661281000,1256000,None,None,1519133000,142362000,None,982870000,26000,108426000,2485000,9848000,1132174000,44837000,1023411000,None,None,10705000,25821000,44837000,1289714000,131258000,203806000,6637000,19780000,None,40541000,None,None,26000,None,108426000,-4253000,None,289805000,None,1616444000,None,19780000,475942000,495722000,None,None,None,27458000,1661281000,44837000,None,2375324,USD,-214938000,-285000,-214750000,1294000,28622000,249113000,220899000,4085000,15609000,4941000,-29422000,4371000,676000,-404000,-4000,None,-1480000,-48313000,1106000,-1480000,None,4941000,43.33,
1,2020-03-31,USD,20199000,22075000,None,20199000,-1876000,-627000,None,None,-1876000,-475000,22075000,None,-1876000,2242000,2783000,-774000,13542000,10759000,None,None,None,-774000,None,None,-1102000,-627000,None,USD,1368252000,1309000,380741000,None,1252007000,116659000,None,937306000,26000,93425000,1985000,9848000,931038000,39221000,960259000,None,None,26000,25275000,39221000,1065986000,105502000,184928000,5157000,19763000,None,22953000,None,None,26000,None,93425000,-4254000,None,226613000,None,1329031000,None,19763000,271985000,291748000,None,None,None,27436000,1368252000,39221000,None,2375324,USD,-47387000,15000,-45617000,3013000,30434000,82196000,52424000,-2847000,-1102000,-18724000,-55303000,-2934000,505000,-403000,-259000,None,417000,-52204000,1243000,417000,None,-18724000,38.95,43.33
2,2019-12-31,USD,28513000,24272000,None,28513000,4241000,3439000,None,None,4241000,164000,24272000,None,4241000,1926000,2875000,638000,13613000,10738000,None,None,None,638000,-9000,None,3603000,3439000,None,USD,1292573000,1362000,334449000,116097000,1168395000,123810000,None,885598000,26000,94455000,1269000,9848000,901379000,55476000,907814000,None,None,6217000,24773000,55476000,1033757000,112600000,177939000,5574000,19746000,1893000,22216000,None,None,26000,None,94455000,-4470000,None,167357000,None,1237097000,None,19746000,240835000,260581000,None,None,None,27582000,1292573000,55476000,None,2357369,USD,-45653000,-163000,-52668000,-2913000,13022000,63268000,50524000,1778000,3603000,-105000,-10705000,1896000,525000,-378000,100000,None,-533000,-16033000,4102000,-533000,None,-105000,67.1,38.95
3,2019-09-30,USD,27775000,21867000,None,27775000,5908000,4478000,None,None,5908000,343000,21867000,None,5908000,1722000,3469000,1087000,13645000,10176000,None,None,None,1087000,-9000,None,4821000,4478000,None,USD,1222579000,1416000,319437000,121411000,1101322000,121053000,None,838384000,26000,91228000,2124000,9848000,846790000,54472000,857143000,40000000,40000000,6850000,21131000,54472000,992008000,109789000,177302000,5041000,19729000,1893000,18759000,None,None,26000,None,91228000,-4545000,None,143704000,None,1168107000,None,19729000,224450000,244179000,None,None,None,27494000,1222579000,54472000,None,2350229,USD,-25211000,-448000,-11478000,14703000,35935000,-17970000,-53214000,-944000,5664000,-23673000,5775000,-711000,570000,-376000,-315000,None,343000,357000,970000,343000,None,-23673000,63.22,67.1
4,2019-06-30,USD,22199000,16488000,None,22199000,5711000,4392000,None,None,5711000,571000,16488000,None,5711000,1446000,2766000,1020000,12862000,10096000,None,None,None,748000,-82000,None,4963000,4392000,None,USD,1228953000,1469000,348613000,101631000,1113806000,114971000,None,888145000,26000,86283000,1359000,9848000,839620000,78085000,902126000,None,None,5731000,20628000,78085000,981649000,103654000,180237000,5384000,19712000,1896000,13981000,None,None,26000,None,86283000,-4545000,None,137274000,None,1150868000,None,19712000,191968000,211680000,None,None,None,27476000,1228953000,78085000,None,2350229,USD,-27988000,58000,-24374000,4148000,28318000,89838000,63460000,2038000,4963000,24663000,-40801000,2008000,491000,-375000,-1565000,None,-782000,-47539000,534000,-782000,None,24663000,60.0,63.22
5,2019-03-31,USD,16610000,12880000,None,16610000,3730000,3533000,None,None,3730000,-269000,12880000,None,3730000,1551000,2446000,466000,12165000,9719000,None,None,None,466000,-119000,None,3264000,3533000,None,USD,1129722000,1523000,284334000,2963000,1019793000,108688000,None,824770000,26000,82266000,1274000,9848000,803289000,50638000,836533000,None,None,3555000,20405000,1007344000,29202000,97317000,191082000,762661000,19695000,1917000,11763000,None,None,26000,None,82266000,-4659000,None,61400000,None,122378000,None,19695000,163565000,183260000,None,None,None,27500000,1129722000,241720000,None,2344836,USD,-31011000,329000,-37140000,-5681000,53920000,46762000,-6884000,802000,3264000,4098000,-5524000,423000,490000,-376000,102000,None,206000,-10236000,448000,206000,None,4098000,54.05,60.0
6,2018-12-31,USD,15042000,11416000,2540000,15042000,3626000,2931000,0,None,3626000,173000,11416000,None,3626000,1506000,0,None,None,None,None,None,None,522000,-45000,None,3104000,2931000,None,USD,1073989000,1601000,None,2991000,969428000,102968000,None,832073000,26000,79109000,855000,9848000,768012000,46540000,840524000,None,None,1192000,20391000,969852000,20504000,91519000,186260000,734061000,19678000,232000,8451000,None,None,26000,None,79109000,-5105000,None,51793000,None,104137000,None,19678000,109226000,128904000,None,None,None,27746000,1073989000,232800000,None,2304310,USD,-31691000,253000,-39135000,100000,17019000,37380000,20566000,-1656000,3104000,-5930000,-4175000,-1928000,610000,-345000,140000,None,None,-5693000,7544000,-521000,None,-5930000,51.94,54.05
7,2018-09-30,USD,13853000,10143000,2096000,13853000,3710000,2744000,0,0,3710000,200000,10143000,None,3710000,1289000,6337000,None,None,None,0,0,0,766000,-555000,0,2944000,2744000,None,USD,1034406000,1727000,None,2501000,934161000,98813000,0,811112000,26000,76523000,1466000,9848000,730022000,51895000,821930000,15000000,15000000,-97000,13116000,943040000,14673000,87238000,184373000,704271000,19661000,103000,10818000,0,27630000,26000,0,76523000,-5269000,None,52002000,None,91366000,None,19661000,92570000,112231000,None,None,None,27630000,1034406000,236268000,None,2292021,USD,10108000,315000,10190000,758000,19662000,-3911000,-23181000,3689000,2944000,4272000,-2007000,2712000,495000,-344000,-48000,915000,0,-8698000,676000,225000,None,4272000,68.28,51.94
8,2018-06-30,USD,12495000,8122000,1965000,12495000,4373000,3106000,0,0,4373000,571000,8122000,None,4373000,1033000,0,None,None,None,0,0,0,696000,-142000,0,3677000,3106000,None,USD,1035346000,2463000,None,2756000,936477000,97640000,0,834754000,26000,74123000,808000,9511000,726951000,47623000,844318000,91351000,91351000,1148000,12672000,952308000,7796000,85666000,208071000,693858000,90000000,64000,9564000,0,27612000,26000,0,74123000,-5269000,None,50596000,None,83038000,None,None,92159000,92159000,None,None,None,27612000,1035346000,255694000,None,2292021,USD,-31014000,112000,-31269000,20000,-54222000,21056000,75790000,3297000,3677000,-1028000,9185000,3047000,205000,-685000,173000,6931000,0,2782000,275000,-638000,None,-1028000,73.49,68.28
9,2018-03-31,USD,10919000,8359000,1794000,10919000,2560000,1646000,0,0,2560000,576000,8359000,None,2560000,998000,0,None,None,None,0,0,0,338000,-1333000,0,2222000,1646000,None,USD,1008554000,2583000,None,2756000,912727000,95164000,0,758787000,26000,71361000,980000,9514000,715769000,48651000,766174000,145573000,145573000,1624000,12597000,923580000,10461000,83067000,189732000,682441000,144223000,22109000,7387000,0,27182000,26000,0,71361000,-5524000,None,49819000,None,84974000,None,None,146553000,146553000,None,None,None,27677000,1008554000,238383000,None,2279021,USD,-6817000,-14000,3731000,11091000,-5776000,-13938000,-8276000,-1617000,2222000,-1000,10206000,-1505000,462000,1000,113000,8372000,0,8595000,543000,446000,None,-1000,69.5,73.49
