,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,8961000,None,None,None,None,2243000,None,None,2771000,None,3447000,None,None,996000,834000,528000,8219000,7385000,None,None,None,528000,None,None,2243000,2243000,None,USD,942090000,76000,None,None,861302000,80788000,None,None,6065000,65451000,2841000,None,669146000,108279000,None,None,None,3305000,19792000,None,139404000,80712000,123193000,3863000,19261000,None,3026000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,-63422000,0,-63422000,None,4990000,122885000,118393000,-948000,2243000,60189000,726000,None,369000,-498000,0,None,-1739000,796000,500000,None,None,None,13.88,
1,2020-03-31,USD,8880000,None,None,None,None,1705000,None,None,2081000,None,3998000,None,None,1012000,1142000,376000,8142000,7000000,None,None,None,376000,None,None,1705000,1705000,None,USD,816412000,118000,165754000,None,737894000,78518000,None,None,6062000,63741000,2543000,None,598441000,48090000,None,None,None,2816000,19912000,None,145746000,78400000,128660000,2124000,14266000,None,3001000,None,None,None,None,None,None,None,None,None,None,None,14266000,None,None,None,None,None,5899000,None,None,None,5000000,USD,-12648000,0,-12648000,-42000,4990000,11567000,14197000,930000,1705000,2305000,3386000,None,379000,-512000,-2118000,None,-59000,427000,199000,None,None,None,15.0,13.88
2,2019-12-31,USD,9185000,5781000,None,9166000,None,2716000,None,None,3362000,None,3156000,None,3385000,1440000,1231000,646000,8279000,7048000,None,None,None,646000,-23000,None,2716000,2716000,None,USD,800048000,170000,176693000,10532000,722829000,77219000,None,None,6212000,62583000,1620000,None,591889000,45785000,706754000,None,None,724000,20072000,48017000,138610000,77049000,120983000,2065000,14262000,None,2125000,None,None,None,None,None,None,None,None,None,None,None,14262000,None,None,None,None,None,7700000,None,None,None,5000000,USD,-9963000,0,-9963000,-42000,4990000,20418000,20835000,540000,2716000,15412000,4957000,None,393000,-417000,0,None,-12000,1315000,147000,None,None,None,21.4,15.0
3,2019-09-30,USD,9037000,6121000,None,9262000,None,2493000,None,None,3076000,None,4078000,None,3141000,998000,1283000,583000,8328000,7045000,None,None,None,583000,-65000,None,2493000,2493000,None,USD,777193000,231000,154182000,3151000,701877000,75316000,None,None,6210000,60314000,1519000,None,589628000,30373000,685805000,None,None,1144000,20244000,33524000,132790000,75085000,114568000,2053000,14257000,None,1999000,None,None,None,None,None,None,None,None,None,None,None,14257000,None,None,None,None,None,7648000,None,None,None,5000000,USD,9275000,0,9275000,-105000,4990000,-4632000,-4180000,-18000,2493000,7303000,2660000,None,405000,-420000,-32000,None,110000,-334000,98000,None,None,None,18.35,21.4
4,2019-06-30,USD,8775000,6115000,None,8800000,None,2086000,None,None,2570000,None,4042000,None,2685000,995000,1249000,484000,8188000,6939000,None,None,None,484000,-115000,None,2086000,2086000,None,USD,778384000,302000,151430000,2838000,705575000,72809000,None,None,6206000,58268000,1006000,None,592549000,23070000,689988000,None,None,769000,20511000,25908000,138338000,72507000,119510000,2163000,14253000,None,1507000,None,None,None,None,None,None,None,None,None,None,None,14253000,None,None,None,None,None,7566000,None,None,None,5000000,USD,-20898000,0,-28206000,-27421000,-5000000,188000,19281000,-1118000,2086000,-19625000,1085000,None,412000,-419000,0,None,-20000,-280000,232000,None,None,None,20.35,18.35
5,2019-03-31,USD,8668000,5939000,None,8884000,None,2261000,None,None,2786000,None,4030000,None,2945000,879000,1124000,525000,7999000,6899000,None,None,None,525000,-159000,None,2261000,2261000,None,USD,775078000,382000,174425000,2343000,705350000,69728000,None,None,6204000,56629000,1362000,None,567549000,42695000,684381000,None,None,-620000,20642000,45038000,140691000,69346000,121202000,2143000,14248000,None,1878000,None,None,None,None,None,None,None,None,None,None,None,14248000,None,None,None,None,None,7515000,None,None,None,5000000,USD,-7308000,0,-7308000,-6755000,5000000,18236000,13674000,224000,2261000,14077000,3149000,None,337000,-418000,-20000,None,-30000,263000,553000,None,None,None,20.2,20.35
6,2018-12-31,USD,8946000,5964000,1494000,8946000,0,2321000,None,None,2863000,None,5032000,None,2982000,932000,None,None,None,None,None,None,None,542000,-119000,None,2321000,2321000,None,USD,752969000,472000,None,8532000,686295000,66674000,None,None,6197000,54814000,1346000,None,557253000,22618000,670705000,None,None,-1808000,20066000,31150000,144028000,66202000,15240000,None,14244000,None,670566000,None,None,None,None,None,None,None,None,None,None,None,14244000,None,None,None,None,None,7471000,None,None,None,5000000,USD,4733000,0,458000,-98000,5000000,3247000,3480000,-27000,2321000,7180000,3475000,None,440000,-232000,-25000,None,None,712000,850000,None,None,None,19.4,20.2
7,2018-09-30,USD,9259000,5760000,898000,9259000,0,2676000,None,None,3311000,None,4874000,None,3499000,886000,None,None,None,None,None,None,None,635000,-188000,None,2676000,2676000,None,USD,746454000,571000,None,2654000,682803000,63651000,None,None,6196000,52741000,1336000,None,554582000,21438000,667227000,None,None,-2724000,19557000,24092000,147652000,63080000,10068000,None,14240000,516000,667104000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,5000000,USD,4615000,0,-4696000,-98000,5000000,-19637000,-19404000,656000,2676000,-19825000,4508000,None,433000,-233000,None,None,None,803000,266000,None,None,None,21.5,19.4
8,2018-06-30,USD,8898000,5677000,855000,8898000,0,2451000,None,None,3034000,None,4816000,None,3221000,861000,None,None,None,None,None,None,None,583000,-187000,None,2451000,2451000,None,USD,763364000,679000,None,3268000,701716000,61648000,None,None,6192000,50313000,847000,None,545380000,41263000,686634000,14235000,14235000,-2203000,19633000,44599000,153073000,60969000,27762000,None,14235000,68000,686529000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,5000000,USD,-12413000,0,-22847000,-98000,5000000,-6506000,-6275000,-313000,2451000,-28014000,1339000,None,456000,-231000,None,None,None,-1055000,136000,None,None,None,20.15,21.5
9,2018-03-31,USD,9080000,5626000,865000,9080000,0,2687000,None,None,3214000,None,4206000,None,4272000,781000,175000,None,None,None,None,191000,None,527000,-240000,None,2687000,2687000,None,USD,767854000,799000,None,1937000,708161000,59693000,None,692825000,6191000,46190000,1105000,None,163012000,69277000,692931000,14231000,14231000,-1919000,19833000,71214000,141155000,58894000,58092000,1869000,14231000,68000,692825000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,5000000,USD,-4256000,0,-2755000,697000,None,27610000,27867000,651000,2687000,29291000,4436000,None,476000,-233000,-24000,379000,47000,571000,287000,None,None,None,18.55,20.15
