,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,59974000,3723000,61677000,-1703000,-5426000,-5537000,None,None,-5515000,None,3722000,None,-5426000,1000,89000,None,None,None,None,None,None,22000,None,None,-5537000,-5537000,None,USD,262554000,None,None,89087000,109135000,153419000,None,26973000,11155000,38810000,None,None,15763000,49184000,99345000,2143000,None,None,72376000,174415000,None,153419000,19992000,13391000,7857000,2761000,70229000,None,None,11155000,None,38810000,None,None,15763000,None,88139000,None,7857000,1933000,9790000,None,None,None,103454000,262554000,69176000,None,15309000,USD,9000,-7504000,-5612000,None,9999000,9999000,-1000,1690000,-5537000,622000,-3765000,4077000,2067000,None,None,None,None,345000,5621000,2787000,None,622000,3.07,
1,2020-03-31,USD,78555000,-6190000,78809000,-254000,5936000,5905000,None,None,5989000,None,3744000,None,5936000,-9934000,-53000,84000,53000,53000,None,None,None,84000,None,None,5905000,5905000,None,USD,251029000,None,None,74992000,92418000,158611000,None,11571000,11121000,44347000,None,None,18930000,48562000,90190000,None,None,None,69651000,162448000,None,158611000,19993000,16178000,None,2723000,78619000,None,None,11121000,None,44347000,None,None,18930000,None,88581000,None,None,2228000,2228000,None,None,None,103143000,251029000,68555000,None,15290000,USD,-1044000,7745000,-1044000,1080000,-30000,-104000,-74000,-324000,5905000,-1141000,7000,-25870000,2220000,None,None,None,9917000,90000,2124000,9917000,None,-1141000,3.0,3.07
2,2019-12-31,USD,79445000,21158000,92714000,-13269000,-34427000,-34325000,None,None,-34423000,None,3837000,None,-34427000,117000,-4000,-98000,4000,4000,None,17204000,None,-98000,-17274000,None,-34325000,-34325000,None,USD,252777000,None,None,65082000,100092000,152685000,None,26271000,11119000,38442000,190000,None,16919000,49703000,97844000,None,None,None,70484000,163474000,None,152685000,19918000,26095000,None,2676000,71573000,None,None,11119000,None,38442000,None,None,18819000,None,89303000,None,None,2248000,2248000,None,None,None,103124000,252777000,69621000,None,15263000,USD,5407000,1077000,4226000,619000,10000000,0,-30000,-155000,-34325000,3792000,-434000,9800000,2263000,None,None,None,4172000,16538000,1800000,4172000,None,3792000,5.07,3.0
3,2019-09-30,USD,75802000,4243000,78487000,-2685000,-6928000,-6779000,None,None,-6789000,None,3970000,None,-6928000,-51000,-139000,-10000,139000,139000,None,324000,None,-10000,-324000,None,-6779000,-6779000,None,USD,277165000,None,None,72810000,90121000,187044000,None,15682000,11123000,72767000,599000,None,16791000,45911000,84822000,None,None,None,74770000,178804000,None,187044000,25457000,30268000,None,4358000,69140000,None,None,11123000,None,72767000,None,None,23591000,None,98361000,None,None,5299000,5299000,None,None,None,103154000,277165000,71368000,None,15236000,USD,20261000,6636000,19630000,-15007000,-8000,-89000,-81000,1484000,-6779000,15719000,-3822000,161000,2301000,None,None,None,-6926000,785000,631000,-6926000,None,15719000,5.35,5.07
4,2019-06-30,USD,80456000,3786000,82054000,-1598000,-5384000,-5248000,None,None,-5258000,None,3987000,None,-5384000,-201000,-126000,-10000,126000,126000,None,None,None,-10000,453000,None,-5248000,-5248000,None,USD,277591000,None,None,74058000,84149000,193442000,None,13823000,11085000,79546000,569000,None,16902000,30192000,78780000,None,None,None,75862000,177927000,None,193442000,45791000,23343000,None,4543000,64957000,None,None,11085000,None,79546000,None,None,23802000,None,99664000,None,None,5369000,5369000,None,None,None,102811000,277591000,75983000,None,15236000,USD,-25325000,23765000,-25260000,1174000,-40000,-39000,1000,-717000,-5248000,-19706000,5593000,-13747000,2436000,None,None,None,-1692000,120000,1109000,-1692000,None,-19706000,7.1,5.35
5,2019-03-31,USD,67605000,3835000,67052000,553000,-3282000,-3042000,None,None,-3020000,None,3834000,None,-3282000,1000,-262000,22000,262000,262000,None,None,None,22000,70000,None,-3042000,-3042000,None,USD,258715000,None,None,59901000,60811000,197904000,None,9234000,11006000,84794000,561000,None,16689000,49898000,55350000,300000,300000,None,77660000,157366000,None,197904000,20341000,21658000,4900000,5568000,46116000,None,None,11006000,None,84794000,None,None,23689000,None,101349000,None,None,5461000,5461000,None,None,None,102104000,258715000,70239000,None,15236000,USD,-11541000,-1627000,-11367000,424000,None,-715000,-715000,-645000,-3042000,-20559000,-8477000,-7759000,2564000,None,None,None,796000,591000,250000,796000,None,-20559000,9.17,7.1
6,2018-12-31,USD,60231000,-6364000,64195000,-3964000,-4877000,-4682000,0,0,-4530000,0,1846000,None,2400000,-6850000,-347000,None,None,None,0,0,0,152000,5412000,0,-4682000,-4682000,None,USD,258290000,None,None,52185000,57190000,201100000,None,16845000,11021000,87836000,1089000,None,18405000,70457000,56101000,None,None,None,79930000,159955000,None,201100000,8720000,22505000,None,6088000,39256000,None,None,11021000,None,87836000,None,None,18405000,None,98335000,None,None,1089000,1089000,None,None,None,102243000,258290000,79177000,None,15090000,USD,764000,-6003000,27176000,27531000,2000,-13000,-15000,-3279000,-4682000,25437000,-1726000,-12677000,2596000,None,None,None,-5945000,-1947000,1119000,20987000,None,25437000,7.22,9.17
7,2018-09-30,USD,49712000,7672000,52924000,-3212000,-10744000,-10949000,0,0,-10672000,0,7672000,140000,-10884000,36000,-72000,None,None,None,0,0,0,277000,212000,0,-10949000,-10949000,None,USD,262957000,0,None,46126000,57821000,205136000,0,6862000,10957000,92518000,5524000,0,5922000,45020000,52297000,None,None,None,80707000,176328000,None,205136000,9494000,69120000,0,6568000,45435000,0,0,10957000,0,92518000,0,None,5922000,None,86629000,None,None,5524000,5524000,None,None,None,101661000,262957000,54514000,None,15044000,USD,-1700000,17835000,5296000,8467000,-33000,-41000,-8000,1351000,-10949000,13016000,7761000,-958000,2474000,0,0,0,-3489000,2848000,1471000,-3489000,None,13016000,9.95,7.22
8,2018-06-30,USD,54014000,5702000,54713000,-699000,724000,549000,0,0,632000,0,5092000,7125000,-6401000,36000,92000,None,None,None,0,610000,0,83000,6423000,0,549000,549000,None,USD,256689000,0,None,48154000,41299000,215390000,0,6928000,10888000,103467000,5180000,0,6078000,32004000,36119000,None,None,None,81819000,168792000,None,215390000,7481000,75596000,0,5557000,29227000,0,0,10888000,0,103467000,0,None,6078000,None,87897000,None,None,5180000,5180000,None,None,None,101035000,256689000,39485000,None,15043068,USD,-7474000,-1918000,47843000,56137000,-10000000,-10000000,-33000,-2186000,549000,25512000,-12331000,-8152000,3001000,0,0,0,-3906000,-1905000,820000,-3906000,None,25512000,9.0,9.95
9,2018-03-31,USD,57290000,5459000,56611000,679000,-4768000,-5296000,0,0,-5237000,0,4709000,12000,-4780000,36000,469000,None,None,None,0,750000,0,59000,-1207000,0,-5296000,-5296000,None,USD,269122000,0,None,101697000,55036000,214086000,1674000,8612000,10813000,102918000,3996000,0,5006000,6492000,41040000,10000000,10000000,None,86006000,178110000,None,214086000,0,64868000,10000000,5053000,32407000,0,0,10813000,0,102918000,0,None,5006000,None,91012000,None,10000000,2322000,13996000,None,None,None,100355000,269122000,6492000,None,15043068,USD,-7474000,-1899000,2403000,2474000,9989000,9202000,-787000,-837000,-5296000,-2491000,-14096000,-461000,2359000,0,0,0,-10630000,1831000,71000,-10630000,None,-2491000,7.1,9.0
