,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,3166000,None,None,None,None,-96000,None,None,-128000,None,1891000,None,None,369000,398000.0,-32000,3336000,2938000,None,None,None,-32000,None,None,-96000,-96000,None,USD,418200000,None,None,None,382333000,35867000,None,None,2834000,22145000,294000,None,292523000,34979000,None,None,37367000,306000,3904000,None,84534000,35867000,84534000,1226000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,-21961000,0,-21961000,None,17367000,37273000,20156000,1321000,-96000,16908000,1596000,None,139000,-283000,None,None,-257000,487000,106000,None,None,None,8.49,
1,2020-03-31,USD,3383000,3040000,None,3383000,343000,268000,None,None,343000,None,3040000,None,343000,395000,451000.0,75000,3499000,3048000,None,None,None,75000,None,None,268000,268000,None,USD,380500000,None,86784000,None,344643000,35857000,None,321780000,2830000,22522000,323000,None,285134000,2658000,344320000,20000000,20000000,-49000,3900000,4802000,346413000,35857000,70172000,2144000,None,None,2540000,None,None,2830000,None,22522000,None,None,24069000,None,611000,None,None,323000,323000,None,None,None,10554000,380500000,2658000,None,2830358,USD,10118000,-613000,9836000,238000,-5000000,-4911000,372000,-486000,268000,4781000,-144000,166000,162000,-283000,31000,None,-8000,-119000,282000,-8000,None,4781000,7.98,8.49
2,2019-12-31,USD,3699000,3023000,None,3699000,676000,538725,None,None,676000,None,3023000,None,676000,379000,461000.0,137000,3640000,3179000,None,None,None,137000,-16000,None,539000,538725,None,USD,384942000,None,83793000,961000,349262000,35680000,None,321440000,2827000,22537000,354386,None,293112000,2420000,348945000,25000000,25000000,-209000,3761000,4602000,355595000,35680000,71486000,2182000,None,705000,2505000,None,None,2827000,None,22537000,None,None,19607000,None,672000,None,None,317000,317000,None,None,None,10525000,384942000,2420000,None,2827473,USD,12817000,182000,-8040000,-213000,5000000,924000,-3794000,190000,539000,-6281000,835000,50000,175000,-282000,137000,None,None,112000,87000,None,None,-6281000,11.5,7.98
3,2019-09-30,USD,3674000,2856000,None,3674000,818000,606000,None,None,818000,None,2856000,None,818000,374000,446000.0,212000,3590000,3144000,None,None,None,212000,None,None,606000,606000,None,USD,383438000,None,81935000,976000,348070000,35368000,None,325266000,2824000,22280000,311000,None,292010000,3678000,347759000,20000000,20000000,-231000,3820000,5636000,347624000,35368000,64817000,1958000,None,705000,2493000,None,None,2824000,None,22280000,None,None,24640000,None,1013000,None,None,311000,311000,None,None,None,10495000,383438000,3678000,None,2824412,USD,-16853000,-161000,3805000,-213000,5000000,4840000,5123000,296000,605700,9633000,988000,499000,207000,-283000,104000,None,17000,-180000,112000,17000,None,9633000,10.8,11.5
4,2019-06-30,USD,3376000,2990000,0,3376000,386000,319275,0,0,386000,0,2990000,0,386000,431000,450000.0,67000,3574000,3124000,0,0,0,67000,-60000,0,319000,319275,0,USD,377613000,0,70005000,992000,342723000,34890000,0,320178000,2821000,21957000,304000,0,299240000,2373000,342419000,20000000,20000000,-352000,3840000,4559000,351218000,34890000,61213000,2186000,0,705000,2241000,0,0,2821000,0,21957000,0,0,16232000,0,1059000,0,0,304000,304000,0,0,0,10464000,377613000,2373000,0,2821230,USD,9204000,593000,9114000,213000,-5000000,-16685000,-11404000,275000,319300,-6597000,974000,-277000,232000,-281000,70000,0,117000,-10000,90000,117000,0,-6597000,11.0,10.8
5,2019-03-31,USD,3248000,3077000,0,3248000,171000,135000,0,0,171000,0,3077000,0,171000,436000,570000.0,36000,3709000,3139000,0,0,0,36000,-56000,0,135000,135000,0,USD,393059000,0,77053000,1110000,358604000,34455000,0,331613000,2818000,21919000,298000,0,1197000,2341000,358306000,25000000,25000000,-715000,3901000,4672000,359671000,34455000,61420000,2331000,808000,705000,1693000,0,0,2818000,0,21919000,0,0,22913000,0,1197000,0,0,298000,298000,0,0,0,10433000,393059000,2341000,0,2817821,USD,21516000,-416000,21469000,21516000,-30000000,-21083000,9199000,-520000,135000,581000,195000,-64000,318000,-282000,36000,0,89000,133000,47000,89000,0,581000,10.61,11.0
6,2018-12-31,USD,3302000,2810000,0,3302000,366000,308000,0,0,365000,0,2937000,0,366000,510000,941.64,None,None,None,0,0,0,57000,-127000,0,308000,308000,0,USD,413046000,0,None,2498000,378995000,34051000,0,322453000,2814000,22066000,320247,0,308868000,2605000,378674753,55000000,0,-1230000,3106000,4980000,380632000,34051000,0,2375000,0,705000,1257000,0,0,2814000,0,22066000,0,0,22231000,0,1392000,0,0,285000,285000,0,0,0,10401000,413046000,2605000,0,3000000,USD,-1238000,0,39000,1348000,15000000,463000,-14395000,-2060000,308000,464000,-38000,-2556000,241000,-178000,147000,0,0,1503000,71000,0,0,464000,10.43,10.61
7,2018-09-30,USD,3387000,2756000,1288.62,3387000,631000,542000,0,0,631000,0,2756000,0,631000,258000,895.81,None,None,None,0,0,0,89000,-64000,0,542000,542000,0,USD,411365000,0,None,1233000,378021000,33344000,0,336847000,2811000,21936000,323000,0,306238000,5282000,377698000,40000000,63872.17,-1771000,3154000,6515000,378628000,33344000,0,1233000,0,705000,851000,0,0,2811000,0,21936000,0,0,19500000,0,2863000,0,0,323000,323000,0,0,0,10368000,411365000,5282000,0,2807819,USD,-4492000,56000,-4455000,114000,15000000,9694000,-4922000,1238000,542000,7408000,2169000,2247000,249000,-384000,0,0,0,-834000,77000,-91000,0,7408000,12.27,10.43
8,2018-06-30,USD,3444000,3011000,195411.03,3444000,433000,478000,0,0,433000,0,3011000,None,433000,493000,197425.58,None,None,None,0,-93474.98,0,-45000,36000,0,478000,478000,None,USD,401471000,0,None,1142000,367927000,33544000,0,341807000,2808000,21778000,317000,0,301153000,8082000,367610000,25000000,10072733.79,-1377000,3195000,9224000,375881000,33544000,0,1142000,0,114000,803000,0,0,2808000,0,21778000,0,None,10344000,None,2713000,None,None,317000,317000,None,None,None,10335000,401471000,8082000,None,2807819,USD,-11638000,124000,-11680000,-213000,5000000,10393000,5674000,169000,478000,-446000,841000,-466000,260000,-281000,0,0,0,405000,42000,40000,None,-446000,11.0,12.27
9,2018-03-31,USD,3118000,2835000,812000,3118000,283000,255000,0,0,283000,0,2835000,None,283000,313000,452000.0,None,None,None,0,232000,0,28000,149000,0,255000,255000,None,USD,390370000,0,None,1182000,357183000,33187000,0,336170000,2804000,21581000,1013000,0,105640000,8528000,356842000,20000000,20000000,-1499000,3271000,9710000,364377000,33187000,0,1182000,0,114000,672000,0,0,2804000,0,21581000,0,None,10139000,None,2759000,None,None,341000,341000,None,None,None,10301000,390370000,8528000,None,2804456,USD,-6913000,-175000,-6932000,2000,5000000,1691000,1970000,486000,255000,-4077000,1164000,237000,319000,-279000,0,0,0,577000,19000,-49000,None,-4077000,12.1,11.0
