,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,32400000,38780000,25583000,6817000,-5544000,-2051000,None,None,-6304000,71680000,12547000,None,-6380000,None,110000,8000,None,-110000,None,None,None,8000,186000,None,-6312000,-2051000,None,USD,128895000,5801000,None,2430000,35058000,22157000,None,5081000,135000,-16239000,1064000,2974000,2065000,41831000,22736000,None,177000,-240000,17479000,100576000,None,13382000,None,6402000,7926000,38727000,11554000,None,None,None,None,None,None,None,2065000,None,28319000,4234000,None,1064000,12322000,None,None,None,None,None,None,None,None,USD,-826000,1119000,-826000,None,None,-105000,-105000,-1904000,-2051000,-1819000,-1316000,None,650000,None,0,3837000,-214000,-2753000,257000,None,None,None,3.98,
1,2020-03-31,USD,33868000,42522000,26539000,7329000,-16000000,-4461000,None,None,-16820000,78889000,15273000,None,-8654000,None,110000,-81000,-110000,-110000,None,None,None,-81000,-8056000,None,-16739000,-4461000,None,USD,134277000,6107000,None,2518000,35912000,19476000,None,4825000,112000,-14188000,1016000,2933000,2078000,43650000,23302000,None,181000,-339000,18252000,104907000,None,10436000,None,6513000,7976000,42965000,10896000,None,None,None,None,None,None,None,2078000,None,29370000,4952000,9156000,1016000,12610000,None,None,None,33891000,None,43650000,None,None,USD,-2262000,-1094000,-2262000,-1272000,None,-149000,-149000,5638000,-4461000,-4123000,-1097000,None,710000,None,0,212000,1560000,-3662000,990000,None,None,None,1.72,3.98
2,2019-12-31,USD,37236000,47534000,30722000,6514000,-9170000,-2985000,None,None,-10008000,91848000,16087000,None,-10298000,None,113000,-31000,-113000,-113000,None,None,None,-31000,403000,None,-9977000,-2986000,None,USD,153202000,6301000,None,4924000,38938000,22416000,None,3088000,107000,-9727000,620000,11982000,2091000,47773000,26262000,178000,178000,-72000,17860000,114968000,None,4133000,None,8091000,8018000,43060000,11310000,None,None,None,None,None,-515000,None,2091000,None,38234000,5238000,8832000,620000,12676000,None,None,None,32108000,None,47773000,None,10000000,USD,-623000,2001000,-623000,-1712000,-89000,-714000,-110000,-1581000,-2985000,-4767000,-3360000,None,725000,None,-514000,2816000,-761000,-3479000,747000,None,None,None,3.255,1.72
3,2019-09-30,USD,44886000,50411000,38448000,6438000,2871000,-6398000,None,None,2102000,97199000,11313000,None,-5525000,None,119000,11063000,-119000,-119000,None,None,None,11063000,7746000,None,-8961000,-6398000,None,USD,157222000,6501000,None,4635000,34659000,25364000,None,2222000,109000,-6741000,2322000,11259000,2105000,52540000,22239000,175000,175000,-133000,15110000,122247000,None,7604000,None,7591000,8059000,47086000,11569000,None,None,None,None,None,None,None,2105000,None,34975000,2838000,10604000,2322000,12420000,None,None,None,32129000,None,52540000,None,10000000,USD,-1881000,-18400000,-1881000,-1841000,-63000,-129000,-66000,-376000,-6398000,-16795000,-14772000,None,650000,None,0,2696000,5182000,2239000,507000,None,None,None,3.39,3.255
4,2019-06-30,USD,52986000,56922000,43835000,9151000,-2542077,-1767000,None,None,-3328000,99157000,12442000,None,-3936000,None,140000,-108000,-140000,-140000,None,None,None,-108000,748000,None,-3220000,-343000,None,USD,180949000,5653000,None,3424000,50610000,31182000,100000,2021000,109000,-343000,6227000,8996000,11583000,69335000,34420000,173000,173000,-56000,14733000,139984000,None,16533000,None,11913000,8098000,48105000,26473000,None,None,None,None,None,None,None,581000,None,40965000,2622000,8857000,506000,16190000,None,None,None,31472000,None,69335000,None,10000000,USD,-255572,3255366,-255572,-474000,-382586,78180167,-3562554,-1250197,-1767000,66558710,-11509332,None,645923,-877441,-252,-11813830,-1138967,540664,255887,None,None,None,9.59,3.39
5,2019-03-31,USD,49898000,55061145,40911000,8987000,-16366727,-17664000,None,None,-17653000,99157000,13466000,None,-5164000,None,601880,11000,-12665000,-601880,None,None,None,11000,-11887263,None,-17664349,-17664000,None,USD,93746780,5984330,None,13486580,106441030,-12694250,78926,2233735,-12435810,None,15388970,8995600,78930,2776775,35113540,171117,171117,-258440,14967730,63145200,575000,-43063146,None,10808720,69330430,36073120,24399095,None,None,None,None,None,None,None,30604990,None,30604990,2739489,69567330,None,86716463,None,None,None,None,None,2776780,None,None,USD,-972428,1962634,-972430,-463320,8308586,3641830,-1648010,1605197,-17664350,-4564710,-7261670,None,684080,-20559,-3018750,-6652170,-2647033,15009336,509110,None,None,None,nan,9.59
6,2018-12-31,USD,51555953,56018297,42151959,9403994,-4462344,-8280107,None,None,-8302908,99157000,13387075,None,-4462344,None,-2896840,-22800,None,None,None,None,None,-22801,-3840564,None,-8280107,-8280107,None,USD,78021174,3662409,None,12043824,89080353,-11059179,92080,5695476,-10773187,None,10032509,5445691,92080,7341485,30434792,168273,168273,-285992,11640824,57105170,75000,-20167279,None,8217787,48376343,29502074,20226696,None,None,None,None,None,None,None,None,None,None,None,48613050,None,None,None,None,None,None,None,7341490,None,None,USD,-75000,-9478413,-10398662,-180,38893981,23175172,-20683,3176847,-8280107,4226145,-8492945,None,476526,-623126,-15075000,1353384,-646093,2248792,10365055,None,None,None,nan,nan
7,2018-09-30,USD,43560548,43218860,34694503,8866045,341688,-135844,None,None,57628,99157000,8129295,None,341688,None,-142663,None,None,None,None,None,None,193472,-284060,None,-135844,-135844,None,USD,64043227,4062081,None,10314140,53282034,10761193,None,3726815,6449921,4539844,8890000,5445691,None,3115340,35816090,69192,69192,-228572,1416030,52269776,849649,1253421,None,8001187,8346069,30839109,28524083,None,None,None,None,None,None,None,None,None,None,None,8575940,None,None,None,None,None,None,None,3115340,None,10000000,USD,-75000,14248101,-227366,180,768184,601987,-166197,-3382350,-135844,1716521,1329101,None,395062,-623126,None,-8287949,-1637732,129813,174884,None,None,None,nan,nan
8,2018-06-30,USD,40560793,40216512,32148563,8412230,344281,229511,None,None,296344,None,7696094,None,344281,None,-113979,None,None,None,None,None,None,66833,-47937,None,229511,229511,None,USD,48559422,4310628,None,6421162,37675184,10884238,None,4449444,6449921,4675688,8890000,5445691,None,1398819,28617192,135908,135908,-241371,1091029,36715578,996496,1127919,None,6391500,21259,22504097,14275982,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,-75000,-12883912,-137755,180,2027283,2027283,-166197,3498816,229511,-1700257,-3577050,None,371855,-623126,None,5943124,-610854,-125590,139146,None,None,None,nan,nan
9,2018-03-31,USD,43257643,40931661,34204549,9053094,2325982,2298729,None,None,2380546,None,6481395,None,2325982,None,-38951,None,None,None,None,None,None,81817,54564,None,2298729,2298729,None,USD,56351978,4623331,None,7072681,45684516,10667462,None,2012465,6449921,4446177,8890000,5445691,None,3099076,36048668,175714,175714,-228636,1012426,44327595,942935,598440,None,5713790,565249,28442048,27159894,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,-75000,10778643,547347,180,4334854,3327679,-166197,-3383934,2298729,1018679,-2836422,None,245717,-1007175,None,-10949803,-2098100,272326,218254,None,None,None,nan,nan
