,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,116246000,136399000,131425000,-15179000,-1409000,-41281000,None,None,-41241000,None,3350000,None,-20153000,None,12814000,40000,112000,-12702000,None,None,None,40000,-8386000,None,-41281000,-41281000,None,USD,2715978000,None,None,113603000,1412033000,1303945000,26878000,112866000,7215000,-431039000,None,None,26878000,70335000,529611000,None,379312000,None,2471415000,217685000,None,1303945000,None,None,708423000,None,None,None,None,None,None,None,None,None,26878000,None,2498293000,211432000,None,None,882422000,None,None,None,None,None,None,None,None,USD,-1827000,0,-1827000,5361000,-38576000,-38576000,None,18062000,-41281000,-24364000,16039000,None,27018000,0,0,None,None,9158000,7188000,None,None,None,3.88,
1,2020-03-31,USD,137408000,161017000,161759000,-24351000,-116618000,-160820000,None,None,-160780000,None,3244000,None,-23609000,None,15099000,40000,674000,-14425000,None,None,None,40000,-122746000,None,-160820000,-160820000,None,USD,2803019000,None,None,144177000,1457846000,1345173000,49739000,120880000,7215000,-389758000,None,None,93262000,36498000,549344000,None,385475000,1345173000,2480657000,229100000,None,1345173000,None,None,725083000,None,None,None,None,None,None,None,-5669000,None,93262000,None,2573919000,226408000,870462000,None,908502000,None,None,None,715000,None,36498000,None,144000000,USD,-17576000,0,-17576000,-955000,-22729000,-12393000,17500000,-2601000,-160820000,-34798000,-4829000,None,29063000,-7164000,None,None,None,125554000,16621000,None,None,None,3.13,3.88
2,2019-12-31,USD,244671000,198864000,190259000,54412000,77911000,41043000,None,None,41167000,None,4057000,None,45807000,None,13077000,124000,812000,-12265000,None,None,None,124000,7625000,None,41043000,41042000,None,USD,2966057000,4073000,None,6334000,1452666000,1513391000,8267000,11651000,7215000,-228704000,None,None,77831000,88931000,233367000,87787000,87787000,None,2589593000,273077000,21483000,1509318000,13861000,45635000,1026083000,28235000,12402000,None,None,None,None,None,-5669000,None,67131000,None,2692980000,225095000,1177289000,None,1219299000,None,None,None,715000,None,102792000,None,144000000,USD,-22171000,4649000,-22171000,44000,-13665000,-37949000,-1738000,36514000,41043000,23976000,84096000,None,23667000,-21492000,-2153000,-81000,-18241000,-16813000,23277000,None,None,None,5.81,3.13
3,2019-09-30,USD,219335000,165897000,163200000,56135000,74221000,36699000,None,None,36737000,None,3260000,None,53438000,None,14159000,38000,847000,-13312000,None,None,None,38000,-3389000,None,36699000,36699000,None,USD,2935234000,None,None,186409000,1440272000,1494962000,None,112001000,7215000,-269212000,None,None,103618000,69454000,228142000,84797000,84797000,None,2558051000,273565000,None,1494962000,None,None,1042246000,None,None,None,None,None,None,None,-4960000,None,103618000,None,2661669000,201228000,1042246000,None,1212130000,None,None,None,593000,None,69454000,None,144000000,USD,-32124000,0,-32124000,-10657000,-22636000,-37709000,-1738000,-19973000,36699000,-23989000,45844000,None,23325000,-14352000,-721000,-81000,-18241000,1071000,11997000,None,None,None,5.82,5.81
4,2019-06-30,USD,115780000,122821000,121418000,-5638000,6237000,-33086000,None,None,-33048000,None,3276000,None,-7041000,None,15307000,38000,1093000,-14214000,None,None,None,37000,-11793000,None,-33086000,-33086000,None,USD,2903587000,9164000,None,29471000,1430370000,1473217000,8051000,30826000,7215000,-305910000,None,None,53805000,97937000,351274000,233668000,233668000,None,2563321000,265611000,11686000,1464053000,10009000,30439000,914012000,39288000,14673000,None,None,None,None,None,-4239000,None,53759000,None,2637976000,192356000,914012000,None,1079096000,None,None,None,473000,None,97937000,None,144000000,USD,-17993000,0,-17993000,44000,-14546000,-21314000,-2071000,707000,-33086000,-35894000,3413000,None,23978000,-3588000,-1109000,-81000,-18241000,7932000,8037000,None,None,None,5.81,5.82
5,2019-03-31,USD,126013000,117560000,76310000,49703000,32451000,-7465000,None,None,-7427000,None,3530000,None,8453000,None,17003000,38000,-12066000,-15320000,None,None,None,38000,-560000,None,-7465000,-7465000,None,USD,2937025000,None,None,145998000,1426330000,1510695000,None,64616000,7215000,1506542000,None,None,65163000,139290000,398067000,305607000,305607000,None,2586574000,285288000,None,1510695000,None,None,856978000,None,None,None,None,None,None,None,-3415000,None,65163000,None,2651737000,199129000,857287000,None,1028263000,None,None,None,353000,None,139290000,None,149000000,USD,-762000,0,-762000,45000,-186144000,-197768000,-2918000,-707000,-7465000,-173453000,25077000,None,22875000,-7185000,-1521000,-81000,-18241000,5755000,807000,None,None,None,4.77,5.81
6,2018-12-31,USD,177176000,134610000,107549000,69627000,42566000,23587000,0,0,23781000,0,3728000,None,42566000,0,-13740000,194000,None,None,0,0,0,194000,-18785000,0,23587000,23587000,None,USD,2951354000,16221000,None,46892000,1427842000,1523512000,4932000,29220000,7215000,-267744000,7278000,None,64620000,305352000,541500000,471764000,471764000,None,2407621000,461234000,1658000,1507291000,12033000,57252000,877278000,28154000,7752000,None,None,None,None,None,-2643000,None,None,None,None,None,879064000,None,None,None,None,None,233000,None,317385000,None,144000000,USD,394000,2352000,-1528000,-850000,-31553000,-54990000,-2918000,8640000,23587000,4200000,60718000,None,27886000,-21637000,-1590000,-8012000,-4760000,9524000,2947000,None,None,None,6.16,4.77
7,2018-09-30,USD,190005000,139220000,112254000,77751000,50785000,35285000,0,0,35298000,0,3621000,None,50785000,0,-16798000,None,None,None,0,0,0,13000,-15487000,0,35285000,35285000,None,USD,2999115000,None,None,180011000,1475143000,1523972000,None,82494000,7214000,-291330000,7501000,None,93117000,295035000,332888000,244851000,244851000,None,2430952000,475046000,None,1523972000,17737000,None,1131504000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,144000000,USD,394000,0,12429000,57000,-14891000,-29316000,-2918000,-643000,35285000,46744000,63631000,None,27897000,-14425000,None,-8012000,-4760000,1092000,1985000,None,None,None,9.86,6.16
8,2018-06-30,USD,143991000,117856000,90810000,53181000,26135000,8980000,0,0,8992000,0,3689000,None,26135000,0,-9407000,None,None,None,0,0,0,12000,-17143000,0,8980000,8980000,None,USD,2977526000,25664000,None,68516000,1474523000,1503003000,None,31340000,7214000,-326615000,7723000,None,82507000,249970000,309967000,231462000,231462000,None,2454324000,413561000,1470000,1477339000,15449000,24978000,1152146000,33518000,11123000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,144000000,USD,45000,0,-223000,939000,-54532000,-70157000,-1200000,12779000,8980000,-36723000,33657000,None,18904000,-14425000,None,-8012000,-4760000,-7006000,1207000,None,None,None,8.69,9.86
9,2018-03-31,USD,147889000,121543000,95762000,52127000,26346000,16683000,0,0,16696000,0,3668000,None,26346000,0,-17305000,None,None,None,0,0,0,13000,-9650000,0,16683000,16683000,None,USD,3037228000,None,None,160607000,1528924000,1508304000,None,71284000,7214000,-335595000,7944000,None,95341000,289604000,377920000,301299000,301299000,None,2491676000,450211000,None,1508304000,16588000,None,1136979000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,144000000,USD,224000,0,-151873000,939000,123948000,109733000,-1200000,-12779000,16683000,-13600000,28540000,None,26566000,-14425000,210000,-8012000,-4760000,-1930000,152097000,None,None,None,7.95,8.69
