,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,0,65339000,None,None,-64352000,-66870000,53684000,None,-66870000,None,11655000,None,-65339000,None,None,None,None,None,None,None,None,None,-1531000,None,-66870000,-66870000,None,USD,625076000,None,None,None,204752000,420324000,None,None,8000,-455114000,None,None,627000,486062000,27544000,None,None,567000,16049000,608400000,None,420324000,114302000,None,169352000,None,222000,None,None,None,None,None,None,None,627000,None,16676000,11101000,None,None,177208000,None,None,None,None,None,None,None,None,USD,106245000,-2336000,106245000,None,193596000,310829000,None,1368000,-66870000,374659000,-42399000,None,987000,None,None,None,None,23718000,15441000,None,None,None,13.0,
1,2020-03-31,USD,0,54967000,None,None,-54072000,-54074000,44219000,None,-54074000,None,10748000,None,-54967000,None,None,None,None,None,None,None,None,None,893000,None,-54074000,-54074000,None,USD,371478000,None,None,None,65015000,306463000,None,None,7000,-388244000,None,None,634000,111353000,28362000,None,None,-505000,15406000,355438000,None,306463000,234812000,None,28548000,None,2602000,None,None,None,None,None,None,None,634000,None,16040000,10523000,28548000,None,36653000,None,None,None,695205000,None,346165000,None,62000000,USD,28038000,1609000,28038000,28551000,193596000,571000,None,-11759000,-54074000,-23686000,-52295000,None,895000,None,571000,None,None,10945000,3318000,None,None,None,10.15,13.0
2,2019-12-31,USD,0,55788000,None,None,-53324000,-54698000,44196000,None,-54698000,None,11592000,None,-55788000,None,None,None,None,None,None,None,None,None,1090000,None,-54698000,-54698000,None,USD,426604000,None,None,None,74119000,352485000,None,None,7000,-334170000,None,None,1559000,135089000,36923000,None,None,258000,15728000,409317000,None,352485000,266740000,None,28459000,None,956000,None,None,None,None,None,None,None,1559000,None,17287000,11091000,28459000,None,37196000,None,None,None,686390000,None,401829000,None,55000000,USD,46933000,-1732000,46933000,-144178000,193596000,1518000,None,1370000,-54698000,4311000,-44140000,None,2464000,None,293356000,None,None,8367000,2128000,None,None,None,15.63,10.15
3,2019-09-30,USD,0,49986000,None,None,-49735000,-48500000,40148000,None,-48500000,None,9838000,None,-49986000,None,None,None,None,None,None,None,None,None,1486000,None,-48500000,-48500000,None,USD,469754000,None,None,None,70881000,398873000,None,None,7000,-279472000,None,None,1387000,130708000,33169000,None,None,328000,15993000,452374000,None,398873000,315764000,None,28370000,None,2555000,None,None,None,None,None,None,None,1387000,None,17380000,11633000,28370000,None,37712000,None,None,None,678010000,None,446472000,None,61000000,USD,17949000,-490000,17949000,-191639000,193596000,369000,1778000,7644000,-48500000,-17792000,-36110000,None,251000,None,291838000,None,None,4896000,711000,None,None,None,16.79,15.63
4,2019-06-30,USD,0,46349000,None,None,-46144000,-44498000,36676000,None,-44498000,None,9673000,None,-46349000,None,None,None,None,None,None,None,None,None,1851000,None,-44498000,-44498000,None,USD,507174000,None,None,None,65730000,441444000,None,None,7000,-230972000,None,None,1367000,148500000,27511000,None,None,496000,16221000,489586000,None,441444000,315495000,None,28281000,None,3030000,None,None,None,None,None,None,None,1367000,None,17588000,12167000,28281000,None,38219000,None,None,None,671913000,None,463995000,None,60000000,USD,-13884000,-1309000,-13884000,-210299000,30000000,28347000,-1778000,4058000,-44498000,-22347000,-36810000,None,205000,None,291469000,None,None,4675000,2380000,None,None,None,22.18,16.79
5,2019-03-31,USD,0,34017000,None,None,-32423000,-32611000,25983000,None,-32611000,None,8034000,None,-34017000,None,19000,None,1030000,1030000,None,None,None,None,376000,None,-32611000,-32611000,None,USD,515949000,None,None,None,35689000,480260000,None,None,7000,-186474000,None,None,2129000,170847000,25152000,2170000,2170000,79000,16032000,497788000,None,480260000,310374000,None,10537000,None,4548000,None,None,None,None,None,None,None,2129000,None,18161000,12707000,None,10537000,10537000,None,None,None,666648000,None,481221000,None,36000000,USD,-198142000,2132000,-198142000,-197795000,30000000,291344000,-1778000,-2118000,-32611000,65428000,-27774000,None,169000,None,291344000,None,None,4089000,347000,None,None,None,21.67,22.18
6,2018-12-31,USD,0,39807000,0,0,-39807000,-38794000,25872000,None,-38794000,None,13935000,None,-39807000,None,-4000,None,None,None,None,None,None,0,1013000,None,-38794000,-38794000,None,USD,239419000,None,None,200000,21121000,-120069000,2100000,None,2000,-153863000,718000,None,4273000,105219000,20403000,None,None,-61000,3193000,231953000,None,-120069000,123439000,None,None,None,2182000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,33853000,None,228658000,None,7000000,USD,-8359000,-1440000,-8681000,-141221000,30000000,-2144000,-2144000,4278000,-38794000,-35848000,-25023000,None,134000,None,303043000,None,None,10799000,322000,None,None,None,nan,21.67
7,2018-09-30,USD,0,41763000,0,0,-41763000,-49402000,18857000,None,-49402000,None,22906000,None,-41763000,None,-1000,None,None,None,None,None,None,0,-7639000,None,-49402000,-49402000,None,USD,262181000,None,None,200000,15592000,-91778000,None,11317000,2000,-115069000,653000,None,823000,141067000,14939000,None,None,235000,3007000,258351000,None,-91778000,115376000,None,None,None,3622000,None,None,None,338367000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,6000000,USD,-95139000,2742000,-105116000,None,30000000,229552000,-2144000,4590000,-49402000,108921000,-15515000,None,125000,None,None,None,None,26430000,1716000,None,None,None,nan,nan
8,2018-06-30,USD,0,8882000,0,0,-8882000,-29386500,5277000,None,-29386500,None,3605000,None,-8882000,None,-3500,None,None,None,None,None,None,0,-20504500,None,-29386500,-29386500,None,USD,54747000,None,None,200000,6710000,-60778000,None,None,1000,-65667000,465000,None,425000,32146000,6245000,None,None,3000,1414000,52908000,None,-60778000,20005000,None,None,None,880000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,6000000,USD,-10001000,391500,-15457000,None,-20000,36725500,-2144000,2034500,-29386500,16015500,-5253000,None,19000,None,None,None,None,21688500,726000,None,None,None,nan,nan
9,2018-03-31,USD,0,5228000,0,0,-5228000,-26037000,2624000,None,-26037000,None,2604000,None,-5228000,None,-1000,None,None,None,None,None,None,0,-20809000,None,-26037000,-26037000,None,USD,54747000,None,None,200000,6710000,-6862000,None,None,1000,-65667000,465000,None,425000,32146000,6245000,None,None,3000,1414000,52908000,None,-6862000,20005000,None,None,None,880000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,6000000,USD,-95139000,546000,10665000,None,-40000,71904000,-2144000,274000,-26037000,78861000,-3708000,None,6000,None,None,None,None,21503000,511000,None,None,None,nan,nan
10,2017-12-31,USD,0,0,0,0,0,0,6391000,None,-29386500,None,1153000,None,-8882000,None,118000,None,None,None,None,None,None,0,0,None,-29386500,-29386500,None,USD,445000,None,None,130000,7307000,None,None,1169000,None,None,1000,None,None,315000,1266000,None,None,None,None,None,None,None,None,None,6040000,None,97000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,-10001000,1124000,-15457000,None,-20000,6000000,None,2034500,0,16015500,-5253000,None,19000,None,None,None,None,21688500,726000,None,None,None,nan,nan
11,2017-09-30,USD,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0,None,None,None,nan,nan
12,2017-06-30,USD,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0,None,None,None,nan,nan
13,2017-03-31,USD,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0,None,None,None,nan,nan
14,2016-12-31,USD,None,None,None,None,None,None,None,None,None,None,83000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,60000,None,None,None,183000,None,None,103000,None,None,None,None,None,60000,143000,None,None,None,None,None,None,None,None,None,40000,None,40000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,None,103000,None,None,None,40000,None,None,None,None,20000,None,None,None,None,None,None,None,0,None,None,None,nan,nan
15,2016-09-30,USD,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0,None,None,None,nan,nan
16,2016-06-30,USD,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0,None,None,None,nan,nan
17,2016-03-31,USD,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0,None,None,None,nan,nan
