,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,134246000,85606000,93554000,40692000,-49906000,-50975000,34558000,None,-49906000,None,51048000,-4992000,-44914000,None,4671000,1069000,None,-4671000,None,None,None,1069000,-8812000,None,-50975000,-50975000,None,USD,555168000,2901000,None,23773000,423090000,132078000,None,22563000,943927000,-698236000,20984000,146459000,13564000,79679000,190127000,30000000,30000000,None,29180000,314101000,None,-17282000,0,68498000,154063000,142151000,137564000,None,None,943927000,None,-698236000,-113613000,None,62527000,None,241067000,66852000,154063000,78900000,232963000,None,None,None,None,555168000,79679000,None,None,USD,7500000,-25427000,6132000,None,None,-329000,-351000,1865000,-50975000,-37941000,-43744000,-1865000,4710000,None,22000,-29871000,-17374000,5876000,1368000,17374000,185000,-37756000,4.76,
1,2020-03-31,USD,119400000,94541000,80973000,38427000,-61129000,-63528000,32281000,None,-61129000,None,62260000,-5015000,-56114000,None,4843000,2399000,-4843000,-4843000,None,None,None,2399000,-136000,None,-63528000,-63528000,None,USD,623038000,3925000,None,24942000,445540000,177498000,None,23292000,938372000,-647261000,19186000,146459000,15013000,117435000,214611000,30000000,30000000,None,33670000,372885000,None,27114000,7495000,50991000,151392000,172022000,161319000,None,None,938372000,None,-647261000,-113613000,None,66099000,None,250153000,69222000,151392000,79537000,230929000,None,None,None,None,623038000,124930000,None,148000000,USD,7330000,-144517000,6097000,-438000,30000000,29884000,-2003000,1272000,-63528000,-32303000,-68284000,-1272000,5983000,None,1887000,27786000,149263000,7637000,795000,-149263000,-563000,-32866000,2.62,4.76
2,2019-12-31,USD,528345000,105725000,326520000,201825000,91892000,95820000,31679000,None,91892000,None,74046000,-4208000,96100000,None,5197000,-3928000,-5197000,-5197000,None,None,None,-3928000,989000,None,95820000,95820000,None,USD,792803000,5247000,None,25958000,559274000,233529000,None,24566000,930875000,-583733000,20452000,146459000,15461000,150301000,327051000,None,None,None,36539000,535976000,None,81823000,14847000,200634000,148810000,144236000,302485000,None,None,930875000,None,-583733000,-113613000,None,68582000,None,256827000,72060000,148810000,83413000,232223000,None,None,None,None,792803000,165148000,None,145000000,USD,21128000,-3271000,19090000,31119000,30000000,-820000,-820000,-650000,95820000,106521000,88251000,-11936000,-7787000,None,5574000,161352000,-128429000,7993000,2038000,14109000,764000,107285000,4.34,2.62
3,2019-09-30,USD,131169000,99630000,102737000,28432000,-75083000,-74810000,34940000,None,-75083000,None,64690000,-3885000,-71198000,None,4623000,-273000,-4623000,-4623000,None,None,None,-273000,738000,None,-74810000,-74810000,None,USD,687345000,7111000,None,24023000,555786000,131559000,None,20856000,924725000,-679553000,26381000,146459000,16528000,43016000,320602000,None,None,None,39727000,425008000,None,-22011000,35960000,71977000,146249000,250032000,299746000,None,None,924725000,None,-679553000,-113613000,None,69040000,None,262337000,71444000,146249000,88935000,235184000,None,None,None,None,687345000,78976000,None,146000000,USD,2991000,55723000,-1320000,9991000,30000000,-104000,-1801000,2928000,-74810000,-48099000,-46675000,875000,10886000,None,1697000,-120862000,72642000,8871000,4311000,72642000,-135000,-48234000,5.185,4.34
4,2019-06-30,USD,292429000,109132000,190244000,102185000,-11892000,-11287000,38811000,None,-11892000,None,70321000,-4945000,-6947000,None,4882000,-605000,-4882000,-4882000,None,None,None,-605000,-975000,None,-11287000,-11287000,None,USD,698595000,8974000,None,25457000,501900000,196695000,None,22941000,915051000,-604743000,29604000,146459000,18173000,91250000,263570000,None,None,None,40881000,429386000,None,41262000,38860000,144649000,143786000,129170000,240629000,None,None,915051000,None,-604743000,-113613000,None,72895000,None,269209000,74181000,143786000,94544000,238330000,None,None,None,None,698595000,130110000,None,145000000,USD,7659000,25398000,6384000,7000000,30000000,-1259000,-1324000,-553000,-11287000,4089000,-1036000,-863000,11551000,None,65000,-10200000,-26742000,11107000,1275000,-26742000,220000,4309000,5.46,5.185
5,2019-03-31,USD,242708000,100635000,162361000,80347000,-23987000,-24365000,37464000,None,-23987000,None,63171000,-3699000,-20288000,None,4527000,378000,-4527000,-4527000,None,None,None,378000,925000,None,-24365000,-24365000,None,USD,670838000,10983000,None,26402000,472282000,198556000,None,24927000,905625000,-593456000,23079000,146459000,16793000,86941000,233974000,10862000,10862000,None,42680000,396454000,None,41114000,46319000,117822000,141342000,118970000,209047000,None,None,905625000,None,-593456000,-113613000,None,74262000,None,274384000,84749000,141342000,96966000,238308000,None,None,None,None,670838000,133260000,None,143000000,USD,-659000,-74640000,-1383000,-659000,None,1139000,-2673000,5761000,-24365000,-65228000,-64984000,4438000,11618000,None,3812000,-2512000,11260000,9217000,724000,11260000,74000,-65154000,6.5,5.46
6,2018-12-31,USD,377378000,343194000,235239000,142139000,34184000,31671000,36173000,0,33326000,0,71782000,None,34184000,0,-4879000,None,None,None,0,0,0,1655000,-858000,0,31671000,31671000,None,USD,698359000,13065000,None,30887000,486247000,212112000,None,15129000,894755000,-569030000,47756000,146459000,18195000,152095000,299499000,None,None,None,46567000,474073000,None,52588000,45417000,129216000,138992000,116458000,284370000,None,None,894755000,None,-569030000,-113613000,None,18195000,None,224286000,None,138992000,47756000,186748000,None,None,None,None,698359000,197512000,None,139000000,USD,-40335000,-33933000,-38135000,5000000,None,1226000,1188000,3187000,31671000,9054000,45963000,3863000,9414000,None,38000,6791000,20352000,7805000,2800000,20352000,-205000,8849000,4.24,6.5
7,2018-09-30,USD,285936000,112386000,194904000,91032000,-25309000,-27089000,41157000,0,-25309000,0,71229000,-3955000,-21354000,0,-4616000,None,None,None,0,0,0,1780000,-7971000,0,-27089000,-27089000,None,USD,688573000,15147000,None,31958000,516527000,172046000,0,14418000,886360000,-600701000,48180000,146459000,21026000,143246000,331688000,None,None,None,53043000,452898000,None,10440000,4996000,149449000,136659000,123249000,317270000,0,0,886360000,0,-600701000,-113613000,None,21026000,None,235675000,None,136659000,48180000,184839000,None,None,None,None,688573000,148242000,None,140000000,USD,35000000,83921000,33578000,0,None,-3515000,-5436000,8728000,-64358000,38778000,8715000,2715000,24854000,0,1921000,9370000,-32876000,20302000,1422000,-68089000,-519000,38259000,7.2,4.24
8,2018-06-30,USD,282677000,312741000,199305000,83372000,-30064000,-37269000,38080000,0,-36563000,0,75356000,None,-30064000,0,-4621000,None,None,None,0,0,0,706000,-6499000,0,-37269000,-37269000,None,USD,625555000,18511000,None,37657000,437840000,187715000,0,59619000,874939000,-573611000,47876000,146459000,23900000,114843000,255548000,134416000,134416000,None,56566000,380119000,None,22745000,24951000,116573000,134416000,86095000,115117000,0,0,0,0,0,-113613000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,139000000,USD,15000000,6919000,14904000,0,None,-3585000,-2450000,-2663000,-37269000,9856000,-1048000,None,6173000,0,3425000,46524000,-35213000,14481000,96000,None,None,None,6.44,7.2
9,2018-03-31,USD,202346000,119655000,157430000,44916000,-79129000,-76347000,50979000,0,-79129000,0,68676000,-4390000,-74739000,0,-4567000,None,None,None,0,0,0,-2782000,-21128000,0,-76347000,-76347000,None,USD,648874000,21844000,None,32703000,432797000,216077000,0,15235000,866033000,-536343000,50894000,146459000,26194000,104987000,249714000,132189000,132189000,None,62791000,391586000,None,47774000,39846000,81431000,132189000,132619000,234479000,0,0,866033000,0,-536343000,-113613000,None,26194000,None,257288000,None,132189000,50894000,183083000,None,None,None,None,648874000,144833000,None,138000000,USD,5104000,-120388000,-1678000,0,None,808000,-2402000,26138000,-76347000,-97982000,-97112000,26138000,8907000,0,3210000,17932000,31277000,15369000,6782000,31277000,465000,-97517000,4.79,6.44
10,2017-12-31,USD,334796000,138097000,255010000,79786000,-62791000,-55848000,52504000,0,-62759000,0,85593000,-4480000,-58311000,0,4508000,None,None,None,0,0,0,-6943000,-33219000,0,-55816000,-55848000,None,USD,850246000,24499000,None,62811000,551541000,298705000,0,19244000,854452000,-442134000,50580000,146459000,207972000,202504000,370531000,130048000,130048000,None,68587000,573687000,None,127747000,44886000,112935000,130048000,150551000,351287000,0,0,854452000,0,-442134000,-113613000,None,37014000,None,276559000,None,130048000,50962000,181010000,None,None,None,None,850246000,247390000,None,138000000,USD,-12901000,65175000,-18649000,0,-1000,-712000,-839000,9303000,-55848000,37629000,56990000,4453000,9218000,0,128000,26639000,52278000,19949000,5748000,-12596000,259000,37888000,7.57,4.79
11,2017-09-30,USD,329805000,122497000,199259000,130546000,3817000,14661000,55098000,0,3817000,0,67399000,-4232000,8049000,0,4554000,None,None,None,0,0,0,-10844000,0,0,14661000,14661000,None,USD,825429000,26860000,None,36471000,485159000,340270000,0,16301000,840169000,-386286000,48548000,146459000,240984000,164616000,308750000,127861000,127861000,None,74196000,510249000,None,166951000,31946000,100026000,127861000,177190000,292449000,0,0,840169000,0,-386286000,-113613000,None,67665000,None,315180000,None,127861000,48548000,176409000,None,None,None,None,825429000,196562000,None,140000000,USD,-31918000,73500000,-40119000,0,-713000,-788000,-3069000,-1783000,14661000,14616000,55523000,-1783000,9100000,0,2994000,-50482000,64874000,14974000,8201000,-4447000,245000,14861000,11.01,7.57
12,2017-06-30,USD,296526000,130615000,190894000,105632000,-28545000,-30536000,55497000,0,-28545000,0,75118000,-3562000,-24983000,0,3784000,None,None,None,0,0,0,1991000,0,0,-30536000,-30536000,None,USD,721971000,29001000,None,29515000,409149000,312822000,0,15036000,827382000,-400947000,40771000,146459000,248288000,149755000,242561000,125817000,125817000,None,71833000,401850000,None,137362000,0,95872000,125817000,126708000,227525000,0,0,827382000,0,-400947000,-113613000,None,72828000,None,320121000,None,125817000,40771000,166588000,None,None,None,None,721971000,149755000,None,136000000,USD,-31918000,-71576000,-4946000,0,169750000,90414000,-1927000,21569000,-30536000,74040000,-11428000,21569000,11467000,0,-77409000,81027000,69321000,16888000,4946000,-40267000,838000,74878000,8.13,11.01
13,2017-03-31,USD,218614000,156781000,150048000,68566000,-88868000,-111150000,66166000,0,-88900000,0,90615000,-653000,-88215000,0,814000,None,None,None,0,0,0,22282000,0,0,-111182000,-111150000,None,USD,714696000,31142000,None,46241000,349245000,365451000,0,13884000,771475000,-370411000,35331000,146459000,257432000,74877000,313914000,None,None,None,73118000,384146000,None,187850000,0,55293000,0,207735000,300030000,0,0,771475000,0,-370411000,-35613000,None,79831000,None,330550000,None,None,35331000,35331000,None,None,None,None,714696000,74877000,None,143000000,USD,25783000,-106261000,20617000,0,175000000,-320000,-6358000,-14936000,-111150000,-117641000,-137938000,-14936000,11693000,0,6038000,-40543000,109588000,13671000,5166000,109588000,404000,-117237000,8.7,8.13
