,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,395646000,209339000,258420000,137226000,-73808000,-72117000,None,None,-73808000,995000,168861000,-1695000,-72113000,None,8009000,-696000,1430000,-6579000,None,40478000,None,-1691000,-35594000,None,-73112000,-72117000,None,USD,1369319000,31977000,None,52088000,1251835000,117831000,22290000,394835000,4000,-1318594000,45795000,211718000,31474000,784688000,886903000,200000000,200000000,29488000,90331000,891359000,34403000,-125864000,None,54583000,221992000,9101000,292068000,None,None,4000,None,-1318594000,-922666000,None,109531000,None,477960000,139588000,221992000,142940000,364932000,None,None,None,2329599000,1369319000,784688000,None,28683560,USD,-14344000,18795000,-14344000,1224000,47406000,42862000,-569000,99694000,-72117000,117856000,87112000,None,24434000,None,0,None,-8752000,21451000,15568000,None,None,None,18.12,
1,2020-03-31,USD,374150000,440174000,172903000,201247000,-183981000,-213522000,None,None,-216848000,309000,267271000,None,-66024000,None,6958000,-5988000,2556000,-4402000,382000,None,None,-5988000,-146422000,382000,-210860000,-213522000,None,USD,1282606000,33096000,None,16315000,1091099000,191198000,20400000,76213000,77000,-1246477000,35830000,211255000,28945000,666867000,729221000,150000000,150000000,37120000,196211000,779400000,33699000,-53153000,None,45430000,218385000,12932000,337124000,None,None,None,None,None,-922666000,None,28945000,None,503206000,145991000,222228000,5071000,361878000,None,None,None,2323144000,None,666867000,None,None,USD,19564000,5860000,19564000,1224000,147293000,141312000,-3845000,-223108000,-213522000,-84706000,-236408000,None,25909000,None,0,None,8334000,156603000,12041000,None,None,None,0.9802,18.12
2,2019-12-31,USD,612316000,269936000,302275000,310041000,79378000,77041000,None,None,79378000,1110000,269905000,39273000,40105000,None,6431000,170000,1934000,-4497000,435000,31000,None,8852000,43739000,435000,79208000,77041000,None,USD,1586743000,35292000,None,82073000,1191697000,393936000,12533000,540940000,77000,-1032876000,39156000,325017000,28605000,750887000,821547000,None,None,39081000,124950000,887913000,76576000,33627000,None,54953000,214869000,25426000,280607000,None,None,77000,None,-1032876000,-922666000,None,136995000,None,698830000,156893000,214869000,110294000,44987000,None,None,None,2310320000,1586743000,750887000,None,567000000,USD,3475000,36148000,-12700000,-701000,-2819000,-10666000,-6949000,114619000,79643000,178035000,201401000,105773000,27788000,None,-3717000,None,996000,30696000,15474000,996000,None,178035000,2.39,0.9802
3,2019-09-30,USD,495612000,273303000,217672000,277940000,-12616000,-16685000,None,None,-12616000,756000,273303000,-17253000,4637000,None,6029000,2069000,1959000,-4070000,None,None,None,4069000,-13183000,435000,-14685000,-16685000,None,USD,1370702000,36497000,None,81667000,1069576000,300370000,12849000,428177000,76000,-1109917000,43108000,319557000,26274000,567285000,688766000,None,None,38877000,133071000,705046000,38124000,-55684000,None,56094000,211441000,27422000,260589000,None,None,76000,None,-1109917000,-922666000,None,138407000,None,665656000,158807000,211441000,118408000,50961000,None,None,None,2294000000,1370702000,567285000,None,563292929,USD,-19541000,-24034000,-19541000,-1848000,-50000,-22595000,-7984000,-27820000,-14685000,-23552000,18584000,-24473000,29214000,None,-14561000,None,17892000,19985000,17693000,17892000,None,-23552000,2.66,2.39
4,2019-06-30,USD,532577000,299271000,240445000,292132000,-35633000,-40246000,None,None,-35633000,2601000,299271000,-28494000,-7139000,None,5442000,2012000,1915000,-3527000,None,None,None,2012000,-24967000,435000,-37645000,-40246000,None,USD,1439208000,38996000,None,91056000,1133069000,305330000,10200000,464125000,76000,-1093232000,44264000,324705000,24435000,596837000,749703000,None,None,34485000,134672000,762599000,39301000,-58371000,None,74706000,208100000,29235000,285578000,None,None,76000,None,-1093232000,-907599000,None,138935000,None,676609000,164559000,208100000,121526000,53740000,None,None,None,2271600000,1439208000,596837000,None,566664464,USD,-17235000,-2267000,-17235000,-551000,-2334000,-31581000,-11013000,-59359000,-37645000,-50035000,-1219000,-92713000,30372000,-3113000,-18234000,None,8889000,54500000,16684000,8889000,None,-50035000,3.58,2.66
5,2019-03-31,USD,578410000,303821000,272394000,306016000,-44660000,-42487000,None,None,-44660000,3479000,303821000,-46855000,2195000,None,5691000,-3490000,-46842000,-3755000,2162000,None,None,-3490000,-43100000,2162000,-41170000,-42487000,None,USD,1506012000,42659000,None,82686000,1163616000,341075000,10500000,512728000,76000,-1052986000,42981000,324579000,20236000,645610000,794100000,30210000,30210000,37915000,136570000,811954000,66913000,-26163000,None,83658000,204844000,30652000,281372000,None,None,76000,None,-1052986000,-892546000,None,123337000,None,694058000,153805000,204844000,110999000,53673000,None,None,None,2248616000,1506012000,645610000,None,567982801,USD,-18115000,-53319000,-18115000,-638000,-6756000,-27777000,-11846000,-168609000,-39008000,-193375000,-147483000,-169374000,31591000,-3521000,-15931000,None,-14200000,57819000,17477000,-14200000,None,-193375000,3.55,3.58
6,2018-12-31,USD,799927000,304193000,433858000,366069000,48700000,46228000,0,0,48700000,3634000,304248000,-13176000,61876000,0,-5475000,-1162000,None,None,0,-55000,0,-1162000,-13121000,2162000,49862000,46228000,None,USD,1642142000,45401000,None,88115000,1259531000,381248000,11300000,651781000,76000,-1010499000,88207000,325491000,20989000,841021000,957174000,None,None,34602000,143117000,998629000,108515000,10356000,None,69493000,201669000,33739000,305393000,None,None,76000,None,-1010499000,-877491000,None,20989000,None,643513000,None,201669000,None,100688000,None,None,None,2234560000,1642142000,841021000,None,567000000,USD,8594000,35584000,-17497000,-1413000,-7734000,-35069000,-14495000,192175000,49862000,271250000,323816000,228292000,31938000,-3260000,-12840000,None,11840000,16478000,16084000,11840000,None,271250000,3.2,3.55
7,2018-09-30,USD,592883000,252966000,286894000,305989000,48163000,44615000,0,0,48163000,2560000,252931000,-4860000,53023000,0,-5713000,None,None,None,0,35000,0,988000,35505000,2162000,47175000,44615000,None,USD,1403920000,49032000,None,98169000,1072280000,330651000,0,484626000,76000,-1056727000,90319000,327430000,19250000,572358000,771162000,None,None,32329000,146897000,752005000,109306000,-45811000,2649000,81478000,198575000,31737000,286536000,331640000,2222423000,76000,0,-1056727000,-867450000,None,19250000,None,651915000,None,198575000,None,102543000,None,None,None,2222423000,1403920000,572358000,None,576000000,USD,8037000,-103009000,-22389000,-14889000,-8050000,-9720000,-2500000,-137874000,47175000,-89498000,-57389000,5616000,31385000,-2376000,830000,0,-7079000,15382000,16094000,-7079000,None,-89498000,3.77,3.2
8,2018-06-30,USD,617396000,387903000,293738000,323658000,-90702000,-95034000,0,0,-90702000,2780000,388302000,-26457000,-64245000,0,-5228000,None,None,None,0,-399000,0,1552000,-101661000,2162000,-92254000,-95034000,None,USD,1488700000,37075000,None,104524000,1217563000,270332000,0,528224000,76000,-1101342000,90245000,328799000,21051000,662893000,918769000,232357000,232357000,32307000,148450000,843719000,109606000,-95542000,8517000,76302000,195559000,28307000,390545000,271137000,2206741000,76000,0,-1101342000,-867450000,None,21051000,None,644981000,None,195559000,None,103235000,None,None,None,2206741000,1488700000,662893000,None,565000000,USD,557000,91705000,-75714000,-58341000,-8215000,-18729000,-6959000,67319000,-92254000,-50268000,44175000,-117639000,31894000,-3625000,-3555000,0,9673000,28542000,17373000,9673000,None,-50268000,4.3,3.77
9,2018-03-31,USD,626540000,321500000,301655000,324885000,-5130000,-6888000,0,0,-5130000,4093000,321217000,-8515000,3385000,0,-5493000,None,None,None,0,283000,0,-2335000,-8750000,0,-2795000,-6888000,None,USD,1502928000,16925000,None,89282000,1152556000,348722000,0,568570000,75000,-1006308000,86599000,289945000,23206000,725909000,857890000,230090000,230090000,29936000,146717000,896762000,129373000,41852000,4332000,81571000,192619000,24771000,289320000,350372000,2192469000,75000,0,-1006308000,-867450000,None,23206000,None,606166000,None,192619000,None,102047000,None,None,None,2192469000,1502928000,725909000,None,562000000,USD,8594000,-49905000,-20382000,-238000,-9024000,-20899000,-10994000,-177400000,-2795000,-161028000,-119747000,-138631000,32527000,-3315000,-881000,0,17623000,18639000,20144000,17623000,None,-161028000,4.34,4.3
