,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,KRW,88458000000.0,72145000000.0,51098000000.0,37360000000.0,16940000000.0,13095000000.0,3254000000.0,None,16335000000.0,514000000.0,17643000000.0,None,16313000000.0,150000000.0,605000000.0,3293000000,627000000,22000000,None,None,None,3293000000.0,None,None,13042000000.0,13095000000.0,None,KRW,210064000000.0,None,None,2558000000.0,70065000000.0,139485000000.0,None,2788000000.0,3474000000.0,107026000000,4401000000.0,None,12296000000.0,94066000000.0,65664000000.0,None,None,1875000000,7893000000.0,186191000000,1785000000,137586000000,37500000000.0,48910000000,None,None,43914000000.0,None,None,None,None,None,None,None,2050000000,None,23873000000,None,None,4058000000,4401000000,None,None,None,None,None,None,None,None,KRW,None,None,None,None,None,None,None,None,13095000000,None,None,None,None,None,None,None,None,None,0,None,None,None,55.2,
1,2020-03-31,KRW,73260000000.0,62904000000.0,48874000000.0,24386000000.0,11907000000.0,9263000000.0,2872000000.0,None,11250000000.0,492000000.0,11007000000.0,None,10356000000.0,151000000.0,657000000.0,2004000000,1551000000,894000000,None,None,None,2004000000.0,None,None,9246000000.0,9263000000.0,None,KRW,192930000000.0,1571000000,None,3869000000.0,66328000000.0,126110000000.0,None,2781000000.0,3474000000.0,93931000000,4528000000.0,None,10830000000.0,82502000000.0,61800000000.0,None,None,1577000000,8576000000.0,170182000000,1771000000,124539000000,40500000000.0,40748000000,None,None,42029000000.0,None,None,None,None,None,None,None,1788000000,None,22748000000,None,None,4430000000,4528000000,None,None,None,27128000000,None,123002000000,None,7000000,KRW,None,0,None,None,None,None,None,None,9263000000,None,None,None,None,None,None,None,None,None,0,None,None,None,29.97,55.2
2,2019-12-31,KRW,71651000000.0,69852000000.0,51635000000.0,20016000000.0,2430000000.0,303000000.0,2845000000.0,0,1617000000.0,221351000.0,15491000000.0,0,1799000000.0,1881869000.0,813000000.0,1334000000,631000000,-182000000,0,0,0,1334299000.0,0,0,283000000.0,302981000.0,0,KRW,175425000000.0,1717000000,None,2664000000.0,59659000000.0,115544000000.0,0,1986000000.0,3474450000.0,84668000000,863568000.0,0,9411648000.0,79428000000.0,55787000000.0,0,0,274538000,6663444000.0,155863000000,1770000000,113827679000,39500000000.0,32253000000,0,0,37496000000.0,0,0,0,0,0,0,0,1745000000,0,19562000000,0,0,3576000000,3872000000,0,0,0,27128000000,0,118928000000,0,7000000,KRW,0,0,0,0,0,0,0,0,303000000,0,0,0,0,0,0,0,0,0,0,0,0,0,37.4,29.97
3,2019-09-30,KRW,77566000000.0,67340000000.0,56058000000.0,21508000000.0,11579000000.0,8952000000.0,2349000000.0,0,11213000000.0,-365000000.0,8984000000.0,0,10226000000.0,-51000000.0,366000000.0,2357000000,1353000000,987000000,0,0,0,2357000000.0,0,0,8856000000.0,8952000000.0,0,KRW,186201000000.0,1568000000,None,3749000000.0,70172000000.0,116394000000.0,0,1889000000.0,3474000000.0,84978000000,4858000000.0,0,10593000000.0,88759000000.0,65314000000.0,0,0,814000000,6833000000.0,165545000000,1662000000,114826000000,31500000000.0,39409000000,0,0,44258000000.0,0,0,0,0,0,0,0,1727000000,0,20656000000,0,0,3564000000,4858000000,0,0,0,27128000000,0,120259000000,0,7000000,KRW,0,0,0,0,0,0,0,0,8952000000,0,0,0,0,0,0,0,0,0,0,0,0,0,33.6,37.4
4,2019-06-30,KRW,78127000000.0,65129000000.0,56858000000.0,21269000000.0,14139000000.0,10861000000.0,2432000000.0,0,14037000000.0,-459000000.0,5733000000.0,0,12998000000.0,106000000.0,102000000.0,3208000000,1141000000,1039000000,0,0,0,3208000000.0,0,0,10829000000.0,10861000000.0,0,KRW,168236000000.0,1687000000,None,2390000000.0,61778000000.0,106917000000.0,0,2135000000.0,3474000000.0,76026000000,4361000000.0,0,8446000000.0,88664000000.0,57417000000.0,0,0,277000000,5843000000.0,150706000000,1554000000,105230000000,22500000000.0,34817000000,0,0,38350000000.0,0,0,0,0,0,0,0,1411000000,0,17530000000,0,0,2401000000,4361000000,0,0,0,27140000000,0,111164000000,0,7000000,KRW,0,0,0,0,0,0,0,0,10861000000,0,0,0,0,0,0,0,0,0,0,0,0,0,46.15,33.6
5,2019-03-31,KRW,133623000000.0,109983000000.0,101237000000.0,32386000000.0,24702000000.0,19760000000.0,1877000000.0,0,24389000000.0,-432000000.0,6665000000.0,0,23640000000.0,204000000.0,313000000.0,4627000000,749000000,749000000,0,0,0,4627000000.0,0,0,19762000000.0,19760000000.0,0,KRW,198031000000.0,1022000000,None,1672000000.0,102008000000.0,96023000000.0,0,1926000000.0,3474000000.0,65165000000,5137000000.0,0,10072000000.0,111830000000.0,97303000000.0,0,0,244000000,5148000000.0,181789000000,1497000000,95001000000,15500000000.0,50691000000,0,0,75127000000.0,0,0,0,0,0,0,0,1597000000,0,16242000000,0,0,2490000000,5137000000,0,0,0,27140000000,0,127330000000,0,7000000,KRW,0,0,0,0,0,0,0,0,19760000000,0,0,0,0,0,0,0,0,0,0,0,0,0,64.43,46.15
6,2018-12-31,KRW,81.84,71.9,65.99,15.85,9.94,10.82,1.91,0,9.65,-0.44,4.28,0,9.94,-0.28,-0.52,-1606000000,None,None,0,0,0,-1.16,-0.29,0,10.81,10.82,0,KRW,125.16,0.84,None,2.33,70.56,55.04,0,14.86,2.51,32.82,2.96,0,6.4,62.19,67.59,0,0,0.10,1.08,115.76,1.08,54.20,6.87,44.03,0,0,51.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21858.56,0,76953.96,0,0,USD,0,0,0,0,0,0,0,0,13431750.87,0,0,0,0,0,0,0,0,0,0,0,0,0,41.95,64.43
7,2018-09-30,USD,39686287.89,33325851.17,26761600.34,12924687.54,6360436.72,5667289.18,1580232.73,0,6580412.3,-535124.26,5029808.94,0,6360436.72,-45790.83,-647356.7,None,None,None,0,0,0,919408.13,219975.58,0,5661004.17,5667289.18,0,USD,88669013.07,472274.10,None,1837918.4,34493966.38,54710170.95,0,12464085.62,3119163.91,27329047.55,4386941.53,0,3741380.55,37960601.93,30107024.85,0,0,-105947.42,1450043.1,81665708.95,1339606.38,54237896.85,21099698.32,18746408.56,0,0,16807929.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7000000,USD,0,0,0,0,0,0,0,0,5667289.18,0,0,0,0,0,0,0,0,0,0,0,0,0,17.9,41.95
8,2018-06-30,USD,56329543.83,0.0,38565351.07,17764192.76,7438688.69,5912162.16,1556914.06,0,7723795.22,-538038.04,8463820.96,0,7438688.69,304769.05,-512119.26,None,None,None,0,0,0,1825039.33,285106.54,0,5898755.9,5912162.16,0,USD,96702059.2,464750.46,None,1635564.14,48368904.62,48871192.62,0,16163484.91,3104890.6,21562634.06,5430430.43,0,3359609.61,39687902.19,42938474.19,0,0,-74181.32,1187794.94,90391284.14,1298620.05,48406442.16,21003146.0,25068818.82,0,0,25943800.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7000000,USD,0,0,0,0,0,0,0,0,5912162.16,0,0,0,0,0,0,0,0,0,0,0,0,0,58.42,17.9
9,2018-03-31,USD,62725604.45,58166218.93,43308486.89,19417117.56,4559385.52,3357107.72,1772673.96,0,4840326.91,-555261.27,13079382.5,None,4559385.52,5675.58,-277157.67,None,None,None,0,0,0,1506867.46,280941.39,0,3333459.46,3357107.72,None,USD,105747474.37,895796.28,None,2437663.17,60549018.12,45753717.51,0,17259449.85,3286162.93,16564190.85,6192061.75,0,3538726.4,27972113.97,54356956.37,0,0,208104.73,919444.55,99084339.17,1309167.96,44857921.22,26321465.06,39958000.68,0,0,36179953.84,0,0,0,0,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,0,0,0,0,0,0,0,0,3357107.72,0,0,None,0,0,0,0,0,0,0,None,None,None,83.3225,58.42
