,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,6621000,8745000,3571000,3050000,-5589000,-6076000,5825000,None,-5589000,None,2920000,106000,-5695000,None,None,487000,114000,114000,None,None,None,487000,-8000,None,-6076000,-6076000,None,USD,98555000,2431000,None,1711000,11871000,86684000,None,405000,24000,43295000,4256000,7978000,130000,50970000,7531000,None,None,96000,7870000,74818000,4863000,76275000,13596000,3838000,None,4703000,7126000,None,None,24000,None,43295000,None,None,595000,None,23737000,489000,None,4340000,4340000,None,None,None,43269000,98555000,64566000,None,23607773,USD,750000,-1046000,700000,None,None,2339000,None,-717000,-6076000,-536000,-3575000,214000,355000,None,2339000,-580000,2475000,1083000,50000,2475000,None,-536000,7.18,
1,2020-03-31,USD,8535000,8390000,4052000,4483000,-3688000,-3824000,5587000,None,-3759000,None,2803000,219000,-3907000,None,None,65000,173000,173000,None,None,None,65000,-25000,None,-3824000,-3824000,None,USD,102561000,2489000,None,1934000,12920000,89641000,None,498000,23000,49371000,4518000,7978000,128000,51506000,8260000,None,None,71000,8119000,79113000,4117000,79174000,15061000,6330000,None,4282000,7762000,None,None,23000,None,49371000,None,None,745000,None,23448000,640000,None,4660000,4660000,None,None,None,40176000,102561000,66567000,None,23229286,USD,6542000,-739000,6476000,10302000,None,520000,-428000,-154000,-3824000,3535000,-3461000,633000,369000,None,520000,156000,-947000,891000,66000,-947000,None,3535000,6.96,7.18
2,2019-12-31,USD,10049000,10792000,4000000,6049000,-4536000,-4620000,8208000,None,-4536000,None,2584000,207000,-4743000,None,None,84000,190000,190000,None,None,None,84000,17000,None,-4620000,-4620000,None,USD,105911000,2547000,None,2548000,13664000,92247000,None,575000,23000,53195000,4420000,7978000,162000,47971000,9014000,None,None,17000,8355000,80781000,5322000,81722000,20343000,5398000,None,4521000,8439000,None,None,23000,None,53195000,None,None,928000,None,25130000,805000,None,4650000,4650000,None,None,None,39012000,105911000,68314000,None,23132998,USD,1460000,1095000,2289000,1000000,None,52000,-428000,1572000,-4620000,2247000,-94000,-311000,352000,None,480000,400000,2115000,875000,171000,2115000,None,2247000,7.09,6.96
3,2019-09-30,USD,11740000,13663000,5172000,6568000,-1561000,-1768000,5833000,None,-1713000,None,2658000,210000,-1923000,None,None,55000,215000,215000,None,None,None,55000,-5000,None,-1768000,-1768000,None,USD,108767000,2606000,None,1000000,12998000,95769000,None,620000,23000,57815000,4392000,7978000,160000,45724000,8277000,None,None,28000,9391000,83844000,4788000,85185000,22352000,7488000,None,5045000,1924000,None,None,23000,None,57815000,None,None,11657000,None,24923000,949000,None,3766000,4721000,None,None,None,37903000,108767000,68076000,None,23000000,USD,-1631000,250000,-1631000,1000000,None,799000,-428000,193000,-1768000,-711000,121000,-230000,362000,None,3149000,371000,-115000,693000,61000,-115000,None,-711000,8.76,7.09
4,2019-06-30,USD,13019000,8472000,4776000,8243000,-82000,-125000,5595000,None,-82000,None,2877000,147000,-229000,None,None,43000,205000,205000,None,None,None,43000,-58000,None,-125000,-125000,None,USD,108266000,2664000,None,3009000,12184000,96082000,None,559000,23000,59583000,4364000,7978000,160000,46435000,7440000,None,None,14000,8726000,80564000,7264000,85440000,18282000,7375000,None,5463000,6881000,None,None,23000,None,59583000,None,None,1070000,None,27702000,939000,None,4744000,4744000,None,None,None,36462000,108266000,64717000,None,22898188,USD,2870000,-1965000,2837000,1000000,None,2350000,-428000,-2298000,-125000,3940000,-1247000,-523000,357000,None,2350000,133000,-27000,903000,33000,-27000,None,3940000,8.57,8.76
5,2019-03-31,USD,12686000,8135000,4916000,7770000,-179000,-102000,5582000,None,-179000,None,2553000,186000,-365000,None,None,-77000,186000,183000,None,None,None,-77000,3000,None,-102000,-102000,None,USD,106223000,2722000,None,2500000,13068000,93155000,None,907000,22000,59708000,4335000,7978000,160000,42495000,8733000,None,None,-37000,9001000,77365000,8997000,82455000,19346000,7339000,None,5685000,8733000,None,None,22000,None,59708000,None,None,160000,None,28858000,None,None,4335000,4335000,None,None,None,33462000,106223000,61841000,None,22320156,USD,-1500000,201000,-1642000,-1384000,None,1399000,-1084000,760000,-102000,1966000,2209000,75000,370000,None,1399000,-57000,822000,900000,142000,822000,None,1966000,7.77,8.57
6,2018-12-31,USD,14702000,7803000,4663000,10039000,2332000,2262000,5171000,None,2332000,None,2632000,96000,2236000,None,0,None,None,None,None,None,None,70000,96000,None,2262000,2262000,None,USD,104077000,2781000,None,2558000,12870000,91207000,None,854000,22000,59810000,4657000,7978000,198000,40529000,8213000,None,None,-108000,9184000,73753000,10183000,80448000,16557000,8160000,None,5949000,8213000,None,None,22000,None,59810000,None,None,198000,None,30324000,None,None,4657000,4657000,None,None,None,31483000,104077000,57086000,None,21992084,USD,914000,-888000,1372000,750000,None,-150000,-364000,-659000,2262000,2639000,1417000,148000,361000,None,214000,-817000,-317000,668000,292000,-317000,None,2639000,5.14,7.77
7,2018-09-30,USD,12832000,8425000,4801000,8031000,-249000,-351000,5752000,None,-249000,None,2673000,145000,-394000,None,0,None,None,None,None,None,None,102000,145000,None,-351000,-351000,None,USD,102346000,2839000,None,2454000,14225000,88121000,0,720000,22000,57548000,5443000,7978000,1200000,37890000,8782000,None,None,-126000,9312000,72057000,8960000,77304000,18662000,7839000,0,5212000,8782000,0,0,22000,0,57548000,0,None,1200000,None,30289000,None,None,5443000,5443000,None,None,None,30677000,102346000,56552000,None,21947624,USD,500000,2252000,83000,750000,None,-30000,-720000,1502000,-351000,1464000,1411000,-339000,360000,0,690000,-187000,-1008000,684000,417000,-1008000,None,1464000,6.9,5.14
8,2018-06-30,USD,11266000,7447000,5478000,5788000,-1636000,-1646000,4850000,None,-1636000,None,2597000,23000,-1659000,None,0,None,None,None,None,None,None,10000,23000,None,-1646000,-1646000,None,USD,100037000,2911000,None,2114000,12833000,87204000,0,1434000,22000,57899000,5379000,7978000,1201000,36426000,7454000,None,None,-152000,9332000,66694000,11921000,76315000,16166000,6847000,0,5141000,7454000,0,0,22000,0,57899000,0,None,1201000,None,33343000,None,None,5379000,5379000,None,None,None,29435000,100037000,52592000,None,21760094,USD,-2048000,-64000,-3287000,750000,None,1503000,-720000,-294000,-1646000,-3815000,-2031000,-28000,327000,0,1503000,-272000,-1596000,1248000,1239000,-1596000,None,-3815000,7.52,6.9
9,2018-03-31,USD,11191000,6400000,4902000,6289000,-2000,265000,4272000,0,-2000,0,2128000,109000,-111000,0,0,None,None,None,0,0,0,-267000,575000,0,265000,265000,None,USD,99540000,2989000,None,2080000,12725000,86815000,0,121000,21000,59545000,5321000,7978000,1207000,40241000,7404000,None,None,-142000,8172000,71271000,7923000,75848000,18124000,5279000,0,5547000,7283000,0,0,21000,0,59545000,0,None,1207000,None,28269000,None,None,5321000,5321000,None,None,None,27391000,99540000,58365000,None,21407247,USD,-855000,-971000,-1727000,12000,-862000,558000,-12000,-892000,265000,501000,1670000,2000,311000,0,570000,853000,285000,925000,884000,285000,None,501000,7.41,7.52
