,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-31210000,None,USD,None,None,None,None,None,None,None,None,4000,-399086000,None,None,1798000,None,None,None,None,None,11708000,None,None,203845000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,None,-1860000,None,None,20000000,None,-525000,358000,None,None,-28848000,None,None,None,None,None,None,3618000,0,None,None,None,24.26,
1,2020-03-31,USD,0,31821000,None,None,-31662000,-31023000,20434000,None,-31023000,None,11387000,None,-31821000,None,None,None,None,None,None,None,None,None,798000,None,-31023000,-31023000,None,USD,256514000,None,None,63000,27064000,229450000,None,1063000,4000,-367876000,None,None,437000,242402000,18448000,None,None,None,12488000,243589000,None,229450000,None,None,None,None,4703000,None,None,None,None,None,-8000,None,437000,None,12925000,8616000,None,None,8616000,None,None,None,597330000,None,242402000,None,38000000,USD,0,992000,None,None,20000000,219000,-525000,-1888000,-31023000,-26806000,-27025000,None,159000,None,219000,None,None,4735000,0,None,None,None,11.02,24.26
2,2019-12-31,USD,0,36552000,-64510000,64510000,-36411000,-35441000,24492000,None,-35441000,None,12060000,None,-36552000,None,None,None,None,None,None,None,None,None,1111000,None,-35441000,-35441000,None,USD,284831000,None,None,63000,29304000,255527000,None,None,4000,-336853000,None,None,437000,269208000,19769000,None,None,None,13391000,271003000,None,255527000,None,None,None,None,3684000,None,None,None,None,None,-8000,None,437000,None,13828000,10217000,None,None,9535000,None,None,None,592384000,None,269208000,None,37000000,USD,-600000,-2326000,-600000,500000,20000000,386000,-525000,3152000,-35441000,-30225000,-30011000,None,141000,None,2705000,None,None,4463000,1100000,None,None,None,26.43,11.02
3,2019-09-30,USD,0,34024000,22941000,-22941000,-33938000,-32364000,22941000,None,-32364000,None,11083000,None,-34024000,None,None,None,None,None,None,None,None,None,1660000,None,-32364000,-32364000,None,USD,317186000,None,None,63000,31067000,286119000,None,472000,4000,-301412000,None,None,437000,299933000,21222000,None,None,None,13769000,302980000,None,286119000,None,None,None,None,7236000,None,None,None,None,None,-8000,None,437000,None,14206000,10317000,None,None,9845000,None,None,None,587535000,None,299933000,None,38000000,USD,-1224000,3287000,-1224000,500000,20000000,1372000,-525000,-576000,-32364000,-24978000,-25126000,None,86000,None,2319000,None,None,4441000,1224000,None,None,None,22.78,26.43
4,2019-06-30,USD,0,32583000,23489000,-23489000,-32518000,-30690000,23489000,None,-30690000,None,9094000,None,-32583000,None,None,None,None,None,None,None,None,None,1893000,None,-30690000,-30690000,None,USD,331653000,None,None,None,18983000,312670000,None,None,4000,-269048000,None,None,500000,324911000,17893000,None,None,None,2876000,328277000,None,312670000,None,None,None,None,3292000,None,None,None,None,None,-8000,None,500000,None,3376000,1459000,None,None,1090000,None,None,None,581722000,None,324911000,None,37000000,USD,-676000,-82000,-676000,-500000,None,678000,None,4078000,-30690000,-22886000,-22888000,None,65000,None,947000,None,None,3741000,176000,None,None,None,30.66,22.78
5,2019-03-31,USD,0,25881000,18080000,-18080000,-25817000,-23952000,18080000,None,-23952000,None,7889000,None,-25881000,None,None,None,None,None,None,None,None,None,1929000,None,-23952000,-23952000,None,USD,351675000,None,None,None,12734000,338941000,None,361000,4000,-238358000,None,None,None,347797000,11549000,361000,361000,None,2791000,348884000,None,338941000,None,None,1185000,None,3076000,None,None,None,None,None,-8000,None,1448000,None,2791000,1546000,None,1185000,1185000,None,None,None,577303000,None,347797000,None,37000000,USD,-216000,-631000,-216000,-500000,None,269000,None,-831000,-23952000,-21493000,-21546000,None,64000,None,269000,None,None,3804000,216000,None,None,None,16.6,30.66
6,2018-12-31,USD,0,26086000,19078000,-19078000,-26086000,-24091000,18080000,0,-24091000,0,7008000,None,-26086000,0,2003000,None,None,None,0,0,0,0,3990000,0,-24091000,-24091000,None,USD,371270000,None,None,None,12450000,358820000,None,9000,4000,-214406000,88000,None,None,369290000,12362000,None,None,None,1137000,370133000,None,358820000,None,None,None,None,3377000,None,None,None,None,None,-8000,None,None,None,None,None,None,None,None,None,None,None,573230000,None,369290000,None,33000000,USD,None,646000,-111000,-500000,None,105000,-278000,-1098000,-24091000,-21234000,-21228000,None,60000,None,341386000,None,None,3255000,111000,None,None,None,19.15,16.6
7,2018-09-30,USD,0,20822000,15873000,-15873000,-20822000,-19918000,18080000,0,-19918000,0,4949000,None,-20822000,0,0,None,None,None,0,0,0,0,904000,0,-19918000,-19918000,None,USD,393019000,0,None,1489000,13764000,379255000,0,7000,4000,-190315000,90000,0,0,390524000,13674000,None,None,None,1006000,392013000,None,379255000,0,None,0,0,2752000,0,0,0,0,0,-8000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,34000000,USD,None,-3702000,-421000,-7000,None,219521000,-91000,3486000,-19918000,202297000,-16803000,None,48000,0,0,0,0,3283000,414000,None,None,None,52.29,19.15
8,2018-06-30,USD,0,21653000,18385000,-18385000,-21653000,-20868000,18080000,0,-20868000,0,3268000,None,-21653000,0,0,None,None,None,0,0,0,0,1570000,0,-20868000,-20868000,None,USD,190600000,0,None,1662000,14076000,176524000,0,5000,3000,-170397000,79000,0,0,188227000,13997000,None,None,None,711000,189889000,None,176524000,0,None,0,0,3311000,0,0,0,0,0,-8000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,33000000,USD,None,1432000,-106000,7000,None,12113000,-207000,-866000,-20868000,-6160000,-18167000,None,35000,0,0,0,0,2101000,113000,None,None,None,43.46,52.29
9,2018-03-31,USD,0,20725000,17347000,-17347000,-20725000,-20410000,70683000,0,-20410000,0,3378000,None,-20725000,0,-2003000,None,None,None,0,0,0,0,315000,0,-20410000,-20410000,None,USD,195741000,0,None,796000,12586000,183155000,0,3000,3000,-149528000,79000,0,0,194387000,12507000,None,None,None,558000,195183000,None,183155000,0,None,0,0,3872000,0,0,0,0,0,-8000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,29000000,USD,None,622000,-71000,7000,None,108755000,-316000,53000,-20410000,90575000,-18109000,None,32000,0,0,0,0,1594000,71000,None,None,None,37.05,43.46
