,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,9889000,8162000,2340000,7549000,3471000,-122000,None,None,-85000,None,3625000,None,1727000,None,1359000,37000,27000,-1332000,None,None,None,37000,-480000,None,-122000,-122000,None,USD,275483000,12282000,None,None,241438000,34045000,1676000,None,227000,0,117441000,4398000,3608000,15477000,9385000,None,7000,None,233891000,21304000,None,17365000,None,2464000,114418000,None,862000,None,None,None,None,None,None,None,1932000,None,254179000,306000,None,86216000,232053000,None,None,None,None,None,None,None,None,USD,-1873000,-1538000,-1873000,1000,-29000,-1518000,145000,-431000,-122000,-1460000,1931000,None,2197000,-1634000,None,None,-426000,2173000,1874000,None,None,None,10.54,
1,2020-03-31,USD,8230000,6433000,2232000,5998000,4011000,354000,None,None,560000,None,2088000,None,1797000,None,1338000,206000,52000,-1286000,None,None,None,206000,49000,None,354000,354000,None,USD,276734000,12554000,None,265000,241700000,35034000,1696000,None,226000,0,117331000,4398000,3441000,17137000,9740000,None,8000,None,234375000,21966000,None,18082000,None,1966000,114407000,None,674000,None,None,None,None,None,-1000,None,1745000,None,254768000,333000,114629000,85934000,231960000,None,None,None,34809000,None,17137000,None,22000000,USD,-3534000,587000,-3534000,-9000,-43000,10129000,62000,543000,354000,9765000,3170000,None,2113000,-1629000,11739000,None,-111000,-330000,3525000,None,None,None,10.19,10.54
2,2019-12-31,USD,8685000,7730000,2211000,6474000,3546000,-250000,None,None,-174000,None,3143000,None,955000,600000,1344000,76000,36000,-1308000,None,None,None,76000,179000,None,-250000,-250000,None,USD,266113000,12554000,None,None,241441000,24672000,1715000,2661000,216000,0,116677000,4398000,3314000,7513000,10100000,7000,7000,None,233554000,12293000,0,7720000,None,1631000,114413000,None,992000,None,None,None,None,None,-1000,None,1599000,None,253820000,361000,114664000,85583000,231341000,None,None,None,24457000,None,7513000,None,22000000,USD,-2274000,-1829000,-2274000,128000,-20000,-1157000,407000,373000,-250000,-3042000,389000,None,2376000,-1545000,414000,None,133000,-429000,3402000,None,None,None,13.15,10.19
3,2019-09-30,USD,9942000,7380000,2349000,7593000,4733000,1047000,None,None,1435000,None,3074000,None,2562000,500000,1341000,388000,49000,-1292000,None,None,None,388000,165000,None,1047000,1047000,None,USD,266450000,12554000,None,None,240088000,26362000,1735000,2553000,216000,0,114526000,4398000,2929000,11091000,10969000,7000,7000,None,230267000,16302000,0,9410000,None,1780000,114404000,None,726000,None,None,None,None,None,-1000,None,1066000,None,250148000,269000,114593000,83402000,229119000,None,None,None,26147000,None,11091000,None,22000000,USD,-2926000,803000,-2926000,1000,-11000,-2167000,-614000,834000,1047000,370000,5463000,None,1957000,-1542000,413000,None,-172000,980000,2927000,None,None,None,11.84,13.15
4,2019-06-30,USD,9121000,6876000,2217000,6904000,4486000,778000,None,None,1134000,None,2650000,None,2245000,500000,1343000,356000,61000,-1282000,None,None,None,356000,171000,None,778000,778000,None,USD,264386000,12968000,None,None,237623000,26763000,1754000,2853000,216000,0,113514000,3559000,2387000,11285000,9527000,6000,6000,None,228958000,16514000,0,10236000,None,1624000,114395000,None,715000,None,None,None,None,None,-1000,None,505000,None,247872000,259000,114582000,82318000,228096000,None,None,None,26548000,None,11285000,None,22000000,USD,-3058000,-973000,-3058000,2000,-20000,-850000,298000,-297000,778000,-1978000,1930000,None,2009000,-1541000,413000,None,-300000,704000,3060000,None,None,None,10.44,11.84
5,2019-03-31,USD,7723000,6524000,415000,7308000,4362000,649000,None,None,991000,None,4098000,None,1199000,600000,1360000,342000,-1303000,-1303000,None,None,None,342000,1095000,None,649000,649000,None,USD,262483000,12972000,None,None,235435000,27048000,1774000,2881000,215000,0,110903000,2642000,2345000,13303000,9938000,6000,6000,None,226705000,17810000,9000,11434000,None,3341000,114386000,None,316000,None,None,None,None,None,-1000,None,443000,None,244673000,277000,114594000,80032000,225497000,None,None,None,26834000,None,13303000,None,21000000,USD,-1798000,415000,-1798000,2000,-17000,-1438000,116000,13000,649000,548000,3784000,None,2011000,-1537000,None,None,146000,500000,1798000,None,None,None,9.81,10.44
6,2018-12-31,USD,8253000,6508000,3745000,4508000,1745000,-106000,0,0,548000,0,2389000,None,1745000,-1600000,-1362000,None,None,None,0,0,0,654000,-1197000,0,-106000,-106000,None,USD,262461000,12972000,None,None,234590000,27871000,1793000,2877000,215000,None,110507000,2639000,2382000,12756000,9576000,9000,9000,None,227055000,17334000,79000,12260000,None,3892000,114411000,None,604000,None,None,None,None,None,-1000,None,None,None,None,None,114507000,None,None,None,None,None,27657000,None,12756000,None,21000000,USD,None,-1668000,-7300000,-61000,116000,-1248000,119000,-6000,-106000,-7417000,1131000,None,1974000,-1483000,16700000,None,373000,496000,1383000,None,None,None,10.14,9.81
7,2018-09-30,USD,8999000,6943000,1694000,7305000,2056000,633000,0,0,854000,0,2942000,None,2056000,500000,-1358000,None,None,None,0,0,0,221000,-1202000,0,633000,633000,None,USD,254209000,12772000,None,3034000,224767000,29442000,1871000,3067000,215000,3585000,99161000,1743000,2413000,20173000,11097000,9000,9000,None,211685000,25472000,124000,14927000,0,4276000,114403000,0,366000,0,0,0,0,0,-1000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,21000000,USD,None,1128000,-964000,-19000,3000,12482000,-1949000,231000,633000,16395000,4877000,None,1807000,-1522000,0,0,-142000,1209000,946000,None,None,None,10.59,10.14
8,2018-06-30,USD,10838000,6734000,1506000,9332000,4104000,2256000,0,0,3022000,0,2820000,None,4104000,519000,-1304000,None,None,None,0,0,0,766000,-1082000,0,2256000,2256000,None,USD,238639000,12772000,None,2904000,223051000,15588000,1871000,3432000,197000,2952000,99161000,1743000,2414000,3778000,9418000,8000,8000,None,212734000,8791000,185000,1073000,0,4244000,114380000,0,523000,0,0,0,0,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,20000000,USD,None,-1654000,-3962000,15000,-8000,-487000,166000,-2364000,2256000,-3137000,1312000,None,1889000,-1395000,0,0,-202000,1376000,1357000,None,None,None,9.4,10.59
9,2018-03-31,USD,7425000,6061000,1351000,6074000,1364000,320000,0,0,461000,0,2397000,None,1364000,514000,-1231000,None,None,None,0,0,0,141000,-903000,0,320000,320000,None,USD,239394000,12772000,None,2483000,225507000,13887000,1871000,3413000,196000,696000,100245000,0,2407000,6915000,10818000,8000,8000,None,212766000,11215000,234000,1115000,0,3616000,114372000,0,1576000,0,0,0,0,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,20000000,USD,None,1506000,-1099000,2000,-7000,-1221000,177000,2000,320000,1667000,3987000,None,1799000,-1391000,0,0,149000,200000,1101000,None,None,None,8.97,9.4
