,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,856000000,675000000,None,856000000,181000000,150000000,None,None,181000000,None,675000000,None,181000000,46000000,110000000,31000000,902000000,792000000,None,None,None,31000000,None,None,150000000,131000000,19000000,USD,118425000000,411000000,29013000000,None,106111000000,12314000000,None,93691000000,10000000,1633000000,2349000000,1990000000,82561000000,1367000000,93837000000,146000000,146000000,290000000,751000000,79804000000,102360000000,8216000000,13297000000,78437000000,9753000000,None,None,None,None,10000000,1697000000,1633000000,-59000000,None,11546000000,None,117058000000,None,9753000000,2521000000,12274000000,None,None,None,8743000000,118425000000,1367000000,None,1017309583,USD,-163000000,-137000000,-47000000,154000000,-2810000000,4361000000,6848000000,-307000000,150000000,4526000000,212000000,-13000000,59000000,-171000000,494000000,None,None,153000000,38000000,None,None,4526000000,9.04,
1,2020-03-31,USD,710000000,652000000,None,710000000,58000000,48000000,None,None,58000000,None,652000000,None,58000000,51000000,185000000,10000000,975000000,790000000,None,None,None,10000000,None,None,48000000,30000000,18000000,USD,113897000000,417000000,30194000000,None,102128000000,11769000000,None,86830000000,10000000,1657000000,2676000000,1990000000,82497000000,1568000000,89656000000,2826000000,2826000000,227000000,743000000,78099000000,102379000000,8159000000,14622000000,76531000000,9796000000,None,None,None,None,10000000,1203000000,1657000000,-56000000,None,6800000000,None,112329000000,None,9796000000,2676000000,12472000000,None,None,None,8728000000,113897000000,1568000000,None,1014218094,USD,-4462000000,892000000,-4322000000,151000000,204000000,4421000000,4478000000,-151000000,48000000,597000000,498000000,-1023000000,119000000,-173000000,-88000000,None,None,462000000,11000000,None,None,597000000,8.21,9.04
2,2019-12-31,USD,1073000000,988000000,None,1073000000,85000000,317000000,None,None,372000000,None,701000000,None,85000000,287000000,-3213000000,55000000,1011000000,780000000,None,None,None,55000000,2000000,None,317000000,298000000,19000000,USD,109002000000,475000000,26726000000,877000000,97207000000,11795000000,None,82347000000,10000000,2088000000,2068000000,1990000000,78744000000,1147000000,84953000000,2606000000,1565000000,-256000000,763000000,1147000000,98816000000,8127000000,14149000000,None,9849000000,11000000,82347000000,None,None,10000000,1203000000,2088000000,-56000000,None,5811000000,None,107855000000,None,9849000000,2405000000,12254000000,None,None,None,8806000000,109002000000,1147000000,None,1020003482,USD,-1443000000,-103000000,-1114000000,354000000,390000000,-28000000,-48000000,108000000,317000000,-466000000,676000000,94000000,78000000,-174000000,-196000000,None,None,288000000,25000000,None,None,-466000000,15.08,8.21
3,2019-09-30,USD,1106000000,667000000,None,1106000000,439000000,372000000,None,None,439000000,None,667000000,None,439000000,47000000,253000000,67000000,1052000000,799000000,None,None,None,67000000,-31000000,None,372000000,354000000,18000000,USD,108735000000,455000000,27101000000,1064000000,96826000000,11909000000,None,82395000000,10000000,1946000000,2032000000,1990000000,78198000000,1140000000,84568000000,2173000000,2173000000,-175000000,775000000,75249000000,98007000000,8261000000,14286000000,74109000000,9874000000,12000000,82395000000,None,None,10000000,1203000000,1946000000,-55000000,None,6368000000,None,107595000000,None,9874000000,2384000000,12258000000,None,None,None,8980000000,108735000000,1140000000,None,1032755207,USD,-381000000,-65000000,-184000000,228000000,-1104000000,176000000,1513000000,-522000000,372000000,38000000,46000000,-189000000,104000000,-165000000,-68000000,None,None,-176000000,31000000,None,None,38000000,14.27,15.08
4,2019-06-30,USD,1127000000,700000000,None,1127000000,427000000,364000000,None,None,427000000,None,700000000,None,427000000,62000000,256000000,63000000,1068000000,812000000,None,None,None,63000000,-38000000,None,364000000,346000000,18000000,USD,108247000000,481000000,26395000000,778000000,96579000000,11668000000,None,80882000000,10000000,1750000000,2218000000,1990000000,78371000000,1019000000,85043000000,4161000000,4161000000,-273000000,774000000,75278000000,97612000000,7994000000,13695000000,74259000000,8973000000,14000000,80882000000,None,None,10000000,1203000000,1750000000,-52000000,None,6371000000,None,107228000000,None,8973000000,2563000000,11536000000,None,None,None,9030000000,108247000000,1019000000,None,1037841268,USD,335000000,186000000,-64000000,-372000000,855000000,-29000000,-566000000,-163000000,364000000,262000000,355000000,-191000000,73000000,-166000000,-152000000,None,None,-75000000,27000000,None,None,262000000,13.82,14.27
5,2019-03-31,USD,1074000000,653000000,None,1074000000,421000000,358000000,None,None,421000000,None,653000000,None,421000000,55000000,248000000,63000000,1070000000,822000000,None,None,None,63000000,-30000000,None,358000000,339000000,19000000,USD,108203000000,513000000,26124000000,693000000,96771000000,11432000000,None,82155000000,11000000,1551000000,2039000000,1990000000,78486000000,951000000,85017000000,2862000000,2862000000,-455000000,784000000,951000000,97903000000,7726000000,13982000000,None,9400000000,18000000,82155000000,None,None,11000000,1203000000,1551000000,-45000000,None,6062000000,None,107252000000,None,9400000000,2354000000,11754000000,None,None,None,9167000000,108203000000,951000000,None,1046440116,USD,-675000000,176000000,-515000000,184000000,1498000000,-1318000000,-2625000000,-36000000,358000000,-1336000000,497000000,-278000000,131000000,-166000000,-25000000,None,None,110000000,24000000,None,None,-1336000000,12.68,13.82
6,2018-12-31,USD,1102000000,946000000,283000000,1102000000,156000000,334000000,0,0,391000000,0,711000000,None,156000000,235000000,-3189000000,None,None,None,3000000,0,0,57000000,-58000000,0,334000000,315000000,19000000,USD,108781000000,535000000,None,804000000,97679000000,11102000000,None,84774000000,11000000,1361000000,2076000000,1989000000,78278000000,1161000000,86791000000,2017000000,575000000,-609000000,790000000,1161000000,97382000000,7375000000,53000000,None,8625000000,23000000,84774000000,None,None,11000000,1203000000,1361000000,-45000000,None,6924000000,None,107620000000,None,8625000000,2263000000,10888000000,None,None,None,9181000000,108781000000,1161000000,None,1046767252,USD,-1640000000,-193000000,-1686000000,2000000,-187000000,2477000000,3040000000,-345000000,334000000,1373000000,582000000,212000000,143000000,-171000000,-200000000,None,None,86000000,48000000,None,None,1373000000,11.92,12.68
7,2018-09-30,USD,1091000000,651000000,258000000,1091000000,440000000,378000000,0,0,440000000,0,651000000,None,440000000,58000000,205000000,None,None,None,0,0,0,62000000,-31000000,0,378000000,360000000,18000000,USD,105652000000,306000000,None,2100000000,94718000000,10934000000,0,81689000000,11000000,1196000000,2296000000,1993000000,75398000000,1342000000,83037000000,1348000000,None,-790000000,827000000,15069000000,81949000000,7432000000,13727000000,None,9385000000,27000000,81689000000,0,0,11000000,1203000000,1196000000,-44000000,None,5508000000,None,90583000000,None,9385000000,2296000000,11681000000,None,None,None,9358000000,105652000000,15069000000,None,1061529259,USD,-551000000,248000000,-519000000,56000000,-1425000000,-106000000,2152000000,138000000,378000000,-83000000,542000000,-152000000,122000000,-143000000,-695000000,0,0,-54000000,24000000,None,None,-83000000,14.92,11.92
8,2018-06-30,USD,1064000000,652000000,244000000,1064000000,412000000,355000000,0,0,412000000,0,652000000,None,412000000,50000000,188000000,None,None,None,0,0,0,57000000,-31000000,0,355000000,334000000,21000000,USD,105358000000,319000000,None,2116000000,93886000000,11472000000,0,79587000000,11000000,990000000,2131000000,1993000000,74447000000,1423000000,82029000000,2442000000,12370000000,-730000000,840000000,15493000000,81141000000,7957000000,14070000000,None,9726000000,28000000,79587000000,0,0,11000000,1203000000,990000000,-40000000,None,5572000000,None,89865000000,None,9726000000,2131000000,11857000000,None,None,None,10038000000,105358000000,15493000000,None,1104226603,USD,-674000000,16000000,-682000000,14000000,720000000,687000000,99000000,-231000000,355000000,313000000,308000000,-70000000,123000000,-133000000,1000000,0,0,-116000000,22000000,None,None,313000000,14.76,14.92
9,2018-03-31,USD,1018000000,633000000,210000000,1018000000,385000000,326000000,0,0,385000000,0,633000000,None,385000000,51000000,144000000,None,None,None,0,0,0,59000000,-25000000,0,326000000,314000000,12000000,USD,104246000000,333000000,None,1956000000,92938000000,11308000000,0,79471000000,11000000,780000000,1995000000,1993000000,31306000000,1115000000,82325000000,2854000000,11562000000,-677000000,847000000,15722000000,79822000000,7779000000,14607000000,None,8618000000,536000000,79471000000,0,0,11000000,1203000000,780000000,-34000000,None,5529000000,None,88524000000,None,8618000000,1995000000,10613000000,None,None,None,10025000000,104246000000,15722000000,None,1101795768,USD,-775000000,-49000000,-776000000,15000000,-2702000000,31000000,2420000000,-76000000,326000000,-451000000,294000000,-236000000,105000000,-137000000,450000000,0,0,148000000,16000000,None,None,-451000000,15.1,14.76
