,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,19879000,47628000,None,19879000,-27749000,-29409000,None,None,-27749000,None,47628000,None,-27749000,1456000,3354000,1660000,21474000,18120000,None,None,None,1660000,None,None,-29409000,-29409000,None,USD,2463450000,7090000,343149000,None,2180169000,283281000,None,1830674000,187000,9092000,None,31449000,1994024000,59070000,2180169000,312173000,None,3946000,42434000,366474000,1904253000,244742000,276889000,30515000,274339000,None,37322000,None,None,187000,None,9092000,None,None,76716000,None,35034000,None,28339000,None,None,None,None,None,270056000,2463450000,335959000,None,18715678,USD,-131692000,1057000,-130641000,743000,32513000,-23712000,-56225000,4236000,-29409000,-136880000,17473000,7237000,844000,None,0,None,None,37744000,308000,None,None,-136880000,10.62,
1,2020-03-31,USD,17446000,14559000,None,17446000,2887000,3343000,None,None,2887000,None,14559000,None,2887000,1993000,4701000,-456000,22226000,17525000,None,None,None,-456000,None,None,3343000,3343000,None,USD,2507894000,7770000,483553000,None,2192536000,315358000,None,1788899000,187000,38501000,None,65949000,1857839000,195950000,1814925000,None,None,6752000,42543000,503169000,1778659000,241639000,275252000,31967000,28290000,None,26026000,None,None,187000,None,38501000,None,None,76275000,None,33529000,None,28290000,349321000,377611000,None,None,None,269918000,2507894000,471202000,None,18714844,USD,-70255000,-2723000,-69905000,727000,-806000,126246000,133534000,-5902000,3343000,85973000,29632000,-3166000,1053000,None,-6482000,None,None,31125000,377000,None,None,85973000,10.86,10.62
2,2019-12-31,USD,22142000,14362000,None,22142000,7780000,5900000,None,None,7780000,None,14362000,None,7780000,1054000,5283000,1880000,22550000,17267000,None,None,None,1880000,-1092000,None,5900000,5900000,None,USD,2374619000,8469000,365102000,41726000,2060471000,314148000,None,1714365000,191000,35158000,26738000,65949000,1846952000,109977000,1977230000,236127000,236127000,2643000,42724000,354815000,1790822000,239730000,215505000,29333000,83241000,3098000,26738000,None,None,191000,None,35158000,None,None,75830000,None,36010000,None,83241000,None,83241000,None,None,None,276156000,2374619000,325482000,None,19066913,USD,-65908000,-9000,-64888000,1910000,16851000,75608000,58742000,1350000,5900000,34968000,24248000,1346000,988000,None,15000,None,None,16215000,890000,None,None,34968000,16.88,10.86
3,2019-09-30,USD,21640000,15405000,None,21640000,6235000,4637000,None,None,6235000,None,15405000,None,6235000,2386000,5740000,1598000,22955000,17215000,None,None,None,1598000,-1874000,None,4637000,4637000,None,USD,2293475000,9186000,234485000,62866000,1984723000,308752000,None,1655623000,191000,29258000,26747000,65949000,1831695000,75009000,1956532000,274161000,274161000,2872000,42693000,269921000,1794313000,233617000,164026000,30886000,28191000,3926000,26748000,None,None,191000,None,29258000,None,None,75364000,None,36049000,None,28191000,None,28191000,None,None,None,276431000,2293475000,239035000,None,19081777,USD,-40608000,668000,-39697000,1028000,53542000,-8255000,-61593000,-1515000,4637000,-50052000,-2100000,-2183000,949000,None,-204000,None,406000,-6577000,117000,406000,None,-50052000,16.69,16.88
4,2019-06-30,USD,22085000,19454000,None,22085000,2631000,2088000,None,None,2631000,None,19454000,None,2631000,2498000,5791000,543000,23145000,17354000,None,None,None,543000,-1152000,None,2088000,2088000,None,USD,2295634000,9932000,210528000,54637000,1992107000,303527000,None,1717216000,191000,24621000,26080000,65949000,37803000,125061000,1963965000,220669000,220669000,2497000,42876000,308762000,1755252000,227646000,151685000,32016000,28142000,4702000,26080000,None,None,191000,None,24621000,None,None,75060000,None,37803000,None,28142000,None,28142000,None,None,None,276218000,2295634000,276746000,None,19063080,USD,-13716000,2141000,-12575000,1392000,-1551000,42383000,43748000,5089000,2088000,27599000,-2209000,3031000,951000,None,186000,None,89000,-10509000,251000,89000,None,27599000,15.17,16.69
5,2019-03-31,USD,20284000,14857000,None,20284000,5427000,4256000,None,None,5427000,None,14857000,None,5427000,1534000,5310000,1171000,22784000,17474000,None,None,None,1171000,-1398000,None,4256000,4256000,None,USD,2250559000,10698000,239383000,45493000,1950030000,300529000,None,1673468000,191000,22533000,26199000,65949000,1751537000,97462000,1821936000,122269000,122269000,1677000,44721000,326147000,1689931000,223882000,191860000,36825000,128094000,4392000,26199000,None,None,191000,None,22533000,None,None,74601000,None,38512000,None,128094000,None,128094000,None,None,None,276128000,2250559000,289322000,None,19059485,USD,34065000,-1182000,33894000,34065000,-26291000,-38552000,-12338000,-1122000,4256000,-4036000,622000,60000,833000,None,77000,None,-303000,-3042000,171000,-303000,None,-4036000,14.81,15.17
6,2018-12-31,USD,18776000,2876000,7335000,18776000,15900000,145000,0,0,351000,0,18425000,None,15900000,2087000,0,None,None,None,0,-15549000,0,206000,-1710000,0,145000,145000,None,USD,2266514000,11482000,None,35398000,1971831000,294683000,None,1685806000,190000,18277000,9372000,70697000,1749316000,101498000,1829754000,134576000,106000,373000,45137000,343193000,1686567000,212504000,223858000,17837000,142077000,4392000,9372000,None,None,190000,None,18277000,None,None,74153000,None,35285000,None,142077000,None,142077000,None,None,None,275843000,2266514000,325356000,None,19039347,USD,-122828000,2086000,-109612000,13216000,48701000,100658000,51931000,2898000,146000,-160000,8794000,812000,621000,None,26000,None,None,5581000,171000,-883000,None,-160000,14.3,14.81
7,2018-09-30,USD,21807000,16396000,4485000,21807000,5411000,3979000,0,0,5411000,0,16396000,None,5411000,2145000,0,None,None,None,0,0,0,1432000,-1135000,0,3979000,3979000,None,USD,2153419000,12282000,None,45995000,1859869000,293550000,0,1624629000,190000,18131000,7287000,71824000,1722364000,101658000,1732273000,100357000,32000,-541000,49765000,245073000,1669371000,209444000,125673000,17742000,127596000,4097000,7287000,0,110387000,190000,0,18131000,0,None,73699000,None,31405000,None,127596000,None,127596000,None,None,None,275770000,2153419000,227331000,None,19033864,USD,-8523000,-3162000,-7010000,1683000,-88735000,-29814000,58986000,-951000,3979000,-6303000,30521000,2211000,290000,0,-65000,46513000,0,27634000,170000,None,None,-6303000,17.7,14.3
8,2018-06-30,USD,22072000,25140000,4710000,22072000,-3068000,-2277000,0,0,-3068000,0,25140000,None,-3068000,2925000,0,None,None,None,0,-9975000,0,-791000,-6819000,0,-2277000,-2277000,None,USD,2182249000,13116000,None,75219000,1892779000,289470000,0,1565644000,190000,14152000,10448000,71278000,1707627000,107961000,1765204000,189112000,316687000,-453000,51668000,254754000,1687165000,205076000,127530000,19263000,127575000,4115000,10448000,0,110387000,190000,0,14152000,0,None,73245000,None,31023000,None,127575000,None,127575000,None,None,None,275581000,2182249000,235491000,None,19008960,USD,-48220000,-83000,-48518000,954000,44706000,60407000,15684000,2143000,-2278000,30423000,18534000,2226000,1096000,0,17000,17825000,431000,17682000,1252000,-109000,None,30423000,18.0,17.7
9,2018-03-31,USD,15732000,23151000,3332000,15732000,-7419000,-5675000,0,0,-7419000,0,23151000,None,-7419000,1611000,0,None,None,None,0,9975000,0,-1744000,-10509000,0,-5675000,-5675000,None,USD,2124701000,13972000,None,84863000,1832993000,291708000,0,1549959000,190000,16430000,11052000,72001000,317767000,81458000,1760438000,199427000,271982000,-401000,51125000,184048000,1696301000,205735000,87613000,14977000,72555000,75021000,11052000,0,110387000,190000,0,16430000,0,None,72824000,None,34430000,None,72555000,None,72555000,None,None,None,275489000,2124701000,169071000,None,18991026,USD,105062000,68000,133826000,29285000,-61958000,-82222000,-20383000,312000,-5675000,48566000,-3038000,244000,723000,0,119000,2272000,540000,1062000,521000,540000,None,48566000,19.8,18.0
