,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,0,471000,None,None,-471000,-400000,None,None,-394000,None,471000,None,-471000,None,None,6000,77000,77000,None,None,None,6000,None,None,-400000,-400000,None,USD,309464000,None,None,None,304464000,5000000,None,None,1000,1826000,301899000,None,308800000,613000,2565000,None,None,None,None,664000,None,5000000.0,None,None,None,None,10000,None,None,None,None,None,None,None,308800000,None,308800000,None,None,None,301899000,None,None,None,None,None,None,None,None,USD,437000,-43000,437000,437000,None,None,None,276000,-400000,-188000,-625000,None,None,None,None,None,None,-77000,0,None,None,None,10.75,
1,2020-03-31,USD,0,381000,None,None,-381000,1069000,None,None,1441000,None,381000,None,-381000,None,None,372000,1822000,1822000,None,None,None,372000,None,None,1069000,1069000,None,USD,310067000,None,None,None,305067000,5000000,None,None,1000,2226000,302299000,None,309160000,801000,2768000,None,None,None,None,907000,None,5000000.0,None,None,None,None,53000,None,None,None,None,None,None,None,309160000,None,309160000,None,None,None,302299000,None,None,None,None,None,None,None,38000000,USD,0,7000,437000,437000,None,0,None,29000,1069000,-323000,-323000,None,None,None,None,None,None,-1822000,0,None,None,None,10.11,10.75
2,2019-12-31,USD,0,450000,None,None,-450000,668000,None,None,943000,None,450000,None,-450000,None,-4130000,275000,1393000,1393000,None,None,None,275000,1556000,None,668000,668000,None,USD,308512000,None,None,None,303512000,5000000,None,None,1000,1157000,301231000,None,307338000,1124000,2281000,None,None,None,None,1174000,None,5000000.0,None,None,None,None,46000,None,None,None,None,None,None,None,307338000,None,307338000,None,None,None,301231000,None,None,None,None,None,None,None,38000000,USD,450000,33000,450000,450000,None,-1000,-1000,129000,668000,-179000,-628000,None,None,None,None,None,None,-1393000,0,None,None,None,10.16,10.11
3,2019-09-30,USD,0,2330000,None,None,-2330000,-941000,None,None,-586000,None,2330000,None,-2330000,None,-4130000,355000,1744000,1744000,None,None,None,355000,1679000,None,-941000,-941000,None,USD,307761000,None,None,None,302761000,5000000,None,65000,1000,489000,300563000,None,306394000,1303000,2198000,None,None,None,None,1367000,None,5000000.0,None,None,None,None,13000,None,None,None,None,None,None,None,306394000,None,306394000,None,None,None,300563000,None,None,None,4510000,None,1303000,None,38000000,USD,367000,-8000,367000,367000,None,0,-1000,2071000,-941000,-218000,-585000,None,None,None,313735000,None,None,-1745000,0,None,None,None,10.01,10.16
4,2019-06-30,USD,0,360000,0,0,-360000,1115000,0,0,1495000,0,360000,0,-360000,0,-4130000,380000,1855000,1855000,0,0,0,380000,1762000,0,1115000,1115000,0,USD,306646000,0,None,0,301646000,5000000,0,27000,1000,1430000,301503000,0,305017000,1521000,143000,0,0,0,0,1629000,0,5000000.0,0,0,0,0,26000,0,0,0,0,0,0,0,305017000,0,305017000,0,0,0,301503000,0,0,0,3569000,0,1521000,0,38000000,USD,520000,16000,520000,520000,0,-44000,-44000,33000,1115000,-305000,-781000,0,0,0,313735000,0,0,-1855000,0,0,0,0,9.9,10.01
5,2019-03-31,USD,0,112000,0,0,-112000,318000,0,0,418000,0,112000,0,-112000,0,-4130000,100000,530000,530000,0,0,0,100000,530000,0,318000,318000,0,USD,305650000,0,None,0,10440000,295210000,0,117000,290211000,315000,300389000,0,303682000,1826000,261000,0,0,0,0,1968000,0,5000000.0,0,0,0,0,53000,0,0,0,0,0,0,0,303682000,0,303682000,0,0,0,300389000,0,0,0,4684000,0,1826000,0,38000000,USD,-303152000,5000,-303152000,-303152000,-90000,305113000,-8532000,-51000,318000,1820000,-141000,0,0,0,313735000,0,0,-530000,0,0,0,0,nan,9.9
6,2018-12-31,USD,0,-1544800,0,0,1544800,-7200,0,0,-7200,0,7200,None,-7200,0,0,None,None,None,0,0,0,0,0,0,589800,589800,None,USD,238000,None,None,None,216000,22000,232000,None,1000,-3000,None,None,232000,6000,216000,None,None,None,None,6000,None,22000.0,None,None,None,None,126000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,None,7200,None,None,216000,14400,-261600,None,-7200,14400,None,None,None,None,None,None,None,None,0,None,None,None,nan,nan
7,2018-09-30,USD,0,2000,0,0,-2000,-2000,0,0,-2000,0,2000,0,-2000,0,0,None,None,None,0,0,0,0,0,0,-2000,-2000,0,USD,0,0,None,0,0,0,0,840198.10,0,0,63297578.46,0,0,0,0,0,0,0,0,0,0,1244369.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USD,0,0,-303152000,-303152000,-90000,25000,5050000,2000,-2000,25000,-141000,0,0,0,0,0,0,-530000,0,0,0,0,10.19,nan
8,2018-06-30,USD,0,2667000,0,0,-2667000,0,0,0,0,0,2667000,None,0,0,0,None,None,None,0,0,0,210000,0,0,-1837000,-1837000,None,USD,262602000,0,None,62000,12285000,250317000,0,2513000,3000,0,9616000,0,261658000,882000,2669000,None,None,None,0,0,None,5000000.0,0,None,0,0,21000,0,0,0,0,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,None,44000,916000,916000,None,0,None,2329000,0,-149000,0,None,0,0,0,0,0,-1039000,0,None,None,None,10.14,10.19
9,2018-03-31,USD,0,287000,0,0,-287000,434000,0,None,626000,None,296000,None,0,None,0,None,None,None,None,None,None,192000,0,None,444000,434000,None,USD,262624000,0,None,59000,10460000,252164000,0,149000,3000,725000,9616000,0,261534000,1031000,844000,None,None,None,0,0,None,5000000.0,0,None,0,0,9000,0,0,0,0,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,None,31000,0,0,None,0,None,-17000,434000,-322000,0,None,0,0,0,0,0,143000,0,None,None,None,9.9,10.14
