,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,28206000,None,None,None,None,16338000,None,None,22203000,None,4876000,None,None,None,5334000,5865000,26375000,21041000,None,None,None,5865000,None,None,16338000,16338000,None,USD,2723839000,None,289683000,None,2459791000,264048000,None,None,2137000,249559000,18542000,None,2401277000,221854000,None,None,None,None,16658000,None,54804000,264048000,9000,5054000,385431000,None,282000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,12352000,None,None,None,None,USD,-53717000,0,-53717000,9479000,-290800000,49997000,341684000,2913000,16338000,10328000,14048000,None,179000,-897000,None,None,-577000,-4920000,119000,None,None,None,167.78,
1,2020-03-31,USD,10267000,None,None,None,None,2185000,None,None,3727000,None,5039000,None,None,None,8891000,1542000,26949000,18058000,None,None,None,1542000,None,None,2185000,2185000,None,USD,2654571000,None,280546000,None,2405972000,248599000,None,None,2137000,234140000,15164000,None,2340737000,211526000,None,None,None,None,16718000,None,46949000,248599000,10000,5183000,676231000,None,359000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,12322000,None,None,None,2000000,USD,-111381000,0,-111381000,-4977000,170344000,60397000,-107860000,1625000,2185000,-40621000,10363000,None,167000,-2158000,None,None,-800000,7014000,1163000,None,None,None,144.99,167.78
2,2019-12-31,USD,20821000,5069000,None,20536000,None,11364000,None,None,15447000,None,4614000,None,15467000,None,9446000,4083000,26684000,17238000,None,None,None,4083000,-20000,None,11364000,11364000,None,USD,2590346000,None,315166000,248016000,2343123000,247223000,None,None,2136000,232853000,14046000,None,2245260000,252147000,2292398000,470268000,470268000,None,15948000,257073000,47186000,247223000,11000,4926000,505887000,None,960000,None,None,None,None,None,None,None,None,None,None,None,687000,None,None,None,None,None,12234000,None,None,None,2000000,USD,-87131000,0,-87131000,-1278000,-14716000,99949000,115588667,-1359000,11364000,20892000,8074000,None,161000,-854000,None,None,642000,-2942000,370000,None,None,None,210.2,144.99
3,2019-09-30,USD,18117000,5161000,None,17815000,None,9033000,None,None,12598000,None,4730000,None,12654000,None,10695000,3565000,28198000,17503000,None,None,None,3565000,-56000,None,9033000,9033000,None,USD,2480372000,None,291577000,225934000,2242519000,237853000,None,None,2134000,223646000,12521000,None,2157822000,231255000,2192894000,484967000,484967000,None,15839000,236167000,46940000,237853000,11000,4912000,520603000,None,2198000,None,None,None,None,None,None,None,None,None,None,None,703000,None,None,None,None,None,12073000,None,None,None,2000000,USD,35857000,0,35857000,7617000,-190417000,-143554000,47695000,329000,9033000,-97052000,10645000,None,166000,-832000,None,None,820000,101000,95000,None,None,None,189.0,210.2
4,2019-06-30,USD,17786000,4858000,None,17231000,None,8706000,None,None,12064000,None,4676000,None,12373000,None,10624000,3358000,26941000,16317000,None,None,None,3358000,-309000,None,8706000,8706000,None,USD,2614471000,None,394447000,324047000,2384891000,229580000,None,None,2134000,215466000,12037000,None,1368000,328307000,2335661000,675366000,675366000,None,15910000,333998000,44860000,229580000,12000,5691000,711020000,None,1991000,None,None,None,None,None,None,None,None,None,None,None,654000,None,None,None,None,None,11980000,None,None,None,2000000,USD,-81302000,0,-168213000,-168031000,8185000,110427000,192922000,-2077000,8706000,34541000,5416000,None,162000,-812000,71000,None,-1152000,-389000,182000,None,None,None,198.01,189.0
5,2019-03-31,USD,19006000,4876000,0,18581000,0,9824000,None,None,13439000,None,4665000,None,13705000,None,9285000,3615000,25129000,15844000,None,None,None,3615000,-266000,None,9824000,9824000,None,USD,2497389000,None,359674000,291513000,2275708000,221681000,None,None,2134000,207593000,13855000,None,2109127000,293766000,2224574000,667165000,667165000,None,15988000,298946000,42724000,221681000,13000,5180000,702835000,None,2086000,None,None,None,None,None,None,None,None,None,None,None,670000,None,None,None,None,None,11954000,None,None,None,2000000,USD,-86911000,0,-86911000,-1920000,95484000,75669000,-18032000,3288000,9824000,-2209000,9033000,None,163000,-1854000,71000,None,-2532000,-1857000,182000,None,None,None,172.01,198.01
6,2018-12-31,USD,11864000,4701000,0,11864000,0,4664000,0,0,6934000,0,4701000,None,7163000,0,0,None,None,None,0,0,0,2270000,-229000,0,4664000,4664000,None,USD,2408587000,None,None,292552000,2196011000,212576000,None,None,2133000,198580000,13319000,None,2026336000,8004000,2182005000,606664000,606664000,None,14553000,300556000,67142000,212576000,None,None,687000,None,1573154000,None,None,None,None,None,None,None,None,None,None,None,687000,None,None,None,None,None,11863000,None,None,None,2000000,USD,-3054000,0,-43555000,-7014000,175343000,33093000,-141481000,448000,4664000,-517000,9945000,None,162000,-43798,None,None,None,3361000,257000,None,None,None,197.74,172.01
7,2018-09-30,USD,17263000,4754000,7947000,17263000,0,8848000,0,0,12284000,0,4754000,None,12509000,0,0,None,None,None,0,0,0,3436000,-225000,0,8848000,8848000,None,USD,2370362000,None,None,291515000,2160615000,209747000,None,None,2133000,195771000,11784000,None,1992960000,10043000,2148128000,431305000,431305000,None,14458000,301558000,61386000,209747000,None,None,703000,None,1715136000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2000000,USD,-1166000,0,-41615000,2848000,-15057000,53255000,69059000,619000,8848000,21455000,9815000,None,161000,-747000,None,None,None,-201000,140000,None,None,None,219.81,197.74
8,2018-06-30,USD,16189000,4826000,7037000,16189000,0,7975000,0,0,11150000,0,4826000,None,11363000,0,0,None,None,None,0,0,0,3175000,-213000,0,7975000,7975000,None,USD,2307619000,None,None,270325000,2105973000,201646000,None,None,2133000,187691000,11356000,None,1950950000,9342000,2093897000,446345000,446345000,None,14479000,279667000,62523000,201646000,None,None,720000,None,1646319000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2000000,USD,-399000,0,-63324000,2848000,-52856000,61039000,114619000,-1560000,7975000,3769000,6054000,None,158000,-1449000,None,None,None,541000,690000,None,None,None,219.7,219.81
9,2018-03-31,USD,17464000,4825000,5957000,17464000,0,8912000,0,0,12361000,0,3678000,None,13629000,0,0,None,None,None,0,0,0,3449000,-278000,0,8912000,8912000,None,USD,2240137000,None,None,266607000,2045749000,194388000,None,None,2133000,180461000,14020000,None,82808000,8901000,1966767000,434185000,434185000,None,13947000,275508000,62343000,194388000,None,None,499921000,None,1531808000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2000000,USD,-2560000,0,-38582000,2572000,-80055000,-55432000,26073000,2014000,8912000,-83961000,10053000,None,157000,-1450000,None,None,None,-507000,36000,None,None,None,206.0,219.7
