,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2019-06-30,CNY,846310000.0,1.34,571920000.0,274390000.0,0.52,173499000.0,0,0,246862000.0,37439000.0,55234000.0,0,234390000.0,-7788000.0,0,60664000,12472000,None,0,0,0,30332000.0,0.03,0,0.41,86749500.0,0,CNY,2502912000.0,37885000.0,None,1420413000,813665000.0,1651808000.0,9899000,2.28,268000.0,905009000.0,7270000,61640000,9993000,260684000.0,806395000.0,0,99603000,11454000,620623000.0,1772771000,0,1552283000,1387094000,0.37,0,0,20556000.0,0,0,0,0,0,0,0,730141000,0,730141000,0,0,0,7270000,0,0,0,385617000,0,260684000,0,0,CNY,0,0,0,0,0,0,0,0,0.38,0,0,0,0,0,0,0,0,0,0,0,0,0,58.3,
1,2019-03-31,CNY,2.28,1.65,1.54,0.74,0.63,0.47,0,0,0.67,37439000.0,0.15,0,0.63,-7788000.0,0,None,None,None,0,0,0,30332000.0,0.03,0,0.5,86749500.0,0,CNY,13.5,0.2,None,0.17,4.39,8.91,9899000,2.81,268000.0,1254469000.0,7270000,0.33,9993000,1.41,4.35,0,0,11454000,620623000.0,9.56,0,1552283000,7.48,0.45,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CNY,0,0,0,0,0,0,0,0,0.47,0,0,0,0,0,0,0,0,0,0,0,0,0,38.61,58.3
2,2018-12-31,CNY,652715000.0,749040.44,454983000.0,197732000.0,253755.05,119922000.0,0,0,177631000.0,76015.28,42430000.0,0,165168000.0,-15157.58,0,48049000,12463000,None,0,0,0,73819.85,19147.47,0,199082.67,119922000.0,0,CNY,2534659000.0,95632000.0,None,421751000,1071437000.0,1463222000.0,44796.75,2255975.29,268000.0,1092337000.0,13071.22,0,17039000,1244370000.0,1042444000.0,0,0,1040873.81,658260000.0,1763728000,0,4202180.39,1211869.02,299916.07,0,0,947132.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,370617000,0,1244370000,0,0,USD,0,0,0,0,0,0,0,0,8717162.17,0,0,0,0,0,0,0,0,0,0,0,0,0,50.0,38.61
3,2018-09-30,USD,47512338.22,35489452.46,33119058.36,14393279.86,12022885.76,8729345.31,0,0,12930090.7,3601595.6,3088558.58,0,12022885.76,-718164.48,0,None,None,None,0,0,0,3497576.03,907204.94,0,9432514.67,8729345.31,0,USD,369005080.87,13922462.11,None,3981860.27,152382186.38,213021298.9,2122465.02,106887856.86,39016.44,109709997.23,619313.14,0,2480600.97,181160011.06,151762873.24,0,0,49316484.44,95831938.16,256770079.63,0,199098836.79,57418218.35,14209989.95,0,0,44875016.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USD,0,0,0,0,0,0,0,0,8729345.31,0,0,0,0,0,0,0,0,0,0,0,0,0,70.33,50.0
4,2018-06-30,CNY,666675000.0,0.0,418562000.0,248113000.0,341910.13,152967000.0,0,0,213365000.0,44368.12,48022000.0,0,208084000.0,-4459.07,0,60398000,5281000,None,0,0,0,101860.5,17927.37,0,257976.99,152967000.0,0,CNY,1884850000.0,78747000.0,None,219182000,563191000.0,1321659000.0,0,1083271.66,268000.0,950913000.0,0,207910.23,92000,812620000.0,550037000.0,0,0,27469.52,679081000.0,1126930000,0,4192312.11,688087.07,372072.96,0,0,541443.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,370478000,0,812620000,0,0,USD,0,0,0,0,0,0,0,0,10846805.64,0,0,0,0,0,0,0,0,0,0,0,0,0,82.1,70.33
5,2018-03-31,USD,53074994.03,0.0,33322346.95,19752647.08,16140036.62,11516041.72,0,0,16986306.82,2094419.23,3823103.26,0,16140036.62,-210492.8,0,None,None,None,0,0,0,4808375.13,846270.2,0,12177931.69,11516041.72,0,USD,300111456.09,2723827.72,None,0,87578536.74,210438500.12,0,51136374.49,42671.76,150110500.76,0,9814505.21,14648.52,129387787.6,87578536.74,0,0,1296712.05,108125308.49,179433166.15,0,197900167.18,32481490.33,17563888.23,0,0,25559111.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,USD,0,0,0,0,0,0,0,0,11516041.72,0,0,0,0,0,0,0,0,0,0,0,0,0,75.25,82.1
6,2017-12-31,CNY,502673000.0,0.0,386112000.0,116561000.0,0.0,77935000.0,0,0,83825000.0,0.0,39891000.0,0,77715000.0,0.0,0,5890000,6110000,None,0,0,0,21399.65,0.0,0,0.0,77935000.0,0,CNY,2004832000.0,79376000.0,None,795568000,828766000.0,1176066000.0,0,2507349.05,268000.0,798116000.0,0,0,288163.03,311261000.0,828766000.0,0,0,7204000,729457000.0,1195999000,0,25903730.70,2853758.81,2330081.55,0,0,480122.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,370478000,0,311261000,0,0,USD,None,0,68200000,None,None,None,None,None,11978000.0,None,104700000,None,None,None,None,None,None,None,0,None,None,None,45.2,75.25
7,2017-09-30,USD,251336500.0,212479000.0,193056000.0,58280500.0,38857500.0,38967500.0,0,0,41912500.0,13154000.0,19945500.0,None,38857500.0,-522500.0,0,None,None,None,0,0,0,2945000.0,3055000.0,0,38967500.0,38967500.0,None,USD,2004832000.0,79376000.0,None,None,828766000.0,1176066000.0,None,573417000.0,268000.0,798116000.0,None,None,None,311261000.0,828766000.0,None,None,7204000,729457000.0,1195999000,None,1096690000,786089000,98649000,None,None,255349000.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,None,0,None,None,None,None,None,None,38967500.0,None,None,None,None,None,None,None,None,None,0,None,None,None,19.49,45.2
8,2017-06-30,USD,72929000.0,664533000.0,53345000.0,180343000.0,129672500.0,17104000.0,0,0,17104000.0,13154000.0,3224000.0,None,16360000.0,-7745500.0,-49500,None,None,None,0,0,0,0.0,7236000.0,0,136908500.0,17104000.0,None,USD,206365000.0,11741000.0,None,59374000,43868000.0,162497000.0,None,40525000.0,39000.0,107809000.0,None,9152000,12581000,11476000.0,43868000.0,None,None,10686000,106297000.0,593100000,840000,1022014000,59151000,100029000,None,None,3343000.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,-401000000,41026000,-602251000,-92356000,99603000,14692000,14692000,-25931000,17104000.0,-213210000,42328000,None,111147000,None,None,None,330000,-7032000,16072000,None,None,None,8.88,19.49
9,2017-03-31,USD,6150500.0,187066500.0,-10015500.0,65482000.0,55802000.0,23195500.0,0,0,23195500.0,0.0,-10000000.0,None,24745500.0,-871000.0,-49500,None,None,None,0,0,0,0.0,1551000.0,0,57353000.0,23195500.0,None,USD,1399010000.0,17553000.0,None,None,297397000.0,1101613000.0,None,99881000.0,267000.0,720181000.0,None,62046000,5692000,77801000.0,297397000.0,None,None,10686000,720619000.0,593100000,None,1022014000,401000000,114299000,None,None,147503000.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,None,0,None,None,None,None,None,None,57353000.0,None,None,None,None,None,None,None,None,None,0,None,None,None,8.6,8.88
