,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,251216000,273428000,160827000,90389000,36922000,-38168000,None,None,-39438000,None,106329000,195000,-22212000,6272000,17482000,-1270000,75000,-17407000,None,None,None,-1270000,181000,None,-38168000,-38168000,None,USD,2166370000,451146000,None,23519000,1977485000,188885000,270235000,31966000,1501000,-4160133000,617267000,454977000,354520000,138824000,593371000,119000000,119000000,-46723000,232990000,672737000,None,-717238000,None,273168000,631427000,237226000,65647000,None,None,1501000,None,-4160133000,-518030000,None,38727000,None,1493633000,144651000,631427000,3493000,1384114000,None,None,None,4912270000,2166370000,138824000,None,125555616,USD,-28582000,55196000,-28582000,-16099000,-54750000,-54750000,None,-5544000,-38168000,-115841000,-32509000,31937000,58878000,None,None,28138000,-133187000,676000,12483000,-133187000,None,-115841000,1.81,
1,2020-03-31,USD,189925000,266101000,126475000,63450000,-278872000,-345973000,None,None,-354512000,None,133353000,386000,-76176000,6273000,16783000,-8539000,766000,-16017000,None,262000000,None,-8539000,-262319000,None,-345973000,-345973000,None,USD,2195406000,462127000,None,22032000,1971446000,223960000,285239000,34131000,1500000,-4121965000,578833000,454977000,359481000,254665000,620137000,169000000,169000000,-47716000,236779000,682042000,None,-693144000,None,139981000,634800000,265364000,73217000,None,None,1500000,None,-4121965000,-518030000,None,29961000,2520000,1513364000,146847000,634800000,5049000,1351309000,None,None,None,4910171000,2195406000,254665000,None,125406121,USD,-30626000,-80261000,-30626000,-18751000,145250000,145705000,-48000,-39745000,-345973000,-41688000,-156767000,-60881000,58857000,None,503000,-52305000,44444000,256728000,11875000,44444000,None,-41688000,1.88,1.81
2,2019-12-31,USD,241475000,334601000,182410000,59065000,-37387000,-125118000,None,None,-125173000,None,146400000,-2632000,-93126000,-130000,13636000,-55000,1459000,-12177000,None,21742000,None,-55000,-19870000,None,-125118000,-125118000,None,USD,2513172000,474225000,None,19257000,1946812000,566360000,297488000,36732000,1489000,-3775992000,618481000,716977000,376241000,296353000,555150000,19000000,19000000,-47272000,232635000,713094000,None,-624842000,0,184425000,638187000,213059000,52128000,None,None,1489000,None,-3775992000,-518030000,None,31490000,2520000,1800078000,143679000,638187000,6028000,1391662000,None,None,None,4906165000,2513172000,296353000,None,124351294,USD,-31241000,-90242000,-31241000,-21030000,-101320000,-108685000,-7311000,9580000,-125118000,-12323000,127603000,-38904000,74150000,None,1000,-1315000,250478000,8920000,10211000,250478000,None,-12323000,6.25,1.88
3,2019-09-30,USD,565668000,487527000,292187000,273481000,147656000,69260000,None,None,66658000,None,188957000,-228000,78141000,6653000,11597000,-2602000,509000,-11088000,None,None,None,-2602000,-395000,None,69260000,69260000,None,USD,2824790000,486356000,None,18728000,2138097000,686693000,324309000,34473000,1489000,-3650874000,651901000,716977000,407390000,308676000,596580000,8000000,8000000,-49314000,240016000,974051000,None,-516640000,0,434903000,752241000,211744000,88091000,None,None,1489000,None,-3650874000,-518030000,None,31698000,3259000,1850739000,148510000,752241000,6746000,1541517000,None,None,None,4903422000,2824790000,308676000,None,124330921,USD,-35683000,195986000,-35683000,-25941000,-62000000,-64052000,-2539000,2988000,69260000,293562000,393297000,172338000,69401000,None,521000,56026000,-2821000,1411000,8992000,-2821000,None,293562000,5.33,6.25
4,2019-06-30,USD,388896000,414719000,232841000,156055000,48441000,-40613000,None,None,-40210000,None,175266000,113000,-25823000,11042000,11963000,403000,97000,-11866000,None,None,None,403000,-2521000,None,-40613000,-40613000,None,USD,2616271000,499080000,None,1761176000,2002666000,613605000,334357000,25431000,1487000,-3720134000,524839000,716977000,414773000,15114000,583388000,68000000,68000000,-48706000,108332000,737348000,1006000,613605000,0,432082000,753377000,267770000,108528000,None,None,1487000,None,-3720134000,-518030000,None,28538000,None,1878923000,152541000,753377000,6580000,1419278000,None,None,None,4898988000,2616271000,15114000,None,124208392,USD,-27676000,45534000,-27676000,-29693000,58000000,58467000,466000,2610000,-40613000,-59071000,-89862000,88193000,76688000,None,1000,-5846000,-248957000,3536000,7983000,-248957000,None,-59071000,5.76,5.33
5,2019-03-31,USD,194635000,159728000,136742000,57893000,-101193000,-117362000,None,None,-110907000,None,151983000,642000,-101835000,7745000,11582000,6455000,-10940000,-10490000,None,None,None,6455000,197000,None,-117362000,-117362000,None,USD,2461465000,833800000,None,1785698000,1808794000,652671000,343698000,1583469000,1487000,-3679608000,454909000,716845000,52300000,74185000,456931000,8000000,8000000,-46734000,116095000,550186000,1071000,652671000,9999000,213564000,754513000,261924000,217325000,None,None,1487000,None,-3679608000,-518030000,None,27180000,None,116095000,156767000,754513000,5780000,1351863000,None,None,None,4895556000,2461465000,84184000,None,124110547,USD,40000000,-38173000,-1720000,-31345000,-2000000,-1397000,98000,-41731000,-117362000,-179180000,-176063000,-42641000,69448000,None,505000,-77715000,20482000,9898000,10375000,20482000,None,-179180000,7.27,5.76
6,2018-12-31,USD,211398000,156373000,141883000,69515000,-85608000,-55921000,0,0,-94724000,0,148407000,1250000,-86858000,6386000,11645000,None,None,None,30469000,1580000,0,2058000,-9942000,40861000,-96782000,-55921000,None,USD,2495124000,520892000,None,1646531000,1726654000,768470000,346276000,1473362000,1481000,-3562971000,483313000,716073000,423574000,253365000,487692000,8000000,8000000,-45184000,125925000,706278000,2382000,768470000,49833000,235261000,755649000,184209000,245292000,None,None,1481000,None,-3562971000,-518030000,None,None,None,125925000,None,755649000,None,None,None,None,None,4893174000,2495124000,303198000,None,123587820,USD,-20345000,-42403000,75887000,108485000,-2000000,1726000,3726000,-4090000,-55921000,149061000,71448000,-3068000,68293000,None,1263000,-14198000,149501000,-30756000,12253000,149501000,None,149061000,8.86,7.27
7,2018-09-30,USD,516255000,186337000,238080000,278175000,91866000,86349000,0,0,80559000,0,176202000,28000,91838000,7058000,11627000,None,None,None,0,3077000,0,-3349000,-15038000,2441000,83908000,86349000,None,USD,2631552000,535824000,None,150843000,1806441000,825111000,437535000,326696000,1481000,-3507050000,502058000,713073000,427023000,104304000,547598000,8000000,8000000,-40736000,143040000,807992000,4600000,-423786000,29758000,353075000,756785000,170012000,212902000,0,0,1481000,0,-3507050000,-518030000,None,404819000,3402000,23402000,None,756785000,64523000,1258843000,None,None,None,4889446000,2631552000,134062000,None,123561262,USD,-29708000,83796000,-82248000,-35953000,-52000000,-51438000,-20000,-4090000,86349000,73595000,207281000,4756000,57058000,0,582000,38475000,149501000,4740000,16587000,-67893000,None,73595000,7.0,8.86
8,2018-06-30,USD,376081000,183278000,201759000,174322000,-9936000,-23272000,0,0,-21088000,0,174152000,-980000,-8956000,9126000,11472000,None,None,None,0,0,0,2184000,14885000,2441000,-23272000,-23272000,None,USD,2524356000,578133000,None,30888000,1790097000,734259000,428947000,270733000,1480000,-3593399000,492828000,783073000,442387000,30709000,539347000,58000000,8000000,-41312000,149137000,567726000,3900000,-626947000,0,293693000,757922000,212436000,210614000,0,0,1480000,0,-3593399000,-518030000,None,420096000,3593000,22598000,None,757922000,63881000,1250750000,None,None,None,4885520000,2524356000,30709000,None,123463904,USD,-20345000,28140000,-48807000,-36146000,48000000,47980000,-20000,-4090000,-23272000,-67955000,-67128000,-7152000,64965000,0,681000,-5992000,149501000,5441000,12661000,-129258000,None,-67955000,7.65,7.0
9,2018-03-31,USD,218884000,161718000,143715000,75169000,-85671000,-101311000,0,0,-96607000,0,150534000,878000,-86549000,11184000,10936000,None,None,None,0,0,0,4704000,-14885000,2441000,-101311000,-101311000,None,USD,2458112000,593332000,None,27418000,1705133000,752979000,428084000,249305000,1479000,-3570127000,490229000,783073000,431798000,98664000,455846000,8000000,8000000,-42801000,150648000,496961000,2300000,-623426000,0,164435000,759058000,206444000,198541000,0,0,1479000,0,-3570127000,-518030000,None,406801000,3593000,23704000,None,759058000,62145000,1249287000,None,None,None,4882458000,2458112000,98664000,None,123397251,USD,86539000,-53896000,48763000,-25536000,-2000000,-2392000,-1073000,-16675000,-101311000,-50315000,-96686000,1680000,64331000,0,681000,-51800000,36645000,7665000,12240000,36645000,None,-50315000,6.95,7.65
