,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,142654000,26781000,110257000,32397000,7859000,6613000,None,None,5912000,None,26781000,2243000,5616000,None,1947000,-701000,24000,-1923000,None,None,None,-701000,2219000,None,6613000,6613000,None,USD,1271750000,124433000,None,219782000,381481000,890269000,25391000,5538000,1022000,528754000,34174000,594561000,8615000,193071000,94893000,None,None,None,84592000,433712000,None,171275000,None,213930000,240000000,None,89355000,None,None,1022000,None,528754000,-135576000,None,33625000,None,827000,19002000,240000000,21197000,286588000,None,None,None,496069000,1271750000,None,None,88509960,USD,-4955000,11449000,-4955000,-3490000,-43000,1326000,-168000,-7711000,6613000,45038000,48667000,-7836000,12187000,None,1494000,None,22950000,3304000,1465000,22950000,None,45038000,32.39,
1,2020-03-31,USD,171412000,35839000,117120000,54292000,19339000,12682000,None,None,17077000,None,35839000,886000,18453000,None,2262000,4395000,234000,-2028000,None,None,None,4395000,652000,None,12682000,12682000,None,USD,1251088000,128170000,None,170828000,373241000,877847000,26527000,3906000,1021000,522141000,34254000,597803000,6954000,148033000,85148000,None,None,None,86764000,406253000,None,151874000,None,235425000,240000000,None,81242000,None,None,1021000,None,522141000,-135576000,None,31130000,None,968000,20370000,240000000,21566000,288093000,None,None,None,490261000,1251088000,148033000,None,88410333,USD,-5017000,-16104000,-5017000,-3339000,-102000,-3312000,-3437000,3519000,12682000,8765000,17094000,4132000,11844000,None,125000,None,-9910000,14450000,1678000,-9910000,None,8765000,25.27,32.39
2,2019-12-31,USD,311398000,177104000,108597000,202801000,27069000,17346000,None,None,24435000,None,29151000,1372000,25697000,None,2634000,7089000,857000,-1777000,None,None,None,7089000,514000,None,17346000,17346000,None,USD,1244276000,131849000,None,31489000,389411000,854865000,25587000,3570000,1018000,509459000,32536000,599351000,10145000,139268000,101317000,None,None,None,86947000,397410000,None,123665000,None,226653000,240000000,None,97747000,None,None,1018000,None,509459000,-135576000,None,27610000,None,1109000,21510000,240000000,22507000,288094000,None,None,None,479964000,1244276000,139268000,None,88103566,USD,-17197000,15417000,-161678000,-142045000,-195000,37000,75000,-11358000,17346000,-141328000,20313000,22097000,-21896000,None,157000,None,-16800000,4149000,2436000,-16800000,None,-141328000,29.6,25.27
3,2019-09-30,USD,146815000,28232000,101518000,45297000,25972000,21136000,None,None,23295000,None,28232000,8907000,17065000,None,2677000,2159000,1210000,-1467000,None,None,None,2159000,7697000,None,21136000,21136000,None,USD,1197063000,66131000,None,301397000,362869000,834194000,24280000,2554000,1018000,492113000,29843000,517460000,2183000,280596000,75988000,None,None,None,84028000,507743000,None,250603000,None,206346000,240000000,None,73434000,None,None,1018000,None,492113000,-135576000,None,20451000,None,1250000,23148000,240000000,22601000,286881000,None,None,None,476639000,1197063000,280596000,None,88092640,USD,9776000,3405000,-34971000,-39852000,-57000,12097000,-80000,-1480000,21136000,11919000,34793000,-497000,11203000,None,12177000,None,2570000,-3024000,4895000,2570000,None,11919000,34.465,29.6
4,2019-06-30,USD,168182000,28036000,99598000,68584000,41514000,29100000,None,None,38661000,None,28036000,966000,40548000,None,2853000,9561000,966000,-1887000,None,None,None,9561000,-1887000,None,29100000,29100000,None,USD,1159739000,62463000,None,289814000,361769000,797970000,23073000,2948000,1010000,470977000,29806000,487617000,4279000,268677000,74278000,None,None,None,86607000,499177000,None,247890000,None,209363000,240000000,None,71330000,None,None,1010000,None,470977000,-135576000,None,22484000,None,1391000,23765000,240000000,24418000,287491000,None,None,None,461559000,1159739000,268677000,None,87350498,USD,-4420000,15242000,-4420000,-3844000,-44000,3636000,-223000,-1809000,29100000,48820000,49604000,-9402000,10538000,None,3859000,None,-4039000,8165000,576000,-4039000,None,48820000,32.39,34.465
5,2019-03-31,USD,147953000,-118707000,99001000,-99001000,20820000,19642000,None,None,17971000,None,29246000,1114000,19706000,-147953000,2849000,-1671000,-1735000,-1735000,None,None,None,-1671000,-1735000,None,19642000,19642000,None,USD,1132654000,64801000,None,22910000,372266000,760388000,19710000,42720000,1007000,441877000,26239000,487617000,4308000,219857000,87121000,6247000,6247000,None,90294000,465190000,None,207970000,None,222423000,240000000,None,89546000,None,None,1007000,None,441877000,-135576000,None,23220000,None,1532000,25030000,240000000,6758000,285145000,None,None,None,453080000,1132654000,219857000,None,87081712,USD,-3990000,-12486000,-3990000,-3621000,8000,16379000,-6760000,-2101000,19642000,40911000,28522000,-3225000,10410000,None,23139000,None,1977000,12204000,369000,1977000,None,40911000,29.61,32.39
6,2018-12-31,USD,155828000,-129094000,101246000,-101246000,28337000,33391000,0,0,25589000,0,26734000,489000,27848000,-155828000,2748000,None,None,None,0,0,0,-7802000,-2259000,0,33391000,33391000,None,USD,1078518000,67140000,None,577204000,365122000,713396000,4118000,21723000,989000,422235000,28497000,487617000,4017000,178946000,96625000,240000000,None,None,94435000,425309000,None,713396000,None,227933000,240000000,None,93387000,None,None,989000,None,422235000,-135576000,None,None,None,94435000,None,240000000,5894000,268497000,None,None,None,425748000,1078518000,178946000,None,85261664,USD,9776000,-7894000,-10980000,-4049000,8000,24708000,-21000,-3220000,33391000,54649000,40921000,-2759000,14517000,None,24729000,None,-4274000,7940000,6931000,-4274000,None,54649000,28.13,29.61
7,2018-09-30,USD,154246000,-126068000,101837000,-101837000,24523000,18574000,0,0,21643000,0,28178000,292000,24231000,-154246000,2880000,None,None,None,0,0,0,3069000,-2588000,0,18574000,18574000,None,USD,1006920000,72593000,None,19518000,355140000,651780000,18736000,22184000,975000,389189000,28661000,487617000,4469000,124297000,86479000,None,None,None,93145000,349096000,None,91570000,0,209750000,240000000,0,64295000,0,0,975000,0,389189000,-135576000,None,None,None,653355000,None,240000000,9925000,268661000,None,None,None,397192000,1006920000,124297000,None,83925462,USD,None,9491000,-6805000,-4927000,8000,11130000,-113000,-453000,18574000,36170000,31845000,-385000,13829000,0,11243000,0,-9384000,-280000,1878000,-9384000,None,36170000,32.81,28.13
8,2018-06-30,USD,146791000,-100259000,101022000,-101022000,-575000,-3367000,0,0,-3609000,0,26532000,188000,-763000,-146791000,3034000,None,None,None,0,20000000,0,-242000,-22846000,0,-3367000,-3367000,None,USD,970080000,78708000,None,585636000,351441000,618639000,22628000,22252000,970000,370615000,32502000,487617000,4573000,88127000,78939000,240000000,240000000,None,93369000,305813000,None,618639000,0,202948000,240000000,0,56687000,0,0,970000,0,370615000,-135576000,None,None,None,93369000,None,240000000,9874000,272502000,None,None,None,382630000,970080000,88127000,None,83387914,USD,None,2956000,-6874000,-5210000,8000,2149000,-97000,-2749000,-3367000,4229000,8954000,-2379000,16207000,0,2245592,0,-5982000,1519000,1664000,-5982000,None,4229000,21.62,32.81
9,2018-03-31,USD,141425000,-109427000,97505000,-97505000,12042000,6391000,0,0,9394000,0,31998000,120000,11922000,-141425000,2648000,None,None,None,0,0,0,3003000,-2528000,0,6391000,6391000,None,USD,959736000,85361000,None,14981000,344593000,615143000,25885000,22622000,965000,373982000,35499000,487617000,4710000,83898000,69094000,240000000,240000000,None,96037000,286011000,None,42165000,0,187132000,240000000,0,56086000,0,0,965000,0,373982000,-135576000,None,2614000,None,2096000,None,240000000,9614000,275499000,None,None,None,375772000,959736000,83898000,None,83212960,USD,None,-10925000,-5754000,-4963000,None,-8398000,-2587000,3254000,6391000,585000,14737000,-5453000,13607000,0,-5810592,0,2328000,8789000,791000,2328000,None,585000,16.84,21.62
10,2017-12-31,USD,148493000,32253000,96974000,51519000,19359000,25723000,0,0,16222000,0,32253000,93000,19266000,0,3137000,None,None,None,0,0,0,-9501000,-15108000,0,25723000,25723000,None,USD,975160000,91482000,None,17989000,368931000,606229000,2237000,30787000,965000,366164000,14255000,487617000,583925000,83313000,92687000,240000000,240000000,None,98581000,292654000,None,27130000,0,191352000,240000000,0,61900000,0,0,965000,0,366164000,-129621000,None,2589000,None,2237000,None,None,276244000,276244000,None,None,None,368721000,975160000,83313000,None,83256858,USD,None,24243000,-10870000,-5208000,-2407000,-16667000,-263000,-1142000,25723000,3829000,31366000,-2806000,14219000,0,-13997000,0,-6976000,-17407000,5662000,-12606000,None,3829000,16.95,16.84
11,2017-09-30,USD,125673000,22240000,90572000,35101000,12875000,6372000,0,0,9766000,0,22240000,14000,12861000,0,3109000,None,None,None,0,0,0,3394000,0,0,6372000,6372000,None,USD,961221000,583630000,None,599515000,373837000,587384000,46324000,30754000,965000,340441000,14158000,485540000,586033000,79484000,318238000,240000000,240000000,None,95034000,280154000,None,587384000,0,187188000,0,0,47484000,0,0,965000,0,340441000,-115484000,None,None,None,95034000,None,None,9275000,55599000,None,None,None,361462000,961221000,79484000,None,84078730,USD,None,-9231000,-6813000,-4038000,-138000,570000,-24000,289000,6372000,28115000,34358000,808000,14400000,0,594000,0,5630000,7340000,2775000,14669000,None,28115000,19.86,16.95
12,2017-06-30,USD,133313000,27553000,91399000,41914000,14394000,6517000,0,0,12055000,0,27553000,33000,14361000,0,2339000,None,None,None,0,0,0,5538000,0,0,6517000,6517000,None,USD,956266000,95397000,None,508288000,383205000,573061000,0,31272000,964000,334069000,16100000,491088000,588901000,51369000,327025000,240000000,240000000,None,95893000,271472000,None,477664000,0,202903000,0,0,55753000,0,0,964000,0,334069000,-115484000,None,2416000,None,193706000,None,None,56180000,56180000,None,None,None,353512000,956266000,51369000,None,84044697,USD,None,5733000,-178193000,-175594000,42201000,43919000,-266000,2713000,6517000,-116920000,17354000,2984000,12626000,0,1984000,0,9039000,5511000,2599000,-16017000,None,-116920000,18.5,19.86
13,2017-03-31,USD,113733000,23608000,86182000,27551000,4098000,1442000,0,0,1812000,0,23608000,155000,3943000,0,2286000,None,None,None,0,0,0,370000,0,0,1442000,1442000,None,USD,867122000,33470000,None,396660000,306290000,560832000,28230000,31544000,959000,327552000,15392000,379716000,418021000,168289000,70137000,None,None,None,93176000,355925000,None,527362000,0,170692000,197796000,0,38593000,0,0,959000,0,327552000,-115484000,None,2566000,None,2269000,None,197796000,10127000,236153000,None,None,None,347805000,867122000,168289000,None,83885439,USD,None,-19591000,-8488000,-2206000,-2000,-2608000,-2608000,-2160000,1442000,-7710000,3386000,-2160000,11083000,0,2000,0,6978000,5634000,6282000,6978000,None,-7710000,20.33,18.5
14,2016-12-31,USD,121803000,19349000,83696000,38107000,18867000,11002000,0,0,16660000,0,19349000,109000,18758000,0,2207000,None,None,None,0,0,0,5658000,-9761000,0,11002000,11002000,None,USD,882755000,417513000,None,435003000,326145000,556610000,28144000,30755000,959000,326110000,15475000,379716000,422953000,175999000,90157000,197796000,197796000,None,92167000,367635000,None,556610000,0,179586000,197796000,0,59402000,0,0,959000,0,326110000,-115484000,None,None,None,92167000,None,197796000,10048000,235988000,None,None,None,345025000,882755000,175999000,None,83552774,USD,2496000,21562000,-7081000,-2174000,-1000,-22707000,-2236000,-2422000,11003000,4480000,34268000,-736000,11590000,0,-20470000,0,-3554000,2937000,4907000,-12088000,None,4480000,18.16,20.33
15,2016-09-30,USD,124604000,24875000,87079000,37525000,12755000,13508000,0,0,10634000,0,24875000,105000,12650000,0,2121000,None,None,None,0,0,0,-2874000,0,0,13508000,13508000,None,USD,884930000,421203000,None,59859000,320017000,564913000,38213000,30182000,959000,315107000,15570000,378575000,427433000,171519000,74105000,None,None,None,91532000,365965000,None,186338000,0,183445000,197796000,0,43923000,0,0,959000,0,315107000,-95014000,None,None,None,470107000,None,197796000,9903000,245912000,None,None,None,343861000,884930000,171519000,None,84654774,USD,2496000,-4454000,-27246000,-20572000,-1000,2258000,515000,-1567000,13507000,-16365000,8623000,-1567000,11627000,0,1744000,0,8534000,-2217000,6674000,-8273000,None,-16365000,22.17,18.16
16,2016-06-30,USD,123550000,22227000,84971000,38579000,16412000,8566000,0,0,14312000,0,22227000,60000,16352000,0,2100000,None,None,None,0,0,0,5746000,0,0,8566000,8566000,None,USD,859373000,405690000,None,421309000,312246000,547127000,0,30586000,957000,301600000,8815000,361468000,414170000,187884000,71736000,None,None,None,87907000,357296000,None,547127000,0,162273000,197796000,0,41150000,0,0,957000,0,301600000,-95014000,None,None,None,87907000,None,None,240510000,240510000,None,None,None,339584000,859373000,187884000,None,84438027,USD,2496000,8475000,-3119000,-1567000,-5000,2403000,1238000,4187000,8566000,44433000,45149000,4187000,11771000,0,1170000,0,16807000,-1307000,1552000,13457000,None,44433000,17.61,22.17
17,2016-03-31,USD,119763000,22930000,86924000,32839000,9956000,4560000,0,0,7865000,0,22930000,47000,9909000,0,2091000,None,None,None,0,0,0,3305000,0,0,4560000,4560000,None,USD,841023000,410733000,None,431431000,309139000,531884000,43048000,30613000,954000,293034000,8907000,361468000,419363000,143451000,65289000,None,None,None,91841000,329819000,None,531884000,0,174300000,197796000,0,34676000,0,0,954000,0,293034000,-95014000,None,None,None,91841000,None,197796000,3006000,243850000,None,None,None,332910000,841023000,143451000,None,84132408,USD,2496000,-23017000,-1755000,-1185000,-37000,-1003000,-992000,-1983000,4560000,-2159000,599000,-1983000,12141000,0,26000,0,3350000,5548000,570000,3350000,None,-2159000,14.35,17.61
